term,left_bin,left_perc,right_bin,right_perc
Kevin Spacey,10.0,0.9745106964040001,10.0,0.967588179218
Harvey Weinstein,5.0,0.44833864360500003,5.0,0.467588179218
Anthony Rapp,3.0,0.24806554392400001,3.0,0.226406101049
Louis C.K.,2.0,0.14929449249,1.0,0.07983794089610001
Donald Trump,2.0,0.143832498862,2.0,0.107483317445
Christopher Plummer,2.0,0.13882567137000001,2.0,0.112488083889
Ridley Scott,2.0,0.114246700046,1.0,0.09723546234510001
Roy Moore,2.0,0.10104688211200001,1.0,0.06982840800760001
Matt Lauer,1.0,0.09740555302689999,1.0,0.09389895138229999
Al Franken,1.0,0.0928538916705,1.0,0.0841277407054
Brett Ratner,1.0,0.07874374146560001,1.0,0.0722116301239
Charlie Rose,1.0,0.07373691397360001,1.0,0.0653002859867
James Toback,1.0,0.0728265817023,1.0,0.0557673975214
Robin Wright,1.0,0.0696404187528,1.0,0.054814108674900004
Michelle Williams,1.0,0.0664542558034,1.0,0.053384175405099994
Bill Cosby,1.0,0.0591715976331,1.0,0.0545757864633
Frank Underwood,1.0,0.055530268548,1.0,0.046234509056199996
Mark Wahlberg,1.0,0.04915794264909999,1.0,0.0414680648236
Trump,1.0,0.048702776513400006,1.0,0.0636320305052
Mark Halperin,1.0,0.04733727810650001,1.0,0.0381315538608
Jeffrey Tambor,1.0,0.04597177969959999,1.0,0.0271687321258
J. Paul Getty,1.0,0.044606281292699994,1.0,0.0378932316492
Woody Allen,1.0,0.0423304506145,1.0,0.0197807435653
Claire Underwood,1.0,0.041875284478800005,1.0,0.028360343184000002
Dustin Hoffman,1.0,0.036868456986800004,1.0,0.0583889418494
James Franco,1.0,0.0345926263086,1.0,0.0221639656816
Seth Meyers,1.0,0.0323167956304,1.0,0.0224022878932
Jessica Chastain,1.0,0.0295857988166,1.0,0.0159675881792
Greta Gerwig,1.0,0.0295857988166,1.0,0.0171591992374
Steven Spielberg,1.0,0.0282203004096,1.0,0.024785510009499998
Danny Masterson,1.0,0.0282203004096,1.0,0.0159675881792
Tarana Burke,1.0,0.027765134274,1.0,0.0095328884652
Frances McDormand,1.0,0.0268548020027,1.0,0.0195424213537
Heather Unruh,1.0,0.0263996358671,1.0,0.0252621544328
Gary Oldman,1.0,0.024578971324499998,1.0,0.020019065776900002
Louis CK,1.0,0.024578971324499998,1.0,0.0207340324118
Hillary Clinton,1.0,0.024123805188899998,1.0,0.05648236415630001
Roger Ailes,1.0,0.024123805188899998,1.0,0.010962821735000001
Rose McGowan,1.0,0.024123805188899998,1.0,0.0259771210677
Michael Oreskes,1.0,0.024123805188899998,1.0,0.014061010486200001
Fox,1.0,0.0232134729176,1.0,0.0169208770257
Richard Dreyfuss,1.0,0.0232134729176,1.0,0.0271687321258
Bill Clinton,1.0,0.0223031406463,1.0,0.074118207817
Russell Simmons,1.0,0.0218479745107,1.0,0.0176358436606
Ed Westwick,1.0,0.0218479745107,1.0,0.023832221163
John Conyers,1.0,0.020937642239400003,1.0,0.030505243088700004
Guillermo del Toro,1.0,0.020937642239400003,1.0,0.0233555767398
Jeremy Piven,1.0,0.020937642239400003,1.0,0.0309818875119
Armie Hammer,1.0,0.0204824761038,1.0,0.00786463298379
Jordan Peele,1.0,0.0204824761038,1.0,0.0112011439466
Leon Wieseltier,1.0,0.0200273099681,1.0,0.0095328884652
Roberto Cavazos,1.0,0.0200273099681,1.0,0.0159675881792
Sam Rockwell,1.0,0.0195721438325,1.0,0.0176358436606
Tony Montana,1.0,0.0195721438325,1.0,0.0197807435653
Billy Eichner,1.0,0.019116977696900003,1.0,0.00571973307912
Oprah Winfrey,1.0,0.0186618115612,1.0,0.0183508102955
George Takei,1.0,0.0186618115612,1.0,0.0224022878932
Gore Vidal,1.0,0.018206645425599997,1.0,0.0228789323165
Allison Janney,1.0,0.018206645425599997,1.0,0.015252621544299998
Meryl Streep,1.0,0.018206645425599997,1.0,0.0188274547188
Nicole Kidman,1.0,0.0177514792899,1.0,0.010247855100100001
Tom Hanks,1.0,0.0177514792899,1.0,0.015014299332700001
Olivia Munn,1.0,0.0177514792899,1.0,0.0095328884652
Daniel Kaluuya,1.0,0.0177514792899,1.0,0.014775977121099999
Jimmy Kimmel,1.0,0.0172963131543,1.0,0.015252621544299998
Ansel Elgort,1.0,0.0172963131543,1.0,0.008817921830309999
Steven Seagal,1.0,0.0168411470187,1.0,0.0209723546235
Garrison Keillor,1.0,0.0168411470187,1.0,0.012392755004799999
Ben Affleck,1.0,0.0168411470187,1.0,0.0262154432793
Zachary Quinto,1.0,0.0168411470187,1.0,0.00738798856053
Glenn Thrush,1.0,0.016385980883,1.0,0.012154432793100002
Stephen Colbert,1.0,0.016385980883,1.0,0.00691134413727
Alec Baldwin,1.0,0.016385980883,1.0,0.012869399428
George H.W. Bush,1.0,0.016385980883,1.0,0.013346043851299998
Mary J. Blige,1.0,0.016385980883,1.0,0.00810295519542
Vic,1.0,0.0159308147474,1.0,0.025738798856099997
Salma Hayek,1.0,0.0159308147474,1.0,0.010247855100100001
Jesus,1.0,0.0150204824761,1.0,0.0126310772164
Martin McDonagh,1.0,0.0150204824761,1.0,0.012869399428
Harry Dreyfuss,1.0,0.0150204824761,1.0,0.0116777883699
Emma Stone,1.0,0.0145653163405,1.0,0.0100095328885
Daniel Day-Lewis,1.0,0.0145653163405,1.0,0.011439466158200002
Weinstein,1.0,0.0145653163405,1.0,0.0166825548141
Aziz Ansari,1.0,0.0145653163405,1.0,0.00810295519542
Angelina Jolie,1.0,0.0141101502048,1.0,0.0138226882745
Matt Damon,1.0,0.0141101502048,1.0,0.015014299332700001
Doug Jones,1.0,0.0141101502048,1.0,0.0100095328885
Sally Hawkins,1.0,0.0141101502048,1.0,0.0135843660629
Mario Batali,1.0,0.0141101502048,1.0,0.010247855100100001
Ronan Farrow,1.0,0.0141101502048,1.0,0.014061010486200001
John Paul Getty III,1.0,0.0141101502048,1.0,0.0162059103908
Reese Witherspoon,1.0,0.0136549840692,1.0,0.012392755004799999
Bill O’Reilly,1.0,0.0136549840692,1.0,0.00428979980934
Laura Dern,1.0,0.0136549840692,1.0,0.00834127740705
Christopher Nolan,1.0,0.0136549840692,1.0,0.012392755004799999
John Lasseter,1.0,0.0136549840692,1.0,0.0126310772164
Obama,1.0,0.013199817933499999,1.0,0.024308865586299997
Ashley Judd,1.0,0.013199817933499999,1.0,0.0181124880839
Robert Mueller,1.0,0.013199817933499999,1.0,0.0104861773117
Willem Dafoe,1.0,0.013199817933499999,1.0,0.00738798856053
Mel Gibson,1.0,0.013199817933499999,1.0,0.00381315538608
Matthew Weiner,1.0,0.013199817933499999,1.0,0.005243088655859999
Leeann Tweeden,1.0,0.013199817933499999,1.0,0.0138226882745
Elisabeth Moss,1.0,0.0127446517979,1.0,0.00595805529075
Terry Crews,1.0,0.0127446517979,1.0,0.0026215443279299995
William Morris,1.0,0.0127446517979,1.0,0.0071496663489
Maisel,1.0,0.0127446517979,1.0,0.0071496663489
Anna Graham Hunter,1.0,0.0127446517979,1.0,0.00762631077216
Gore,1.0,0.0122894856623,1.0,0.0142993326978
Gal Gadot,1.0,0.0122894856623,1.0,0.006434699714010001
Natalie Portman,1.0,0.0122894856623,1.0,0.0071496663489
R. Kelly,1.0,0.0122894856623,1.0,0.00357483317445
Denzel Washington,1.0,0.0122894856623,1.0,0.00691134413727
Patty Jenkins,1.0,0.0122894856623,1.0,0.0100095328885
Beau Willimon,1.0,0.0122894856623,1.0,0.00905624404194
John Besh,1.0,0.0122894856623,1.0,0.00977121067684
Van Barnes,1.0,0.0122894856623,1.0,0.00333651096282
Issa Rae,1.0,0.011834319526599999,0.0,0.0
Ted Sarandos,1.0,0.011834319526599999,1.0,0.00905624404194
Dylan Farrow,1.0,0.011834319526599999,1.0,0.00428979980934
Tiffany Haddish,1.0,0.011834319526599999,1.0,0.006196377502380001
Winston Churchill,1.0,0.011379153391,1.0,0.014775977121099999
Alyssa Milano,1.0,0.011379153391,1.0,0.0112011439466
Louie,1.0,0.011379153391,0.0,0.0
Savannah Guthrie,1.0,0.011379153391,1.0,0.006196377502380001
Corey Feldman,1.0,0.011379153391,1.0,0.0252621544328
Dee Rees,1.0,0.011379153391,1.0,0.00667302192564
Tonya Harding,1.0,0.011379153391,1.0,0.0071496663489
Margot Robbie,1.0,0.0109239872553,1.0,0.0095328884652
Andrea Constand,1.0,0.0109239872553,1.0,0.015490943755999999
Amy Poehler,1.0,0.0109239872553,1.0,0.0030981887511900004
Diane Lane,1.0,0.0109239872553,1.0,0.008817921830309999
Cecil B. DeMille,1.0,0.0109239872553,1.0,0.00905624404194
Lysette,1.0,0.0109239872553,1.0,0.0026215443279299995
Hamilton,1.0,0.010468821119700001,1.0,0.010962821735000001
Judi Dench,1.0,0.010468821119700001,1.0,0.00905624404194
Clarence Thomas,1.0,0.010468821119700001,1.0,0.006434699714010001
Hugh Jackman,1.0,0.010468821119700001,1.0,0.00905624404194
Morrissey,1.0,0.010468821119700001,1.0,0.006434699714010001
Seth MacFarlane,1.0,0.010468821119700001,1.0,0.00786463298379
Andrew Kreisberg,1.0,0.010468821119700001,1.0,0.00762631077216
Judd Apatow,1.0,0.010468821119700001,1.0,0.006196377502380001
Jodi Kantor,1.0,0.010468821119700001,1.0,0.00428979980934
Wanda Sykes,1.0,0.010468821119700001,1.0,0.00905624404194
Richard Lawson,1.0,0.010468821119700001,0.0,0.0
Roy Price,1.0,0.010468821119700001,1.0,0.00381315538608
Jennifer Lawrence,1.0,0.0100136549841,1.0,0.00834127740705
BuzzFeed,1.0,0.0100136549841,1.0,0.005004766444229999
Anthony Anderson,1.0,0.0100136549841,1.0,0.00428979980934
Brett Kavanaugh,1.0,0.0100136549841,1.0,0.0104861773117
Rachel Brosnahan,1.0,0.0100136549841,1.0,0.006196377502380001
Greg Kinnear,1.0,0.0100136549841,1.0,0.00810295519542
Richard Jenkins,1.0,0.0100136549841,1.0,0.006434699714010001
Paz de la Huerta,1.0,0.0100136549841,1.0,0.00452812202097
Natasha Henstridge,1.0,0.0100136549841,1.0,0.006434699714010001
Paul Manafort,1.0,0.00955848884843,1.0,0.00810295519542
Oliver Stone,1.0,0.00955848884843,1.0,0.00667302192564
Molly,1.0,0.00955848884843,1.0,0.0026215443279299995
Martin,1.0,0.00955848884843,1.0,0.00285986653956
Buzzfeed,1.0,0.00955848884843,1.0,0.00667302192564
Casey Affleck,1.0,0.00955848884843,1.0,0.00786463298379
Shonda Rhimes,1.0,0.00955848884843,1.0,0.00571973307912
Bill Maher,1.0,0.00955848884843,1.0,0.00357483317445
Sarah Kate Ellis,1.0,0.00955848884843,1.0,0.00548141086749
Luca Guadagnino,1.0,0.00955848884843,1.0,0.005004766444229999
Ellen Page,1.0,0.00955848884843,0.0,0.0
Laurie Metcalf,1.0,0.00955848884843,1.0,0.00738798856053
George Clooney,1.0,0.009103322712790001,1.0,0.00762631077216
Billy Bush,1.0,0.009103322712790001,1.0,0.0047664442326
Bill O'Reilly,1.0,0.009103322712790001,1.0,0.00738798856053
Robert De Niro,1.0,0.009103322712790001,1.0,0.006196377502380001
dick,1.0,0.009103322712790001,0.0,0.0
Bryan Singer,1.0,0.009103322712790001,1.0,0.00691134413727
Anita Hill,1.0,0.009103322712790001,1.0,0.006434699714010001
Bob Weinstein,1.0,0.009103322712790001,1.0,0.00285986653956
Rachel Morrison,1.0,0.009103322712790001,1.0,0.00381315538608
Daniel Beal,1.0,0.009103322712790001,1.0,0.00691134413727
John Kelly,1.0,0.00864815657715,0.0,0.0
Susan Sarandon,1.0,0.00864815657715,1.0,0.00405147759771
Pamela Adlon,1.0,0.00864815657715,1.0,0.00452812202097
Dan Savage,1.0,0.00864815657715,1.0,0.00333651096282
Lupita Nyong,1.0,0.00864815657715,0.0,0.0
Kate Winslet,1.0,0.00864815657715,1.0,0.00571973307912
Oprah,1.0,0.00864815657715,1.0,0.00405147759771
Tonya,1.0,0.00864815657715,1.0,0.014775977121099999
David Fincher,1.0,0.00864815657715,1.0,0.00381315538608
Kumail Nanjiani,1.0,0.00864815657715,1.0,0.005004766444229999
Jenny Lumet,1.0,0.00864815657715,0.0,0.0
Kristina Cohen,1.0,0.00864815657715,1.0,0.0026215443279299995
Joe,1.0,0.00819299044151,0.0,0.0
Brad Pitt,1.0,0.00819299044151,1.0,0.006196377502380001
Harry,1.0,0.00819299044151,1.0,0.010962821735000001
Bryan Cranston,1.0,0.00819299044151,1.0,0.00857959961868
Dave Chappelle,1.0,0.00819299044151,0.0,0.0
Megan Twohey,1.0,0.00819299044151,1.0,0.00285986653956
Ariane Bellamar,1.0,0.00819299044151,1.0,0.00452812202097
Julia Wolov,1.0,0.00819299044151,1.0,0.00381315538608
Mitch McConnell,1.0,0.007737824305869999,1.0,0.00977121067684
Mike Pence,1.0,0.007737824305869999,1.0,0.00691134413727
Nancy Pelosi,1.0,0.007737824305869999,1.0,0.00857959961868
Helen Mirren,1.0,0.007737824305869999,1.0,0.00381315538608
Jimmy Fallon,1.0,0.007737824305869999,1.0,0.00786463298379
Breitbart,1.0,0.007737824305869999,1.0,0.00810295519542
Morgan Freeman,1.0,0.007737824305869999,1.0,0.0095328884652
John Oliver,1.0,0.007737824305869999,0.0,0.0
Viola Davis,1.0,0.007737824305869999,1.0,0.0030981887511900004
Gawker,1.0,0.007737824305869999,1.0,0.00571973307912
Bryan,1.0,0.007737824305869999,1.0,0.00428979980934
Tina Fey,1.0,0.007737824305869999,1.0,0.00428979980934
Ava DuVernay,1.0,0.007737824305869999,0.0,0.0
Claire Foy,1.0,0.007737824305869999,1.0,0.0071496663489
Portia de Rossi,1.0,0.007737824305869999,1.0,0.005004766444229999
Mia Farrow,1.0,0.007737824305869999,1.0,0.00285986653956
Les Moonves,1.0,0.007737824305869999,1.0,0.00571973307912
James Ivory,1.0,0.007737824305869999,1.0,0.00333651096282
Matt Zimmerman,1.0,0.007737824305869999,1.0,0.006196377502380001
Sallie Hofmeister,1.0,0.007737824305869999,0.0,0.0
Adam Venit,1.0,0.007737824305869999,1.0,0.00357483317445
Staci Wolfe,1.0,0.007737824305869999,1.0,0.005004766444229999
Dana Min Goodman,1.0,0.007737824305869999,1.0,0.00381315538608
Mary,1.0,0.007282658170229999,1.0,0.00357483317445
Steve Carell,1.0,0.007282658170229999,1.0,0.00357483317445
Michael Stuhlbarg,1.0,0.007282658170229999,0.0,0.0
HuffPost,1.0,0.007282658170229999,0.0,0.0
K. Brown,1.0,0.007282658170229999,1.0,0.0023832221163
Megyn Kelly,1.0,0.007282658170229999,1.0,0.00548141086749
Spike Lee,1.0,0.007282658170229999,0.0,0.0
Justin Timberlake,1.0,0.007282658170229999,0.0,0.0
Ronan,1.0,0.007282658170229999,1.0,0.00738798856053
Ewan McGregor,1.0,0.007282658170229999,1.0,0.005243088655859999
Paul Thomas Anderson,1.0,0.007282658170229999,1.0,0.0071496663489
Kobe Bryant,1.0,0.007282658170229999,0.0,0.0
Ashton Kutcher,1.0,0.007282658170229999,1.0,0.00810295519542
Saoirse Ronan,1.0,0.007282658170229999,1.0,0.00571973307912
James Levine,1.0,0.007282658170229999,1.0,0.00405147759771
Taron Egerton,1.0,0.007282658170229999,1.0,0.00452812202097
Kevin Winter/Getty,1.0,0.007282658170229999,0.0,0.0
Jackie Lacey,1.0,0.007282658170229999,1.0,0.00667302192564
Tommy Wiseau,1.0,0.007282658170229999,1.0,0.00357483317445
Andy Dick,1.0,0.007282658170229999,1.0,0.0047664442326
Gay Talese,1.0,0.007282658170229999,1.0,0.00405147759771
Michelle Pfeiffer,1.0,0.00682749203459,0.0,0.0
Jesus Christ,1.0,0.00682749203459,1.0,0.00285986653956
Guy Pearce,1.0,0.00682749203459,1.0,0.00357483317445
Michael Fallon,1.0,0.00682749203459,1.0,0.0095328884652
Oscar,1.0,0.00682749203459,1.0,0.005004766444229999
Michael Kelly,1.0,0.00682749203459,1.0,0.0112011439466
Jon Hamm,1.0,0.00682749203459,0.0,0.0
Jessica Lange,1.0,0.00682749203459,0.0,0.0
Bette,1.0,0.00682749203459,1.0,0.00285986653956
Hilarie Burton,1.0,0.00682749203459,1.0,0.0026215443279299995
Vic theatre,1.0,0.00682749203459,1.0,0.00691134413727
Maura Pfefferman,1.0,0.00682749203459,0.0,0.0
Lewis Kay,1.0,0.00682749203459,0.0,0.0
Bryan Freedman,1.0,0.00682749203459,0.0,0.0
Abby Schachner,1.0,0.00682749203459,0.0,0.0
Barack Obama,1.0,0.00637232589895,1.0,0.0169208770257
Jones,1.0,0.00637232589895,0.0,0.0
Margaret Atwood,1.0,0.00637232589895,1.0,0.0026215443279299995
Aaron Sorkin,1.0,0.00637232589895,1.0,0.00428979980934
Hannah,1.0,0.00637232589895,0.0,0.0
Geoffrey Rush,1.0,0.00637232589895,1.0,0.0030981887511900004
Chris Pizzello,1.0,0.00637232589895,0.0,0.0
Frazer,1.0,0.00637232589895,0.0,0.0
Jill Soloway,1.0,0.00637232589895,0.0,0.0
Gabriel Byrne,1.0,0.00637232589895,0.0,0.0
Terry Richardson,1.0,0.00637232589895,1.0,0.0071496663489
Larry Nassar,1.0,0.00637232589895,1.0,0.005004766444229999
Vic theater,1.0,0.00637232589895,1.0,0.00834127740705
Richard Shotwell,1.0,0.00637232589895,0.0,0.0
Louis C.K,1.0,0.00637232589895,1.0,0.00357483317445
Chris Savino,1.0,0.00637232589895,1.0,0.00834127740705
Heather Lind,1.0,0.00637232589895,0.0,0.0
Isa Hackett,1.0,0.00637232589895,0.0,0.0
Rebecca Corry,1.0,0.00637232589895,0.0,0.0
Leigh Corfman,1.0,0.00637232589895,1.0,0.0026215443279299995
Hillary,1.0,0.005917159763310001,1.0,0.011439466158200002
Jeff Sessions,1.0,0.005917159763310001,1.0,0.005243088655859999
Michael Jackson,1.0,0.005917159763310001,1.0,0.015490943755999999
Quentin Tarantino,1.0,0.005917159763310001,1.0,0.00452812202097
Amy Schumer,1.0,0.005917159763310001,0.0,0.0
Emma Roberts,1.0,0.005917159763310001,1.0,0.00428979980934
Ryan Murphy,1.0,0.005917159763310001,0.0,0.0
Lena Dunham,1.0,0.005917159763310001,1.0,0.00357483317445
Trevor Noah,1.0,0.005917159763310001,0.0,0.0
Donald Sutherland,1.0,0.005917159763310001,1.0,0.00452812202097
Cate Blanchett,1.0,0.005917159763310001,0.0,0.0
Woody Harrelson,1.0,0.005917159763310001,1.0,0.00571973307912
GQ,1.0,0.005917159763310001,0.0,0.0
Neil Patrick Harris,1.0,0.005917159763310001,1.0,0.0026215443279299995
Jezebel,1.0,0.005917159763310001,0.0,0.0
Maggie Gyllenhaal,1.0,0.005917159763310001,0.0,0.0
Kimmy Schmidt,1.0,0.005917159763310001,0.0,0.0
Rapp,1.0,0.005917159763310001,1.0,0.00333651096282
Katherine Langford,1.0,0.005917159763310001,0.0,0.0
Charlie Plummer,1.0,0.005917159763310001,1.0,0.00667302192564
David Giesbrecht/Netflix,1.0,0.005917159763310001,0.0,0.0
Willy Sanjuan,1.0,0.005917159763310001,0.0,0.0
Ron Levin,1.0,0.005917159763310001,1.0,0.00333651096282
Jordana Grolnick,1.0,0.005917159763310001,0.0,0.0
Wendy Riss Gatsiounis,1.0,0.005917159763310001,1.0,0.0030981887511900004
Aurélie Wynn,1.0,0.005917159763310001,0.0,0.0
Scott R. Brunton,1.0,0.005917159763310001,1.0,0.006434699714010001
George W. Bush,1.0,0.00546199362767,0.0,0.0
Harry Potter,1.0,0.00546199362767,1.0,0.00548141086749
Paul,1.0,0.00546199362767,1.0,0.0030981887511900004
Gloria Allred,1.0,0.00546199362767,1.0,0.00786463298379
Sidney Lumet,1.0,0.00546199362767,0.0,0.0
Annette Bening,1.0,0.00546199362767,1.0,0.0026215443279299995
Mariah Carey,1.0,0.00546199362767,1.0,0.00405147759771
Claire,1.0,0.00546199362767,1.0,0.00762631077216
Samantha Bee,1.0,0.00546199362767,0.0,0.0
Mike Blake,1.0,0.00546199362767,0.0,0.0
Ryan Seacrest,1.0,0.00546199362767,1.0,0.00381315538608
Charlie Sheen,1.0,0.00546199362767,1.0,0.014537654909399999
Kate McKinnon,1.0,0.00546199362767,0.0,0.0
Jason Bateman,1.0,0.00546199362767,1.0,0.0030981887511900004
Jenny McCarthy,1.0,0.00546199362767,1.0,0.0026215443279299995
George Papadopoulos,1.0,0.00546199362767,0.0,0.0
Bob Odenkirk,1.0,0.00546199362767,0.0,0.0
Frederick M. Brown/Getty,1.0,0.00546199362767,0.0,0.0
Jessica Biel,1.0,0.00546199362767,0.0,0.0
Macbeth,1.0,0.00546199362767,0.0,0.0
billy eichner,1.0,0.00546199362767,0.0,0.0
Julianna Margulies,1.0,0.00546199362767,0.0,0.0
Alison Brie,1.0,0.00546199362767,1.0,0.00357483317445
Argento,1.0,0.00546199362767,0.0,0.0
Mike Oreskes,1.0,0.00546199362767,0.0,0.0
Jordan Strauss,1.0,0.00546199362767,0.0,0.0
Katharine Towne,1.0,0.00546199362767,0.0,0.0
Jamie Ray Newman,1.0,0.00546199362767,0.0,0.0
Eri Sasaki,1.0,0.00546199362767,0.0,0.0
Tiffany Bacon Scourby,1.0,0.00546199362767,0.0,0.0
Keri Claussen Khalighi,1.0,0.00546199362767,1.0,0.0026215443279299995
