term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8270011947429999,2.0,0.100313479624
united states politics and government,7.0,0.49796893667900005,1.0,0.047021943573699994
crime and criminals,6.0,0.42915173237800003,4.0,0.327586206897
sex crimes,6.0,0.42270011947400005,4.0,0.316614420063
ethics,4.0,0.323536439665,1.0,0.0188087774295
women,4.0,0.31780167264000003,3.0,0.22257053291499998
elections,4.0,0.308960573477,1.0,0.0141065830721
sexual harassment,3.0,0.215053763441,1.0,0.0156739811912
"suspensions, dismissals and resignations",2.0,0.134528076464,0.0,0.0
news and news media,2.0,0.10728793309399999,1.0,0.0391849529781
law and legislation,2.0,0.0831541218638,1.0,0.012539184953
media,1.0,0.0762246117085,1.0,0.029780564263299995
finances,1.0,0.0757467144564,1.0,0.0156739811912
biographical information,1.0,0.073596176822,1.0,0.036050156739800006
television,1.0,0.059498207885300004,4.0,0.271159874608
presidents and presidency (us),1.0,0.05256869773,0.0,0.0
computers and the internet,1.0,0.04229390681,1.0,0.0579937304075
suits and litigation,1.0,0.0387096774194,1.0,0.009404388714729999
discrimination,1.0,0.038470728793300005,1.0,0.0172413793103
"armament, defense and military forces",1.0,0.0313022700119,1.0,0.010971786833899998
international relations,1.0,0.028434886499400003,1.0,0.009404388714729999
taxation,1.0,0.028195937873400002,0.0,0.0
appointments and executive changes,1.0,0.0277180406213,0.0,0.0
medicine and health,1.0,0.0250896057348,1.0,0.037617554858900004
labor,1.0,0.0250896057348,1.0,0.00626959247649
legislatures and parliaments,1.0,0.023655913978499997,0.0,0.0
election issues,1.0,0.021983273596200004,0.0,0.0
presidential elections (us),1.0,0.020310633213900003,0.0,0.0
united states international relations,1.0,0.0193548387097,1.0,0.00470219435737
blacks,1.0,0.0164874551971,1.0,0.025078369906
books and literature,1.0,0.015531660693,1.0,0.0658307210031
motion pictures,1.0,0.0152927120669,4.0,0.316614420063
united states armament and defense,1.0,0.0152927120669,0.0,0.0
advertising and marketing,1.0,0.0145758661888,1.0,0.007836990595609999
governors (us),1.0,0.0143369175627,0.0,0.0
editorials,1.0,0.0143369175627,0.0,0.0
primaries,1.0,0.014097968936700001,0.0,0.0
public opinion,1.0,0.012425328554400001,0.0,0.0
radio,1.0,0.011469534050200002,0.0,0.0
education and schools,1.0,0.0112305854241,1.0,0.0313479623824
homosexuality,1.0,0.0112305854241,1.0,0.007836990595609999
terrorism,1.0,0.010513739546,1.0,0.00626959247649
budgets and budgeting,1.0,0.0100358422939,0.0,0.0
sex,1.0,0.009557945041819999,2.0,0.10658307210000001
quotation of the day,1.0,0.00908004778973,0.0,0.0
reviews,1.0,0.00836320191159,2.0,0.12539184953
courts,1.0,0.00764635603345,0.0,0.0
religion and churches,1.0,0.00716845878136,0.0,0.0
lobbying and lobbyists,1.0,0.00716845878136,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00621266427718,0.0,0.0
comedy and humor,1.0,0.00597371565114,1.0,0.0485893416928
judges,1.0,0.00597371565114,0.0,0.0
privacy,1.0,0.005256869773,0.0,0.0
immigration and refugees,1.0,0.00501792114695,1.0,0.012539184953
impeachment,1.0,0.00501792114695,0.0,0.0
colleges and universities,1.0,0.004778972520909999,1.0,0.010971786833899998
abortion,1.0,0.004540023894859999,0.0,0.0
telephones and telecommunications,1.0,0.00430107526882,0.0,0.0
insurance,1.0,0.00406212664277,0.0,0.0
demonstrations and riots,1.0,0.00406212664277,1.0,0.007836990595609999
children and youth,1.0,0.00406212664277,1.0,0.007836990595609999
decisions and verdicts,1.0,0.0038231780167299998,0.0,0.0
theater,1.0,0.0038231780167299998,1.0,0.064263322884
antitrust actions and laws,1.0,0.0033452807646399997,0.0,0.0
"awards, decorations and honors",0.0,0.0,2.0,0.130094043887
academy awards (oscars),0.0,0.0,1.0,0.0313479623824
documentary films and programs,0.0,0.0,1.0,0.025078369906
apparel,0.0,0.0,1.0,0.0172413793103
prostitution,0.0,0.0,1.0,0.010971786833899998
music,0.0,0.0,1.0,0.010971786833899998
festivals,0.0,0.0,1.0,0.007836990595609999
basketball,0.0,0.0,1.0,0.00626959247649
travel and vacations,0.0,0.0,1.0,0.00626959247649
illegal aliens,0.0,0.0,1.0,0.00470219435737
diseases and conditions,0.0,0.0,1.0,0.00470219435737
football,0.0,0.0,1.0,0.00470219435737
pornography and obscenity,0.0,0.0,1.0,0.00470219435737
child abuse and neglect,0.0,0.0,1.0,0.00470219435737
parties (social),0.0,0.0,1.0,0.00470219435737
freedom and human rights,0.0,0.0,1.0,0.00470219435737
