term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.551493428913,2.0,0.0712704736609
Congress,7.0,0.339545997611,1.0,0.049579459938
House,5.0,0.241816009558,1.0,0.0270030987162
White House,4.0,0.20047789725200002,2.0,0.06994245241260001
GOP,4.0,0.193548387097,1.0,0.0358565737052
CNN,4.0,0.181362007168,2.0,0.07259849490930001
New York Times,3.0,0.147192353644,3.0,0.125719344843
Washington Post,3.0,0.138829151732,2.0,0.0668437361664
Fox News,2.0,0.09557945041819998,2.0,0.083222664896
NBC,2.0,0.09510155316610001,2.0,0.0734838424081
Supreme Court,2.0,0.0836320191159,2.0,0.0996015936255
Alabama Senate,2.0,0.0778972520908,1.0,0.00398406374502
Facebook,2.0,0.0755077658303,1.0,0.050464807436899996
FBI,2.0,0.0719235364397,1.0,0.04825143868969999
Republican,2.0,0.06666666666669999,1.0,0.011952191235100001
Democratic Party,2.0,0.06356033452809999,1.0,0.00796812749004
AP,2.0,0.0621266427718,2.0,0.0779105799026
Senate Judiciary Committee,2.0,0.0597371565114,1.0,0.036299247454599996
Republican Party,2.0,0.0597371565114,1.0,0.00619743249225
Trump,2.0,0.059498207885300004,1.0,0.0199203187251
Capitol Hill,2.0,0.0583034647551,1.0,0.0110668437362
U.S. Senate,1.0,0.0547192353644,1.0,0.00708277999115
Associated Press,1.0,0.0530465949821,2.0,0.0916334661355
Senate Ethics Committee,1.0,0.052090800477900004,0.0,0.0
Democratic,1.0,0.051851851851900006,1.0,0.00398406374502
Justice Department,1.0,0.05137395459980001,1.0,0.015493581230600002
CBS,1.0,0.05137395459980001,1.0,0.0478087649402
Politico,1.0,0.0501792114695,1.0,0.00885347498893
Reuters,1.0,0.04826762246119999,2.0,0.0650730411687
MSNBC,1.0,0.048028673835100004,1.0,0.0301018149624
NBC News,1.0,0.043010752688199996,1.0,0.0323151837096
House Judiciary Committee,1.0,0.0391875746714,1.0,0.00354138999557
Google,1.0,0.0375149342891,1.0,0.0190349712262
Republican National Committee,1.0,0.0375149342891,1.0,0.0066401062417
House of Representatives,1.0,0.0360812425329,1.0,0.00309871624613
House Ethics Committee,1.0,0.033452807646400004,0.0,0.0
Trump administration,1.0,0.0332138590203,1.0,0.011952191235100001
Judiciary Committee,1.0,0.032735961768200005,1.0,0.0132802124834
CBS News,1.0,0.0298685782557,1.0,0.021691013722900002
Democratic National Committee,1.0,0.0291517323775,0.0,0.0
ABC,1.0,0.028912783751500002,1.0,0.0327578574591
Bloomberg,1.0,0.0286738351254,1.0,0.00796812749004
Post,1.0,0.0286738351254,1.0,0.00885347498893
RNC,1.0,0.0270011947431,1.0,0.0048694112439099995
Times,1.0,0.025806451612900003,1.0,0.0256750774679
Wall Street Journal,1.0,0.025806451612900003,1.0,0.015493581230600002
DNC,1.0,0.024850657108700002,0.0,0.0
PBS,1.0,0.024850657108700002,1.0,0.00841080123949
Ethics Committee,1.0,0.024850657108700002,0.0,0.0
Al Franken,1.0,0.023894862604499998,0.0,0.0
KABC,1.0,0.023655913978499997,0.0,0.0
