term,a1_bin,a1_perc,a2_bin,a2_perc
franken,4.0,0.36200000000000004,0.0,0.0
allegations,3.0,0.29,1.0,0.083
democrats,2.0,0.129,0.0,0.0
trump,2.0,0.11699999999999999,1.0,0.025
senate,2.0,0.11599999999999999,1.0,0.002
moore,1.0,0.094,1.0,0.002
harassment,1.0,0.092,1.0,0.013000000000000001
resign,1.0,0.083,0.0,0.0
misconduct,1.0,0.07200000000000001,1.0,0.027999999999999997
alabama,1.0,0.069,0.0,0.0
republican,1.0,0.068,1.0,0.001
roy,1.0,0.048,1.0,0.001
tweeden,1.0,0.047,0.0,0.0
groping,1.0,0.043,0.0,0.0
accusations,1.0,0.043,0.0,0.0
minnesota,1.0,0.04,0.0,0.0
weinstein,1.0,0.031,1.0,0.026000000000000002
apologized,1.0,0.031,1.0,0.006999999999999999
campaign,1.0,0.03,1.0,0.006
election,1.0,0.028999999999999998,0.0,0.0
d-minn,1.0,0.028999999999999998,0.0,0.0
conyers,1.0,0.027000000000000003,0.0,0.0
clinton,1.0,0.027000000000000003,1.0,0.013000000000000001
assault,1.0,0.026000000000000002,3.0,0.235
washington,1.0,0.025,1.0,0.004
kissing,1.0,0.025,0.0,0.0
inappropriate,1.0,0.024,1.0,0.004
congress,1.0,0.024,0.0,0.0
leeann,1.0,0.023,0.0,0.0
photo,1.0,0.022000000000000002,1.0,0.011000000000000001
media,1.0,0.021,1.0,0.015
lawmakers,1.0,0.019,0.0,0.0
jones,1.0,0.019,0.0,0.0
john,1.0,0.019,1.0,0.003
tax,1.0,0.017,1.0,0.003
victims,1.0,0.016,0.0,0.0
teenagers,1.0,0.016,0.0,0.0
judge,1.0,0.016,1.0,0.06
investigating,1.0,0.016,0.0,0.0
sexually,1.0,0.015,1.0,0.051
harvey,1.0,0.015,1.0,0.017
gillibrand,1.0,0.015,0.0,0.0
calling,1.0,0.015,1.0,0.01
american,1.0,0.015,1.0,0.012
uso,1.0,0.013999999999999999,0.0,0.0
forcibly,1.0,0.013999999999999999,0.0,0.0
abuse,1.0,0.013999999999999999,1.0,0.021
tweet,1.0,0.013000000000000001,1.0,0.005
presidential,1.0,0.012,1.0,0.003
politico,1.0,0.012,0.0,0.0
obama,1.0,0.012,0.0,0.0
gop,1.0,0.012,0.0,0.0
cnn,1.0,0.012,1.0,0.002
touching,1.0,0.011000000000000001,1.0,0.001
supporters,1.0,0.011000000000000001,1.0,0.003
poll,1.0,0.011000000000000001,0.0,0.0
farenthold,1.0,0.011000000000000001,0.0,0.0
doug,1.0,0.011000000000000001,0.0,0.0
donald,1.0,0.011000000000000001,1.0,0.01
conservative,1.0,0.011000000000000001,0.0,0.0
staffer,1.0,0.01,0.0,0.0
rape,1.0,0.01,1.0,0.031
pelosi,1.0,0.01,0.0,0.0
los,1.0,0.01,1.0,0.004
leader,1.0,0.01,0.0,0.0
joe,1.0,0.01,1.0,0.002
credible,1.0,0.01,0.0,0.0
complaint,1.0,0.01,1.0,0.004
capitol,1.0,0.01,0.0,0.0
angeles,1.0,0.01,1.0,0.004
twitter,1.0,0.009000000000000001,1.0,0.004
sanders,1.0,0.009000000000000001,0.0,0.0
keillor,1.0,0.009000000000000001,0.0,0.0
defends,1.0,0.009000000000000001,0.0,0.0
child,1.0,0.009000000000000001,0.0,0.0
30s,1.0,0.009000000000000001,0.0,0.0
snl,1.0,0.008,0.0,0.0
sleeping,1.0,0.008,0.0,0.0
russia,1.0,0.008,1.0,0.001
pursued,1.0,0.008,0.0,0.0
photograph,1.0,0.008,0.0,0.0
jokes,1.0,0.008,1.0,0.005
incidents,1.0,0.008,1.0,0.003
bush,1.0,0.008,0.0,0.0
united,1.0,0.006999999999999999,1.0,0.002
smith,1.0,0.006999999999999999,0.0,0.0
schneiderman,1.0,0.006999999999999999,0.0,0.0
scandal,1.0,0.006999999999999999,1.0,0.005
rally,1.0,0.006999999999999999,0.0,0.0
president's,1.0,0.006999999999999999,0.0,0.0
nbc,1.0,0.006999999999999999,1.0,0.006
menz,1.0,0.006999999999999999,0.0,0.0
kavanaugh,1.0,0.006999999999999999,1.0,0.006999999999999999
initiating,1.0,0.006999999999999999,0.0,0.0
improper,1.0,0.006999999999999999,0.0,0.0
endorsed,1.0,0.006999999999999999,0.0,0.0
chuck,1.0,0.006999999999999999,0.0,0.0
breasts,1.0,0.006999999999999999,0.0,0.0
anchor,1.0,0.006999999999999999,0.0,0.0
aides,1.0,0.006999999999999999,0.0,0.0
advances,1.0,0.006999999999999999,1.0,0.005
skit,1.0,0.006,0.0,0.0
sarah,1.0,0.006,0.0,0.0
reverse,1.0,0.006,1.0,0.001
probe,1.0,0.006,0.0,0.0
nominee,1.0,0.006,1.0,0.003
matt,1.0,0.006,1.0,0.006999999999999999
louis,1.0,0.006,1.0,0.002
judiciary,1.0,0.006,0.0,0.0
franks,1.0,0.006,0.0,0.0
fox,1.0,0.006,1.0,0.006999999999999999
discrimination,1.0,0.006,0.0,0.0
denies,1.0,0.006,0.0,0.0
david,1.0,0.006,0.0,0.0
consent,1.0,0.006,1.0,0.005
condemnation,1.0,0.006,0.0,0.0
comedian,1.0,0.006,1.0,0.067
cbs,1.0,0.006,1.0,0.002
blake,1.0,0.006,0.0,0.0
alex,1.0,0.006,0.0,0.0
year's,1.0,0.005,0.0,0.0
wrongdoing,1.0,0.005,1.0,0.004
workplace,1.0,0.005,1.0,0.001
wins,1.0,0.005,0.0,0.0
weighing,1.0,0.005,1.0,0.002
unwanted,1.0,0.005,0.0,0.0
tina,1.0,0.005,0.0,0.0
texas,1.0,0.005,0.0,0.0
surfaced,1.0,0.005,0.0,0.0
speaks,1.0,0.005,1.0,0.003
seats,1.0,0.005,1.0,0.001
reporting,1.0,0.005,0.0,0.0
rehearsal,1.0,0.005,0.0,0.0
peter,1.0,0.005,0.0,0.0
offended,1.0,0.005,0.0,0.0
nancy,1.0,0.005,0.0,0.0
molester,1.0,0.005,0.0,0.0
mcconnell,1.0,0.005,0.0,0.0
longtime,1.0,0.005,0.0,0.0
liberals,1.0,0.005,0.0,0.0
leveled,1.0,0.005,1.0,0.003
leann,1.0,0.005,0.0,0.0
lawsuit,1.0,0.005,1.0,0.017
jonathan,1.0,0.005,0.0,0.0
jeff,1.0,0.005,0.0,0.0
inquiry,1.0,0.005,0.0,0.0
huffpost,1.0,0.005,0.0,0.0
hillary,1.0,0.005,1.0,0.003
high-profile,1.0,0.005,1.0,0.005
grabbing,1.0,0.005,0.0,0.0
george,1.0,0.005,0.0,0.0
ford,1.0,0.005,0.0,0.0
fbi,1.0,0.005,0.0,0.0
facebook,1.0,0.005,0.0,0.0
entertainer,1.0,0.005,1.0,0.006
embarrassed,1.0,0.005,0.0,0.0
disrespectful,1.0,0.005,0.0,0.0
deserve,1.0,0.005,0.0,0.0
dayton,1.0,0.005,0.0,0.0
criticized,1.0,0.005,1.0,0.002
congressman,1.0,0.005,0.0,0.0
california,1.0,0.005,1.0,0.006
broadcaster,1.0,0.005,0.0,0.0
bernie,1.0,0.005,0.0,0.0
announcing,1.0,0.005,0.0,0.0
adviser,1.0,0.005,1.0,0.003
acknowledged,1.0,0.005,1.0,0.003
women's,1.0,0.004,1.0,0.019
warren,1.0,0.004,0.0,0.0
vacated,1.0,0.004,0.0,0.0
university,1.0,0.004,1.0,0.035
thanksgiving,1.0,0.004,0.0,0.0
stahl,1.0,0.004,0.0,0.0
ryan,1.0,0.004,1.0,0.002
richard,1.0,0.004,0.0,0.0
repeatedly,1.0,0.004,1.0,0.001
punishing,1.0,0.004,0.0,0.0
proven,1.0,0.004,1.0,0.001
predator,1.0,0.004,1.0,0.031
posed,1.0,0.004,0.0,0.0
performing,1.0,0.004,0.0,0.0
pence,1.0,0.004,0.0,0.0
paul,1.0,0.004,0.0,0.0
party's,1.0,0.004,0.0,0.0
outlets,1.0,0.004,1.0,0.004
online,1.0,0.004,0.0,0.0
nominated,1.0,0.004,0.0,0.0
momentum,1.0,0.004,0.0,0.0
minneapolis,1.0,0.004,0.0,0.0
mike,1.0,0.004,1.0,0.002
michigan,1.0,0.004,0.0,0.0
michael,1.0,0.004,1.0,0.005
margin,1.0,0.004,0.0,0.0
lesley,1.0,0.004,0.0,0.0
kozinski,1.0,0.004,0.0,0.0
kirsten,1.0,0.004,0.0,0.0
kevin,1.0,0.004,1.0,0.012
journalist,1.0,0.004,0.0,0.0
james,1.0,0.004,1.0,0.005
interactive,1.0,0.004,1.0,0.002
ignore,1.0,0.004,0.0,0.0
garrison,1.0,0.004,0.0,0.0
fundraising,1.0,0.004,0.0,0.0
false,1.0,0.004,1.0,0.012
fake,1.0,0.004,0.0,0.0
dismissal,1.0,0.004,0.0,0.0
denial,1.0,0.004,0.0,0.0
d-mn,1.0,0.004,0.0,0.0
criminals,1.0,0.004,0.0,0.0
crimes,1.0,0.004,1.0,0.013999999999999999
cosby,1.0,0.004,10.0,1.0590000000000002
cooperate,1.0,0.004,0.0,0.0
controversial,1.0,0.004,0.0,0.0
consult,1.0,0.004,0.0,0.0
constituents,1.0,0.004,0.0,0.0
confronting,1.0,0.004,1.0,0.002
confirmation,1.0,0.004,0.0,0.0
children,1.0,0.004,0.0,0.0
challenger,1.0,0.004,0.0,0.0
celebrity,1.0,0.004,1.0,0.024
caucus,1.0,0.004,0.0,0.0
buttocks,1.0,0.004,0.0,0.0
boies,1.0,0.004,0.0,0.0
bloomberg,1.0,0.004,0.0,0.0
baker,1.0,0.004,0.0,0.0
ap,1.0,0.004,1.0,0.003
allred,1.0,0.004,1.0,0.009000000000000001
allen,1.0,0.004,1.0,0.002
aggressively,1.0,0.004,0.0,0.0
aftermath,1.0,0.004,0.0,0.0
addressing,1.0,0.004,1.0,0.002
accountable,1.0,0.004,0.0,0.0
wynn,1.0,0.003,1.0,0.001
writer,1.0,0.003,1.0,0.004
winner,1.0,0.003,0.0,0.0
willingly,1.0,0.003,1.0,0.002
warner,1.0,0.003,1.0,0.001
virginia,1.0,0.003,1.0,0.001
violence,1.0,0.003,1.0,0.001
victory,1.0,0.003,1.0,0.013000000000000001
vegas,1.0,0.003,1.0,0.004
vacancy,1.0,0.003,0.0,0.0
underage,1.0,0.003,0.0,0.0
uncomfortable,1.0,0.003,1.0,0.002
tv,1.0,0.003,1.0,0.019
tribune,1.0,0.003,0.0,0.0
trent,1.0,0.003,0.0,0.0
todd,1.0,0.003,0.0,0.0
testify,1.0,0.003,0.0,0.0
tech,1.0,0.003,1.0,0.001
tapped,1.0,0.003,0.0,0.0
swiftly,1.0,0.003,1.0,0.001
surgery,1.0,0.003,0.0,0.0
supreme,1.0,0.003,1.0,0.003
suggesting,1.0,0.003,1.0,0.003
submit,1.0,0.003,1.0,0.001
steve,1.0,0.003,1.0,0.001
stance,1.0,0.003,0.0,0.0
spelling,1.0,0.003,0.0,0.0
shifted,1.0,0.003,0.0,0.0
sector,1.0,0.003,0.0,0.0
scott,1.0,0.003,0.0,0.0
santa's,1.0,0.003,0.0,0.0
russians,1.0,0.003,0.0,0.0
roger,1.0,0.003,1.0,0.002
robert,1.0,0.003,1.0,0.002
rnc,1.0,0.003,0.0,0.0
rick,1.0,0.003,0.0,0.0
revisit,1.0,0.003,0.0,0.0
revelation,1.0,0.003,1.0,0.002
reuters,1.0,0.003,1.0,0.006
retiring,1.0,0.003,0.0,0.0
regain,1.0,0.003,0.0,0.0
pushing,1.0,0.003,1.0,0.001
propositioned,1.0,0.003,0.0,0.0
progressive,1.0,0.003,0.0,0.0
producer,1.0,0.003,0.0,0.0
proceed,1.0,0.003,1.0,0.003
pretending,1.0,0.003,0.0,0.0
poised,1.0,0.003,0.0,0.0
plumbers,1.0,0.003,0.0,0.0
papadopoulos,1.0,0.003,0.0,0.0
outset,1.0,0.003,0.0,0.0
ousted,1.0,0.003,0.0,0.0
orange,1.0,0.003,0.0,0.0
opponent,1.0,0.003,0.0,0.0
npr,1.0,0.003,0.0,0.0
noting,1.0,0.003,1.0,0.003
naughty,1.0,0.003,0.0,0.0
nation's,1.0,0.003,1.0,0.002
mounting,1.0,0.003,0.0,0.0
mocks,1.0,0.003,0.0,0.0
mitch,1.0,0.003,0.0,0.0
mistreating,1.0,0.003,0.0,0.0
minnesotans,1.0,0.003,0.0,0.0
messages,1.0,0.003,0.0,0.0
manchin,1.0,0.003,0.0,0.0
lindsay,1.0,0.003,0.0,0.0
legally,1.0,0.003,1.0,0.003
lauren,1.0,0.003,0.0,0.0
launch,1.0,0.003,0.0,0.0
latvala,1.0,0.003,0.0,0.0
las,1.0,0.003,1.0,0.004
kihuen,1.0,0.003,0.0,0.0
kelly,1.0,0.003,1.0,0.006
kabc,1.0,0.003,0.0,0.0
joining,1.0,0.003,1.0,0.002
johnson,1.0,0.003,1.0,0.003
internet,1.0,0.003,0.0,0.0
intent,1.0,0.003,0.0,0.0
icon,1.0,0.003,1.0,0.005
huffington,1.0,0.003,0.0,0.0
hostile,1.0,0.003,0.0,0.0
honoring,1.0,0.003,0.0,0.0
headlines,1.0,0.003,1.0,0.003
harlow,1.0,0.003,0.0,0.0
grinning,1.0,0.003,0.0,0.0
greene,1.0,0.003,0.0,0.0
funny,1.0,0.003,0.0,0.0
funding,1.0,0.003,0.0,0.0
executives,1.0,0.003,0.0,0.0
engaging,1.0,0.003,0.0,0.0
donor,1.0,0.003,0.0,0.0
donations,1.0,0.003,0.0,0.0
dodged,1.0,0.003,0.0,0.0
diversity,1.0,0.003,0.0,0.0
disclose,1.0,0.003,0.0,0.0
dickerson,1.0,0.003,0.0,0.0
devos,1.0,0.003,0.0,0.0
