term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,7.0,0.551493428913,7.0,0.5264651624800001
Congress,5.0,0.339545997611,2.0,0.160777635873
House,3.0,0.241816009558,1.0,0.07776358734210001
White House,3.0,0.20047789725200002,4.0,0.273733503619
GOP,3.0,0.193548387097,3.0,0.179154250035
CNN,3.0,0.181362007168,2.0,0.119767276855
New York Times,2.0,0.147192353644,2.0,0.111394919824
Washington Post,2.0,0.138829151732,2.0,0.123882503193
Fox News,2.0,0.09557945041819998,2.0,0.102171136654
NBC,2.0,0.09510155316610001,1.0,0.042003689513300003
Supreme Court,2.0,0.0836320191159,10.0,0.829289059174
Alabama Senate,1.0,0.0778972520908,0.0,0.0
Facebook,1.0,0.0755077658303,1.0,0.0332056194125
FBI,1.0,0.0719235364397,4.0,0.266496381439
Republican,1.0,0.06666666666669999,1.0,0.058464594863099996
Democratic Party,1.0,0.06356033452809999,1.0,0.027316588619300003
AP,1.0,0.0621266427718,1.0,0.0441322548602
Senate Judiciary Committee,1.0,0.0597371565114,5.0,0.37207322264799997
Republican Party,1.0,0.0597371565114,1.0,0.030793245352599998
Trump,1.0,0.059498207885300004,1.0,0.0488860508018
Capitol Hill,1.0,0.0583034647551,1.0,0.031218958422
U.S. Senate,1.0,0.0547192353644,1.0,0.028380871292699998
Associated Press,1.0,0.0530465949821,1.0,0.0433517808997
Senate Ethics Committee,1.0,0.052090800477900004,0.0,0.0
Democratic,1.0,0.051851851851900006,1.0,0.027600397332200002
Justice Department,1.0,0.05137395459980001,1.0,0.044841776642500004
CBS,1.0,0.05137395459980001,1.0,0.0341279977295
Politico,1.0,0.0501792114695,1.0,0.021356605647800002
Reuters,1.0,0.04826762246119999,1.0,0.0500922378317
MSNBC,1.0,0.048028673835100004,1.0,0.0301546757485
NBC News,1.0,0.043010752688199996,1.0,0.0398041719881
House Judiciary Committee,1.0,0.0391875746714,1.0,0.0078047396055099996
Google,1.0,0.0375149342891,1.0,0.014899957428700003
Republican National Committee,1.0,0.0375149342891,1.0,0.0055342699020900004
House of Representatives,1.0,0.0360812425329,1.0,0.0173832836668
House Ethics Committee,1.0,0.033452807646400004,0.0,0.0
Trump administration,1.0,0.0332138590203,1.0,0.0348375195118
Judiciary Committee,1.0,0.032735961768200005,2.0,0.13161629062000002
CBS News,1.0,0.0298685782557,1.0,0.020576131687200003
Democratic National Committee,1.0,0.0291517323775,1.0,0.007449978714350001
ABC,1.0,0.028912783751500002,1.0,0.0219951752519
Bloomberg,1.0,0.0286738351254,1.0,0.0207180360437
Post,1.0,0.0286738351254,1.0,0.019228040300799998
RNC,1.0,0.0270011947431,1.0,0.0062437916844
Times,1.0,0.025806451612900003,1.0,0.0178799489144
Wall Street Journal,1.0,0.025806451612900003,1.0,0.026890875549900002
DNC,1.0,0.024850657108700002,1.0,0.00808854831843
PBS,1.0,0.024850657108700002,1.0,0.00404427415922
Ethics Committee,1.0,0.024850657108700002,0.0,0.0
Al Franken,1.0,0.023894862604499998,0.0,0.0
