term,a1_bin,a1_perc,a2_bin,a2_perc
Al Franken,10.0,0.9689366786139999,1.0,0.0082304526749
Roy Moore,4.0,0.33715651134999997,1.0,0.00964949623953
Donald Trump,3.0,0.278614097969,4.0,0.371647509579
Trump,3.0,0.19832735961800002,3.0,0.21548176529
Leeann Tweeden,2.0,0.17037037037,0.0,0.0
Harvey Weinstein,2.0,0.165591397849,1.0,0.013764722577
John Conyers,2.0,0.165113500597,0.0,0.0
Hillary Clinton,2.0,0.132138590203,1.0,0.06272172555700001
Mitch McConnell,2.0,0.11158900836300001,2.0,0.120760607351
Kirsten Gillibrand,2.0,0.10633213858999999,1.0,0.0121328224777
Bill Clinton,2.0,0.104181600956,1.0,0.0579679296154
Doug Jones,2.0,0.09844683393069999,1.0,0.00972044841777
Nancy Pelosi,1.0,0.08697729988050001,1.0,0.019582801192
Tina Smith,1.0,0.0805256869773,1.0,0.00227046970342
Paul Ryan,1.0,0.0681003584229,1.0,0.0132680573294
Jeff Sessions,1.0,0.0671445639188,1.0,0.021356605647800002
Trent Franks,1.0,0.06547192353640001,0.0,0.0
Blake Farenthold,1.0,0.06427718040620001,0.0,0.0
Barack Obama,1.0,0.06284348864990001,1.0,0.0622250603094
Chuck Schumer,1.0,0.06260454002390001,1.0,0.06052220803180001
Matt Lauer,1.0,0.0575866188769,0.0,0.0
Bernie Sanders,1.0,0.0561529271207,1.0,0.0164609053498
Charlie Rose,1.0,0.0532855436081,0.0,0.0
Robert Mueller,1.0,0.0530465949821,1.0,0.0495955725841
Amy Klobuchar,1.0,0.049701314217400004,1.0,0.0232013622818
Obama,1.0,0.046833930704899995,1.0,0.0358308500071
Mark Dayton,1.0,0.0446833930705,0.0,0.0
Kevin Spacey,1.0,0.044444444444399996,0.0,0.0
Sarah Huckabee Sanders,1.0,0.0399044205496,1.0,0.0150418617852
Ruben Kihuen,1.0,0.038470728793300005,0.0,0.0
Steve Bannon,1.0,0.0382317801673,1.0,0.007237122179649999
Louis C.K.,1.0,0.0382317801673,1.0,0.00241237405988
George W. Bush,1.0,0.037753882915199995,1.0,0.0847878529871
Jackie Speier,1.0,0.036559139784900004,0.0,0.0
Jeff Flake,1.0,0.0360812425329,2.0,0.109408258834
Elizabeth Warren,1.0,0.0358422939068,1.0,0.017312331488599998
John Conyers Jr.,1.0,0.0346475507766,0.0,0.0
Monica Lewinsky,1.0,0.034408602150500005,1.0,0.0139066269334
Lindsay Menz,1.0,0.0336917562724,0.0,0.0
Susan Collins,1.0,0.033452807646400004,2.0,0.127359159926
John McCain,1.0,0.0322580645161,1.0,0.031360862778500004
Bob Corker,1.0,0.031541218637999996,1.0,0.020788988221900003
Ted Cruz,1.0,0.029629629629599998,1.0,0.031502767135
Kamala Harris,1.0,0.0293906810036,1.0,0.035263232581199996
Patty Murray,1.0,0.0286738351254,1.0,0.00603093514971
Brett Kavanaugh,1.0,0.0286738351254,10.0,0.9824748119769999
Claire McCaskill,1.0,0.0267622461171,1.0,0.0166737618845
Vladimir Putin,1.0,0.026523297491000002,1.0,0.0178799489144
Mike Pence,1.0,0.026284348865,1.0,0.029374201787999998
Kellyanne Conway,1.0,0.0255675029869,1.0,0.020647083865499998
Jared Kushner,1.0,0.0253285543608,1.0,0.006811409110260001
Cory Booker,1.0,0.0253285543608,1.0,0.039378458918699996
Clarence Thomas,1.0,0.0250896057348,1.0,0.0720164609053
Lindsey Graham,1.0,0.024850657108700002,1.0,0.06882361288489999
Dianne Feinstein,1.0,0.0246117084827,2.0,0.118419185469
Michael Flynn,1.0,0.024133811230599996,1.0,0.00411522633745
Joe Biden,1.0,0.023894862604499998,1.0,0.017738044558000002
Tammy Baldwin,1.0,0.0234169653524,1.0,0.00525046118916
Chuck Grassley,1.0,0.0234169653524,2.0,0.124521072797
Anita Hill,1.0,0.0234169653524,1.0,0.0558393642685
Keith Ellison,1.0,0.0231780167264,1.0,0.0078047396055099996
James Comey,1.0,0.021983273596200004,1.0,0.012558535547
Clintons,1.0,0.0217443249701,1.0,0.0183766141621
Donald Trump Jr.,1.0,0.021266427718,1.0,0.00972044841777
Paul Manafort,1.0,0.021266427718,1.0,0.0153256704981
Dick Durbin,1.0,0.021266427718,1.0,0.025258975450499998
Roger Ailes,1.0,0.021266427718,1.0,0.0030509436639699996
Barbara Comstock,1.0,0.020788530465900002,1.0,0.0025542784163499997
Mitt Romney,1.0,0.020310633213900003,1.0,0.00411522633745
Mark Halperin,1.0,0.020310633213900003,0.0,0.0
Garrison Keillor,1.0,0.020310633213900003,0.0,0.0
Sarah Sanders,1.0,0.0200716845878,1.0,0.0138356747552
Joe Manchin,1.0,0.019832735961799998,1.0,0.0564779338726
Mazie Hirono,1.0,0.0193548387097,1.0,0.028593727827400002
George Papadopoulos,1.0,0.0191158900836,0.0,0.0
Fox,1.0,0.018876941457599997,1.0,0.0183766141621
Lesley Stahl,1.0,0.018876941457599997,0.0,0.0
Orrin Hatch,1.0,0.0186379928315,1.0,0.0390236980275
Joe Barton,1.0,0.0186379928315,0.0,0.0
Mick Mulvaney,1.0,0.0181600955795,1.0,0.00290903930751
Ivanka Trump,1.0,0.0169653524492,1.0,0.00567617425855
Maggie Hassan,1.0,0.0169653524492,1.0,0.00227046970342
Sherrod Brown,1.0,0.0169653524492,1.0,0.00411522633745
Tim Pawlenty,1.0,0.0169653524492,0.0,0.0
Patrick Leahy,1.0,0.016726403823200002,1.0,0.0209308925784
Christine Blasey Ford,1.0,0.016726403823200002,5.0,0.416489286221
Nikki Haley,1.0,0.0162485065711,1.0,0.007166170001420001
George H.W. Bush,1.0,0.0162485065711,1.0,0.010429970200100001
Lisa Murkowski,1.0,0.015770609318999998,1.0,0.08627784873
Joe Donnelly,1.0,0.015531660693,1.0,0.0327799063431
Bill Cosby,1.0,0.0152927120669,1.0,0.010713778913
Tim Kaine,1.0,0.0150537634409,1.0,0.00411522633745
Marco Rubio,1.0,0.014814814814799999,1.0,0.006456648219100001
Jeff Merkley,1.0,0.014814814814799999,1.0,0.00510855683269
Paul D. Ryan,1.0,0.0145758661888,0.0,0.0
Ronald Reagan,1.0,0.0143369175627,1.0,0.0168866184192
Sean Hannity,1.0,0.0143369175627,1.0,0.00972044841777
Richard Blumenthal,1.0,0.0143369175627,1.0,0.0311480062438
Jake Tapper,1.0,0.0143369175627,1.0,0.0082304526749
Glenn Thrush,1.0,0.014097968936700001,0.0,0.0
— Donald J. Trump,1.0,0.014097968936700001,1.0,0.0033347523769
Breitbart,1.0,0.0138590203106,1.0,0.005321413367390001
Leann Tweeden,1.0,0.013620071684600001,0.0,0.0
Kim Jong Un,1.0,0.013381123058499998,1.0,0.00893997445722
Rod Rosenstein,1.0,0.013381123058499998,1.0,0.0236980275294
Tom Perez,1.0,0.0131421744325,0.0,0.0
Heidi Heitkamp,1.0,0.0131421744325,1.0,0.0417908329786
Karin Housley,1.0,0.0129032258065,0.0,0.0
Leigh Corfman,1.0,0.0129032258065,0.0,0.0
John Kelly,1.0,0.0126642771804,1.0,0.00709521782319
Juanita Broaddrick,1.0,0.0126642771804,1.0,0.0030509436639699996
Rex Tillerson,1.0,0.012425328554400001,0.0,0.0
Neil Gorsuch,1.0,0.012425328554400001,1.0,0.0744288349652
Sergey Kislyak,1.0,0.012425328554400001,0.0,0.0
Debbie Stabenow,1.0,0.012425328554400001,1.0,0.00227046970342
Bob Casey,1.0,0.0119474313023,1.0,0.00404427415922
Richard Shelby,1.0,0.0119474313023,1.0,0.0030509436639699996
BuzzFeed,1.0,0.0119474313023,1.0,0.00283808712927
Weinstein,1.0,0.0119474313023,0.0,0.0
Stephanie Kemplin,1.0,0.0119474313023,0.0,0.0
Clinton,1.0,0.0117084826762,1.0,0.0133390095076
Bob Menendez,1.0,0.0117084826762,1.0,0.00383141762452
Russell Simmons,1.0,0.0117084826762,0.0,0.0
Arnold Reed,1.0,0.0117084826762,0.0,0.0
Betsy DeVos,1.0,0.011469534050200002,1.0,0.0031218958422
Eric Schneiderman,1.0,0.011469534050200002,0.0,0.0
Billy Bush,1.0,0.0112305854241,0.0,0.0
Ron Johnson,1.0,0.0112305854241,1.0,0.00248332623812
Tim Walz,1.0,0.0112305854241,0.0,0.0
Lauren Greene,1.0,0.0112305854241,0.0,0.0
Josh Dawsey,1.0,0.010991636798100002,1.0,0.00595998297148
Stephen Colbert,1.0,0.010991636798100002,1.0,0.00638569604087
Mike DeBonis,1.0,0.010991636798100002,1.0,0.00404427415922
Rob Porter,1.0,0.010752688172,1.0,0.004257130693909999
Cory Gardner,1.0,0.010752688172,1.0,0.0070242656449599995
John Cornyn,1.0,0.010752688172,1.0,0.03185752802609999
Dean Heller,1.0,0.010752688172,1.0,0.0105009223783
Bill O'Reilly,1.0,0.010513739546,0.0,0.0
Andrew Cuomo,1.0,0.010513739546,1.0,0.004966652476229999
Luther Strange,1.0,0.010513739546,0.0,0.0
Rachel Crooks,1.0,0.010513739546,0.0,0.0
Newt Gingrich,1.0,0.01027479092,1.0,0.004257130693909999
Moore,1.0,0.01027479092,0.0,0.0
Walter Mondale,1.0,0.01027479092,0.0,0.0
Paula  Jones,1.0,0.01027479092,1.0,0.00454093940684
Norm Coleman,1.0,0.01027479092,0.0,0.0
Jessica Leeds,1.0,0.0100358422939,0.0,0.0
Gretchen Carlson,1.0,0.0100358422939,0.0,0.0
Mika Brzezinski,1.0,0.0100358422939,0.0,0.0
Brett Ratner,1.0,0.0100358422939,0.0,0.0
Gregg Harper,1.0,0.0100358422939,0.0,0.0
George Soros,1.0,0.009796893667860001,1.0,0.00709521782319
Mark Zuckerberg,1.0,0.009796893667860001,1.0,0.0039733219809800005
Kathleen Rice,1.0,0.009796893667860001,0.0,0.0
Megyn Kelly,1.0,0.009796893667860001,0.0,0.0
Paul Kane,1.0,0.009557945041819999,0.0,0.0
Tim Murphy,1.0,0.009557945041819999,0.0,0.0
John Kennedy,1.0,0.009557945041819999,1.0,0.011068539804200002
David Letterman,1.0,0.009557945041819999,0.0,0.0
-- Trump,1.0,0.009557945041819999,1.0,0.00418617851568
Charles E. Schumer,1.0,0.00931899641577,1.0,0.00411522633745
Ron Wyden,1.0,0.00931899641577,1.0,0.00297999148574
Richard Nixon,1.0,0.00931899641577,1.0,0.0151837661416
Corey Lewandowski,1.0,0.00931899641577,0.0,0.0
Steve Wynn,1.0,0.00931899641577,0.0,0.0
Chuck Todd,1.0,0.00931899641577,1.0,0.00411522633745
Ronan Farrow,1.0,0.00931899641577,1.0,0.0124875833688
Mark Warner,1.0,0.00908004778973,1.0,0.00234142188165
David Weigel,1.0,0.00908004778973,0.0,0.0
Ryan Zinke,1.0,0.00908004778973,1.0,0.0025542784163499997
Bush,1.0,0.00884109916368,1.0,0.0207180360437
Putin,1.0,0.00884109916368,1.0,0.00347665673336
Robert S. Mueller III,1.0,0.00884109916368,1.0,0.0046828437633
Reagan,1.0,0.00884109916368,1.0,0.00773378742727
Bob Packwood,1.0,0.00884109916368,0.0,0.0
Patrick Meehan,1.0,0.00884109916368,0.0,0.0
Carter,1.0,0.008602150537629999,1.0,0.00276713495104
Tom Cotton,1.0,0.008602150537629999,1.0,0.00383141762452
Lamar Alexander,1.0,0.008602150537629999,0.0,0.0
Tim Scott,1.0,0.008602150537629999,1.0,0.00283808712927
Ashley Judd,1.0,0.00836320191159,0.0,0.0
Seth Meyers,1.0,0.00836320191159,1.0,0.0034057045551300004
Ted Kennedy,1.0,0.00836320191159,1.0,0.0039733219809800005
Rick Gates,1.0,0.00836320191159,0.0,0.0
Sheldon Whitehouse,1.0,0.00836320191159,1.0,0.017667092379700003
Seung Min Kim,1.0,0.00836320191159,1.0,0.00773378742727
Marsha Blackburn,1.0,0.00836320191159,1.0,0.008656165744290002
Tweeden,1.0,0.00836320191159,0.0,0.0
Donald J. Trump,1.0,0.00812425328554,1.0,0.00390236980275
Adam Schiff,1.0,0.00812425328554,1.0,0.0026961827728099997
Scott Pruitt,1.0,0.00812425328554,1.0,0.00674045693203
Bill Nelson,1.0,0.00812425328554,1.0,0.00879807010075
Richard Painter,1.0,0.00812425328554,0.0,0.0
Mueller,1.0,0.00812425328554,1.0,0.00787569178374
Samantha Holvey,1.0,0.00812425328554,0.0,0.0
Roger Stone,1.0,0.007885304659499999,1.0,0.00241237405988
Maggie Haberman,1.0,0.007885304659499999,1.0,0.0033347523769
Jonathan Martin,1.0,0.007885304659499999,1.0,0.00241237405988
Damian Paletta,1.0,0.007885304659499999,0.0,0.0
Jimmy Kimmel,1.0,0.007885304659499999,1.0,0.00390236980275
Tammy Duckworth,1.0,0.007885304659499999,0.0,0.0
HuffPost,1.0,0.007885304659499999,1.0,0.00567617425855
Mario Batali,1.0,0.007885304659499999,0.0,0.0
Gloria Allred,1.0,0.00764635603345,0.0,0.0
Scott Walker,1.0,0.00764635603345,1.0,0.00290903930751
Michael Cohen,1.0,0.00764635603345,1.0,0.017454235845000002
Colin Stretch,1.0,0.00764635603345,0.0,0.0
Phil Bredesen,1.0,0.00764635603345,1.0,0.00936568752661
Sean Spicer,1.0,0.007407407407409999,1.0,0.0021995175251900002
Harry Reid,1.0,0.007407407407409999,1.0,0.0036895132680599997
Ralph Northam,1.0,0.007407407407409999,0.0,0.0
Matt Damon,1.0,0.007407407407409999,1.0,0.00525046118916
Ed O'Keefe,1.0,0.007407407407409999,0.0,0.0
Rand Paul,1.0,0.007407407407409999,1.0,0.0109266354477
Michelle Goldberg,1.0,0.007407407407409999,0.0,0.0
Ben Sasse,1.0,0.00716845878136,1.0,0.0112104441606
Jones,1.0,0.00716845878136,0.0,0.0
Steven Mnuchin,1.0,0.00716845878136,1.0,0.00241237405988
Devin Nunes,1.0,0.00716845878136,1.0,0.00383141762452
Melania Trump,1.0,0.00716845878136,1.0,0.00929473534838
Rachael,1.0,0.00716845878136,1.0,0.00390236980275
Steny Hoyer,1.0,0.00716845878136,1.0,0.00227046970342
Bill Maher,1.0,0.00716845878136,0.0,0.0
DONALD TRUMP,1.0,0.00716845878136,1.0,0.005321413367390001
Leah Vukmir,1.0,0.00716845878136,1.0,0.0021995175251900002
James Toback,1.0,0.00716845878136,0.0,0.0
Maria Cantwell,1.0,0.00692951015532,0.0,0.0
Jesus,1.0,0.00692951015532,1.0,0.00283808712927
Sean Sullivan,1.0,0.00692951015532,1.0,0.00354760891159
Rick Scott,1.0,0.00692951015532,1.0,0.00794664396197
Manu Raju,1.0,0.00692951015532,1.0,0.00241237405988
Jim Jordan,1.0,0.00692951015532,1.0,0.00581807861501
Trey Gowdy,1.0,0.00692951015532,1.0,0.00297999148574
Franken,1.0,0.00692951015532,0.0,0.0
Gillibrand,1.0,0.00692951015532,0.0,0.0
Ron DeSantis,1.0,0.00692951015532,1.0,0.005392365545619999
Joe Scarborough,1.0,0.0066905615292700005,1.0,0.00227046970342
Erica Werner,1.0,0.0066905615292700005,1.0,0.00262523059458
Zervos,1.0,0.0066905615292700005,0.0,0.0
John Kasich,1.0,0.0066905615292700005,1.0,0.00361856108983
Pelosi,1.0,0.0066905615292700005,0.0,0.0
Anthony Scaramucci,1.0,0.0066905615292700005,0.0,0.0
Ajit Pai,1.0,0.0066905615292700005,0.0,0.0
Michael Oreskes,1.0,0.0066905615292700005,0.0,0.0
Tina Dupuy,1.0,0.0066905615292700005,0.0,0.0
John Conyers III,1.0,0.0066905615292700005,0.0,0.0
Gary Cohn,1.0,0.006451612903229999,0.0,0.0
Mike Pompeo,1.0,0.006451612903229999,1.0,0.0124166311906
Andrew McCabe,1.0,0.006451612903229999,1.0,0.00525046118916
Leon Wieseltier,1.0,0.006451612903229999,0.0,0.0
Antonin Scalia,1.0,0.006451612903229999,1.0,0.0343408542642
Breanne Deppisch,1.0,0.006451612903229999,1.0,0.00290903930751
Thad Cochran,1.0,0.006451612903229999,0.0,0.0
Trevor Noah,1.0,0.006451612903229999,1.0,0.00290903930751
Kyrsten Sinema,1.0,0.006451612903229999,1.0,0.006101887327939999
Andrea Constand,1.0,0.006451612903229999,1.0,0.00347665673336
Pramila Jayapal,1.0,0.006451612903229999,0.0,0.0
Conor Lamb,1.0,0.006451612903229999,0.0,0.0
Richard Burr,1.0,0.00621266427718,0.0,0.0
Roe,1.0,0.00621266427718,1.0,0.0844330920959
Jon Tester,1.0,0.00621266427718,1.0,0.008656165744290002
Karoun Demirjian,1.0,0.00621266427718,0.0,0.0
Angus King,1.0,0.00621266427718,0.0,0.0
Kevin Brady,1.0,0.00621266427718,0.0,0.0
Tucker Carlson,1.0,0.00621266427718,1.0,0.00638569604087
Darrell Issa,1.0,0.00621266427718,0.0,0.0
Chris Coons,1.0,0.00621266427718,1.0,0.0185185185185
Martha McSally,1.0,0.00621266427718,1.0,0.007237122179649999
Mike Cernovich,1.0,0.00621266427718,0.0,0.0
Richard Cordray,1.0,0.00621266427718,0.0,0.0
Eric Greitens,1.0,0.00621266427718,0.0,0.0
Dustin Hoffman,1.0,0.00621266427718,0.0,0.0
Joanie Greve,1.0,0.00621266427718,1.0,0.00297999148574
Kelly,1.0,0.00597371565114,0.0,0.0
Jeb Bush,1.0,0.00597371565114,1.0,0.0030509436639699996
Bob Mueller,1.0,0.00597371565114,1.0,0.00283808712927
Steve Scalise,1.0,0.00597371565114,1.0,0.00390236980275
Woody Allen,1.0,0.00597371565114,0.0,0.0
John Thune,1.0,0.00597371565114,1.0,0.00674045693203
Marc Short,1.0,0.00597371565114,0.0,0.0
Debbie Dingell,1.0,0.00597371565114,0.0,0.0
Michael Wolff,1.0,0.00597371565114,0.0,0.0
Randall Stephenson,1.0,0.00597371565114,0.0,0.0
David Stras,1.0,0.00597371565114,0.0,0.0
Melanie Sloan,1.0,0.00597371565114,0.0,0.0
Kevin Nicholson,1.0,0.00597371565114,0.0,0.0
Jeff Johnson,1.0,0.00597371565114,0.0,0.0
Jeffrey Tambor,1.0,0.0057347670250899995,0.0,0.0
Alex Isenstadt,1.0,0.0057347670250899995,1.0,0.00227046970342
Mike Lee,1.0,0.0057347670250899995,1.0,0.0151837661416
Elise Viebeck,1.0,0.0057347670250899995,1.0,0.00276713495104
Laura Ingraham,1.0,0.0057347670250899995,1.0,0.0046828437633
Philippe Reines,1.0,0.0057347670250899995,0.0,0.0
Robert Menendez,1.0,0.0057347670250899995,0.0,0.0
Kyle Cheney,1.0,0.0057347670250899995,0.0,0.0
Bill O’Reilly,1.0,0.0057347670250899995,0.0,0.0
Josh Gerstein,1.0,0.0057347670250899995,1.0,0.00404427415922
Alyssa Milano,1.0,0.0057347670250899995,1.0,0.00730807435788
Michael Che,1.0,0.0057347670250899995,0.0,0.0
Aziz Ansari,1.0,0.0057347670250899995,0.0,0.0
Cedric Richmond,1.0,0.0057347670250899995,0.0,0.0
Jeremy Piven,1.0,0.0057347670250899995,0.0,0.0
DU JOUR,1.0,0.0057347670250899995,0.0,0.0
Teresa Vilmain,1.0,0.0057347670250899995,1.0,0.00383141762452
Lori Swanson,1.0,0.0057347670250899995,0.0,0.0
Larry Nassar,1.0,0.0057347670250899995,0.0,0.0
Louis CK,1.0,0.0057347670250899995,0.0,0.0
AL FRANKEN,1.0,0.0057347670250899995,0.0,0.0
Jim Mattis,1.0,0.00549581839904,1.0,0.00418617851568
Jimmy Carter,1.0,0.00549581839904,1.0,0.00248332623812
Politico,1.0,0.00549581839904,1.0,0.0031218958422
Ashley Parker,1.0,0.00549581839904,1.0,0.00290903930751
Maria,1.0,0.00549581839904,1.0,0.00411522633745
Chris Christie,1.0,0.00549581839904,1.0,0.00234142188165
Robert Mugabe,1.0,0.00549581839904,0.0,0.0
Chris Murphy,1.0,0.00549581839904,1.0,0.00361856108983
Samantha,1.0,0.00549581839904,0.0,0.0
Ed Gillespie,1.0,0.00549581839904,0.0,0.0
Tavis Smiley,1.0,0.00549581839904,0.0,0.0
Ben Shapiro,1.0,0.00549581839904,0.0,0.0
Conyers,1.0,0.00549581839904,0.0,0.0
Rose McGowan,1.0,0.00549581839904,0.0,0.0
Kay Ivey,1.0,0.00549581839904,0.0,0.0
Daniel Strauss,1.0,0.00549581839904,0.0,0.0
John F. Kennedy,1.0,0.005256869773,0.0,0.0
Hillary,1.0,0.005256869773,1.0,0.00276713495104
Devlin Barrett,1.0,0.005256869773,1.0,0.00290903930751
Jerry Brown,1.0,0.005256869773,1.0,0.004611891585069999
Schumer,1.0,0.005256869773,1.0,0.00546331772385
LaVar Ball,1.0,0.005256869773,0.0,0.0
