term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8270011947429999,10.0,0.761316872428
united states politics and government,7.0,0.49796893667900005,6.0,0.42507449978699996
crime and criminals,6.0,0.42915173237800003,6.0,0.44210302256300005
sex crimes,6.0,0.42270011947400005,5.0,0.411167872854
ethics,4.0,0.323536439665,2.0,0.125940116362
women,4.0,0.31780167264000003,2.0,0.096991627643
elections,4.0,0.308960573477,3.0,0.19064850290899998
sexual harassment,3.0,0.215053763441,1.0,0.00908187881368
"suspensions, dismissals and resignations",2.0,0.134528076464,1.0,0.00695331346672
news and news media,2.0,0.10728793309399999,1.0,0.0512274726834
law and legislation,2.0,0.0831541218638,1.0,0.0427841634738
media,1.0,0.0762246117085,1.0,0.0346956151554
finances,1.0,0.0757467144564,1.0,0.035192280403
biographical information,1.0,0.073596176822,1.0,0.0593160210018
television,1.0,0.059498207885300004,1.0,0.025471831985200002
presidents and presidency (us),1.0,0.05256869773,1.0,0.035263232581199996
computers and the internet,1.0,0.04229390681,1.0,0.025897545054599996
suits and litigation,1.0,0.0387096774194,1.0,0.0368241805023
discrimination,1.0,0.038470728793300005,1.0,0.0132680573294
"armament, defense and military forces",1.0,0.0313022700119,1.0,0.0080175961402
international relations,1.0,0.028434886499400003,1.0,0.0148290052505
taxation,1.0,0.028195937873400002,1.0,0.006101887327939999
appointments and executive changes,1.0,0.0277180406213,3.0,0.202852277565
medicine and health,1.0,0.0250896057348,1.0,0.029019440896799996
labor,1.0,0.0250896057348,1.0,0.00752093089258
legislatures and parliaments,1.0,0.023655913978499997,1.0,0.00446998722861
election issues,1.0,0.021983273596200004,1.0,0.00972044841777
presidential elections (us),1.0,0.020310633213900003,1.0,0.0150418617852
united states international relations,1.0,0.0193548387097,1.0,0.0101461614872
blacks,1.0,0.0164874551971,1.0,0.0183056619838
books and literature,1.0,0.015531660693,1.0,0.0114942528736
motion pictures,1.0,0.0152927120669,1.0,0.004895700298
united states armament and defense,1.0,0.0152927120669,1.0,0.0030509436639699996
advertising and marketing,1.0,0.0145758661888,1.0,0.00936568752661
governors (us),1.0,0.0143369175627,0.0,0.0
editorials,1.0,0.0143369175627,1.0,0.00858521356606
primaries,1.0,0.014097968936700001,1.0,0.00638569604087
public opinion,1.0,0.012425328554400001,1.0,0.0132680573294
radio,1.0,0.011469534050200002,0.0,0.0
education and schools,1.0,0.0112305854241,1.0,0.0687526607067
homosexuality,1.0,0.0112305854241,1.0,0.00908187881368
terrorism,1.0,0.010513739546,1.0,0.00652760039733
budgets and budgeting,1.0,0.0100358422939,1.0,0.00297999148574
sex,1.0,0.009557945041819999,0.0,0.0
quotation of the day,1.0,0.00908004778973,1.0,0.010429970200100001
reviews,1.0,0.00836320191159,1.0,0.00234142188165
courts,1.0,0.00764635603345,1.0,0.061160777635900006
religion and churches,1.0,0.00716845878136,1.0,0.00886902227898
lobbying and lobbyists,1.0,0.00716845878136,1.0,0.00248332623812
"mergers, acquisitions and divestitures",1.0,0.00621266427718,0.0,0.0
comedy and humor,1.0,0.00597371565114,0.0,0.0
judges,1.0,0.00597371565114,1.0,0.04718319852419999
privacy,1.0,0.005256869773,1.0,0.006101887327939999
immigration and refugees,1.0,0.00501792114695,1.0,0.00695331346672
impeachment,1.0,0.00501792114695,1.0,0.007591883070810001
colleges and universities,1.0,0.004778972520909999,1.0,0.0227046970342
abortion,1.0,0.004540023894859999,1.0,0.0395913154534
telephones and telecommunications,1.0,0.00430107526882,0.0,0.0
insurance,1.0,0.00406212664277,1.0,0.00510855683269
demonstrations and riots,1.0,0.00406212664277,1.0,0.023485170994700003
children and youth,1.0,0.00406212664277,1.0,0.01284234426
decisions and verdicts,1.0,0.0038231780167299998,1.0,0.021782318717200003
theater,1.0,0.0038231780167299998,0.0,0.0
antitrust actions and laws,1.0,0.0033452807646399997,0.0,0.0
legal profession,0.0,0.0,1.0,0.014899957428700003
basketball,0.0,0.0,1.0,0.0062437916844
murders and attempted murders,0.0,0.0,1.0,0.00567617425855
child abuse and neglect,0.0,0.0,1.0,0.00560522208032
christians and christianity,0.0,0.0,1.0,0.00503760465446
environment,0.0,0.0,1.0,0.0047537959415399995
sentences (criminal),0.0,0.0,1.0,0.0047537959415399995
health insurance and managed care,0.0,0.0,1.0,0.00418617851568
international trade and world market,0.0,0.0,1.0,0.00418617851568
frauds and swindling,0.0,0.0,1.0,0.00411522633745
hurricanes and tropical storms,0.0,0.0,1.0,0.00404427415922
drug abuse and traffic,0.0,0.0,1.0,0.0034057045551300004
marriages,0.0,0.0,1.0,0.00326380019867
political advertising,0.0,0.0,1.0,0.00319284802043
firearms,0.0,0.0,1.0,0.0030509436639699996
music,0.0,0.0,1.0,0.0030509436639699996
health insurance,0.0,0.0,1.0,0.00283808712927
police,0.0,0.0,1.0,0.00276713495104
gun control,0.0,0.0,1.0,0.00276713495104
air pollution,0.0,0.0,1.0,0.00276713495104
global warming,0.0,0.0,1.0,0.0026961827728099997
freedom and human rights,0.0,0.0,1.0,0.0026961827728099997
illegal aliens,0.0,0.0,1.0,0.00262523059458
beverages,0.0,0.0,1.0,0.00262523059458
alcoholic beverages,0.0,0.0,1.0,0.00241237405988
minorities (us),0.0,0.0,1.0,0.00234142188165
church-state relations,0.0,0.0,1.0,0.00227046970342
ratings and rating systems,0.0,0.0,1.0,0.0021995175251900002
