term,a1_bin,a1_perc,a2_bin,a2_perc
senate roy moore,2.0,0.011000000000000001,0.0,0.0
roy moore alabama,2.0,0.01,0.0,0.0
republican senate roy,1.0,0.006,0.0,0.0
leader mitch mcconnell,1.0,0.006,1.0,0.006
senate leader mitch,1.0,0.005,1.0,0.004
forcibly kissing groping,1.0,0.005,0.0,0.0
democratic john conyers,1.0,0.005,0.0,0.0
roy moore senate,1.0,0.004,0.0,0.0
roy moore donald,1.0,0.004,0.0,0.0
moore donald trump,1.0,0.004,0.0,0.0
leader chuck schumer,1.0,0.004,0.0,0.0
john conyers d-mich,1.0,0.004,0.0,0.0
franken resign senate,1.0,0.004,0.0,0.0
trump roy moore,1.0,0.003,0.0,0.0
sits oval repeatedly,1.0,0.003,0.0,0.0
senate leader chuck,1.0,0.003,0.0,0.0
senate democrats franken,1.0,0.003,0.0,0.0
sarah huckabee sanders,1.0,0.003,0.0,0.0
resign misconduct allegations,1.0,0.003,0.0,0.0
republican trent franks,1.0,0.003,0.0,0.0
republican roy moore,1.0,0.003,0.0,0.0
republican alabama senate,1.0,0.003,0.0,0.0
repeatedly preyed campaigns,1.0,0.003,0.0,0.0
preyed campaigns senate,1.0,0.003,0.0,0.0
oval repeatedly preyed,1.0,0.003,0.0,0.0
moore senate alabama,1.0,0.003,0.0,0.0
mogul harvey weinstein,1.0,0.003,0.0,0.0
leeann tweeden franken,1.0,0.003,0.0,0.0
kissing groping uso,1.0,0.003,0.0,0.0
irony bragged assault,1.0,0.003,0.0,0.0
harvey weinstein franken,1.0,0.003,0.0,0.0
gillibrand democratic senators,1.0,0.003,0.0,0.0
franken resign misconduct,1.0,0.003,0.0,0.0
franken leeann tweeden,1.0,0.003,0.0,0.0
franken john conyers,1.0,0.003,0.0,0.0
franken forcibly kiss,1.0,0.003,0.0,0.0
franken d-minn john,1.0,0.003,0.0,0.0
donald trump franken,1.0,0.003,0.0,0.0
democratic franken minnesota,1.0,0.003,0.0,0.0
democrat doug jones,1.0,0.003,0.0,0.0
d-minn john conyers,1.0,0.003,0.0,0.0
credible allegations misconduct,1.0,0.003,0.0,0.0
calling franken resign,1.0,0.003,0.0,0.0
bragged assault sits,1.0,0.003,0.0,0.0
assault sits oval,1.0,0.003,0.0,0.0
allegations sexually harassed,1.0,0.003,0.0,0.0
alabama senate roy,1.0,0.003,0.0,0.0
alabama republican senate,1.0,0.003,0.0,0.0
upscale alabama suburbs,1.0,0.002,0.0,0.0
tuesday's senate election,1.0,0.002,0.0,0.0
trent franks r-ariz,1.0,0.002,0.0,0.0
tina smith d-minn,1.0,0.002,0.0,0.0
supposedly franken martyr,1.0,0.002,0.0,0.0
suburbs roy moore,1.0,0.002,0.0,0.0
sins par yanking,1.0,0.002,0.0,0.0
sexually harassed assaulted,1.0,0.002,0.0,0.0
senate election alabama,1.0,0.002,0.0,0.0
ruben kihuen d-nev,1.0,0.002,0.0,0.0
roy moore franken,1.0,0.002,0.0,0.0
roy moore conundrum,1.0,0.002,0.0,0.0
resignation democratic franken,1.0,0.002,0.0,0.0
republicans upscale alabama,1.0,0.002,0.0,0.0
republicans donald trump,1.0,0.002,0.0,0.0
prohibit nondisclosure agreements,1.0,0.002,0.0,0.0
praises accountability franken,1.0,0.002,0.0,0.0
politico franken forcibly,1.0,0.002,0.0,0.0
photo franken groping,1.0,0.002,0.0,0.0
photo alex brandon,1.0,0.002,0.0,0.0
paul ryan sticking,1.0,0.002,0.0,0.0
par yanking ponytails,1.0,0.002,0.0,0.0
papadopoulos connections russian,1.0,0.002,0.0,0.0
nondisclosure agreements initiating,1.0,0.002,0.0,0.0
nancy pelosi d-calif,1.0,0.002,0.0,0.0
moore sexually assaulted,1.0,0.002,0.0,0.0
moore denies franken's,1.0,0.002,0.0,0.0
moore conundrum roy,1.0,0.002,0.0,0.0
moore alabama senate,1.0,0.002,0.0,0.0
mitch mcconnell r-ky,1.0,0.002,1.0,0.002
mitch mcconnell kentucky,1.0,0.002,0.0,0.0
minnesota tina smith,1.0,0.002,0.0,0.0
minnesota franken senate,1.0,0.002,0.0,0.0
martyr gillibrand opportunist,1.0,0.002,0.0,0.0
martin maggie haberman,1.0,0.002,0.0,0.0
maggie haberman alexander,1.0,0.002,0.0,0.0
louis franken aziz,1.0,0.002,0.0,0.0
leader nancy pelosi,1.0,0.002,0.0,0.0
lamar alexander r-tennessee,1.0,0.002,0.0,0.0
kissed groped consent,1.0,0.002,0.0,0.0
jonathan martin maggie,1.0,0.002,0.0,0.0
john conyers republican,1.0,0.002,0.0,0.0
john conyers franken,1.0,0.002,0.0,0.0
huffpost contributor defends,1.0,0.002,0.0,0.0
hillary praises accountability,1.0,0.002,0.0,0.0
groped consent uso,1.0,0.002,0.0,0.0
gop roy moore,1.0,0.002,0.0,0.0
gillibrand opportunist astead,1.0,0.002,0.0,0.0
franken's sins par,1.0,0.002,0.0,0.0
franken probe groped,1.0,0.002,0.0,0.0
franken misconduct allegations,1.0,0.002,0.0,0.0
franken minnesota apologized,1.0,0.002,0.0,0.0
franken martyr gillibrand,1.0,0.002,0.0,0.0
franken kissed groped,1.0,0.002,0.0,0.0
franken grabbing buttocks,1.0,0.002,0.0,0.0
franken d-mn misconduct,1.0,0.002,0.0,0.0
franken d-minn resign,1.0,0.002,0.0,0.0
franken aziz ansari,1.0,0.002,0.0,0.0
franken apology allege,1.0,0.002,0.0,0.0
franken apologizing roy,1.0,0.002,0.0,0.0
forcibly kiss taping,1.0,0.002,0.0,0.0
embattled minnesota democrat,1.0,0.002,0.0,0.0
ellen tipton's senate,1.0,0.002,0.0,0.0
donald trump roy,1.0,0.002,0.0,0.0
denies franken's sins,1.0,0.002,0.0,0.0
democrats franken resign,1.0,0.002,0.0,0.0
democrats calling franken,1.0,0.002,0.0,0.0
democratic senators franken,1.0,0.002,0.0,0.0
democratic franken allegations,1.0,0.002,0.0,0.0
defends franken leeann,1.0,0.002,0.0,0.0
dc supposedly franken,1.0,0.002,0.0,0.0
conyers republican trent,1.0,0.002,0.0,0.0
conundrum roy moore,1.0,0.002,0.0,0.0
contributor defends franken,1.0,0.002,0.0,0.0
congress franken john,1.0,0.002,0.0,0.0
congress democratic john,1.0,0.002,0.0,0.0
chuck schumer d-n,1.0,0.002,0.0,0.0
calling trump resign,1.0,0.002,0.0,0.0
calling congress investigate,1.0,0.002,0.0,0.0
blake farenthold re-election,1.0,0.002,0.0,0.0
apology allege groping,1.0,0.002,0.0,0.0
apologizing roy moore,1.0,0.002,0.0,0.0
anchor forcibly kissing,1.0,0.002,0.0,0.0
allegations moore credible,1.0,0.002,0.0,0.0
allegations misconduct trump,1.0,0.002,0.0,0.0
allegations louis franken,1.0,0.002,0.0,0.0
allegations harassment assault,1.0,0.002,0.0,0.0
alabama suburbs roy,1.0,0.002,0.0,0.0
alabama ellen tipton's,1.0,0.002,0.0,0.0
agreements initiating complaint,1.0,0.002,0.0,0.0
accuser leeann tweeden,1.0,0.002,0.0,0.0
zinke trump conservation,1.0,0.001,0.0,0.0
yougov poll 9-10,1.0,0.001,0.0,0.0
yorker dozens criminal,1.0,0.001,0.0,0.0
yolanda caraway ellen-blair,1.0,0.001,0.0,0.0
yechezkel rodal politico,1.0,0.001,0.0,0.0
years-long saga triggered,1.0,0.001,0.0,0.0
yearbook attributed moore,1.0,0.001,0.0,0.0
year's presidential election,1.0,0.001,0.0,0.0
year's presidential campaign,1.0,0.001,0.0,0.0
year's perches allegations,1.0,0.001,0.0,0.0
year's election sessions's,1.0,0.001,0.0,0.0
yaroslav trofimov wsj's,1.0,0.001,0.0,0.0
yale aftermath harassment,1.0,0.001,0.0,0.0
xl pipeline go-ahead,1.0,0.001,0.0,0.0
wurzelbacher contributor republican,1.0,0.001,0.0,0.0
wsj's fractured elections,1.0,0.001,0.0,0.0
wrongful-dismissal complaint staffer,1.0,0.001,0.0,0.0
wrongdoing trump's phony,1.0,0.001,0.0,0.0
wrongdoing admitting specifics,1.0,0.001,0.0,0.0
write-in campaign senate,1.0,0.001,0.0,0.0
wrenching assault allegations,1.0,0.001,0.0,0.0
wreckage families partisanship,1.0,0.001,0.0,0.0
workplaces supportive cnn's,1.0,0.001,0.0,0.0
workplace misconduct reminder,1.0,0.001,0.0,0.0
woody allen's writer,1.0,0.001,0.0,0.0
woody allen spared,1.0,0.001,0.0,0.0
woodward carl bernstein,1.0,0.001,0.0,0.0
woodruff fleetwood mac,1.0,0.001,0.0,0.0
women-focused sidelines appearing,1.0,0.001,0.0,0.0
women's undercut trump's,1.0,0.001,0.0,0.0
women's genitalia flood,1.0,0.001,0.0,0.0
women's cynical unmasked,1.0,0.001,0.0,0.0
woman's buttocks minnesota,1.0,0.001,0.0,0.0
woman's allegation johnson,1.0,0.001,0.0,0.0
witchhunt treats accusations,1.0,0.001,0.0,0.0
witch hoax jeff,1.0,0.001,0.0,0.0
wisconsin mahlon mitchell,1.0,0.001,0.0,0.0
wisconsin focused ads,1.0,0.001,0.0,0.0
wisconsin democratic matt,1.0,0.001,0.0,0.0
wis franken's charity,1.0,0.001,0.0,0.0
