term,a1_bin,a1_perc,a2_bin,a2_perc
Al Franken,10.0,0.9689366786139999,1.0,0.00997506234414
Roy Moore,4.0,0.33715651134999997,1.0,0.0134956725832
Donald Trump,3.0,0.278614097969,4.0,0.308200088015
Trump,3.0,0.19832735961800002,3.0,0.21783775854499998
Leeann Tweeden,2.0,0.17037037037,0.0,0.0
Harvey Weinstein,2.0,0.165591397849,1.0,0.019803432595
John Conyers,2.0,0.165113500597,0.0,0.0
Hillary Clinton,2.0,0.132138590203,1.0,0.0441543200821
Mitch McConnell,2.0,0.11158900836300001,2.0,0.128942350007
Kirsten Gillibrand,2.0,0.10633213858999999,1.0,0.013055596303399999
Bill Clinton,2.0,0.104181600956,1.0,0.038873404723499996
Doug Jones,2.0,0.09844683393069999,1.0,0.0061610679184399995
Nancy Pelosi,1.0,0.08697729988050001,1.0,0.0108552149039
Tina Smith,1.0,0.0805256869773,0.0,0.0
Paul Ryan,1.0,0.0681003584229,1.0,0.004400762798890001
Jeff Sessions,1.0,0.0671445639188,1.0,0.00997506234414
Trent Franks,1.0,0.06547192353640001,0.0,0.0
Blake Farenthold,1.0,0.06427718040620001,0.0,0.0
Barack Obama,1.0,0.06284348864990001,1.0,0.036526331230699996
Chuck Schumer,1.0,0.06260454002390001,1.0,0.0359395628576
Matt Lauer,1.0,0.0575866188769,1.0,0.00264045767933
Bernie Sanders,1.0,0.0561529271207,1.0,0.0077746809447000005
Charlie Rose,1.0,0.0532855436081,1.0,0.0030805339592199998
Robert Mueller,1.0,0.0530465949821,1.0,0.0180431274754
Amy Klobuchar,1.0,0.049701314217400004,1.0,0.0346193340179
Obama,1.0,0.046833930704899995,1.0,0.0168695907291
Mark Dayton,1.0,0.0446833930705,0.0,0.0
Kevin Spacey,1.0,0.044444444444399996,0.0,0.0
Sarah Huckabee Sanders,1.0,0.0399044205496,1.0,0.019363356315099996
Ruben Kihuen,1.0,0.038470728793300005,0.0,0.0
Steve Bannon,1.0,0.0382317801673,1.0,0.0036673023324
Louis C.K.,1.0,0.0382317801673,1.0,0.00293384186592
George W. Bush,1.0,0.037753882915199995,1.0,0.03476602611119999
Jackie Speier,1.0,0.036559139784900004,0.0,0.0
Jeff Flake,1.0,0.0360812425329,2.0,0.17749743288800002
Elizabeth Warren,1.0,0.0358422939068,1.0,0.0105618307173
John Conyers Jr.,1.0,0.0346475507766,0.0,0.0
Monica Lewinsky,1.0,0.034408602150500005,1.0,0.00865483350447
Lindsay Menz,1.0,0.0336917562724,0.0,0.0
Susan Collins,1.0,0.033452807646400004,2.0,0.153146545401
John McCain,1.0,0.0322580645161,1.0,0.011295291183799998
Bob Corker,1.0,0.031541218637999996,1.0,0.029925187032400002
Ted Cruz,1.0,0.029629629629599998,1.0,0.025377732140200004
Kamala Harris,1.0,0.0293906810036,1.0,0.0268446530732
Patty Murray,1.0,0.0286738351254,1.0,0.007334604664810001
Brett Kavanaugh,1.0,0.0286738351254,9.0,0.826903329911
Claire McCaskill,1.0,0.0267622461171,1.0,0.0124688279302
Vladimir Putin,1.0,0.026523297491000002,1.0,0.00528091535866
Mike Pence,1.0,0.026284348865,1.0,0.0171629749157
Kellyanne Conway,1.0,0.0255675029869,1.0,0.0357928707643
Jared Kushner,1.0,0.0253285543608,1.0,0.00249376558603
Cory Booker,1.0,0.0253285543608,1.0,0.0230306586475
Clarence Thomas,1.0,0.0250896057348,2.0,0.109285609506
Lindsey Graham,1.0,0.024850657108700002,1.0,0.09212263458999999
Dianne Feinstein,1.0,0.0246117084827,2.0,0.161654686812
Michael Flynn,1.0,0.024133811230599996,1.0,0.0027871497726300004
Joe Biden,1.0,0.023894862604499998,1.0,0.023324042834099997
Tammy Baldwin,1.0,0.0234169653524,1.0,0.0030805339592199998
Chuck Grassley,1.0,0.0234169653524,2.0,0.17089628869000004
Anita Hill,1.0,0.0234169653524,2.0,0.10708522810599999
Keith Ellison,1.0,0.0231780167264,1.0,0.007627988851399999
James Comey,1.0,0.021983273596200004,1.0,0.00894821769107
Clintons,1.0,0.0217443249701,1.0,0.023764119114
Donald Trump Jr.,1.0,0.021266427718,1.0,0.013055596303399999
Paul Manafort,1.0,0.021266427718,1.0,0.00542760745196
Dick Durbin,1.0,0.021266427718,1.0,0.019803432595
Roger Ailes,1.0,0.021266427718,1.0,0.00425407070559
Barbara Comstock,1.0,0.020788530465900002,1.0,0.00249376558603
Mitt Romney,1.0,0.020310633213900003,1.0,0.0023470734927399997
Mark Halperin,1.0,0.020310633213900003,0.0,0.0
Garrison Keillor,1.0,0.020310633213900003,0.0,0.0
Sarah Sanders,1.0,0.0200716845878,1.0,0.015549361889400001
Joe Manchin,1.0,0.019832735961799998,1.0,0.0503153880006
Mazie Hirono,1.0,0.0193548387097,1.0,0.036379639137499996
George Papadopoulos,1.0,0.0191158900836,0.0,0.0
Fox,1.0,0.018876941457599997,1.0,0.022443890274299997
Lesley Stahl,1.0,0.018876941457599997,1.0,0.00293384186592
Orrin Hatch,1.0,0.0186379928315,1.0,0.046794777761500005
Joe Barton,1.0,0.0186379928315,0.0,0.0
Mick Mulvaney,1.0,0.0181600955795,0.0,0.0
Ivanka Trump,1.0,0.0169653524492,1.0,0.00352061023911
Maggie Hassan,1.0,0.0169653524492,0.0,0.0
Sherrod Brown,1.0,0.0169653524492,1.0,0.0023470734927399997
Tim Pawlenty,1.0,0.0169653524492,0.0,0.0
Patrick Leahy,1.0,0.016726403823200002,1.0,0.022297198180999997
Christine Blasey Ford,1.0,0.016726403823200002,10.0,0.982396948804
Nikki Haley,1.0,0.0162485065711,1.0,0.00586768373185
George H.W. Bush,1.0,0.0162485065711,1.0,0.00865483350447
Lisa Murkowski,1.0,0.015770609318999998,2.0,0.102831157401
Joe Donnelly,1.0,0.015531660693,1.0,0.014815901422899999
Bill Cosby,1.0,0.0152927120669,1.0,0.013935748863099999
Tim Kaine,1.0,0.0150537634409,1.0,0.0038139944256999994
Marco Rubio,1.0,0.014814814814799999,1.0,0.00337391814581
Jeff Merkley,1.0,0.014814814814799999,1.0,0.00425407070559
Paul D. Ryan,1.0,0.0145758661888,0.0,0.0
Ronald Reagan,1.0,0.0143369175627,1.0,0.0117353674637
Sean Hannity,1.0,0.0143369175627,1.0,0.0108552149039
Richard Blumenthal,1.0,0.0143369175627,1.0,0.0313921079654
Jake Tapper,1.0,0.0143369175627,1.0,0.009241601877659999
Glenn Thrush,1.0,0.014097968936700001,0.0,0.0
— Donald J. Trump,1.0,0.014097968936700001,1.0,0.0038139944256999994
Breitbart,1.0,0.0138590203106,1.0,0.0032272260525199998
Leann Tweeden,1.0,0.013620071684600001,0.0,0.0
Kim Jong Un,1.0,0.013381123058499998,1.0,0.00792137303799
Rod Rosenstein,1.0,0.013381123058499998,1.0,0.0189232800352
Tom Perez,1.0,0.0131421744325,0.0,0.0
Heidi Heitkamp,1.0,0.0131421744325,1.0,0.0340325656447
Karin Housley,1.0,0.0129032258065,0.0,0.0
Leigh Corfman,1.0,0.0129032258065,0.0,0.0
John Kelly,1.0,0.0126642771804,0.0,0.0
Juanita Broaddrick,1.0,0.0126642771804,1.0,0.0048408390787700005
Rex Tillerson,1.0,0.012425328554400001,0.0,0.0
Neil Gorsuch,1.0,0.012425328554400001,1.0,0.0274314214464
Sergey Kislyak,1.0,0.012425328554400001,0.0,0.0
Debbie Stabenow,1.0,0.012425328554400001,0.0,0.0
Bob Casey,1.0,0.0119474313023,0.0,0.0
Richard Shelby,1.0,0.0119474313023,1.0,0.0020536893061500004
BuzzFeed,1.0,0.0119474313023,0.0,0.0
Weinstein,1.0,0.0119474313023,0.0,0.0
Stephanie Kemplin,1.0,0.0119474313023,0.0,0.0
Clinton,1.0,0.0117084826762,1.0,0.00836144931788
Bob Menendez,1.0,0.0117084826762,0.0,0.0
Russell Simmons,1.0,0.0117084826762,0.0,0.0
Arnold Reed,1.0,0.0117084826762,0.0,0.0
Betsy DeVos,1.0,0.011469534050200002,1.0,0.0019069972128499997
Eric Schneiderman,1.0,0.011469534050200002,0.0,0.0
Billy Bush,1.0,0.0112305854241,0.0,0.0
Ron Johnson,1.0,0.0112305854241,1.0,0.0020536893061500004
Tim Walz,1.0,0.0112305854241,0.0,0.0
Lauren Greene,1.0,0.0112305854241,0.0,0.0
Josh Dawsey,1.0,0.010991636798100002,1.0,0.00674783629162
Stephen Colbert,1.0,0.010991636798100002,1.0,0.003960686519
Mike DeBonis,1.0,0.010991636798100002,1.0,0.00572099163855
Rob Porter,1.0,0.010752688172,1.0,0.0061610679184399995
Cory Gardner,1.0,0.010752688172,1.0,0.00836144931788
John Cornyn,1.0,0.010752688172,1.0,0.0331524130849
Dean Heller,1.0,0.010752688172,1.0,0.0107085228106
Bill O'Reilly,1.0,0.010513739546,0.0,0.0
Andrew Cuomo,1.0,0.010513739546,0.0,0.0
Luther Strange,1.0,0.010513739546,0.0,0.0
Rachel Crooks,1.0,0.010513739546,0.0,0.0
Newt Gingrich,1.0,0.01027479092,1.0,0.00293384186592
Moore,1.0,0.01027479092,0.0,0.0
Walter Mondale,1.0,0.01027479092,0.0,0.0
Paula  Jones,1.0,0.01027479092,1.0,0.0038139944256999994
Norm Coleman,1.0,0.01027479092,0.0,0.0
Jessica Leeds,1.0,0.0100358422939,0.0,0.0
Gretchen Carlson,1.0,0.0100358422939,0.0,0.0
Mika Brzezinski,1.0,0.0100358422939,0.0,0.0
Brett Ratner,1.0,0.0100358422939,0.0,0.0
Gregg Harper,1.0,0.0100358422939,0.0,0.0
George Soros,1.0,0.009796893667860001,1.0,0.00792137303799
Mark Zuckerberg,1.0,0.009796893667860001,1.0,0.0036673023324
Kathleen Rice,1.0,0.009796893667860001,0.0,0.0
Megyn Kelly,1.0,0.009796893667860001,0.0,0.0
Paul Kane,1.0,0.009557945041819999,1.0,0.003960686519
Tim Murphy,1.0,0.009557945041819999,0.0,0.0
John Kennedy,1.0,0.009557945041819999,1.0,0.0134956725832
David Letterman,1.0,0.009557945041819999,0.0,0.0
-- Trump,1.0,0.009557945041819999,1.0,0.0027871497726300004
Charles E. Schumer,1.0,0.00931899641577,1.0,0.003960686519
Ron Wyden,1.0,0.00931899641577,0.0,0.0
Richard Nixon,1.0,0.00931899641577,1.0,0.004400762798890001
Corey Lewandowski,1.0,0.00931899641577,0.0,0.0
Steve Wynn,1.0,0.00931899641577,0.0,0.0
Chuck Todd,1.0,0.00931899641577,1.0,0.00337391814581
Ronan Farrow,1.0,0.00931899641577,1.0,0.0180431274754
Mark Warner,1.0,0.00908004778973,0.0,0.0
David Weigel,1.0,0.00908004778973,0.0,0.0
Ryan Zinke,1.0,0.00908004778973,0.0,0.0
Bush,1.0,0.00884109916368,1.0,0.0108552149039
Putin,1.0,0.00884109916368,0.0,0.0
Robert S. Mueller III,1.0,0.00884109916368,1.0,0.00220038139944
Reagan,1.0,0.00884109916368,1.0,0.00454745489218
Bob Packwood,1.0,0.00884109916368,0.0,0.0
Patrick Meehan,1.0,0.00884109916368,0.0,0.0
Carter,1.0,0.008602150537629999,1.0,0.0019069972128499997
Tom Cotton,1.0,0.008602150537629999,1.0,0.00410737861229
Lamar Alexander,1.0,0.008602150537629999,0.0,0.0
Tim Scott,1.0,0.008602150537629999,0.0,0.0
Ashley Judd,1.0,0.00836320191159,1.0,0.00249376558603
Seth Meyers,1.0,0.00836320191159,1.0,0.00220038139944
Ted Kennedy,1.0,0.00836320191159,1.0,0.004694146985479999
Rick Gates,1.0,0.00836320191159,0.0,0.0
Sheldon Whitehouse,1.0,0.00836320191159,1.0,0.021857121901099997
Seung Min Kim,1.0,0.00836320191159,1.0,0.011295291183799998
Marsha Blackburn,1.0,0.00836320191159,1.0,0.00674783629162
Tweeden,1.0,0.00836320191159,0.0,0.0
Donald J. Trump,1.0,0.00812425328554,1.0,0.0019069972128499997
Adam Schiff,1.0,0.00812425328554,0.0,0.0
Scott Pruitt,1.0,0.00812425328554,0.0,0.0
Bill Nelson,1.0,0.00812425328554,1.0,0.005574299545249999
Richard Painter,1.0,0.00812425328554,0.0,0.0
Mueller,1.0,0.00812425328554,1.0,0.00337391814581
Samantha Holvey,1.0,0.00812425328554,0.0,0.0
Roger Stone,1.0,0.007885304659499999,0.0,0.0
Maggie Haberman,1.0,0.007885304659499999,1.0,0.0017603051195499999
Jonathan Martin,1.0,0.007885304659499999,1.0,0.00220038139944
Damian Paletta,1.0,0.007885304659499999,0.0,0.0
Jimmy Kimmel,1.0,0.007885304659499999,1.0,0.00264045767933
Tammy Duckworth,1.0,0.007885304659499999,0.0,0.0
HuffPost,1.0,0.007885304659499999,1.0,0.004694146985479999
Mario Batali,1.0,0.007885304659499999,0.0,0.0
Gloria Allred,1.0,0.00764635603345,0.0,0.0
Scott Walker,1.0,0.00764635603345,0.0,0.0
Michael Cohen,1.0,0.00764635603345,1.0,0.00704122047822
Colin Stretch,1.0,0.00764635603345,0.0,0.0
Phil Bredesen,1.0,0.00764635603345,1.0,0.0077746809447000005
Sean Spicer,1.0,0.007407407407409999,0.0,0.0
Harry Reid,1.0,0.007407407407409999,0.0,0.0
Ralph Northam,1.0,0.007407407407409999,0.0,0.0
Matt Damon,1.0,0.007407407407409999,1.0,0.00586768373185
Ed O'Keefe,1.0,0.007407407407409999,0.0,0.0
Rand Paul,1.0,0.007407407407409999,0.0,0.0
Michelle Goldberg,1.0,0.007407407407409999,0.0,0.0
Ben Sasse,1.0,0.00716845878136,1.0,0.0101217544374
Jones,1.0,0.00716845878136,0.0,0.0
Steven Mnuchin,1.0,0.00716845878136,0.0,0.0
Devin Nunes,1.0,0.00716845878136,1.0,0.0019069972128499997
Melania Trump,1.0,0.00716845878136,1.0,0.008068065131289999
Rachael,1.0,0.00716845878136,1.0,0.0023470734927399997
Steny Hoyer,1.0,0.00716845878136,0.0,0.0
