term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8270011947429999,9.0,0.72451224879
united states politics and government,7.0,0.49796893667900005,5.0,0.38271967141
crime and criminals,6.0,0.42915173237800003,9.0,0.7355141557870001
sex crimes,6.0,0.42270011947400005,9.0,0.698987824556
ethics,4.0,0.323536439665,2.0,0.15798738448
women,4.0,0.31780167264000003,2.0,0.147132169576
elections,4.0,0.308960573477,2.0,0.12600850814099998
sexual harassment,3.0,0.215053763441,1.0,0.0136423646765
"suspensions, dismissals and resignations",2.0,0.134528076464,1.0,0.00674783629162
news and news media,2.0,0.10728793309399999,1.0,0.05779668475869999
law and legislation,2.0,0.0831541218638,1.0,0.0108552149039
media,1.0,0.0762246117085,1.0,0.0376998679771
finances,1.0,0.0757467144564,1.0,0.0126155200235
biographical information,1.0,0.073596176822,1.0,0.0689452838492
television,1.0,0.059498207885300004,1.0,0.0243508874872
presidents and presidency (us),1.0,0.05256869773,1.0,0.0215637377145
computers and the internet,1.0,0.04229390681,1.0,0.0239108112073
suits and litigation,1.0,0.0387096774194,1.0,0.0262578847
discrimination,1.0,0.038470728793300005,1.0,0.0108552149039
"armament, defense and military forces",1.0,0.0313022700119,1.0,0.0036673023324
international relations,1.0,0.028434886499400003,1.0,0.00601437582514
taxation,1.0,0.028195937873400002,1.0,0.00220038139944
appointments and executive changes,1.0,0.0277180406213,2.0,0.150652779815
medicine and health,1.0,0.0250896057348,1.0,0.0199501246883
labor,1.0,0.0250896057348,1.0,0.00410737861229
legislatures and parliaments,1.0,0.023655913978499997,1.0,0.0027871497726300004
election issues,1.0,0.021983273596200004,1.0,0.0038139944256999994
presidential elections (us),1.0,0.020310633213900003,1.0,0.00836144931788
united states international relations,1.0,0.0193548387097,1.0,0.00425407070559
blacks,1.0,0.0164874551971,1.0,0.0120287516503
books and literature,1.0,0.015531660693,1.0,0.00880152559777
motion pictures,1.0,0.0152927120669,1.0,0.005574299545249999
united states armament and defense,1.0,0.0152927120669,0.0,0.0
advertising and marketing,1.0,0.0145758661888,1.0,0.004400762798890001
governors (us),1.0,0.0143369175627,0.0,0.0
editorials,1.0,0.0143369175627,1.0,0.00264045767933
primaries,1.0,0.014097968936700001,0.0,0.0
public opinion,1.0,0.012425328554400001,1.0,0.00982837025084
radio,1.0,0.011469534050200002,0.0,0.0
education and schools,1.0,0.0112305854241,2.0,0.10473815461300001
homosexuality,1.0,0.0112305854241,1.0,0.0036673023324
terrorism,1.0,0.010513739546,1.0,0.0036673023324
budgets and budgeting,1.0,0.0100358422939,0.0,0.0
sex,1.0,0.009557945041819999,1.0,0.0023470734927399997
quotation of the day,1.0,0.00908004778973,1.0,0.0061610679184399995
reviews,1.0,0.00836320191159,0.0,0.0
courts,1.0,0.00764635603345,1.0,0.034179257738
religion and churches,1.0,0.00716845878136,1.0,0.00586768373185
lobbying and lobbyists,1.0,0.00716845878136,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00621266427718,0.0,0.0
comedy and humor,1.0,0.00597371565114,0.0,0.0
judges,1.0,0.00597371565114,1.0,0.023177350740799997
privacy,1.0,0.005256869773,1.0,0.00454745489218
immigration and refugees,1.0,0.00501792114695,1.0,0.0023470734927399997
impeachment,1.0,0.00501792114695,1.0,0.004400762798890001
colleges and universities,1.0,0.004778972520909999,1.0,0.0319788763386
abortion,1.0,0.004540023894859999,1.0,0.0048408390787700005
telephones and telecommunications,1.0,0.00430107526882,0.0,0.0
insurance,1.0,0.00406212664277,0.0,0.0
demonstrations and riots,1.0,0.00406212664277,1.0,0.014815901422899999
children and youth,1.0,0.00406212664277,1.0,0.0242041953939
decisions and verdicts,1.0,0.0038231780167299998,1.0,0.0020536893061500004
theater,1.0,0.0038231780167299998,0.0,0.0
antitrust actions and laws,1.0,0.0033452807646399997,0.0,0.0
legal profession,0.0,0.0,1.0,0.00836144931788
child abuse and neglect,0.0,0.0,1.0,0.008068065131289999
christians and christianity,0.0,0.0,1.0,0.00454745489218
basketball,0.0,0.0,1.0,0.003960686519
hurricanes and tropical storms,0.0,0.0,1.0,0.0038139944256999994
murders and attempted murders,0.0,0.0,1.0,0.00352061023911
drug abuse and traffic,0.0,0.0,1.0,0.00293384186592
chemicals,0.0,0.0,1.0,0.00293384186592
sentences (criminal),0.0,0.0,1.0,0.00264045767933
tests and testing,0.0,0.0,1.0,0.00249376558603
police,0.0,0.0,1.0,0.0023470734927399997
beverages,0.0,0.0,1.0,0.0023470734927399997
ratings and rating systems,0.0,0.0,1.0,0.00220038139944
international trade and world market,0.0,0.0,1.0,0.00220038139944
alcoholic beverages,0.0,0.0,1.0,0.0020536893061500004
teachers and school employees,0.0,0.0,1.0,0.0019069972128499997
assaults,0.0,0.0,1.0,0.0019069972128499997
