term,a1_bin,a1_perc,a2_bin,a2_perc
Al Franken,10.0,0.9689366786139999,1.0,0.00910954755137
Roy Moore,4.0,0.33715651134999997,1.0,0.016005777922700002
Donald Trump,3.0,0.278614097969,2.0,0.187735893015
Trump,3.0,0.19832735961800002,2.0,0.111714272401
Leeann Tweeden,2.0,0.17037037037,0.0,0.0
Harvey Weinstein,2.0,0.165591397849,1.0,0.040165882298099996
John Conyers,2.0,0.165113500597,0.0,0.0
Hillary Clinton,2.0,0.132138590203,1.0,0.0447323051116
Mitch McConnell,2.0,0.11158900836300001,1.0,0.0342714691766
Kirsten Gillibrand,2.0,0.10633213858999999,1.0,0.00438003820884
Bill Clinton,2.0,0.104181600956,1.0,0.0137924607427
Doug Jones,2.0,0.09844683393069999,1.0,0.00910954755137
Nancy Pelosi,1.0,0.08697729988050001,1.0,0.0269558734449
Tina Smith,1.0,0.0805256869773,0.0,0.0
Paul Ryan,1.0,0.0681003584229,1.0,0.048949256791400005
Jeff Sessions,1.0,0.0671445639188,1.0,0.0204324122827
Trent Franks,1.0,0.06547192353640001,0.0,0.0
Blake Farenthold,1.0,0.06427718040620001,0.0,0.0
Barack Obama,1.0,0.06284348864990001,1.0,0.0447323051116
Chuck Schumer,1.0,0.06260454002390001,1.0,0.0178929220446
Matt Lauer,1.0,0.0575866188769,1.0,0.007781557243369999
Bernie Sanders,1.0,0.0561529271207,1.0,0.018149200876
Charlie Rose,1.0,0.0532855436081,1.0,0.006034201574949999
Robert Mueller,1.0,0.0530465949821,1.0,0.0361586132985
Amy Klobuchar,1.0,0.049701314217400004,1.0,0.00333162480779
Obama,1.0,0.046833930704899995,1.0,0.0328036904152
Mark Dayton,1.0,0.0446833930705,0.0,0.0
Kevin Spacey,1.0,0.044444444444399996,1.0,0.06630632309769999
Sarah Huckabee Sanders,1.0,0.0399044205496,1.0,0.0120917012255
Ruben Kihuen,1.0,0.038470728793300005,0.0,0.0
Steve Bannon,1.0,0.0382317801673,1.0,0.0118587204697
Louis C.K.,1.0,0.0382317801673,1.0,0.00931923023158
George W. Bush,1.0,0.037753882915199995,1.0,0.021294441079199998
Jackie Speier,1.0,0.036559139784900004,0.0,0.0
Jeff Flake,1.0,0.0360812425329,1.0,0.016308652905299998
Elizabeth Warren,1.0,0.0358422939068,1.0,0.00936582638274
John Conyers Jr.,1.0,0.0346475507766,0.0,0.0
Monica Lewinsky,1.0,0.034408602150500005,0.0,0.0
Lindsay Menz,1.0,0.0336917562724,0.0,0.0
Susan Collins,1.0,0.033452807646400004,1.0,0.013815758818299998
John McCain,1.0,0.0322580645161,1.0,0.015819393318100002
Bob Corker,1.0,0.031541218637999996,1.0,0.014328316481099999
Ted Cruz,1.0,0.029629629629599998,1.0,0.0136060761381
Kamala Harris,1.0,0.0293906810036,1.0,0.0067797399934799996
Patty Murray,1.0,0.0286738351254,0.0,0.0
Brett Kavanaugh,1.0,0.0286738351254,1.0,0.01770653744
Claire McCaskill,1.0,0.0267622461171,1.0,0.008620287964209999
Vladimir Putin,1.0,0.026523297491000002,1.0,0.016192162527399998
Mike Pence,1.0,0.026284348865,1.0,0.019663575788599997
Kellyanne Conway,1.0,0.0255675029869,1.0,0.005754624668000001
Jared Kushner,1.0,0.0253285543608,1.0,0.0116490377895
Cory Booker,1.0,0.0253285543608,1.0,0.0054284516099
Clarence Thomas,1.0,0.0250896057348,1.0,0.00386748054611
Lindsey Graham,1.0,0.024850657108700002,1.0,0.010554028237299999
Dianne Feinstein,1.0,0.0246117084827,1.0,0.0213410372303
Michael Flynn,1.0,0.024133811230599996,1.0,0.006034201574949999
Joe Biden,1.0,0.023894862604499998,1.0,0.005917711197060001
Tammy Baldwin,1.0,0.0234169653524,1.0,0.0068962303713700004
Chuck Grassley,1.0,0.0234169653524,1.0,0.00838730720842
Anita Hill,1.0,0.0234169653524,0.0,0.0
Keith Ellison,1.0,0.0231780167264,0.0,0.0
James Comey,1.0,0.021983273596200004,1.0,0.010227855179200001
Clintons,1.0,0.0217443249701,0.0,0.0
Donald Trump Jr.,1.0,0.021266427718,1.0,0.006570057313270001
Paul Manafort,1.0,0.021266427718,1.0,0.0240203159219
Dick Durbin,1.0,0.021266427718,1.0,0.00661665346442
Roger Ailes,1.0,0.021266427718,0.0,0.0
Barbara Comstock,1.0,0.020788530465900002,1.0,0.00335492288337
Mitt Romney,1.0,0.020310633213900003,1.0,0.00726899958063
Mark Halperin,1.0,0.020310633213900003,1.0,0.00405386515074
Garrison Keillor,1.0,0.020310633213900003,0.0,0.0
Sarah Sanders,1.0,0.0200716845878,1.0,0.008643586039790001
Joe Manchin,1.0,0.019832735961799998,1.0,0.0101346628768
Mazie Hirono,1.0,0.0193548387097,0.0,0.0
George Papadopoulos,1.0,0.0191158900836,1.0,0.00444993243558
Fox,1.0,0.018876941457599997,1.0,0.0207352872653
Lesley Stahl,1.0,0.018876941457599997,0.0,0.0
Orrin Hatch,1.0,0.0186379928315,1.0,0.0120917012255
Joe Barton,1.0,0.0186379928315,0.0,0.0
Mick Mulvaney,1.0,0.0181600955795,1.0,0.00761847071432
Ivanka Trump,1.0,0.0169653524492,1.0,0.00834071105727
Maggie Hassan,1.0,0.0169653524492,0.0,0.0
Sherrod Brown,1.0,0.0169653524492,1.0,0.0057313265924199995
Tim Pawlenty,1.0,0.0169653524492,0.0,0.0
Patrick Leahy,1.0,0.016726403823200002,0.0,0.0
Christine Blasey Ford,1.0,0.016726403823200002,1.0,0.00652346116211
Nikki Haley,1.0,0.0162485065711,1.0,0.0045897208890500005
George H.W. Bush,1.0,0.0162485065711,1.0,0.005847816970319999
Lisa Murkowski,1.0,0.015770609318999998,1.0,0.00757187456316
Joe Donnelly,1.0,0.015531660693,1.0,0.0075019803364200005
Bill Cosby,1.0,0.0152927120669,1.0,0.00931923023158
Tim Kaine,1.0,0.0150537634409,1.0,0.00372769209263
Marco Rubio,1.0,0.014814814814799999,1.0,0.009901682121059999
Jeff Merkley,1.0,0.014814814814799999,0.0,0.0
Paul D. Ryan,1.0,0.0145758661888,1.0,0.007944643772419999
Ronald Reagan,1.0,0.0143369175627,1.0,0.010880201295399999
Sean Hannity,1.0,0.0143369175627,1.0,0.005405153534319999
Richard Blumenthal,1.0,0.0143369175627,0.0,0.0
Jake Tapper,1.0,0.0143369175627,0.0,0.0
Glenn Thrush,1.0,0.014097968936700001,0.0,0.0
— Donald J. Trump,1.0,0.014097968936700001,1.0,0.00654675923769
Breitbart,1.0,0.0138590203106,1.0,0.005941009272630001
Leann Tweeden,1.0,0.013620071684600001,0.0,0.0
Kim Jong Un,1.0,0.013381123058499998,1.0,0.011742230091799997
Rod Rosenstein,1.0,0.013381123058499998,1.0,0.009016355249059999
Tom Perez,1.0,0.0131421744325,0.0,0.0
Heidi Heitkamp,1.0,0.0131421744325,1.0,0.018149200876
Karin Housley,1.0,0.0129032258065,0.0,0.0
Leigh Corfman,1.0,0.0129032258065,0.0,0.0
John Kelly,1.0,0.0126642771804,1.0,0.0131634127021
Juanita Broaddrick,1.0,0.0126642771804,0.0,0.0
Rex Tillerson,1.0,0.012425328554400001,1.0,0.00785145147011
Neil Gorsuch,1.0,0.012425328554400001,1.0,0.00598760542379
Sergey Kislyak,1.0,0.012425328554400001,0.0,0.0
Debbie Stabenow,1.0,0.012425328554400001,0.0,0.0
Bob Casey,1.0,0.0119474313023,0.0,0.0
Richard Shelby,1.0,0.0119474313023,0.0,0.0
BuzzFeed,1.0,0.0119474313023,1.0,0.00421695167979
Weinstein,1.0,0.0119474313023,0.0,0.0
Stephanie Kemplin,1.0,0.0119474313023,0.0,0.0
Clinton,1.0,0.0117084826762,1.0,0.008061134150319999
Bob Menendez,1.0,0.0117084826762,1.0,0.00396067284842
Russell Simmons,1.0,0.0117084826762,0.0,0.0
