term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8270011947429999,9.0,0.705172413793
united states politics and government,7.0,0.49796893667900005,6.0,0.420689655172
crime and criminals,6.0,0.42915173237800003,8.0,0.5965517241380001
sex crimes,6.0,0.42270011947400005,8.0,0.58275862069
ethics,4.0,0.323536439665,4.0,0.27413793103399997
women,4.0,0.31780167264000003,6.0,0.45862068965499997
elections,4.0,0.308960573477,4.0,0.255172413793
sexual harassment,3.0,0.215053763441,3.0,0.22413793103399998
"suspensions, dismissals and resignations",2.0,0.134528076464,2.0,0.0844827586207
news and news media,2.0,0.10728793309399999,2.0,0.0862068965517
law and legislation,2.0,0.0831541218638,1.0,0.0655172413793
media,1.0,0.0762246117085,1.0,0.0637931034483
finances,1.0,0.0757467144564,1.0,0.0655172413793
biographical information,1.0,0.073596176822,2.0,0.0931034482759
television,1.0,0.059498207885300004,1.0,0.0689655172414
presidents and presidency (us),1.0,0.05256869773,1.0,0.051724137931
computers and the internet,1.0,0.04229390681,1.0,0.0310344827586
suits and litigation,1.0,0.0387096774194,1.0,0.041379310344800004
discrimination,1.0,0.038470728793300005,1.0,0.0431034482759
"armament, defense and military forces",1.0,0.0313022700119,1.0,0.0258620689655
international relations,1.0,0.028434886499400003,1.0,0.013793103448299999
taxation,1.0,0.028195937873400002,1.0,0.010344827586200001
appointments and executive changes,1.0,0.0277180406213,1.0,0.0120689655172
medicine and health,1.0,0.0250896057348,1.0,0.0258620689655
labor,1.0,0.0250896057348,1.0,0.048275862068999996
legislatures and parliaments,1.0,0.023655913978499997,1.0,0.0120689655172
election issues,1.0,0.021983273596200004,1.0,0.0224137931034
presidential elections (us),1.0,0.020310633213900003,1.0,0.018965517241400002
united states international relations,1.0,0.0193548387097,1.0,0.0120689655172
blacks,1.0,0.0164874551971,1.0,0.0155172413793
books and literature,1.0,0.015531660693,1.0,0.0258620689655
motion pictures,1.0,0.0152927120669,1.0,0.051724137931
united states armament and defense,1.0,0.0152927120669,1.0,0.013793103448299999
advertising and marketing,1.0,0.0145758661888,1.0,0.00862068965517
governors (us),1.0,0.0143369175627,1.0,0.0155172413793
editorials,1.0,0.0143369175627,1.0,0.0155172413793
primaries,1.0,0.014097968936700001,1.0,0.0155172413793
public opinion,1.0,0.012425328554400001,1.0,0.0155172413793
radio,1.0,0.011469534050200002,1.0,0.0068965517241400005
education and schools,1.0,0.0112305854241,1.0,0.018965517241400002
homosexuality,1.0,0.0112305854241,1.0,0.00862068965517
terrorism,1.0,0.010513739546,1.0,0.010344827586200001
budgets and budgeting,1.0,0.0100358422939,0.0,0.0
sex,1.0,0.009557945041819999,1.0,0.0172413793103
quotation of the day,1.0,0.00908004778973,0.0,0.0
reviews,1.0,0.00836320191159,1.0,0.0120689655172
courts,1.0,0.00764635603345,1.0,0.0068965517241400005
religion and churches,1.0,0.00716845878136,0.0,0.0
lobbying and lobbyists,1.0,0.00716845878136,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00621266427718,1.0,0.0051724137931000004
comedy and humor,1.0,0.00597371565114,0.0,0.0
judges,1.0,0.00597371565114,0.0,0.0
privacy,1.0,0.005256869773,0.0,0.0
immigration and refugees,1.0,0.00501792114695,0.0,0.0
impeachment,1.0,0.00501792114695,1.0,0.0120689655172
colleges and universities,1.0,0.004778972520909999,1.0,0.00862068965517
abortion,1.0,0.004540023894859999,1.0,0.0051724137931000004
telephones and telecommunications,1.0,0.00430107526882,0.0,0.0
insurance,1.0,0.00406212664277,0.0,0.0
demonstrations and riots,1.0,0.00406212664277,1.0,0.0120689655172
children and youth,1.0,0.00406212664277,1.0,0.0068965517241400005
decisions and verdicts,1.0,0.0038231780167299998,1.0,0.020689655172400002
theater,1.0,0.0038231780167299998,0.0,0.0
antitrust actions and laws,1.0,0.0033452807646399997,0.0,0.0
child abuse and neglect,0.0,0.0,1.0,0.0120689655172
prostitution,0.0,0.0,1.0,0.0068965517241400005
sentences (criminal),0.0,0.0,1.0,0.0068965517241400005
presidential election of 2008,0.0,0.0,1.0,0.0051724137931000004
united states economy,0.0,0.0,1.0,0.0051724137931000004
