term,a1_bin,a1_perc,a2_bin,a2_perc
senate roy moore,7.0,0.011000000000000001,5.0,0.008
roy moore alabama,6.0,0.01,3.0,0.005
republican senate roy,4.0,0.006,2.0,0.002
leader mitch mcconnell,4.0,0.006,0.0,0.0
senate leader mitch,3.0,0.005,0.0,0.0
forcibly kissing groping,3.0,0.005,2.0,0.002
democratic john conyers,3.0,0.005,0.0,0.0
roy moore senate,3.0,0.004,0.0,0.0
roy moore donald,3.0,0.004,1.0,0.001
moore donald trump,3.0,0.004,0.0,0.0
leader chuck schumer,3.0,0.004,0.0,0.0
john conyers d-mich,3.0,0.004,2.0,0.002
franken resign senate,3.0,0.004,2.0,0.002
trump roy moore,2.0,0.003,1.0,0.001
sits oval repeatedly,2.0,0.003,0.0,0.0
senate leader chuck,2.0,0.003,0.0,0.0
senate democrats franken,2.0,0.003,1.0,0.001
sarah huckabee sanders,2.0,0.003,1.0,0.001
resign misconduct allegations,2.0,0.003,0.0,0.0
republican trent franks,2.0,0.003,2.0,0.002
republican roy moore,2.0,0.003,0.0,0.0
republican alabama senate,2.0,0.003,0.0,0.0
repeatedly preyed campaigns,2.0,0.003,0.0,0.0
preyed campaigns senate,2.0,0.003,0.0,0.0
oval repeatedly preyed,2.0,0.003,0.0,0.0
moore senate alabama,2.0,0.003,0.0,0.0
mogul harvey weinstein,2.0,0.003,2.0,0.003
leeann tweeden franken,2.0,0.003,0.0,0.0
kissing groping uso,2.0,0.003,0.0,0.0
irony bragged assault,2.0,0.003,0.0,0.0
harvey weinstein franken,2.0,0.003,0.0,0.0
gillibrand democratic senators,2.0,0.003,0.0,0.0
franken resign misconduct,2.0,0.003,0.0,0.0
franken leeann tweeden,2.0,0.003,0.0,0.0
franken john conyers,2.0,0.003,2.0,0.002
franken forcibly kiss,2.0,0.003,0.0,0.0
franken d-minn john,2.0,0.003,2.0,0.003
donald trump franken,2.0,0.003,0.0,0.0
democratic franken minnesota,2.0,0.003,0.0,0.0
democrat doug jones,2.0,0.003,2.0,0.002
d-minn john conyers,2.0,0.003,2.0,0.003
credible allegations misconduct,2.0,0.003,0.0,0.0
calling franken resign,2.0,0.003,0.0,0.0
bragged assault sits,2.0,0.003,0.0,0.0
assault sits oval,2.0,0.003,0.0,0.0
allegations sexually harassed,2.0,0.003,0.0,0.0
alabama senate roy,2.0,0.003,3.0,0.005
alabama republican senate,2.0,0.003,0.0,0.0
upscale alabama suburbs,2.0,0.002,0.0,0.0
tuesday's senate election,2.0,0.002,0.0,0.0
trent franks r-ariz,2.0,0.002,2.0,0.002
tina smith d-minn,2.0,0.002,0.0,0.0
supposedly franken martyr,2.0,0.002,0.0,0.0
