term,a1_bin,a1_perc,a2_bin,a2_perc
franken,10.0,0.36200000000000004,7.0,0.22399999999999998
allegations,9.0,0.29,8.0,0.27699999999999997
democrats,4.0,0.129,3.0,0.107
trump,4.0,0.11699999999999999,3.0,0.107
senate,4.0,0.11599999999999999,2.0,0.068
moore,3.0,0.094,2.0,0.055
harassment,3.0,0.092,3.0,0.098
resign,3.0,0.083,2.0,0.071
misconduct,2.0,0.07200000000000001,3.0,0.08
alabama,2.0,0.069,2.0,0.038
republican,2.0,0.068,2.0,0.055
roy,2.0,0.048,1.0,0.027999999999999997
tweeden,2.0,0.047,1.0,0.013999999999999999
groping,2.0,0.043,1.0,0.03
accusations,2.0,0.043,2.0,0.066
minnesota,2.0,0.04,1.0,0.026000000000000002
weinstein,1.0,0.031,2.0,0.055
apologized,1.0,0.031,0.0,0.0
campaign,1.0,0.03,1.0,0.034
election,1.0,0.028999999999999998,1.0,0.019
d-minn,1.0,0.028999999999999998,1.0,0.019
conyers,1.0,0.027000000000000003,1.0,0.013999999999999999
clinton,1.0,0.027000000000000003,1.0,0.032
assault,1.0,0.026000000000000002,2.0,0.049
washington,1.0,0.025,1.0,0.015
kissing,1.0,0.025,0.0,0.0
inappropriate,1.0,0.024,1.0,0.013000000000000001
congress,1.0,0.024,1.0,0.024
leeann,1.0,0.023,1.0,0.008
photo,1.0,0.022000000000000002,1.0,0.024
media,1.0,0.021,1.0,0.03
lawmakers,1.0,0.019,1.0,0.009000000000000001
jones,1.0,0.019,1.0,0.009000000000000001
john,1.0,0.019,1.0,0.008
tax,1.0,0.017,1.0,0.011000000000000001
victims,1.0,0.016,1.0,0.012
teenagers,1.0,0.016,1.0,0.003
judge,1.0,0.016,1.0,0.013000000000000001
investigating,1.0,0.016,0.0,0.0
sexually,1.0,0.015,1.0,0.01
harvey,1.0,0.015,1.0,0.021
gillibrand,1.0,0.015,1.0,0.028999999999999998
calling,1.0,0.015,1.0,0.011000000000000001
american,1.0,0.015,1.0,0.019
uso,1.0,0.013999999999999999,1.0,0.003
forcibly,1.0,0.013999999999999999,1.0,0.005
abuse,1.0,0.013999999999999999,1.0,0.021
tweet,1.0,0.013000000000000001,0.0,0.0
presidential,1.0,0.012,1.0,0.01
politico,1.0,0.012,1.0,0.004
obama,1.0,0.012,1.0,0.005
