term,a1_bin,a1_perc,a2_bin,a2_perc
Al Franken,10.0,0.9689366786139999,1.0,0.041964285714300005
Roy Moore,4.0,0.33715651134999997,1.0,0.0348214285714
Donald Trump,3.0,0.278614097969,5.0,0.39375
Trump,3.0,0.19832735961800002,2.0,0.19553571428599997
Leeann Tweeden,2.0,0.17037037037,0.0,0.0
Harvey Weinstein,2.0,0.165591397849,2.0,0.10625
John Conyers,2.0,0.165113500597,0.0,0.0
Hillary Clinton,2.0,0.132138590203,1.0,0.0857142857143
Mitch McConnell,2.0,0.11158900836300001,2.0,0.161607142857
Kirsten Gillibrand,2.0,0.10633213858999999,1.0,0.0258928571429
Bill Clinton,2.0,0.104181600956,1.0,0.07589285714289999
Doug Jones,2.0,0.09844683393069999,1.0,0.0107142857143
Nancy Pelosi,1.0,0.08697729988050001,1.0,0.0241071428571
Tina Smith,1.0,0.0805256869773,0.0,0.0
Paul Ryan,1.0,0.0681003584229,1.0,0.01875
Jeff Sessions,1.0,0.0671445639188,1.0,0.0232142857143
Trent Franks,1.0,0.06547192353640001,0.0,0.0
Blake Farenthold,1.0,0.06427718040620001,1.0,0.00446428571429
Barack Obama,1.0,0.06284348864990001,1.0,0.06071428571430001
Chuck Schumer,1.0,0.06260454002390001,1.0,0.048214285714300004
Matt Lauer,1.0,0.0575866188769,1.0,0.017857142857099998
Bernie Sanders,1.0,0.0561529271207,1.0,0.0116071428571
Charlie Rose,1.0,0.0532855436081,1.0,0.017857142857099998
Robert Mueller,1.0,0.0530465949821,1.0,0.0392857142857
Amy Klobuchar,1.0,0.049701314217400004,1.0,0.035714285714300006
Obama,1.0,0.046833930704899995,1.0,0.0339285714286
Mark Dayton,1.0,0.0446833930705,0.0,0.0
Kevin Spacey,1.0,0.044444444444399996,1.0,0.0133928571429
Sarah Huckabee Sanders,1.0,0.0399044205496,1.0,0.0142857142857
Ruben Kihuen,1.0,0.038470728793300005,0.0,0.0
Steve Bannon,1.0,0.0382317801673,1.0,0.0133928571429
Louis C.K.,1.0,0.0382317801673,1.0,0.0223214285714
George W. Bush,1.0,0.037753882915199995,1.0,0.05625
Jackie Speier,1.0,0.036559139784900004,1.0,0.00625
Jeff Flake,1.0,0.0360812425329,2.0,0.159821428571
Elizabeth Warren,1.0,0.0358422939068,1.0,0.025
John Conyers Jr.,1.0,0.0346475507766,0.0,0.0
Monica Lewinsky,1.0,0.034408602150500005,1.0,0.0169642857143
Lindsay Menz,1.0,0.0336917562724,0.0,0.0
Susan Collins,1.0,0.033452807646400004,2.0,0.19375
John McCain,1.0,0.0322580645161,1.0,0.0169642857143
Bob Corker,1.0,0.031541218637999996,1.0,0.041964285714300005
Ted Cruz,1.0,0.029629629629599998,1.0,0.050892857142900004
Kamala Harris,1.0,0.0293906810036,1.0,0.0383928571429
Patty Murray,1.0,0.0286738351254,1.0,0.0142857142857
Brett Kavanaugh,1.0,0.0286738351254,10.0,0.983928571429
Claire McCaskill,1.0,0.0267622461171,1.0,0.0241071428571
Vladimir Putin,1.0,0.026523297491000002,1.0,0.01875
Mike Pence,1.0,0.026284348865,1.0,0.0223214285714
Kellyanne Conway,1.0,0.0255675029869,1.0,0.049107142857099995
Jared Kushner,1.0,0.0253285543608,1.0,0.0116071428571
Cory Booker,1.0,0.0253285543608,1.0,0.0339285714286
Clarence Thomas,1.0,0.0250896057348,3.0,0.211607142857
Lindsey Graham,1.0,0.024850657108700002,1.0,0.09285714285710002
Dianne Feinstein,1.0,0.0246117084827,2.0,0.172321428571
Michael Flynn,1.0,0.024133811230599996,1.0,0.00803571428571
Joe Biden,1.0,0.023894862604499998,1.0,0.05625
Tammy Baldwin,1.0,0.0234169653524,1.0,0.00714285714286
Chuck Grassley,1.0,0.0234169653524,2.0,0.155357142857
Anita Hill,1.0,0.0234169653524,3.0,0.22232142857099998
Keith Ellison,1.0,0.0231780167264,1.0,0.0303571428571
James Comey,1.0,0.021983273596200004,1.0,0.0125
Clintons,1.0,0.0217443249701,1.0,0.0330357142857
Donald Trump Jr.,1.0,0.021266427718,1.0,0.0223214285714
Paul Manafort,1.0,0.021266427718,1.0,0.0205357142857
Dick Durbin,1.0,0.021266427718,1.0,0.025
Roger Ailes,1.0,0.021266427718,1.0,0.0133928571429
Barbara Comstock,1.0,0.020788530465900002,1.0,0.00625
Mitt Romney,1.0,0.020310633213900003,1.0,0.00714285714286
Mark Halperin,1.0,0.020310633213900003,0.0,0.0
Garrison Keillor,1.0,0.020310633213900003,0.0,0.0
Sarah Sanders,1.0,0.0200716845878,1.0,0.0160714285714
Joe Manchin,1.0,0.019832735961799998,1.0,0.0625
Mazie Hirono,1.0,0.0193548387097,1.0,0.0535714285714
George Papadopoulos,1.0,0.0191158900836,0.0,0.0
Fox,1.0,0.018876941457599997,1.0,0.03125
Lesley Stahl,1.0,0.018876941457599997,0.0,0.0
Orrin Hatch,1.0,0.0186379928315,1.0,0.0732142857143
Joe Barton,1.0,0.0186379928315,0.0,0.0
Mick Mulvaney,1.0,0.0181600955795,0.0,0.0
Ivanka Trump,1.0,0.0169653524492,1.0,0.0133928571429
Maggie Hassan,1.0,0.0169653524492,1.0,0.00446428571429
Sherrod Brown,1.0,0.0169653524492,1.0,0.00446428571429
Tim Pawlenty,1.0,0.0169653524492,0.0,0.0
Patrick Leahy,1.0,0.016726403823200002,1.0,0.01875
Christine Blasey Ford,1.0,0.016726403823200002,8.0,0.713392857143
Nikki Haley,1.0,0.0162485065711,1.0,0.015178571428600001
George H.W. Bush,1.0,0.0162485065711,1.0,0.0205357142857
Lisa Murkowski,1.0,0.015770609318999998,2.0,0.125892857143
Joe Donnelly,1.0,0.015531660693,1.0,0.0258928571429
Bill Cosby,1.0,0.0152927120669,1.0,0.05625
Tim Kaine,1.0,0.0150537634409,1.0,0.00446428571429
Marco Rubio,1.0,0.014814814814799999,1.0,0.00803571428571
Jeff Merkley,1.0,0.014814814814799999,1.0,0.00803571428571
Paul D. Ryan,1.0,0.0145758661888,0.0,0.0
Ronald Reagan,1.0,0.0143369175627,1.0,0.0258928571429
Sean Hannity,1.0,0.0143369175627,1.0,0.0160714285714
Richard Blumenthal,1.0,0.0143369175627,1.0,0.0258928571429
Jake Tapper,1.0,0.0143369175627,1.0,0.015178571428600001
Glenn Thrush,1.0,0.014097968936700001,0.0,0.0
— Donald J. Trump,1.0,0.014097968936700001,0.0,0.0
Breitbart,1.0,0.0138590203106,1.0,0.00625
Leann Tweeden,1.0,0.013620071684600001,0.0,0.0
Kim Jong Un,1.0,0.013381123058499998,1.0,0.0214285714286
Rod Rosenstein,1.0,0.013381123058499998,1.0,0.0267857142857
Tom Perez,1.0,0.0131421744325,0.0,0.0
Heidi Heitkamp,1.0,0.0131421744325,1.0,0.0526785714286
Karin Housley,1.0,0.0129032258065,0.0,0.0
Leigh Corfman,1.0,0.0129032258065,0.0,0.0
John Kelly,1.0,0.0126642771804,1.0,0.00535714285714
Juanita Broaddrick,1.0,0.0126642771804,1.0,0.0107142857143
Rex Tillerson,1.0,0.012425328554400001,0.0,0.0
Neil Gorsuch,1.0,0.012425328554400001,1.0,0.05
Sergey Kislyak,1.0,0.012425328554400001,0.0,0.0
Debbie Stabenow,1.0,0.012425328554400001,0.0,0.0
Bob Casey,1.0,0.0119474313023,1.0,0.00625
Richard Shelby,1.0,0.0119474313023,0.0,0.0
BuzzFeed,1.0,0.0119474313023,1.0,0.00446428571429
Weinstein,1.0,0.0119474313023,0.0,0.0
Stephanie Kemplin,1.0,0.0119474313023,0.0,0.0
Clinton,1.0,0.0117084826762,1.0,0.0205357142857
Bob Menendez,1.0,0.0117084826762,1.0,0.00535714285714
Russell Simmons,1.0,0.0117084826762,0.0,0.0
Arnold Reed,1.0,0.0117084826762,0.0,0.0
Betsy DeVos,1.0,0.011469534050200002,1.0,0.00625
Eric Schneiderman,1.0,0.011469534050200002,0.0,0.0
Billy Bush,1.0,0.0112305854241,1.0,0.00535714285714
Ron Johnson,1.0,0.0112305854241,0.0,0.0
Tim Walz,1.0,0.0112305854241,0.0,0.0
Lauren Greene,1.0,0.0112305854241,0.0,0.0
Josh Dawsey,1.0,0.010991636798100002,1.0,0.0223214285714
Stephen Colbert,1.0,0.010991636798100002,1.0,0.00803571428571
Mike DeBonis,1.0,0.010991636798100002,1.0,0.0107142857143
Rob Porter,1.0,0.010752688172,1.0,0.0116071428571
Cory Gardner,1.0,0.010752688172,1.0,0.00803571428571
John Cornyn,1.0,0.010752688172,1.0,0.0383928571429
Dean Heller,1.0,0.010752688172,1.0,0.0232142857143
Bill O'Reilly,1.0,0.010513739546,0.0,0.0
Andrew Cuomo,1.0,0.010513739546,1.0,0.00535714285714
Luther Strange,1.0,0.010513739546,0.0,0.0
Rachel Crooks,1.0,0.010513739546,0.0,0.0
Newt Gingrich,1.0,0.01027479092,1.0,0.00535714285714
Moore,1.0,0.01027479092,0.0,0.0
Walter Mondale,1.0,0.01027479092,0.0,0.0
Paula  Jones,1.0,0.01027479092,1.0,0.0116071428571
Norm Coleman,1.0,0.01027479092,0.0,0.0
Jessica Leeds,1.0,0.0100358422939,0.0,0.0
Gretchen Carlson,1.0,0.0100358422939,1.0,0.00803571428571
Mika Brzezinski,1.0,0.0100358422939,0.0,0.0
Brett Ratner,1.0,0.0100358422939,0.0,0.0
Gregg Harper,1.0,0.0100358422939,0.0,0.0
George Soros,1.0,0.009796893667860001,1.0,0.00892857142857
Mark Zuckerberg,1.0,0.009796893667860001,1.0,0.00714285714286
Kathleen Rice,1.0,0.009796893667860001,0.0,0.0
Megyn Kelly,1.0,0.009796893667860001,0.0,0.0
Paul Kane,1.0,0.009557945041819999,1.0,0.00714285714286
Tim Murphy,1.0,0.009557945041819999,0.0,0.0
John Kennedy,1.0,0.009557945041819999,1.0,0.0133928571429
David Letterman,1.0,0.009557945041819999,0.0,0.0
-- Trump,1.0,0.009557945041819999,1.0,0.0223214285714
Charles E. Schumer,1.0,0.00931899641577,0.0,0.0
Ron Wyden,1.0,0.00931899641577,0.0,0.0
Richard Nixon,1.0,0.00931899641577,1.0,0.00982142857143
Corey Lewandowski,1.0,0.00931899641577,0.0,0.0
Steve Wynn,1.0,0.00931899641577,0.0,0.0
Chuck Todd,1.0,0.00931899641577,1.0,0.00803571428571
Ronan Farrow,1.0,0.00931899641577,1.0,0.0464285714286
Mark Warner,1.0,0.00908004778973,1.0,0.00446428571429
David Weigel,1.0,0.00908004778973,1.0,0.00446428571429
Ryan Zinke,1.0,0.00908004778973,0.0,0.0
Bush,1.0,0.00884109916368,1.0,0.025
Putin,1.0,0.00884109916368,0.0,0.0
Robert S. Mueller III,1.0,0.00884109916368,0.0,0.0
Reagan,1.0,0.00884109916368,1.0,0.00982142857143
Bob Packwood,1.0,0.00884109916368,0.0,0.0
Patrick Meehan,1.0,0.00884109916368,0.0,0.0
Carter,1.0,0.008602150537629999,1.0,0.00714285714286
Tom Cotton,1.0,0.008602150537629999,0.0,0.0
Lamar Alexander,1.0,0.008602150537629999,0.0,0.0
Tim Scott,1.0,0.008602150537629999,0.0,0.0
Ashley Judd,1.0,0.00836320191159,1.0,0.00982142857143
Seth Meyers,1.0,0.00836320191159,0.0,0.0
Ted Kennedy,1.0,0.00836320191159,1.0,0.0107142857143
Rick Gates,1.0,0.00836320191159,0.0,0.0
Sheldon Whitehouse,1.0,0.00836320191159,1.0,0.0160714285714
Seung Min Kim,1.0,0.00836320191159,1.0,0.0214285714286
Marsha Blackburn,1.0,0.00836320191159,1.0,0.0160714285714
Tweeden,1.0,0.00836320191159,0.0,0.0
Donald J. Trump,1.0,0.00812425328554,1.0,0.00535714285714
Adam Schiff,1.0,0.00812425328554,1.0,0.00535714285714
Scott Pruitt,1.0,0.00812425328554,1.0,0.00892857142857
Bill Nelson,1.0,0.00812425328554,1.0,0.00982142857143
Richard Painter,1.0,0.00812425328554,0.0,0.0
Mueller,1.0,0.00812425328554,1.0,0.00714285714286
Samantha Holvey,1.0,0.00812425328554,0.0,0.0
Roger Stone,1.0,0.007885304659499999,1.0,0.00625
Maggie Haberman,1.0,0.007885304659499999,1.0,0.00714285714286
Jonathan Martin,1.0,0.007885304659499999,1.0,0.00803571428571
Damian Paletta,1.0,0.007885304659499999,1.0,0.00803571428571
Jimmy Kimmel,1.0,0.007885304659499999,0.0,0.0
Tammy Duckworth,1.0,0.007885304659499999,0.0,0.0
HuffPost,1.0,0.007885304659499999,1.0,0.0107142857143
Mario Batali,1.0,0.007885304659499999,0.0,0.0
Gloria Allred,1.0,0.00764635603345,0.0,0.0
Scott Walker,1.0,0.00764635603345,0.0,0.0
Michael Cohen,1.0,0.00764635603345,1.0,0.01875
Colin Stretch,1.0,0.00764635603345,0.0,0.0
Phil Bredesen,1.0,0.00764635603345,1.0,0.0169642857143
Sean Spicer,1.0,0.007407407407409999,0.0,0.0
Harry Reid,1.0,0.007407407407409999,1.0,0.00535714285714
Ralph Northam,1.0,0.007407407407409999,0.0,0.0
Matt Damon,1.0,0.007407407407409999,1.0,0.00892857142857
Ed O'Keefe,1.0,0.007407407407409999,0.0,0.0
Rand Paul,1.0,0.007407407407409999,1.0,0.00714285714286
Michelle Goldberg,1.0,0.007407407407409999,1.0,0.00535714285714
Ben Sasse,1.0,0.00716845878136,1.0,0.019642857142900004
Jones,1.0,0.00716845878136,0.0,0.0
Steven Mnuchin,1.0,0.00716845878136,0.0,0.0
Devin Nunes,1.0,0.00716845878136,0.0,0.0
Melania Trump,1.0,0.00716845878136,1.0,0.025
Rachael,1.0,0.00716845878136,1.0,0.00892857142857
Steny Hoyer,1.0,0.00716845878136,0.0,0.0
Bill Maher,1.0,0.00716845878136,1.0,0.00446428571429
DONALD TRUMP,1.0,0.00716845878136,1.0,0.0160714285714
Leah Vukmir,1.0,0.00716845878136,0.0,0.0
James Toback,1.0,0.00716845878136,0.0,0.0
Maria Cantwell,1.0,0.00692951015532,0.0,0.0
Jesus,1.0,0.00692951015532,1.0,0.00446428571429
Sean Sullivan,1.0,0.00692951015532,1.0,0.0125
Rick Scott,1.0,0.00692951015532,1.0,0.015178571428600001
Manu Raju,1.0,0.00692951015532,1.0,0.00714285714286
Jim Jordan,1.0,0.00692951015532,1.0,0.0142857142857
Trey Gowdy,1.0,0.00692951015532,0.0,0.0
Franken,1.0,0.00692951015532,0.0,0.0
Gillibrand,1.0,0.00692951015532,0.0,0.0
Ron DeSantis,1.0,0.00692951015532,1.0,0.00803571428571
Joe Scarborough,1.0,0.0066905615292700005,0.0,0.0
Erica Werner,1.0,0.0066905615292700005,1.0,0.00803571428571
Zervos,1.0,0.0066905615292700005,0.0,0.0
John Kasich,1.0,0.0066905615292700005,1.0,0.00625
Pelosi,1.0,0.0066905615292700005,0.0,0.0
Anthony Scaramucci,1.0,0.0066905615292700005,0.0,0.0
Ajit Pai,1.0,0.0066905615292700005,0.0,0.0
Michael Oreskes,1.0,0.0066905615292700005,0.0,0.0
Tina Dupuy,1.0,0.0066905615292700005,0.0,0.0
John Conyers III,1.0,0.0066905615292700005,0.0,0.0
Gary Cohn,1.0,0.006451612903229999,0.0,0.0
Mike Pompeo,1.0,0.006451612903229999,1.0,0.025
Andrew McCabe,1.0,0.006451612903229999,1.0,0.00803571428571
Leon Wieseltier,1.0,0.006451612903229999,0.0,0.0
Antonin Scalia,1.0,0.006451612903229999,1.0,0.0321428571429
Breanne Deppisch,1.0,0.006451612903229999,1.0,0.01875
Thad Cochran,1.0,0.006451612903229999,0.0,0.0
Trevor Noah,1.0,0.006451612903229999,1.0,0.00446428571429
Kyrsten Sinema,1.0,0.006451612903229999,1.0,0.00982142857143
Andrea Constand,1.0,0.006451612903229999,1.0,0.0294642857143
Pramila Jayapal,1.0,0.006451612903229999,0.0,0.0
Conor Lamb,1.0,0.006451612903229999,0.0,0.0
Richard Burr,1.0,0.00621266427718,0.0,0.0
Roe,1.0,0.00621266427718,1.0,0.0660714285714
Jon Tester,1.0,0.00621266427718,1.0,0.00982142857143
Karoun Demirjian,1.0,0.00621266427718,1.0,0.00892857142857
Angus King,1.0,0.00621266427718,0.0,0.0
Kevin Brady,1.0,0.00621266427718,0.0,0.0
Tucker Carlson,1.0,0.00621266427718,1.0,0.0107142857143
Darrell Issa,1.0,0.00621266427718,0.0,0.0
Chris Coons,1.0,0.00621266427718,1.0,0.015178571428600001
Martha McSally,1.0,0.00621266427718,1.0,0.0116071428571
Mike Cernovich,1.0,0.00621266427718,0.0,0.0
Richard Cordray,1.0,0.00621266427718,0.0,0.0
Eric Greitens,1.0,0.00621266427718,0.0,0.0
Dustin Hoffman,1.0,0.00621266427718,0.0,0.0
Joanie Greve,1.0,0.00621266427718,1.0,0.01875
Kelly,1.0,0.00597371565114,1.0,0.00535714285714
Jeb Bush,1.0,0.00597371565114,1.0,0.00446428571429
Bob Mueller,1.0,0.00597371565114,1.0,0.00982142857143
Steve Scalise,1.0,0.00597371565114,1.0,0.00446428571429
Woody Allen,1.0,0.00597371565114,1.0,0.00535714285714
