term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,10.0,0.551493428913,2.0,0.10810810810799999
Congress,7.0,0.339545997611,2.0,0.0614250614251
House,5.0,0.241816009558,1.0,0.0515970515971
White House,4.0,0.20047789725200002,2.0,0.0663390663391
GOP,4.0,0.193548387097,1.0,0.0540540540541
CNN,4.0,0.181362007168,2.0,0.07125307125310001
New York Times,3.0,0.147192353644,7.0,0.348894348894
Washington Post,3.0,0.138829151732,3.0,0.12285012285000001
Fox News,2.0,0.09557945041819998,2.0,0.06879606879610001
NBC,2.0,0.09510155316610001,3.0,0.14987714987700002
Supreme Court,2.0,0.0836320191159,2.0,0.0909090909091
Alabama Senate,2.0,0.0778972520908,1.0,0.017199017198999998
Facebook,2.0,0.0755077658303,1.0,0.0540540540541
FBI,2.0,0.0719235364397,1.0,0.041769041768999995
Republican,2.0,0.06666666666669999,1.0,0.014742014742
Democratic Party,2.0,0.06356033452809999,1.0,0.00982800982801
AP,2.0,0.0621266427718,1.0,0.036855036855
Senate Judiciary Committee,2.0,0.0597371565114,1.0,0.041769041768999995
Republican Party,2.0,0.0597371565114,1.0,0.00982800982801
Trump,2.0,0.059498207885300004,1.0,0.022113022113
Capitol Hill,2.0,0.0583034647551,1.0,0.00982800982801
U.S. Senate,1.0,0.0547192353644,1.0,0.012285012284999999
Associated Press,1.0,0.0530465949821,1.0,0.024570024569999998
Senate Ethics Committee,1.0,0.052090800477900004,0.0,0.0
Democratic,1.0,0.051851851851900006,1.0,0.014742014742
Justice Department,1.0,0.05137395459980001,1.0,0.019656019656
CBS,1.0,0.05137395459980001,3.0,0.132678132678
Politico,1.0,0.0501792114695,1.0,0.014742014742
Reuters,1.0,0.04826762246119999,1.0,0.027027027026999998
MSNBC,1.0,0.048028673835100004,1.0,0.029484029484
NBC News,1.0,0.043010752688199996,1.0,0.029484029484
House Judiciary Committee,1.0,0.0391875746714,1.0,0.004914004914
Google,1.0,0.0375149342891,1.0,0.031941031941
Republican National Committee,1.0,0.0375149342891,0.0,0.0
House of Representatives,1.0,0.0360812425329,0.0,0.0
House Ethics Committee,1.0,0.033452807646400004,0.0,0.0
Trump administration,1.0,0.0332138590203,1.0,0.00982800982801
