term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8270011947429999,2.0,0.115479115479
united states politics and government,7.0,0.49796893667900005,1.0,0.0540540540541
crime and criminals,6.0,0.42915173237800003,7.0,0.577395577396
sex crimes,6.0,0.42270011947400005,8.0,0.579852579853
ethics,4.0,0.323536439665,1.0,0.036855036855
women,4.0,0.31780167264000003,5.0,0.375921375921
elections,4.0,0.308960573477,1.0,0.024570024569999998
sexual harassment,3.0,0.215053763441,1.0,0.0540540540541
"suspensions, dismissals and resignations",2.0,0.134528076464,1.0,0.019656019656
news and news media,2.0,0.10728793309399999,1.0,0.0638820638821
law and legislation,2.0,0.0831541218638,0.0,0.0
media,1.0,0.0762246117085,1.0,0.036855036855
finances,1.0,0.0757467144564,1.0,0.019656019656
biographical information,1.0,0.073596176822,1.0,0.0515970515971
television,1.0,0.059498207885300004,3.0,0.228501228501
presidents and presidency (us),1.0,0.05256869773,0.0,0.0
computers and the internet,1.0,0.04229390681,1.0,0.049140049139999996
suits and litigation,1.0,0.0387096774194,1.0,0.024570024569999998
discrimination,1.0,0.038470728793300005,1.0,0.039312039312
"armament, defense and military forces",1.0,0.0313022700119,0.0,0.0
international relations,1.0,0.028434886499400003,1.0,0.004914004914
taxation,1.0,0.028195937873400002,0.0,0.0
appointments and executive changes,1.0,0.0277180406213,0.0,0.0
medicine and health,1.0,0.0250896057348,1.0,0.034398034397999995
labor,1.0,0.0250896057348,1.0,0.024570024569999998
legislatures and parliaments,1.0,0.023655913978499997,0.0,0.0
election issues,1.0,0.021983273596200004,0.0,0.0
presidential elections (us),1.0,0.020310633213900003,0.0,0.0
united states international relations,1.0,0.0193548387097,0.0,0.0
blacks,1.0,0.0164874551971,1.0,0.019656019656
books and literature,1.0,0.015531660693,1.0,0.049140049139999996
motion pictures,1.0,0.0152927120669,3.0,0.235872235872
united states armament and defense,1.0,0.0152927120669,0.0,0.0
advertising and marketing,1.0,0.0145758661888,1.0,0.00737100737101
governors (us),1.0,0.0143369175627,0.0,0.0
editorials,1.0,0.0143369175627,1.0,0.004914004914
primaries,1.0,0.014097968936700001,0.0,0.0
public opinion,1.0,0.012425328554400001,0.0,0.0
radio,1.0,0.011469534050200002,1.0,0.00982800982801
education and schools,1.0,0.0112305854241,1.0,0.024570024569999998
homosexuality,1.0,0.0112305854241,1.0,0.00737100737101
terrorism,1.0,0.010513739546,0.0,0.0
budgets and budgeting,1.0,0.0100358422939,0.0,0.0
sex,1.0,0.009557945041819999,1.0,0.0565110565111
quotation of the day,1.0,0.00908004778973,0.0,0.0
reviews,1.0,0.00836320191159,1.0,0.0638820638821
courts,1.0,0.00764635603345,0.0,0.0
religion and churches,1.0,0.00716845878136,1.0,0.00982800982801
lobbying and lobbyists,1.0,0.00716845878136,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00621266427718,0.0,0.0
comedy and humor,1.0,0.00597371565114,2.0,0.08353808353810001
judges,1.0,0.00597371565114,0.0,0.0
privacy,1.0,0.005256869773,0.0,0.0
immigration and refugees,1.0,0.00501792114695,0.0,0.0
impeachment,1.0,0.00501792114695,0.0,0.0
colleges and universities,1.0,0.004778972520909999,1.0,0.00982800982801
abortion,1.0,0.004540023894859999,0.0,0.0
telephones and telecommunications,1.0,0.00430107526882,0.0,0.0
insurance,1.0,0.00406212664277,0.0,0.0
demonstrations and riots,1.0,0.00406212664277,1.0,0.00982800982801
children and youth,1.0,0.00406212664277,1.0,0.014742014742
decisions and verdicts,1.0,0.0038231780167299998,1.0,0.00982800982801
theater,1.0,0.0038231780167299998,1.0,0.029484029484
antitrust actions and laws,1.0,0.0033452807646399997,0.0,0.0
"awards, decorations and honors",0.0,0.0,1.0,0.014742014742
prostitution,0.0,0.0,1.0,0.00982800982801
music,0.0,0.0,1.0,0.00982800982801
sentences (criminal),0.0,0.0,1.0,0.00982800982801
child abuse and neglect,0.0,0.0,1.0,0.00982800982801
drug abuse and traffic,0.0,0.0,1.0,0.00737100737101
diseases and conditions,0.0,0.0,1.0,0.00737100737101
apparel,0.0,0.0,1.0,0.00737100737101
entertainment and amusements,0.0,0.0,1.0,0.00737100737101
christians and christianity,0.0,0.0,1.0,0.004914004914
food,0.0,0.0,1.0,0.004914004914
academy awards (oscars),0.0,0.0,1.0,0.004914004914
festivals,0.0,0.0,1.0,0.004914004914
photography,0.0,0.0,1.0,0.004914004914
