term,a1_bin,a1_perc,a2_bin,a2_perc
Al Franken,10.0,0.9689366786139999,1.0,0.06978527607360001
Roy Moore,4.0,0.33715651134999997,2.0,0.115797546012
Donald Trump,3.0,0.278614097969,4.0,0.314417177914
Trump,3.0,0.19832735961800002,2.0,0.141871165644
Leeann Tweeden,2.0,0.17037037037,1.0,0.009969325153370002
Harvey Weinstein,2.0,0.165591397849,4.0,0.298312883436
John Conyers,2.0,0.165113500597,1.0,0.023773006135
Hillary Clinton,2.0,0.132138590203,2.0,0.135736196319
Mitch McConnell,2.0,0.11158900836300001,1.0,0.034509202454
Kirsten Gillibrand,2.0,0.10633213858999999,1.0,0.029141104294500002
Bill Clinton,2.0,0.104181600956,1.0,0.0789877300613
Doug Jones,2.0,0.09844683393069999,1.0,0.021472392638
Nancy Pelosi,1.0,0.08697729988050001,1.0,0.021472392638
Tina Smith,1.0,0.0805256869773,0.0,0.0
Paul Ryan,1.0,0.0681003584229,1.0,0.020705521472400002
Jeff Sessions,1.0,0.0671445639188,1.0,0.022239263803699998
Trent Franks,1.0,0.06547192353640001,0.0,0.0
Blake Farenthold,1.0,0.06427718040620001,1.0,0.008435582822089999
Barack Obama,1.0,0.06284348864990001,1.0,0.05904907975459999
Chuck Schumer,1.0,0.06260454002390001,1.0,0.00920245398773
Matt Lauer,1.0,0.0575866188769,2.0,0.106595092025
Bernie Sanders,1.0,0.0561529271207,1.0,0.0161042944785
Charlie Rose,1.0,0.0532855436081,1.0,0.07745398773010001
Robert Mueller,1.0,0.0530465949821,1.0,0.0375766871166
Amy Klobuchar,1.0,0.049701314217400004,0.0,0.0
Obama,1.0,0.046833930704899995,1.0,0.057515337423300006
Mark Dayton,1.0,0.0446833930705,0.0,0.0
Kevin Spacey,1.0,0.044444444444399996,1.0,0.050613496932499995
Sarah Huckabee Sanders,1.0,0.0399044205496,1.0,0.047546012269900004
Ruben Kihuen,1.0,0.038470728793300005,0.0,0.0
Steve Bannon,1.0,0.0382317801673,1.0,0.07745398773010001
Louis C.K.,1.0,0.0382317801673,1.0,0.0230061349693
George W. Bush,1.0,0.037753882915199995,1.0,0.0329754601227
Jackie Speier,1.0,0.036559139784900004,1.0,0.0076687116564399995
Jeff Flake,1.0,0.0360812425329,1.0,0.014570552147200001
Elizabeth Warren,1.0,0.0358422939068,1.0,0.0138036809816
John Conyers Jr.,1.0,0.0346475507766,0.0,0.0
Monica Lewinsky,1.0,0.034408602150500005,1.0,0.0199386503067
Lindsay Menz,1.0,0.0336917562724,0.0,0.0
Susan Collins,1.0,0.033452807646400004,1.0,0.0069018404908
John McCain,1.0,0.0322580645161,1.0,0.020705521472400002
Bob Corker,1.0,0.031541218637999996,1.0,0.00613496932515
Ted Cruz,1.0,0.029629629629599998,1.0,0.015337423312899999
Kamala Harris,1.0,0.0293906810036,1.0,0.0076687116564399995
Patty Murray,1.0,0.0286738351254,0.0,0.0
Brett Kavanaugh,1.0,0.0286738351254,1.0,0.0368098159509
Claire McCaskill,1.0,0.0267622461171,1.0,0.0038343558282199998
Vladimir Putin,1.0,0.026523297491000002,1.0,0.022239263803699998
Mike Pence,1.0,0.026284348865,1.0,0.022239263803699998
Kellyanne Conway,1.0,0.0255675029869,1.0,0.0368098159509
Jared Kushner,1.0,0.0253285543608,1.0,0.0529141104294
Cory Booker,1.0,0.0253285543608,1.0,0.0038343558282199998
Clarence Thomas,1.0,0.0250896057348,1.0,0.042177914110400005
Lindsey Graham,1.0,0.024850657108700002,1.0,0.019171779141099996
Dianne Feinstein,1.0,0.0246117084827,1.0,0.0038343558282199998
Michael Flynn,1.0,0.024133811230599996,1.0,0.0138036809816
Joe Biden,1.0,0.023894862604499998,1.0,0.0199386503067
Tammy Baldwin,1.0,0.0234169653524,0.0,0.0
Chuck Grassley,1.0,0.0234169653524,1.0,0.0038343558282199998
Anita Hill,1.0,0.0234169653524,1.0,0.045245398772999997
Keith Ellison,1.0,0.0231780167264,0.0,0.0
James Comey,1.0,0.021983273596200004,1.0,0.0199386503067
Clintons,1.0,0.0217443249701,1.0,0.015337423312899999
Donald Trump Jr.,1.0,0.021266427718,1.0,0.029907975460099996
Paul Manafort,1.0,0.021266427718,1.0,0.034509202454
Dick Durbin,1.0,0.021266427718,0.0,0.0
Roger Ailes,1.0,0.021266427718,10.0,0.976226993865
Barbara Comstock,1.0,0.020788530465900002,1.0,0.008435582822089999
Mitt Romney,1.0,0.020310633213900003,1.0,0.013036809816
Mark Halperin,1.0,0.020310633213900003,1.0,0.07745398773010001
Garrison Keillor,1.0,0.020310633213900003,1.0,0.0115030674847
Sarah Sanders,1.0,0.0200716845878,1.0,0.020705521472400002
Joe Manchin,1.0,0.019832735961799998,0.0,0.0
Mazie Hirono,1.0,0.0193548387097,0.0,0.0
George Papadopoulos,1.0,0.0191158900836,1.0,0.00460122699387
Fox,1.0,0.018876941457599997,4.0,0.321319018405
Lesley Stahl,1.0,0.018876941457599997,1.0,0.0069018404908
Orrin Hatch,1.0,0.0186379928315,1.0,0.0069018404908
Joe Barton,1.0,0.0186379928315,0.0,0.0
Mick Mulvaney,1.0,0.0181600955795,1.0,0.00536809815951
Ivanka Trump,1.0,0.0169653524492,1.0,0.0276073619632
Maggie Hassan,1.0,0.0169653524492,0.0,0.0
Sherrod Brown,1.0,0.0169653524492,0.0,0.0
Tim Pawlenty,1.0,0.0169653524492,0.0,0.0
Patrick Leahy,1.0,0.016726403823200002,1.0,0.0038343558282199998
Christine Blasey Ford,1.0,0.016726403823200002,1.0,0.023773006135
Nikki Haley,1.0,0.0162485065711,0.0,0.0
George H.W. Bush,1.0,0.0162485065711,1.0,0.0230061349693
Lisa Murkowski,1.0,0.015770609318999998,1.0,0.00613496932515
