term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.8270011947429999,5.0,0.367331288344
united states politics and government,7.0,0.49796893667900005,3.0,0.19631901840500002
crime and criminals,6.0,0.42915173237800003,6.0,0.414110429448
sex crimes,6.0,0.42270011947400005,5.0,0.371165644172
ethics,4.0,0.323536439665,2.0,0.152607361963
women,4.0,0.31780167264000003,4.0,0.298312883436
elections,4.0,0.308960573477,1.0,0.07822085889569999
sexual harassment,3.0,0.215053763441,3.0,0.19018404908
"suspensions, dismissals and resignations",2.0,0.134528076464,2.0,0.104294478528
news and news media,2.0,0.10728793309399999,4.0,0.322085889571
law and legislation,2.0,0.0831541218638,1.0,0.033742331288299995
media,1.0,0.0762246117085,3.0,0.24003067484700003
finances,1.0,0.0757467144564,1.0,0.0759202453988
biographical information,1.0,0.073596176822,2.0,0.131901840491
television,1.0,0.059498207885300004,4.0,0.310582822086
presidents and presidency (us),1.0,0.05256869773,1.0,0.03834355828219999
computers and the internet,1.0,0.04229390681,1.0,0.0513803680982
suits and litigation,1.0,0.0387096774194,2.0,0.162576687117
discrimination,1.0,0.038470728793300005,1.0,0.07822085889569999
"armament, defense and military forces",1.0,0.0313022700119,1.0,0.015337423312899999
international relations,1.0,0.028434886499400003,1.0,0.014570552147200001
taxation,1.0,0.028195937873400002,1.0,0.00613496932515
appointments and executive changes,1.0,0.0277180406213,1.0,0.042177914110400005
medicine and health,1.0,0.0250896057348,1.0,0.021472392638
labor,1.0,0.0250896057348,2.0,0.0935582822086
legislatures and parliaments,1.0,0.023655913978499997,0.0,0.0
election issues,1.0,0.021983273596200004,1.0,0.00536809815951
presidential elections (us),1.0,0.020310633213900003,1.0,0.0176380368098
united states international relations,1.0,0.0193548387097,1.0,0.010736196319
blacks,1.0,0.0164874551971,1.0,0.020705521472400002
books and literature,1.0,0.015531660693,2.0,0.106595092025
motion pictures,1.0,0.0152927120669,1.0,0.07668711656439998
united states armament and defense,1.0,0.0152927120669,1.0,0.008435582822089999
advertising and marketing,1.0,0.0145758661888,1.0,0.016871165644200003
governors (us),1.0,0.0143369175627,0.0,0.0
editorials,1.0,0.0143369175627,1.0,0.00460122699387
primaries,1.0,0.014097968936700001,1.0,0.0038343558282199998
public opinion,1.0,0.012425328554400001,1.0,0.00460122699387
radio,1.0,0.011469534050200002,1.0,0.009969325153370002
education and schools,1.0,0.0112305854241,1.0,0.0176380368098
homosexuality,1.0,0.0112305854241,1.0,0.010736196319
terrorism,1.0,0.010513739546,1.0,0.00920245398773
budgets and budgeting,1.0,0.0100358422939,0.0,0.0
sex,1.0,0.009557945041819999,1.0,0.021472392638
quotation of the day,1.0,0.00908004778973,0.0,0.0
reviews,1.0,0.00836320191159,1.0,0.016871165644200003
courts,1.0,0.00764635603345,0.0,0.0
religion and churches,1.0,0.00716845878136,0.0,0.0
lobbying and lobbyists,1.0,0.00716845878136,0.0,0.0
"mergers, acquisitions and divestitures",1.0,0.00621266427718,1.0,0.018404907975500002
comedy and humor,1.0,0.00597371565114,0.0,0.0
judges,1.0,0.00597371565114,0.0,0.0
privacy,1.0,0.005256869773,1.0,0.00920245398773
immigration and refugees,1.0,0.00501792114695,0.0,0.0
impeachment,1.0,0.00501792114695,0.0,0.0
colleges and universities,1.0,0.004778972520909999,1.0,0.00460122699387
abortion,1.0,0.004540023894859999,0.0,0.0
telephones and telecommunications,1.0,0.00430107526882,0.0,0.0
insurance,1.0,0.00406212664277,0.0,0.0
demonstrations and riots,1.0,0.00406212664277,0.0,0.0
children and youth,1.0,0.00406212664277,1.0,0.0076687116564399995
decisions and verdicts,1.0,0.0038231780167299998,1.0,0.018404907975500002
theater,1.0,0.0038231780167299998,1.0,0.00536809815951
antitrust actions and laws,1.0,0.0033452807646399997,0.0,0.0
contests and prizes,0.0,0.0,1.0,0.0268404907975
apparel,0.0,0.0,1.0,0.0122699386503
"arbitration, conciliation and mediation",0.0,0.0,1.0,0.010736196319
newspapers,0.0,0.0,1.0,0.009969325153370002
ratings and rating systems,0.0,0.0,1.0,0.00920245398773
prostitution,0.0,0.0,1.0,0.008435582822089999
documentary films and programs,0.0,0.0,1.0,0.0076687116564399995
advertising,0.0,0.0,1.0,0.0069018404908
deaths (obituaries),0.0,0.0,1.0,0.0069018404908
legal profession,0.0,0.0,1.0,0.0069018404908
drug abuse and traffic,0.0,0.0,1.0,0.00536809815951
academy awards (oscars),0.0,0.0,1.0,0.00536809815951
frauds and swindling,0.0,0.0,1.0,0.00460122699387
presidential election of 2004,0.0,0.0,1.0,0.00460122699387
wages and salaries,0.0,0.0,1.0,0.00460122699387
child abuse and neglect,0.0,0.0,1.0,0.00460122699387
marriages,0.0,0.0,1.0,0.0038343558282199998
stocks and bonds,0.0,0.0,1.0,0.0038343558282199998
futures and options trading,0.0,0.0,1.0,0.0038343558282199998
