term,a1_bin,a1_perc,a2_bin,a2_perc
Netflix,10.0,0.181818181818,3.0,0.0424966799469
New York Times,9.0,0.163009404389,7.0,0.125719344843
HBO,8.0,0.13636363636399998,2.0,0.021691013722900002
NBC,7.0,0.122257053292,4.0,0.0734838424081
Washington Post,4.0,0.0705329153605,4.0,0.0668437361664
ABC,4.0,0.05956112852659999,2.0,0.0327578574591
White House,4.0,0.0579937304075,4.0,0.06994245241260001
Amazon,3.0,0.0564263322884,1.0,0.0163789287295
CBS,3.0,0.0548589341693,3.0,0.0478087649402
Facebook,3.0,0.0532915360502,3.0,0.050464807436899996
Showtime,3.0,0.0532915360502,1.0,0.00398406374502
Times,3.0,0.0501567398119,2.0,0.0256750774679
Victoria & Abdul,3.0,0.0454545454545,0.0,0.0
CNN,3.0,0.0407523510972,4.0,0.07259849490930001
Hollywood Foreign Press Association,3.0,0.0391849529781,0.0,0.0
Congress,2.0,0.036050156739800006,3.0,0.049579459938
Senate,2.0,0.032915360501599995,4.0,0.0712704736609
Google,2.0,0.032915360501599995,1.0,0.0190349712262
Fox News,2.0,0.0313479623824,5.0,0.083222664896
Vox,2.0,0.0313479623824,1.0,0.00841080123949
Time,2.0,0.029780564263299995,1.0,0.014608233731700001
AP,2.0,0.0282131661442,5.0,0.0779105799026
Los Angeles Times,2.0,0.0282131661442,2.0,0.020362992474499998
Supreme Court,2.0,0.0266457680251,6.0,0.0996015936255
Disney,2.0,0.0266457680251,1.0,0.0141655599823
Associated Press,2.0,0.025078369906,5.0,0.0916334661355
YouTube,2.0,0.025078369906,1.0,0.015936254980099998
Golden Globe,2.0,0.0235109717868,0.0,0.0
Reuters,2.0,0.0219435736677,4.0,0.0650730411687
FBI,2.0,0.0219435736677,3.0,0.04825143868969999
Bari Weiss,2.0,0.0219435736677,0.0,0.0
TBS,2.0,0.0203761755486,0.0,0.0
NBC News,1.0,0.0188087774295,2.0,0.0323151837096
AMC,1.0,0.0188087774295,0.0,0.0
BBC,1.0,0.0156739811912,1.0,0.00619743249225
House,1.0,0.0156739811912,2.0,0.0270030987162
Senate Judiciary Committee,1.0,0.0156739811912,2.0,0.036299247454599996
TruTV,1.0,0.0156739811912,0.0,0.0
Harvard,1.0,0.0141065830721,1.0,0.0123948649845
Trump,1.0,0.0141065830721,2.0,0.0199203187251
Trump administration,1.0,0.0141065830721,1.0,0.011952191235100001
