term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,5.0,0.327586206897,10.0,0.7355141557870001
motion pictures,5.0,0.316614420063,1.0,0.005574299545249999
sex crimes,5.0,0.316614420063,10.0,0.698987824556
television,4.0,0.271159874608,1.0,0.0243508874872
women,4.0,0.22257053291499998,3.0,0.147132169576
"awards, decorations and honors",2.0,0.130094043887,0.0,0.0
reviews,2.0,0.12539184953,0.0,0.0
sex,2.0,0.10658307210000001,1.0,0.0023470734927399997
politics and government,2.0,0.100313479624,10.0,0.72451224879
books and literature,1.0,0.0658307210031,1.0,0.00880152559777
theater,1.0,0.064263322884,0.0,0.0
computers and the internet,1.0,0.0579937304075,1.0,0.0239108112073
comedy and humor,1.0,0.0485893416928,0.0,0.0
united states politics and government,1.0,0.047021943573699994,6.0,0.38271967141
news and news media,1.0,0.0391849529781,1.0,0.05779668475869999
medicine and health,1.0,0.037617554858900004,1.0,0.0199501246883
biographical information,1.0,0.036050156739800006,1.0,0.0689452838492
education and schools,1.0,0.0313479623824,2.0,0.10473815461300001
academy awards (oscars),1.0,0.0313479623824,0.0,0.0
media,1.0,0.029780564263299995,1.0,0.0376998679771
blacks,1.0,0.025078369906,1.0,0.0120287516503
documentary films and programs,1.0,0.025078369906,0.0,0.0
ethics,1.0,0.0188087774295,3.0,0.15798738448
discrimination,1.0,0.0172413793103,1.0,0.0108552149039
apparel,1.0,0.0172413793103,0.0,0.0
finances,1.0,0.0156739811912,1.0,0.0126155200235
sexual harassment,1.0,0.0156739811912,1.0,0.0136423646765
elections,1.0,0.0141065830721,2.0,0.12600850814099998
law and legislation,1.0,0.012539184953,1.0,0.0108552149039
immigration and refugees,1.0,0.012539184953,1.0,0.0023470734927399997
colleges and universities,1.0,0.010971786833899998,1.0,0.0319788763386
"armament, defense and military forces",1.0,0.010971786833899998,1.0,0.0036673023324
prostitution,1.0,0.010971786833899998,0.0,0.0
music,1.0,0.010971786833899998,0.0,0.0
suits and litigation,1.0,0.009404388714729999,1.0,0.0262578847
international relations,1.0,0.009404388714729999,1.0,0.00601437582514
advertising and marketing,1.0,0.007836990595609999,1.0,0.004400762798890001
homosexuality,1.0,0.007836990595609999,1.0,0.0036673023324
demonstrations and riots,1.0,0.007836990595609999,1.0,0.014815901422899999
children and youth,1.0,0.007836990595609999,1.0,0.0242041953939
festivals,1.0,0.007836990595609999,0.0,0.0
labor,1.0,0.00626959247649,1.0,0.00410737861229
terrorism,1.0,0.00626959247649,1.0,0.0036673023324
basketball,1.0,0.00626959247649,1.0,0.003960686519
travel and vacations,1.0,0.00626959247649,0.0,0.0
illegal aliens,1.0,0.00470219435737,0.0,0.0
united states international relations,1.0,0.00470219435737,1.0,0.00425407070559
diseases and conditions,1.0,0.00470219435737,0.0,0.0
football,1.0,0.00470219435737,0.0,0.0
pornography and obscenity,1.0,0.00470219435737,0.0,0.0
child abuse and neglect,1.0,0.00470219435737,1.0,0.008068065131289999
parties (social),1.0,0.00470219435737,0.0,0.0
freedom and human rights,1.0,0.00470219435737,0.0,0.0
appointments and executive changes,0.0,0.0,3.0,0.150652779815
courts,0.0,0.0,1.0,0.034179257738
judges,0.0,0.0,1.0,0.023177350740799997
presidents and presidency (us),0.0,0.0,1.0,0.0215637377145
public opinion,0.0,0.0,1.0,0.00982837025084
presidential elections (us),0.0,0.0,1.0,0.00836144931788
legal profession,0.0,0.0,1.0,0.00836144931788
"suspensions, dismissals and resignations",0.0,0.0,1.0,0.00674783629162
quotation of the day,0.0,0.0,1.0,0.0061610679184399995
religion and churches,0.0,0.0,1.0,0.00586768373185
abortion,0.0,0.0,1.0,0.0048408390787700005
privacy,0.0,0.0,1.0,0.00454745489218
christians and christianity,0.0,0.0,1.0,0.00454745489218
impeachment,0.0,0.0,1.0,0.004400762798890001
election issues,0.0,0.0,1.0,0.0038139944256999994
hurricanes and tropical storms,0.0,0.0,1.0,0.0038139944256999994
murders and attempted murders,0.0,0.0,1.0,0.00352061023911
drug abuse and traffic,0.0,0.0,1.0,0.00293384186592
chemicals,0.0,0.0,1.0,0.00293384186592
legislatures and parliaments,0.0,0.0,1.0,0.0027871497726300004
editorials,0.0,0.0,1.0,0.00264045767933
sentences (criminal),0.0,0.0,1.0,0.00264045767933
tests and testing,0.0,0.0,1.0,0.00249376558603
police,0.0,0.0,1.0,0.0023470734927399997
beverages,0.0,0.0,1.0,0.0023470734927399997
ratings and rating systems,0.0,0.0,1.0,0.00220038139944
taxation,0.0,0.0,1.0,0.00220038139944
international trade and world market,0.0,0.0,1.0,0.00220038139944
decisions and verdicts,0.0,0.0,1.0,0.0020536893061500004
alcoholic beverages,0.0,0.0,1.0,0.0020536893061500004
teachers and school employees,0.0,0.0,1.0,0.0019069972128499997
assaults,0.0,0.0,1.0,0.0019069972128499997
