term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.327586206897,3.0,0.0878337449327
motion pictures,10.0,0.316614420063,3.0,0.07052327477749999
sex crimes,10.0,0.316614420063,2.0,0.0586645543078
television,9.0,0.271159874608,2.0,0.052886631564199996
women,7.0,0.22257053291499998,1.0,0.0242299986021
"awards, decorations and honors",4.0,0.130094043887,1.0,0.0122547877545
reviews,4.0,0.12539184953,1.0,0.023927123619599998
sex,4.0,0.10658307210000001,1.0,0.00349471133684
politics and government,4.0,0.100313479624,10.0,0.333442057686
books and literature,2.0,0.0658307210031,1.0,0.0164717394343
theater,2.0,0.064263322884,1.0,0.0119286146964
computers and the internet,2.0,0.0579937304075,2.0,0.054074833418800004
comedy and humor,2.0,0.0485893416928,0.0,0.0
united states politics and government,2.0,0.047021943573699994,6.0,0.175993662923
news and news media,2.0,0.0391849529781,1.0,0.0237174409394
medicine and health,2.0,0.037617554858900004,2.0,0.0444294301291
biographical information,2.0,0.036050156739800006,1.0,0.0267694888402
education and schools,1.0,0.0313479623824,1.0,0.0293089790783
academy awards (oscars),1.0,0.0313479623824,1.0,0.0036577978659000005
media,1.0,0.029780564263299995,1.0,0.0150272587484
blacks,1.0,0.025078369906,1.0,0.019034527748
documentary films and programs,1.0,0.025078369906,0.0,0.0
ethics,1.0,0.0188087774295,2.0,0.038418526629699995
discrimination,1.0,0.0172413793103,1.0,0.0112296724291
apparel,1.0,0.0172413793103,1.0,0.006034201574949999
finances,1.0,0.0156739811912,6.0,0.167396673035
sexual harassment,1.0,0.0156739811912,1.0,0.00670984576674
elections,1.0,0.0141065830721,4.0,0.107264339966
law and legislation,1.0,0.012539184953,3.0,0.0884860910489
immigration and refugees,1.0,0.012539184953,1.0,0.0279576906947
colleges and universities,1.0,0.010971786833899998,1.0,0.006639951539999999
"armament, defense and military forces",1.0,0.010971786833899998,1.0,0.027515027258700003
prostitution,1.0,0.010971786833899998,0.0,0.0
music,1.0,0.010971786833899998,1.0,0.019640277713099997
suits and litigation,1.0,0.009404388714729999,1.0,0.0213876333815
