term,a1_bin,a1_perc,a2_bin,a2_perc
Netflix,5.0,0.181818181818,5.0,0.175838077166
New York Times,5.0,0.163009404389,10.0,0.382036685642
HBO,4.0,0.13636363636399998,4.0,0.130297280202
NBC,4.0,0.122257053292,3.0,0.09677419354839999
Washington Post,2.0,0.0705329153605,3.0,0.0923466160658
ABC,2.0,0.05956112852659999,2.0,0.04743833017080001
White House,2.0,0.0579937304075,2.0,0.0613535736875
Amazon,2.0,0.0564263322884,2.0,0.056925996204900006
CBS,2.0,0.0548589341693,3.0,0.0815939278937
Facebook,2.0,0.0532915360502,2.0,0.0531309297913
Showtime,2.0,0.0532915360502,1.0,0.022137887412999997
Times,2.0,0.0501567398119,3.0,0.10056925996200002
Victoria & Abdul,2.0,0.0454545454545,0.0,0.0
CNN,2.0,0.0407523510972,2.0,0.0702087286528
Hollywood Foreign Press Association,2.0,0.0391849529781,1.0,0.006325110689439999
Congress,1.0,0.036050156739800006,2.0,0.0531309297913
Senate,1.0,0.032915360501599995,3.0,0.0980392156863
Google,1.0,0.032915360501599995,1.0,0.024667931688799997
Fox News,1.0,0.0313479623824,2.0,0.0480708412397
Vox,1.0,0.0313479623824,1.0,0.0347881087919
Time,1.0,0.029780564263299995,1.0,0.0202403542062
AP,1.0,0.0282131661442,1.0,0.0290955091714
Los Angeles Times,1.0,0.0282131661442,1.0,0.024667931688799997
Supreme Court,1.0,0.0266457680251,2.0,0.044275774826100005
Disney,1.0,0.0266457680251,1.0,0.034155597722999996
Associated Press,1.0,0.025078369906,1.0,0.024035420619900005
YouTube,1.0,0.025078369906,1.0,0.022137887412999997
Golden Globe,1.0,0.0235109717868,1.0,0.00442757748261
Reuters,1.0,0.0219435736677,1.0,0.024667931688799997
FBI,1.0,0.0219435736677,1.0,0.0284629981025
Bari Weiss,1.0,0.0219435736677,0.0,0.0
TBS,1.0,0.0203761755486,1.0,0.0158127767236
NBC News,1.0,0.0188087774295,1.0,0.0347881087919
AMC,1.0,0.0188087774295,1.0,0.013915243516799998
BBC,1.0,0.0156739811912,1.0,0.0126502213789
House,1.0,0.0156739811912,1.0,0.036685641998699996
Senate Judiciary Committee,1.0,0.0156739811912,1.0,0.018975332068300002
TruTV,1.0,0.0156739811912,0.0,0.0
Harvard,1.0,0.0141065830721,1.0,0.011385199241
Trump,1.0,0.0141065830721,1.0,0.0208728652751
Trump administration,1.0,0.0141065830721,1.0,0.0101201771031
Hollywood,1.0,0.0141065830721,1.0,0.013915243516799998
