term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,5.0,0.327586206897,10.0,0.677678571429
motion pictures,5.0,0.316614420063,1.0,0.015178571428600001
sex crimes,5.0,0.316614420063,10.0,0.6508928571429999
television,4.0,0.271159874608,1.0,0.0348214285714
women,4.0,0.22257053291499998,4.0,0.26607142857099997
"awards, decorations and honors",2.0,0.130094043887,0.0,0.0
reviews,2.0,0.12539184953,1.0,0.00446428571429
sex,2.0,0.10658307210000001,0.0,0.0
politics and government,2.0,0.100313479624,10.0,0.7125
books and literature,1.0,0.0658307210031,1.0,0.017857142857099998
theater,1.0,0.064263322884,0.0,0.0
computers and the internet,1.0,0.0579937304075,1.0,0.0303571428571
comedy and humor,1.0,0.0485893416928,0.0,0.0
united states politics and government,1.0,0.047021943573699994,6.0,0.402678571429
news and news media,1.0,0.0391849529781,1.0,0.051785714285699995
medicine and health,1.0,0.037617554858900004,1.0,0.0258928571429
biographical information,1.0,0.036050156739800006,1.0,0.0678571428571
education and schools,1.0,0.0313479623824,2.0,0.08928571428570001
academy awards (oscars),1.0,0.0313479623824,0.0,0.0
media,1.0,0.029780564263299995,1.0,0.0339285714286
blacks,1.0,0.025078369906,1.0,0.0223214285714
documentary films and programs,1.0,0.025078369906,0.0,0.0
ethics,1.0,0.0188087774295,2.0,0.09910714285710001
discrimination,1.0,0.0172413793103,1.0,0.0330357142857
apparel,1.0,0.0172413793103,0.0,0.0
finances,1.0,0.0156739811912,1.0,0.0258928571429
sexual harassment,1.0,0.0156739811912,1.0,0.03125
elections,1.0,0.0141065830721,3.0,0.160714285714
law and legislation,1.0,0.012539184953,1.0,0.0303571428571
immigration and refugees,1.0,0.012539184953,0.0,0.0
colleges and universities,1.0,0.010971786833899998,1.0,0.019642857142900004
"armament, defense and military forces",1.0,0.010971786833899998,0.0,0.0
prostitution,1.0,0.010971786833899998,0.0,0.0
music,1.0,0.010971786833899998,0.0,0.0
suits and litigation,1.0,0.009404388714729999,1.0,0.0366071428571
international relations,1.0,0.009404388714729999,1.0,0.0169642857143
advertising and marketing,1.0,0.007836990595609999,1.0,0.0107142857143
homosexuality,1.0,0.007836990595609999,1.0,0.00803571428571
demonstrations and riots,1.0,0.007836990595609999,1.0,0.015178571428600001
children and youth,1.0,0.007836990595609999,1.0,0.0258928571429
festivals,1.0,0.007836990595609999,0.0,0.0
labor,1.0,0.00626959247649,1.0,0.0116071428571
terrorism,1.0,0.00626959247649,1.0,0.00625
basketball,1.0,0.00626959247649,1.0,0.0116071428571
travel and vacations,1.0,0.00626959247649,0.0,0.0
illegal aliens,1.0,0.00470219435737,0.0,0.0
united states international relations,1.0,0.00470219435737,1.0,0.00803571428571
diseases and conditions,1.0,0.00470219435737,0.0,0.0
football,1.0,0.00470219435737,0.0,0.0
pornography and obscenity,1.0,0.00470219435737,0.0,0.0
child abuse and neglect,1.0,0.00470219435737,1.0,0.0107142857143
parties (social),1.0,0.00470219435737,0.0,0.0
freedom and human rights,1.0,0.00470219435737,1.0,0.00446428571429
appointments and executive changes,0.0,0.0,2.0,0.126785714286
courts,0.0,0.0,1.0,0.03125
presidents and presidency (us),0.0,0.0,1.0,0.0232142857143
judges,0.0,0.0,1.0,0.0214285714286
sentences (criminal),0.0,0.0,1.0,0.019642857142900004
abortion,0.0,0.0,1.0,0.017857142857099998
public opinion,0.0,0.0,1.0,0.0125
decisions and verdicts,0.0,0.0,1.0,0.0125
presidential elections (us),0.0,0.0,1.0,0.0107142857143
election issues,0.0,0.0,1.0,0.00892857142857
hurricanes and tropical storms,0.0,0.0,1.0,0.00892857142857
"suspensions, dismissals and resignations",0.0,0.0,1.0,0.00892857142857
murders and attempted murders,0.0,0.0,1.0,0.00714285714286
religion and churches,0.0,0.0,1.0,0.00625
christians and christianity,0.0,0.0,1.0,0.00535714285714
drug abuse and traffic,0.0,0.0,1.0,0.00535714285714
legal profession,0.0,0.0,1.0,0.00535714285714
privacy,0.0,0.0,1.0,0.00446428571429
editorials,0.0,0.0,1.0,0.00446428571429
political advertising,0.0,0.0,1.0,0.00446428571429
