term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,7.0,0.327586206897,10.0,0.540206185567
motion pictures,6.0,0.316614420063,7.0,0.35257731958800004
sex crimes,6.0,0.316614420063,10.0,0.531958762887
television,6.0,0.271159874608,4.0,0.181443298969
women,5.0,0.22257053291499998,6.0,0.298969072165
"awards, decorations and honors",3.0,0.130094043887,2.0,0.0783505154639
reviews,3.0,0.12539184953,2.0,0.0577319587629
sex,2.0,0.10658307210000001,1.0,0.04536082474230001
politics and government,2.0,0.100313479624,3.0,0.152577319588
books and literature,2.0,0.0658307210031,1.0,0.026804123711299997
theater,2.0,0.064263322884,1.0,0.0412371134021
computers and the internet,2.0,0.0579937304075,1.0,0.0371134020619
comedy and humor,1.0,0.0485893416928,0.0,0.0
united states politics and government,1.0,0.047021943573699994,2.0,0.0742268041237
news and news media,1.0,0.0391849529781,2.0,0.0701030927835
medicine and health,1.0,0.037617554858900004,1.0,0.035051546391800005
biographical information,1.0,0.036050156739800006,2.0,0.06597938144330001
education and schools,1.0,0.0313479623824,1.0,0.0247422680412
academy awards (oscars),1.0,0.0313479623824,1.0,0.028865979381400002
media,1.0,0.029780564263299995,1.0,0.047422680412400005
blacks,1.0,0.025078369906,1.0,0.020618556701
documentary films and programs,1.0,0.025078369906,0.0,0.0
ethics,1.0,0.0188087774295,1.0,0.0515463917526
discrimination,1.0,0.0172413793103,1.0,0.022680412371099995
apparel,1.0,0.0172413793103,1.0,0.0103092783505
finances,1.0,0.0156739811912,1.0,0.020618556701
sexual harassment,1.0,0.0156739811912,2.0,0.05567010309280001
elections,1.0,0.0141065830721,1.0,0.0123711340206
law and legislation,1.0,0.012539184953,0.0,0.0
immigration and refugees,1.0,0.012539184953,0.0,0.0
colleges and universities,1.0,0.010971786833899998,1.0,0.00618556701031
"armament, defense and military forces",1.0,0.010971786833899998,0.0,0.0
prostitution,1.0,0.010971786833899998,1.0,0.0123711340206
music,1.0,0.010971786833899998,1.0,0.0185567010309
suits and litigation,1.0,0.009404388714729999,1.0,0.047422680412400005
international relations,1.0,0.009404388714729999,1.0,0.00618556701031
advertising and marketing,1.0,0.007836990595609999,1.0,0.00618556701031
homosexuality,1.0,0.007836990595609999,1.0,0.0185567010309
demonstrations and riots,1.0,0.007836990595609999,1.0,0.00618556701031
children and youth,1.0,0.007836990595609999,0.0,0.0
festivals,1.0,0.007836990595609999,0.0,0.0
labor,1.0,0.00626959247649,1.0,0.0371134020619
terrorism,1.0,0.00626959247649,0.0,0.0
basketball,1.0,0.00626959247649,1.0,0.00824742268041
travel and vacations,1.0,0.00626959247649,0.0,0.0
illegal aliens,1.0,0.00470219435737,0.0,0.0
united states international relations,1.0,0.00470219435737,0.0,0.0
diseases and conditions,1.0,0.00470219435737,0.0,0.0
football,1.0,0.00470219435737,0.0,0.0
pornography and obscenity,1.0,0.00470219435737,0.0,0.0
child abuse and neglect,1.0,0.00470219435737,1.0,0.00824742268041
parties (social),1.0,0.00470219435737,0.0,0.0
freedom and human rights,1.0,0.00470219435737,0.0,0.0
decisions and verdicts,0.0,0.0,1.0,0.026804123711299997
"suspensions, dismissals and resignations",0.0,0.0,1.0,0.026804123711299997
drug abuse and traffic,0.0,0.0,1.0,0.0123711340206
sentences (criminal),0.0,0.0,1.0,0.0103092783505
newspapers,0.0,0.0,1.0,0.00824742268041
editorials,0.0,0.0,1.0,0.00618556701031
