term,a1_bin,a1_perc,a2_bin,a2_perc
Netflix,6.0,0.181818181818,6.0,0.191646191646
New York Times,5.0,0.163009404389,10.0,0.348894348894
HBO,4.0,0.13636363636399998,3.0,0.0761670761671
NBC,4.0,0.122257053292,5.0,0.14987714987700002
Washington Post,3.0,0.0705329153605,4.0,0.12285012285000001
ABC,2.0,0.05956112852659999,3.0,0.07371007371010001
White House,2.0,0.0579937304075,2.0,0.0663390663391
Amazon,2.0,0.0564263322884,2.0,0.0638820638821
CBS,2.0,0.0548589341693,4.0,0.132678132678
Facebook,2.0,0.0532915360502,2.0,0.0540540540541
Showtime,2.0,0.0532915360502,1.0,0.019656019656
Times,2.0,0.0501567398119,2.0,0.0565110565111
Victoria & Abdul,2.0,0.0454545454545,0.0,0.0
CNN,2.0,0.0407523510972,3.0,0.07125307125310001
Hollywood Foreign Press Association,2.0,0.0391849529781,0.0,0.0
Congress,2.0,0.036050156739800006,2.0,0.0614250614251
Senate,1.0,0.032915360501599995,4.0,0.10810810810799999
Google,1.0,0.032915360501599995,1.0,0.031941031941
Fox News,1.0,0.0313479623824,2.0,0.06879606879610001
Vox,1.0,0.0313479623824,2.0,0.0638820638821
Time,1.0,0.029780564263299995,3.0,0.07125307125310001
AP,1.0,0.0282131661442,2.0,0.036855036855
Los Angeles Times,1.0,0.0282131661442,1.0,0.034398034397999995
Supreme Court,1.0,0.0266457680251,3.0,0.0909090909091
Disney,1.0,0.0266457680251,2.0,0.041769041768999995
Associated Press,1.0,0.025078369906,1.0,0.024570024569999998
YouTube,1.0,0.025078369906,1.0,0.024570024569999998
Golden Globe,1.0,0.0235109717868,1.0,0.00982800982801
Reuters,1.0,0.0219435736677,1.0,0.027027027026999998
FBI,1.0,0.0219435736677,2.0,0.041769041768999995
Bari Weiss,1.0,0.0219435736677,1.0,0.00737100737101
TBS,1.0,0.0203761755486,0.0,0.0
NBC News,1.0,0.0188087774295,1.0,0.029484029484
AMC,1.0,0.0188087774295,1.0,0.019656019656
BBC,1.0,0.0156739811912,1.0,0.012285012284999999
House,1.0,0.0156739811912,2.0,0.0515970515971
Senate Judiciary Committee,1.0,0.0156739811912,2.0,0.041769041768999995
TruTV,1.0,0.0156739811912,0.0,0.0
Harvard,1.0,0.0141065830721,1.0,0.019656019656
Trump,1.0,0.0141065830721,1.0,0.022113022113
Trump administration,1.0,0.0141065830721,1.0,0.00982800982801
Hollywood,1.0,0.0141065830721,1.0,0.00737100737101
New York,1.0,0.0141065830721,1.0,0.00737100737101
Warner Bros,1.0,0.0141065830721,1.0,0.00982800982801
New York Post,1.0,0.0141065830721,1.0,0.027027027026999998
PBS,1.0,0.0141065830721,2.0,0.044226044226
USA TODAY,1.0,0.0141065830721,1.0,0.024570024569999998
Vanity Fair,1.0,0.0141065830721,1.0,0.034398034397999995
FX,1.0,0.0141065830721,1.0,0.022113022113
Warner Bros.,1.0,0.012539184953,1.0,0.022113022113
NBA,1.0,0.012539184953,0.0,0.0
USA Today,1.0,0.012539184953,1.0,0.00982800982801
solidarity,1.0,0.012539184953,1.0,0.024570024569999998
Bloomberg,1.0,0.010971786833899998,1.0,0.014742014742
NPR,1.0,0.010971786833899998,2.0,0.039312039312
Academy of Motion Picture Arts and Sciences,1.0,0.010971786833899998,1.0,0.014742014742
MTV,1.0,0.010971786833899998,0.0,0.0
WNYC,1.0,0.010971786833899998,1.0,0.019656019656
Starz,1.0,0.010971786833899998,0.0,0.0
HFPA,1.0,0.010971786833899998,0.0,0.0
Amazon Studios,1.0,0.010971786833899998,2.0,0.0540540540541
GOP,1.0,0.009404388714729999,2.0,0.0540540540541
Justice Department,1.0,0.009404388714729999,1.0,0.019656019656
Twitter,1.0,0.009404388714729999,1.0,0.014742014742
Fox,1.0,0.009404388714729999,1.0,0.004914004914
NYU,1.0,0.009404388714729999,1.0,0.00737100737101
House Intelligence Committee,1.0,0.009404388714729999,0.0,0.0
Wall Street Journal,1.0,0.009404388714729999,1.0,0.012285012284999999
Weinstein Company,1.0,0.009404388714729999,1.0,0.017199017198999998
Pixar,1.0,0.009404388714729999,1.0,0.017199017198999998
New Yorker,1.0,0.009404388714729999,1.0,0.014742014742
USA Gymnastics,1.0,0.009404388714729999,1.0,0.022113022113
truTV,1.0,0.009404388714729999,0.0,0.0
Bette & Joan,1.0,0.009404388714729999,0.0,0.0
Missouri Meryl Streep,1.0,0.009404388714729999,0.0,0.0
house,1.0,0.007836990595609999,1.0,0.017199017198999998
Muslim,1.0,0.007836990595609999,0.0,0.0
Columbia University,1.0,0.007836990595609999,1.0,0.004914004914
ABC News,1.0,0.007836990595609999,1.0,0.022113022113
Apple,1.0,0.007836990595609999,1.0,0.012285012284999999
Microsoft,1.0,0.007836990595609999,0.0,0.0
New York Daily News,1.0,0.007836990595609999,0.0,0.0
Paramount Pictures,1.0,0.007836990595609999,0.0,0.0
Capitol Hill,1.0,0.007836990595609999,1.0,0.00982800982801
TNT,1.0,0.007836990595609999,0.0,0.0
Fox Searchlight Pictures,1.0,0.007836990595609999,0.0,0.0
75th Golden Globe,1.0,0.007836990595609999,0.0,0.0
Yale,1.0,0.00626959247649,1.0,0.017199017198999998
Pentagon,1.0,0.00626959247649,0.0,0.0
ISIS,1.0,0.00626959247649,0.0,0.0
Columbia,1.0,0.00626959247649,0.0,0.0
Chelsea,1.0,0.00626959247649,1.0,0.004914004914
Ford,1.0,0.00626959247649,2.0,0.049140049139999996
Heritage Foundation,1.0,0.00626959247649,0.0,0.0
NASA,1.0,0.00626959247649,1.0,0.004914004914
NFL,1.0,0.00626959247649,2.0,0.039312039312
CDC,1.0,0.00626959247649,1.0,0.00737100737101
University of Virginia,1.0,0.00626959247649,1.0,0.004914004914
Sony Pictures,1.0,0.00626959247649,0.0,0.0
Philadelphia Eagles,1.0,0.00626959247649,0.0,0.0
Trump White House,1.0,0.00626959247649,0.0,0.0
CW,1.0,0.00626959247649,1.0,0.00737100737101
CBS Interactive Inc,1.0,0.00626959247649,0.0,0.0
McDonald,1.0,0.00626959247649,1.0,0.014742014742
Instagram,1.0,0.00626959247649,1.0,0.014742014742
Bell,1.0,0.00626959247649,0.0,0.0
University of Cincinnati,1.0,0.00626959247649,1.0,0.00737100737101
Universal Pictures,1.0,0.00626959247649,1.0,0.00737100737101
Denzel Washington,1.0,0.00626959247649,0.0,0.0
Winona Ryder,1.0,0.00626959247649,1.0,0.00737100737101
Gal Gadot,1.0,0.00626959247649,0.0,0.0
Lincoln Financial Field,1.0,0.00626959247649,0.0,0.0
Daily Signal,1.0,0.00626959247649,0.0,0.0
NBCU Photo Bank,1.0,0.00626959247649,0.0,0.0
Republican,1.0,0.00470219435737,1.0,0.014742014742
CIA,1.0,0.00470219435737,1.0,0.004914004914
United Nations,1.0,0.00470219435737,1.0,0.004914004914
Democratic National Committee,1.0,0.00470219435737,0.0,0.0
DNC,1.0,0.00470219435737,0.0,0.0
Post,1.0,0.00470219435737,1.0,0.019656019656
Facebook post,1.0,0.00470219435737,0.0,0.0
Costco,1.0,0.00470219435737,0.0,0.0
