term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,3.0,0.19123505976100003,0.0,0.0
New York Times,2.0,0.125719344843,2.0,0.111394919824
Supreme Court,2.0,0.0996015936255,10.0,0.829289059174
Associated Press,2.0,0.0916334661355,1.0,0.0433517808997
Fox News,2.0,0.083222664896,2.0,0.102171136654
AP,1.0,0.0779105799026,1.0,0.0441322548602
NBC,1.0,0.0734838424081,1.0,0.042003689513300003
CNN,1.0,0.07259849490930001,2.0,0.119767276855
Senate,1.0,0.0712704736609,7.0,0.5264651624800001
White House,1.0,0.06994245241260001,4.0,0.273733503619
Washington Post,1.0,0.0668437361664,2.0,0.123882503193
Reuters,1.0,0.0650730411687,1.0,0.0500922378317
Facebook,1.0,0.050464807436899996,1.0,0.0332056194125
Congress,1.0,0.049579459938,2.0,0.160777635873
FBI,1.0,0.04825143868969999,4.0,0.266496381439
CBS,1.0,0.0478087649402,1.0,0.0341279977295
Netflix,1.0,0.0424966799469,1.0,0.00432808287214
Senate Judiciary Committee,1.0,0.036299247454599996,5.0,0.37207322264799997
GOP,1.0,0.0358565737052,3.0,0.179154250035
Ford,1.0,0.034971226206300006,4.0,0.29253583085
ABC,1.0,0.0327578574591,1.0,0.0219951752519
NBC News,1.0,0.0323151837096,1.0,0.0398041719881
MSNBC,1.0,0.0301018149624,1.0,0.0301546757485
Academy of Motion Picture Arts and Sciences,1.0,0.0301018149624,0.0,0.0
House,1.0,0.0270030987162,1.0,0.07776358734210001
Times,1.0,0.0256750774679,1.0,0.0178799489144
Yale,1.0,0.022576361221799998,1.0,0.07187455654889999
CBS News,1.0,0.021691013722900002,1.0,0.020576131687200003
HBO,1.0,0.021691013722900002,1.0,0.00376046544629
Temple,1.0,0.020805666224,0.0,0.0
University of Pennsylvania,1.0,0.020362992474499998,0.0,0.0
Los Angeles Times,1.0,0.020362992474499998,1.0,0.00595998297148
Trump,1.0,0.0199203187251,1.0,0.0488860508018
Google,1.0,0.0190349712262,1.0,0.014899957428700003
USA TODAY,1.0,0.0185922974768,1.0,0.0124166311906
Amazon,1.0,0.0163789287295,1.0,0.00858521356606
YouTube,1.0,0.015936254980099998,1.0,0.0062437916844
Justice Department,1.0,0.015493581230600002,1.0,0.044841776642500004
NFL,1.0,0.015493581230600002,1.0,0.0080175961402
Wall Street Journal,1.0,0.015493581230600002,1.0,0.026890875549900002
Weinstein Company,1.0,0.015493581230600002,0.0,0.0
New York Post,1.0,0.014608233731700001,1.0,0.0026961827728099997
Time,1.0,0.014608233731700001,1.0,0.00227046970342
Disney,1.0,0.0141655599823,0.0,0.0
Miramax,1.0,0.0141655599823,0.0,0.0
U.N.,1.0,0.0132802124834,1.0,0.0109975876259
Judiciary Committee,1.0,0.0132802124834,2.0,0.13161629062000002
New Yorker,1.0,0.0132802124834,1.0,0.007591883070810001
Harvard,1.0,0.0123948649845,1.0,0.0193699446573
ABC News,1.0,0.0123948649845,1.0,0.010288065843600001
CBS Interactive Inc,1.0,0.0123948649845,1.0,0.015609479211
Republican,1.0,0.011952191235100001,1.0,0.058464594863099996
Trump administration,1.0,0.011952191235100001,1.0,0.0348375195118
Vanity Fair,1.0,0.0115095174856,1.0,0.00411522633745
Daily News,1.0,0.0115095174856,0.0,0.0
Capitol Hill,1.0,0.0110668437362,1.0,0.031218958422
Hollywood,1.0,0.0106241699867,0.0,0.0
NPR,1.0,0.0106241699867,1.0,0.010429970200100001
Amazon Studios,1.0,0.0106241699867,0.0,0.0
Yale University,1.0,0.009296148738379998,1.0,0.0390236980275
USA Gymnastics,1.0,0.009296148738379998,0.0,0.0
