term,a1_bin,a1_perc,a2_bin,a2_perc
andrea constand,2.0,0.05,0.0,0.0
sexually assaulting,1.0,0.027000000000000003,1.0,0.023
comedian cosby,1.0,0.026000000000000002,0.0,0.0
assault retrial,1.0,0.025,0.0,0.0
cosby assault,1.0,0.023,0.0,0.0
temple university,1.0,0.022000000000000002,0.0,0.0
indecent assault,1.0,0.022000000000000002,0.0,0.0
cosby's accusers,1.0,0.022000000000000002,0.0,0.0
cosby drugged,1.0,0.022000000000000002,0.0,0.0
cosby convicted,1.0,0.022000000000000002,0.0,0.0
aggravated indecent,1.0,0.022000000000000002,0.0,0.0
sexually assaulted,1.0,0.018000000000000002,2.0,0.037000000000000005
montgomery courthouse,1.0,0.018000000000000002,0.0,0.0
steven o'neill,1.0,0.017,0.0,0.0
norristown pa,1.0,0.017,0.0,0.0
janice dickinson,1.0,0.017,0.0,0.0
violent predator,1.0,0.016,0.0,0.0
judge steven,1.0,0.016,0.0,0.0
harvey weinstein,1.0,0.016,0.0,0.0
drugging sexually,1.0,0.016,0.0,0.0
counts aggravated,1.0,0.016,0.0,0.0
cosby accusers,1.0,0.016,0.0,0.0
sexually violent,1.0,0.015,0.0,0.0
cosby's assault,1.0,0.015,0.0,0.0
cosby sexually,1.0,0.015,0.0,0.0
norristown pennsylvania,1.0,0.013999999999999999,0.0,0.0
cosby drugging,1.0,0.013999999999999999,0.0,0.0
constand cosby,1.0,0.013999999999999999,0.0,0.0
testified cosby,1.0,0.013000000000000001,0.0,0.0
courthouse norristown,1.0,0.013000000000000001,0.0,0.0
cosby counts,1.0,0.013000000000000001,0.0,0.0
roman polanski,1.0,0.011000000000000001,0.0,0.0
gloria allred,1.0,0.011000000000000001,0.0,0.0
drugged raped,1.0,0.011000000000000001,0.0,0.0
cosby retrial,1.0,0.011000000000000001,0.0,0.0
cosby constand,1.0,0.011000000000000001,0.0,0.0
constand temple,1.0,0.011000000000000001,0.0,0.0
camille cosby,1.0,0.011000000000000001,0.0,0.0
roger ailes,1.0,0.01,0.0,0.0
kevin steele,1.0,0.01,0.0,0.0
hannibal buress,1.0,0.01,0.0,0.0
drugged assaulted,1.0,0.01,0.0,0.0
assaulting andrea,1.0,0.01,0.0,0.0
assault andrea,1.0,0.01,0.0,0.0
allegations cosby,1.0,0.01,0.0,0.0
women's basketball,1.0,0.009000000000000001,0.0,0.0
montgomery district,1.0,0.009000000000000001,0.0,0.0
drugged sexually,1.0,0.009000000000000001,0.0,0.0
drugged molested,1.0,0.009000000000000001,0.0,0.0
counts assault,1.0,0.009000000000000001,0.0,0.0
cosby sentenced,1.0,0.009000000000000001,0.0,0.0
cosby misconduct,1.0,0.009000000000000001,0.0,0.0
alleged assault,1.0,0.009000000000000001,2.0,0.027999999999999997
accusers testify,1.0,0.009000000000000001,0.0,0.0
