term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,10.0,0.19123505976100003,1.0,0.00372769209263
New York Times,7.0,0.125719344843,4.0,0.07280648618419999
Supreme Court,6.0,0.0996015936255,3.0,0.0430082475188
Associated Press,5.0,0.0916334661355,4.0,0.070220399795
Fox News,5.0,0.083222664896,3.0,0.043217930199
AP,5.0,0.0779105799026,6.0,0.107753599553
NBC,4.0,0.0734838424081,2.0,0.0359722286939
CNN,4.0,0.07259849490930001,4.0,0.06644611155119999
Senate,4.0,0.0712704736609,8.0,0.15295186617599998
White House,4.0,0.06994245241260001,8.0,0.135944271003
Washington Post,4.0,0.0668437361664,4.0,0.065351101999
Reuters,4.0,0.0650730411687,6.0,0.09771212897810001
Facebook,3.0,0.050464807436899996,3.0,0.0522109873724
Congress,3.0,0.049579459938,8.0,0.140557289968
FBI,3.0,0.04825143868969999,3.0,0.05051022785519999
CBS,3.0,0.0478087649402,2.0,0.0273053445785
Netflix,3.0,0.0424966799469,2.0,0.0357858440893
Senate Judiciary Committee,2.0,0.036299247454599996,1.0,0.0137924607427
GOP,2.0,0.0358565737052,7.0,0.11679325287699999
Ford,2.0,0.034971226206300006,1.0,0.0183355854806
ABC,2.0,0.0327578574591,2.0,0.026187036950699998
NBC News,2.0,0.0323151837096,1.0,0.018195797027200002
MSNBC,2.0,0.0301018149624,1.0,0.012511066585899998
Academy of Motion Picture Arts and Sciences,2.0,0.0301018149624,0.0,0.0
House,2.0,0.0270030987162,8.0,0.140906761102
Times,2.0,0.0256750774679,1.0,0.0132333069288
Yale,2.0,0.022576361221799998,1.0,0.0045431247379
CBS News,2.0,0.021691013722900002,1.0,0.0108336051442
HBO,2.0,0.021691013722900002,1.0,0.013722566516
Temple,2.0,0.020805666224,0.0,0.0
University of Pennsylvania,2.0,0.020362992474499998,0.0,0.0
Los Angeles Times,2.0,0.020362992474499998,1.0,0.0124178742836
Trump,2.0,0.0199203187251,3.0,0.040748334187599995
Google,1.0,0.0190349712262,2.0,0.0284236522063
USA TODAY,1.0,0.0185922974768,1.0,0.017520152835400003
Amazon,1.0,0.0163789287295,2.0,0.0219001910442
YouTube,1.0,0.015936254980099998,1.0,0.0156563067891
Justice Department,1.0,0.015493581230600002,2.0,0.0335958249849
NFL,1.0,0.015493581230600002,3.0,0.046316574251
Wall Street Journal,1.0,0.015493581230600002,2.0,0.021108056474500002
Weinstein Company,1.0,0.015493581230600002,0.0,0.0
New York Post,1.0,0.014608233731700001,1.0,0.00444993243558
Time,1.0,0.014608233731700001,0.0,0.0
Disney,1.0,0.0141655599823,1.0,0.0142584222543
Miramax,1.0,0.0141655599823,0.0,0.0
U.N.,1.0,0.0132802124834,1.0,0.008410605283999999
Judiciary Committee,1.0,0.0132802124834,1.0,0.00647686501095
New Yorker,1.0,0.0132802124834,0.0,0.0
Harvard,1.0,0.0123948649845,1.0,0.0102977494059
ABC News,1.0,0.0123948649845,1.0,0.00938912445832
CBS Interactive Inc,1.0,0.0123948649845,1.0,0.007152509202740001
Republican,1.0,0.011952191235100001,2.0,0.036810959414800004
Trump administration,1.0,0.011952191235100001,2.0,0.0337356134383
Vanity Fair,1.0,0.0115095174856,1.0,0.00647686501095
Daily News,1.0,0.0115095174856,1.0,0.00475280741811
Capitol Hill,1.0,0.0110668437362,1.0,0.0132333069288
Hollywood,1.0,0.0106241699867,0.0,0.0
NPR,1.0,0.0106241699867,1.0,0.008620287964209999
Amazon Studios,1.0,0.0106241699867,0.0,0.0
Yale University,1.0,0.009296148738379998,0.0,0.0
USA Gymnastics,1.0,0.009296148738379998,0.0,0.0
United Nations,1.0,0.00885347498893,1.0,0.010507432086100001
State Department,1.0,0.00885347498893,1.0,0.012860537719600001
Post,1.0,0.00885347498893,1.0,0.014328316481099999
Facebook post,1.0,0.00885347498893,1.0,0.00533525930758
Politico,1.0,0.00885347498893,1.0,0.0146777876147
CIA,1.0,0.00841080123949,1.0,0.0158659894693
Vox,1.0,0.00841080123949,1.0,0.006337076557479999
Newsweek,1.0,0.00841080123949,0.0,0.0
USA Today,1.0,0.00841080123949,1.0,0.00785145147011
PBS,1.0,0.00841080123949,1.0,0.00428684590653
New York Daily News,1.0,0.00841080123949,1.0,0.00463631704021
Rochelle,1.0,0.00841080123949,0.0,0.0
Philadelphia Inquirer,1.0,0.00841080123949,0.0,0.0
Democratic Party,1.0,0.00796812749004,1.0,0.018685056614299998
house,1.0,0.00796812749004,1.0,0.00482270164484
Bloomberg,1.0,0.00796812749004,2.0,0.0309398443689
U.S. Supreme Court,1.0,0.00796812749004,1.0,0.0073155957317899995
Catholic Church,1.0,0.00796812749004,0.0,0.0
Kennedy Center,1.0,0.00796812749004,0.0,0.0
EPA,1.0,0.0075254537405900004,1.0,0.018778248916599998
New York Police Department,1.0,0.0075254537405900004,0.0,0.0
Department of Justice,1.0,0.00708277999115,1.0,0.00838730720842
U.S. Senate,1.0,0.00708277999115,1.0,0.0150971529752
Navy,1.0,0.00708277999115,1.0,0.0124877685103
Republican National Committee,1.0,0.0066401062417,1.0,0.006500163086529999
Cannes Film Festival,1.0,0.0066401062417,0.0,0.0
Playboy,1.0,0.0066401062417,0.0,0.0
MTV,1.0,0.0066401062417,1.0,0.00444993243558
Hollywood Chamber of Commerce,1.0,0.0066401062417,0.0,0.0
UN,1.0,0.00619743249225,1.0,0.00335492288337
BBC,1.0,0.00619743249225,1.0,0.008550393737479999
Boston Globe,1.0,0.00619743249225,1.0,0.00442663436
Republican Party,1.0,0.00619743249225,2.0,0.0208284795676
Michigan State University,1.0,0.00619743249225,0.0,0.0
Carnegie Mellon University,1.0,0.00619743249225,0.0,0.0
Temple University athletics,1.0,0.00619743249225,0.0,0.0
Islam,1.0,0.00575475874281,0.0,0.0
Pentagon,1.0,0.00575475874281,1.0,0.0116024416383
F.B.I.,1.0,0.00575475874281,1.0,0.00419365360421
ACLU,1.0,0.00575475874281,0.0,0.0
Catholic,1.0,0.00575475874281,1.0,0.004123759377480001
Nike,1.0,0.00575475874281,1.0,0.00724570150506
Warner Bros.,1.0,0.00575475874281,1.0,0.007432086109689999
LAPD,1.0,0.00575475874281,0.0,0.0
LA Times,1.0,0.00575475874281,0.0,0.0
Northwestern University,1.0,0.00575475874281,0.0,0.0
BuzzFeed News,1.0,0.00575475874281,1.0,0.00503238432505
Roman Polanski,1.0,0.00575475874281,0.0,0.0
Walmart,1.0,0.005312084993359999,1.0,0.00563813429011
Starbucks,1.0,0.005312084993359999,1.0,0.0178696239691
NBA,1.0,0.005312084993359999,5.0,0.0779320628116
Boston College,1.0,0.005312084993359999,1.0,0.00400726899958
Weinstein Co.,1.0,0.005312084993359999,0.0,0.0
NATO,1.0,0.0048694112439099995,1.0,0.007129211127159999
National Organization for Women,1.0,0.0048694112439099995,0.0,0.0
State,1.0,0.0048694112439099995,1.0,0.0172172778528
Stanford,1.0,0.0048694112439099995,1.0,0.0102744513303
Apple,1.0,0.0048694112439099995,1.0,0.0122780858301
NAACP,1.0,0.0048694112439099995,1.0,0.006034201574949999
NDA,1.0,0.0048694112439099995,0.0,0.0
United Nations General Assembly,1.0,0.0048694112439099995,0.0,0.0
Smithsonian,1.0,0.0048694112439099995,0.0,0.0
RNC,1.0,0.0048694112439099995,1.0,0.00773496109221
