term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.7144754316069999,2.0,0.0878337449327
sex crimes,10.0,0.673306772908,1.0,0.0586645543078
women,3.0,0.188136343515,1.0,0.0242299986021
decisions and verdicts,3.0,0.181938911023,1.0,0.0118587204697
sentences (criminal),3.0,0.156706507304,1.0,0.008270816830530001
politics and government,3.0,0.146525011067,5.0,0.333442057686
suits and litigation,2.0,0.131916777335,1.0,0.0213876333815
television,2.0,0.122177954847,1.0,0.052886631564199996
motion pictures,2.0,0.0916334661355,1.0,0.07052327477749999
ethics,2.0,0.0730411686587,1.0,0.038418526629699995
united states politics and government,1.0,0.0694997786631,3.0,0.175993662923
child abuse and neglect,1.0,0.0641876936698,1.0,0.00475280741811
basketball,1.0,0.0566622399292,2.0,0.0936349657518
medicine and health,1.0,0.0540061974325,1.0,0.0444294301291
biographical information,1.0,0.0517928286853,1.0,0.0267694888402
news and news media,1.0,0.0486941124391,1.0,0.0237174409394
blacks,1.0,0.0460380699425,1.0,0.019034527748
education and schools,1.0,0.045152722443599996,1.0,0.0293089790783
sexual harassment,1.0,0.034971226206300006,1.0,0.00670984576674
media,1.0,0.0327578574591,1.0,0.0150272587484
discrimination,1.0,0.031872509960199996,1.0,0.0112296724291
music,1.0,0.0274457724657,1.0,0.019640277713099997
reviews,1.0,0.0239043824701,1.0,0.023927123619599998
elections,1.0,0.0234617087207,2.0,0.107264339966
jury system,1.0,0.0230190349712,0.0,0.0
colleges and universities,1.0,0.022576361221799998,1.0,0.006639951539999999
books and literature,1.0,0.0221336874723,1.0,0.0164717394343
computers and the internet,1.0,0.020805666224,1.0,0.054074833418800004
murders and attempted murders,1.0,0.0185922974768,1.0,0.026140440799599998
labor,1.0,0.0163789287295,1.0,0.0422394110246
law and legislation,1.0,0.015493581230600002,2.0,0.0884860910489
"awards, decorations and honors",1.0,0.0150509074812,1.0,0.0122547877545
children and youth,1.0,0.0141655599823,1.0,0.014072037649700001
religion and churches,1.0,0.0123948649845,1.0,0.008643586039790001
comedy and humor,1.0,0.0123948649845,0.0,0.0
finances,1.0,0.011952191235100001,3.0,0.167396673035
"armament, defense and military forces",1.0,0.011952191235100001,1.0,0.027515027258700003
sex,1.0,0.0115095174856,1.0,0.00349471133684
international relations,1.0,0.0115095174856,1.0,0.0372769209263
demonstrations and riots,1.0,0.0106241699867,1.0,0.00829411490611
theater,1.0,0.010181496237299999,1.0,0.0119286146964
prostitution,1.0,0.00973882248783,0.0,0.0
"suspensions, dismissals and resignations",1.0,0.00973882248783,1.0,0.00836400913285
prisons and prisoners,1.0,0.00885347498893,0.0,0.0
academy awards (oscars),1.0,0.00885347498893,1.0,0.0036577978659000005
presidents and presidency (us),1.0,0.00841080123949,1.0,0.0154466241088
united states international relations,1.0,0.00796812749004,1.0,0.024369787055599997
diseases and conditions,1.0,0.00796812749004,1.0,0.00705931690042
assaults,1.0,0.00796812749004,0.0,0.0
homosexuality,1.0,0.0075254537405900004,1.0,0.00943572060948
police,1.0,0.0075254537405900004,1.0,0.0156330087135
christians and christianity,1.0,0.0066401062417,1.0,0.0045431247379
appointments and executive changes,1.0,0.0066401062417,1.0,0.0152369414286
college athletics,1.0,0.0066401062417,1.0,0.029658450211999997
quotation of the day,1.0,0.00619743249225,0.0,0.0
deaths (obituaries),1.0,0.00619743249225,1.0,0.00400726899958
festivals,1.0,0.00575475874281,1.0,0.003541307488
advertising and marketing,1.0,0.005312084993359999,1.0,0.013442989609100002
drug abuse and traffic,1.0,0.005312084993359999,1.0,0.0101346628768
frauds and swindling,1.0,0.0048694112439099995,1.0,0.0144215087834
apparel,1.0,0.0048694112439099995,1.0,0.006034201574949999
photography,1.0,0.0048694112439099995,0.0,0.0
legal profession,1.0,0.0048694112439099995,0.0,0.0
privacy,1.0,0.004426737494470001,1.0,0.00340151903453
united states armament and defense,1.0,0.004426737494470001,1.0,0.011555845487200001
art,1.0,0.00398406374502,0.0,0.0
documentary films and programs,1.0,0.00398406374502,0.0,0.0
terrorism,1.0,0.00354138999557,1.0,0.0147243837659
drugs (pharmaceuticals),1.0,0.00354138999557,0.0,0.0
restaurants,1.0,0.00354138999557,0.0,0.0
radio,1.0,0.00354138999557,0.0,0.0
priests,1.0,0.00354138999557,0.0,0.0
presidential elections (us),1.0,0.00309871624613,1.0,0.008131028377060001
entertainment and amusements,1.0,0.00309871624613,0.0,0.0
election issues,1.0,0.0026560424966799996,1.0,0.0102977494059
international trade and world market,1.0,0.0026560424966799996,1.0,0.0280508829971
taxation,0.0,0.0,2.0,0.07606821676530001
football,0.0,0.0,1.0,0.0486230837333
baseball,0.0,0.0,1.0,0.047201901123000004
games,0.0,0.0,1.0,0.033246353851200006
immigration and refugees,0.0,0.0,1.0,0.0279576906947
economic conditions and trends,0.0,0.0,1.0,0.0277946041657
budgets and budgeting,0.0,0.0,1.0,0.0258142677415
playoff games,0.0,0.0,1.0,0.0203858161316
primaries,0.0,0.0,1.0,0.019640277713099997
athletics and sports,0.0,0.0,1.0,0.019034527748
united states economy,0.0,0.0,1.0,0.017287172079599997
"hockey, ice",0.0,0.0,1.0,0.0165649317366
stocks and bonds,0.0,0.0,1.0,0.016005777922700002
automobile racing,0.0,0.0,1.0,0.01549322026
coaches and managers,0.0,0.0,1.0,0.0147476818415
illegal aliens,0.0,0.0,1.0,0.014584595312399999
soccer,0.0,0.0,1.0,0.0140254414985
customs (tariff),0.0,0.0,1.0,0.0139788453474
banks and banking,0.0,0.0,1.0,0.0126042588882
boxing,0.0,0.0,1.0,0.0119286146964
tax credits,0.0,0.0,1.0,0.0114160570337
"prices (fares, fees and rates)",0.0,0.0,1.0,0.0113228647314
tennis,0.0,0.0,1.0,0.010554028237299999
federal taxes (us),0.0,0.0,1.0,0.010227855179200001
lobbying and lobbyists,0.0,0.0,1.0,0.009901682121059999
food,0.0,0.0,1.0,0.00976189366758
golf,0.0,0.0,1.0,0.00931923023158
accidents and safety,0.0,0.0,1.0,0.0089697590979
wages and salaries,0.0,0.0,1.0,0.008643586039790001
race,0.0,0.0,1.0,0.00843390335958
insurance,0.0,0.0,1.0,0.00838730720842
environment,0.0,0.0,1.0,0.00810773030148
travel and vacations,0.0,0.0,1.0,0.007944643772419999
legislatures and parliaments,0.0,0.0,1.0,0.007781557243369999
oil (petroleum) and gasoline,0.0,0.0,1.0,0.0076417687899
credit,0.0,0.0,1.0,0.007595172638739999
energy and power,0.0,0.0,1.0,0.00726899958063
corporations,0.0,0.0,1.0,0.00726899958063
editorials,0.0,0.0,1.0,0.00724570150506
governors (us),0.0,0.0,1.0,0.00710591305158
draft and recruitment (sports),0.0,0.0,1.0,0.007082614976
"mergers, acquisitions and divestitures",0.0,0.0,1.0,0.00691952844695
airlines and airplanes,0.0,0.0,1.0,0.0065933553888400005
health insurance and managed care,0.0,0.0,1.0,0.00647686501095
housing,0.0,0.0,1.0,0.00647686501095
ncaa basketball tournament,0.0,0.0,1.0,0.00647686501095
company reports,0.0,0.0,1.0,0.006313778481899999
weather,0.0,0.0,1.0,0.00617399002842
super bowl,0.0,0.0,1.0,0.00608079772611
hurricanes and tropical storms,0.0,0.0,1.0,0.005941009272630001
interest rates,0.0,0.0,1.0,0.005754624668000001
firearms,0.0,0.0,1.0,0.00570802851684
public opinion,0.0,0.0,1.0,0.005405153534319999
olympic games,0.0,0.0,1.0,0.00535855738316
computer software,0.0,0.0,1.0,0.00521876892969
automobiles,0.0,0.0,1.0,0.00468291319137
police brutality and misconduct,0.0,0.0,1.0,0.00468291319137
atomic weapons,0.0,0.0,1.0,0.00447323051116
sales,0.0,0.0,1.0,0.00431014398211
fires and firefighters,0.0,0.0,1.0,0.00428684590653
abortion,0.0,0.0,1.0,0.004263547830949999
world cup (soccer),0.0,0.0,1.0,0.00424024975537
health insurance,0.0,0.0,1.0,0.004123759377480001
retirement,0.0,0.0,1.0,0.00396067284842
steel and iron,0.0,0.0,1.0,0.00393737477284
electric light and power,0.0,0.0,1.0,0.0039140766972600004
retail stores and trade,0.0,0.0,1.0,0.00386748054611
telephones and telecommunications,0.0,0.0,1.0,0.0037975863193699996
roads and traffic,0.0,0.0,1.0,0.0037509901682100002
light,0.0,0.0,1.0,0.0036344997903200002
violence,0.0,0.0,1.0,0.00358790363916
animals,0.0,0.0,1.0,0.00349471133684
advertising,0.0,0.0,1.0,0.00347141326126
ratings and rating systems,0.0,0.0,1.0,0.00344811518569
agriculture,0.0,0.0,1.0,0.0033782209589499996
research,0.0,0.0,1.0,0.00335492288337
