term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,6.0,0.19123505976100003,0.0,0.0
New York Times,4.0,0.125719344843,10.0,0.382036685642
Supreme Court,3.0,0.0996015936255,2.0,0.044275774826100005
Associated Press,3.0,0.0916334661355,1.0,0.024035420619900005
Fox News,3.0,0.083222664896,2.0,0.0480708412397
AP,3.0,0.0779105799026,1.0,0.0290955091714
NBC,2.0,0.0734838424081,3.0,0.09677419354839999
CNN,2.0,0.07259849490930001,2.0,0.0702087286528
Senate,2.0,0.0712704736609,3.0,0.0980392156863
White House,2.0,0.06994245241260001,2.0,0.0613535736875
Washington Post,2.0,0.0668437361664,3.0,0.0923466160658
Reuters,2.0,0.0650730411687,1.0,0.024667931688799997
Facebook,2.0,0.050464807436899996,2.0,0.0531309297913
Congress,2.0,0.049579459938,2.0,0.0531309297913
FBI,2.0,0.04825143868969999,1.0,0.0284629981025
CBS,2.0,0.0478087649402,3.0,0.0815939278937
Netflix,2.0,0.0424966799469,5.0,0.175838077166
Senate Judiciary Committee,1.0,0.036299247454599996,1.0,0.018975332068300002
GOP,1.0,0.0358565737052,1.0,0.036685641998699996
Ford,1.0,0.034971226206300006,1.0,0.0164452877925
ABC,1.0,0.0327578574591,2.0,0.04743833017080001
NBC News,1.0,0.0323151837096,1.0,0.0347881087919
MSNBC,1.0,0.0301018149624,1.0,0.0297280202404
Academy of Motion Picture Arts and Sciences,1.0,0.0301018149624,1.0,0.0101201771031
House,1.0,0.0270030987162,1.0,0.036685641998699996
Times,1.0,0.0256750774679,3.0,0.10056925996200002
Yale,1.0,0.022576361221799998,1.0,0.005692599620489999
CBS News,1.0,0.021691013722900002,1.0,0.019607843137299998
HBO,1.0,0.021691013722900002,4.0,0.130297280202
Temple,1.0,0.020805666224,0.0,0.0
University of Pennsylvania,1.0,0.020362992474499998,0.0,0.0
Los Angeles Times,1.0,0.020362992474499998,1.0,0.024667931688799997
Trump,1.0,0.0199203187251,1.0,0.0208728652751
Google,1.0,0.0190349712262,1.0,0.024667931688799997
USA TODAY,1.0,0.0185922974768,1.0,0.0177103099304
Amazon,1.0,0.0163789287295,2.0,0.056925996204900006
YouTube,1.0,0.015936254980099998,1.0,0.022137887412999997
Justice Department,1.0,0.015493581230600002,1.0,0.018975332068300002
NFL,1.0,0.015493581230600002,1.0,0.022137887412999997
Wall Street Journal,1.0,0.015493581230600002,1.0,0.00885515496521
Weinstein Company,1.0,0.015493581230600002,1.0,0.0145477545857
New York Post,1.0,0.014608233731700001,1.0,0.010752688172
Time,1.0,0.014608233731700001,1.0,0.0202403542062
Disney,1.0,0.0141655599823,1.0,0.034155597722999996
Miramax,1.0,0.0141655599823,1.0,0.010752688172
U.N.,1.0,0.0132802124834,0.0,0.0
Judiciary Committee,1.0,0.0132802124834,1.0,0.00506008855155
New Yorker,1.0,0.0132802124834,1.0,0.005692599620489999
Harvard,1.0,0.0123948649845,1.0,0.011385199241
ABC News,1.0,0.0123948649845,1.0,0.021505376344099998
CBS Interactive Inc,1.0,0.0123948649845,1.0,0.005692599620489999
Republican,1.0,0.011952191235100001,1.0,0.0126502213789
Trump administration,1.0,0.011952191235100001,1.0,0.0101201771031
Vanity Fair,1.0,0.0115095174856,1.0,0.017077798861499998
Daily News,1.0,0.0115095174856,1.0,0.00506008855155
Capitol Hill,1.0,0.0110668437362,1.0,0.011385199241
Hollywood,1.0,0.0106241699867,1.0,0.013915243516799998
NPR,1.0,0.0106241699867,1.0,0.0284629981025
Amazon Studios,1.0,0.0106241699867,1.0,0.027197975964599996
Yale University,1.0,0.009296148738379998,0.0,0.0
USA Gymnastics,1.0,0.009296148738379998,1.0,0.00695762175838
United Nations,1.0,0.00885347498893,0.0,0.0
State Department,1.0,0.00885347498893,0.0,0.0
Post,1.0,0.00885347498893,1.0,0.0202403542062
Facebook post,1.0,0.00885347498893,1.0,0.010752688172
Politico,1.0,0.00885347498893,1.0,0.00948766603416
CIA,1.0,0.00841080123949,0.0,0.0
Vox,1.0,0.00841080123949,1.0,0.0347881087919
Newsweek,1.0,0.00841080123949,1.0,0.00379506641366
USA Today,1.0,0.00841080123949,1.0,0.00759013282732
PBS,1.0,0.00841080123949,1.0,0.0316255534472
New York Daily News,1.0,0.00841080123949,1.0,0.006325110689439999
Rochelle,1.0,0.00841080123949,0.0,0.0
Philadelphia Inquirer,1.0,0.00841080123949,0.0,0.0
Democratic Party,1.0,0.00796812749004,1.0,0.012017710309899999
house,1.0,0.00796812749004,1.0,0.00885515496521
Bloomberg,1.0,0.00796812749004,1.0,0.0164452877925
U.S. Supreme Court,1.0,0.00796812749004,1.0,0.0031625553447199996
Catholic Church,1.0,0.00796812749004,1.0,0.005692599620489999
Kennedy Center,1.0,0.00796812749004,0.0,0.0
EPA,1.0,0.0075254537405900004,0.0,0.0
New York Police Department,1.0,0.0075254537405900004,0.0,0.0
Department of Justice,1.0,0.00708277999115,0.0,0.0
U.S. Senate,1.0,0.00708277999115,1.0,0.0164452877925
Navy,1.0,0.00708277999115,1.0,0.00379506641366
Republican National Committee,1.0,0.0066401062417,0.0,0.0
Cannes Film Festival,1.0,0.0066401062417,0.0,0.0
Playboy,1.0,0.0066401062417,1.0,0.00695762175838
MTV,1.0,0.0066401062417,1.0,0.006325110689439999
Hollywood Chamber of Commerce,1.0,0.0066401062417,0.0,0.0
UN,1.0,0.00619743249225,0.0,0.0
BBC,1.0,0.00619743249225,1.0,0.0126502213789
Boston Globe,1.0,0.00619743249225,1.0,0.00506008855155
Republican Party,1.0,0.00619743249225,1.0,0.013282732447799999
Michigan State University,1.0,0.00619743249225,1.0,0.00379506641366
Carnegie Mellon University,1.0,0.00619743249225,0.0,0.0
Temple University athletics,1.0,0.00619743249225,0.0,0.0
Islam,1.0,0.00575475874281,0.0,0.0
Pentagon,1.0,0.00575475874281,0.0,0.0
F.B.I.,1.0,0.00575475874281,0.0,0.0
ACLU,1.0,0.00575475874281,1.0,0.0031625553447199996
Catholic,1.0,0.00575475874281,1.0,0.00506008855155
Nike,1.0,0.00575475874281,0.0,0.0
Warner Bros.,1.0,0.00575475874281,1.0,0.0177103099304
LAPD,1.0,0.00575475874281,1.0,0.012017710309899999
LA Times,1.0,0.00575475874281,1.0,0.006325110689439999
Northwestern University,1.0,0.00575475874281,0.0,0.0
BuzzFeed News,1.0,0.00575475874281,1.0,0.011385199241
Roman Polanski,1.0,0.00575475874281,0.0,0.0
Walmart,1.0,0.005312084993359999,0.0,0.0
Starbucks,1.0,0.005312084993359999,0.0,0.0
NBA,1.0,0.005312084993359999,1.0,0.00379506641366
Boston College,1.0,0.005312084993359999,0.0,0.0
Weinstein Co.,1.0,0.005312084993359999,1.0,0.0151802656546
NATO,1.0,0.0048694112439099995,0.0,0.0
National Organization for Women,1.0,0.0048694112439099995,0.0,0.0
State,1.0,0.0048694112439099995,0.0,0.0
Stanford,1.0,0.0048694112439099995,0.0,0.0
Apple,1.0,0.0048694112439099995,1.0,0.008222643896270001
NAACP,1.0,0.0048694112439099995,1.0,0.00379506641366
NDA,1.0,0.0048694112439099995,0.0,0.0
United Nations General Assembly,1.0,0.0048694112439099995,0.0,0.0
Smithsonian,1.0,0.0048694112439099995,0.0,0.0
RNC,1.0,0.0048694112439099995,1.0,0.00379506641366
Johns Hopkins University,1.0,0.0048694112439099995,0.0,0.0
Loyola Law School,1.0,0.0048694112439099995,0.0,0.0
Cambridge Analytica,1.0,0.0048694112439099995,0.0,0.0
Snyder,1.0,0.0048694112439099995,0.0,0.0
Harrah,1.0,0.0048694112439099995,0.0,0.0
Pennsylvania Supreme Court,1.0,0.0048694112439099995,0.0,0.0
LaRose Jazz Club,1.0,0.0048694112439099995,0.0,0.0
Senate Intelligence Committee,1.0,0.004426737494470001,0.0,0.0
House Intelligence Committee,1.0,0.004426737494470001,0.0,0.0
University of Virginia,1.0,0.004426737494470001,1.0,0.0031625553447199996
Fed,1.0,0.004426737494470001,0.0,0.0
New York,1.0,0.004426737494470001,1.0,0.00506008855155
ESPN,1.0,0.004426737494470001,1.0,0.011385199241
Los Angeles Police Department,1.0,0.004426737494470001,1.0,0.0101201771031
U.N. General Assembly,1.0,0.004426737494470001,0.0,0.0
Ohio State University,1.0,0.004426737494470001,0.0,0.0
Microsoft,1.0,0.004426737494470001,0.0,0.0
McDonald,1.0,0.004426737494470001,1.0,0.00695762175838
Instagram,1.0,0.004426737494470001,1.0,0.00506008855155
National Women’s Law Center,1.0,0.004426737494470001,0.0,0.0
University of Arizona,1.0,0.004426737494470001,0.0,0.0
film academy,1.0,0.004426737494470001,0.0,0.0
state,1.0,0.00398406374502,0.0,0.0
Democratic,1.0,0.00398406374502,1.0,0.006325110689439999
Columbia University,1.0,0.00398406374502,1.0,0.00379506641366
Defense Department,1.0,0.00398406374502,0.0,0.0
Twitter,1.0,0.00398406374502,1.0,0.006325110689439999
Environmental Protection Agency,1.0,0.00398406374502,0.0,0.0
NRA,1.0,0.00398406374502,1.0,0.008222643896270001
Drexel University,1.0,0.00398406374502,0.0,0.0
Warner,1.0,0.00398406374502,1.0,0.0031625553447199996
Breitbart News,1.0,0.00398406374502,0.0,0.0
National Rifle Association,1.0,0.00398406374502,0.0,0.0
University of Southern California,1.0,0.00398406374502,0.0,0.0
Georgetown,1.0,0.00398406374502,0.0,0.0
Fox News host,1.0,0.00398406374502,1.0,0.005692599620489999
Penn,1.0,0.00398406374502,0.0,0.0
Pennsylvania Department of Corrections,1.0,0.00398406374502,0.0,0.0
Alabama Senate,1.0,0.00398406374502,1.0,0.022770398482
Showtime,1.0,0.00398406374502,1.0,0.022137887412999997
Academy of Motion Pictures Arts and Sciences,1.0,0.00398406374502,0.0,0.0
Academy of Motion Pictures,1.0,0.00398406374502,0.0,0.0
