term,a1_bin,a1_perc,a2_bin,a2_perc
Bill Cosby,10.0,0.915006640106,1.0,0.0632511068944
Andrea Constand,4.0,0.36077910579899997,1.0,0.0101201771031
Harvey Weinstein,3.0,0.24966799468800002,5.0,0.428842504744
Donald Trump,2.0,0.137228862328,2.0,0.118912080961
Janice Dickinson,1.0,0.0823373173971,0.0,0.0
Kevin Steele,1.0,0.08100929614869999,0.0,0.0
Brett Kavanaugh,1.0,0.0748118636565,1.0,0.025932953826700002
Trump,1.0,0.0721558211598,2.0,0.0936116382037
Steven O’Neill,1.0,0.0694997786631,0.0,0.0
Andrew Wyatt,1.0,0.066401062417,0.0,0.0
Tom Mesereau,1.0,0.0641876936698,0.0,0.0
Gloria Allred,1.0,0.0633023461709,1.0,0.00442757748261
Kevin Spacey,1.0,0.0579902611775,4.0,0.275142314991
Steven O'Neill,1.0,0.055776892430300005,0.0,0.0
Roger Ailes,1.0,0.04825143868969999,1.0,0.027197975964599996
Hillary Clinton,1.0,0.04736609119080001,1.0,0.037950664136600004
Christine Blasey Ford,1.0,0.046923417441300005,1.0,0.0183428209994
Bill Clinton,1.0,0.045595396193,1.0,0.0404807084124
Cliff Huxtable,1.0,0.044710048694099995,1.0,0.00379506641366
Matt Lauer,1.0,0.04426737494469999,2.0,0.13156230234000002
Michael Jackson,1.0,0.0402833111996,1.0,0.00442757748261
Charlie Rose,1.0,0.0367419212041,2.0,0.135989879823
Louis C.K.,1.0,0.0340858787074,9.0,0.7824161922830001
Camille Cosby,1.0,0.0309871624613,0.0,0.0
Roy Moore,1.0,0.0301018149624,2.0,0.13788741303
Al Franken,1.0,0.029659141212900003,2.0,0.12397216951300001
Heidi Thomas,1.0,0.0292164674635,0.0,0.0
Kathleen Bliss,1.0,0.0283311199646,0.0,0.0
Janice Baker-Kinney,1.0,0.0270030987162,0.0,0.0
Chelan Lasha,1.0,0.0270030987162,0.0,0.0
Woody Allen,1.0,0.0265604249668,1.0,0.0746363061354
Steven T. O’Neill,1.0,0.026117751217400002,0.0,0.0
Fox,1.0,0.025232403718500003,1.0,0.017077798861499998
Lise-Lotte Lublin,1.0,0.024789729969,0.0,0.0
Marguerite Jackson,1.0,0.024789729969,0.0,0.0
Lili Bernard,1.0,0.024347056219599997,0.0,0.0
Lisa Bloom,1.0,0.0230190349712,0.0,0.0
Roman Polanski,1.0,0.022576361221799998,1.0,0.00506008855155
Kristen Feden,1.0,0.022576361221799998,0.0,0.0
Anita Hill,1.0,0.021691013722900002,1.0,0.025932953826700002
Camille,1.0,0.0212483399734,0.0,0.0
Barack Obama,1.0,0.020805666224,1.0,0.022137887412999997
Rose McGowan,1.0,0.020805666224,1.0,0.0303605313093
Clarence Thomas,1.0,0.020362992474499998,1.0,0.0202403542062
Larry Nassar,1.0,0.020362992474499998,1.0,0.010752688172
Ronan Farrow,1.0,0.019477644975700002,1.0,0.030993042378199998
Obama,1.0,0.0190349712262,1.0,0.0202403542062
Robert Mueller,1.0,0.0190349712262,1.0,0.012017710309899999
Ashley Judd,1.0,0.0185922974768,1.0,0.027830487033500002
Brett Ratner,1.0,0.0185922974768,1.0,0.07526881720430001
James Toback,1.0,0.0185922974768,1.0,0.055660974067000005
Michael Cohen,1.0,0.018149623727299998,0.0,0.0
Bill O'Reilly,1.0,0.0177069499779,1.0,0.0183428209994
Hannibal Buress,1.0,0.016821602479,1.0,0.00506008855155
Tarana Burke,1.0,0.016821602479,1.0,0.0208728652751
Jeff Flake,1.0,0.0163789287295,1.0,0.005692599620489999
Lindsey Graham,1.0,0.0163789287295,1.0,0.008222643896270001
Bill O’Reilly,1.0,0.0163789287295,1.0,0.0158127767236
Kanye West,1.0,0.015936254980099998,1.0,0.006325110689439999
R. Kelly,1.0,0.015493581230600002,1.0,0.0126502213789
Reno,1.0,0.0150509074812,0.0,0.0
Cosby,1.0,0.0150509074812,0.0,0.0
Thomas Mesereau,1.0,0.0150509074812,0.0,0.0
David DeKok,1.0,0.0150509074812,0.0,0.0
George W. Bush,1.0,0.0141655599823,1.0,0.00695762175838
Victoria Valentino,1.0,0.0141655599823,0.0,0.0
James Comey,1.0,0.0137228862328,1.0,0.0031625553447199996
Mark Halperin,1.0,0.0137228862328,1.0,0.061986084756500005
Gianna Constand,1.0,0.0137228862328,0.0,0.0
Mitch McConnell,1.0,0.0132802124834,1.0,0.0183428209994
Kellyanne Conway,1.0,0.0132802124834,1.0,0.005692599620489999
Steve Wynn,1.0,0.0132802124834,0.0,0.0
Constand,1.0,0.0132802124834,0.0,0.0
Deborah Ramirez,1.0,0.0132802124834,0.0,0.0
Kim Jong Un,1.0,0.0123948649845,1.0,0.00442757748261
Jeff Sessions,1.0,0.011952191235100001,1.0,0.0126502213789
Rod Rosenstein,1.0,0.011952191235100001,0.0,0.0
Bruce Castor,1.0,0.011952191235100001,0.0,0.0
Stewart Ryan,1.0,0.011952191235100001,0.0,0.0
O.J. Simpson,1.0,0.0115095174856,1.0,0.0031625553447199996
Alyssa Milano,1.0,0.0115095174856,1.0,0.022770398482
Weinstein,1.0,0.0115095174856,1.0,0.0347881087919
Kelly Johnson,1.0,0.0115095174856,0.0,0.0
Dolores Troiani,1.0,0.0115095174856,0.0,0.0
Joseph Green,1.0,0.0115095174856,0.0,0.0
Michael Avenatti,1.0,0.0115095174856,0.0,0.0
