term,a1_bin,a1_perc,a2_bin,a2_perc
aggravated indecent assault,10.0,0.027999999999999997,0.0,0.0
counts aggravated indecent,9.0,0.023,0.0,0.0
judge steven o'neill,7.0,0.017,0.0,0.0
drugging sexually assaulting,6.0,0.015,0.0,0.0
sexually violent predator,5.0,0.013999999999999999,0.0,0.0
montgomery courthouse norristown,5.0,0.013999999999999999,0.0,0.0
cosby counts aggravated,5.0,0.013000000000000001,0.0,0.0
courthouse norristown pennsylvania,4.0,0.011000000000000001,0.0,0.0
accuser andrea constand,4.0,0.009000000000000001,0.0,0.0
drugged sexually assaulted,3.0,0.008,0.0,0.0
district kevin steele,3.0,0.008,0.0,0.0
cosby sentenced assault,3.0,0.008,0.0,0.0
constand temple university,3.0,0.008,0.0,0.0
assault montgomery courthouse,3.0,0.008,0.0,0.0
spokesman andrew wyatt,3.0,0.006999999999999999,0.0,0.0
cosby's assault retrial,3.0,0.006999999999999999,0.0,0.0
cosby sexually violent,3.0,0.006999999999999999,0.0,0.0
cosby drugging sexually,3.0,0.006999999999999999,0.0,0.0
janice dickinson cosby,3.0,0.006,0.0,0.0
cosby drugged raped,3.0,0.006,0.0,0.0
cosby convicted drugging,3.0,0.006,0.0,0.0
assault andrea constand,3.0,0.006,0.0,0.0
andrea constand cosby,3.0,0.006,0.0,0.0
women's basketball temple,2.0,0.005,0.0,0.0
university women's basketball,2.0,0.005,0.0,0.0
temple university women's,2.0,0.005,0.0,0.0
disgraced comedian cosby,2.0,0.005,0.0,0.0
courthouse norristown pa,2.0,0.005,0.0,0.0
cosby roman polanski,2.0,0.005,0.0,0.0
cosby drugged sexually,2.0,0.005,0.0,0.0
cosby drugged assaulted,2.0,0.005,0.0,0.0
comedian cosby arrives,2.0,0.005,0.0,0.0
andrea constand temple,2.0,0.005,0.0,0.0
temple university cosby,2.0,0.004,0.0,0.0
supermodel janice dickinson,2.0,0.004,0.0,0.0
sexually assaulted cosby,2.0,0.004,0.0,0.0
sentenced sexually assaulting,2.0,0.004,0.0,0.0
photo comedian cosby,2.0,0.004,0.0,0.0
montgomery judge steven,2.0,0.004,0.0,0.0
janice dickinson supermodel,2.0,0.004,0.0,0.0
felony counts aggravated,2.0,0.004,0.0,0.0
cosby spokesman andrew,2.0,0.004,0.0,0.0
cosby pill antihistamine,2.0,0.004,0.0,0.0
cosby drugging molesting,2.0,0.004,0.0,0.0
cosby counts assault,2.0,0.004,0.0,0.0
cosby assault retrial,2.0,0.004,0.0,0.0
convicted counts aggravated,2.0,0.004,0.0,0.0
assault norristown pa,2.0,0.004,0.0,0.0
ğÿ ğÿ ğÿ,2.0,0.003,0.0,0.0
violent predator designation,2.0,0.003,0.0,0.0
supreme nominee brett,2.0,0.003,0.0,0.0
steven o'neill cosby,2.0,0.003,0.0,0.0
spokesperson andrew wyatt,2.0,0.003,0.0,0.0
sexually assaulting capping,2.0,0.003,0.0,0.0
sexually assaulting andrea,2.0,0.003,0.0,0.0
roger ailes o'reilly,2.0,0.003,1.0,0.002
retrial montgomery courthouse,2.0,0.003,0.0,0.0
racist sexist united,2.0,0.003,0.0,0.0
pretrial assault montgomery,2.0,0.003,0.0,0.0
nominee brett kavanaugh,2.0,0.003,0.0,0.0
montgomery district kevin,2.0,0.003,0.0,0.0
jury convicted cosby,2.0,0.003,0.0,0.0
jury assault retrial,2.0,0.003,0.0,0.0
judge cosby sexually,2.0,0.003,0.0,0.0
jackpot cosby 3.4,2.0,0.003,0.0,0.0
harvey weinstein cosby,2.0,0.003,0.0,0.0
ha ha ha,2.0,0.003,0.0,0.0
drugged raped tahoe,2.0,0.003,0.0,0.0
drugged molested temple,2.0,0.003,0.0,0.0
defamation lawsuit cosby,2.0,0.003,0.0,0.0
cosby's alma mater,2.0,0.003,0.0,0.0
cosby tom mesereau,2.0,0.003,0.0,0.0
cosby sexually assaulting,2.0,0.003,0.0,0.0
cosby sexually assaulted,2.0,0.003,0.0,0.0
cosby sentenced sexually,2.0,0.003,0.0,0.0
cosby felony counts,2.0,0.003,0.0,0.0
cosby disgraced comedian,2.0,0.003,0.0,0.0
cosby convicted counts,2.0,0.003,0.0,0.0
cosby constand 3.38,2.0,0.003,0.0,0.0
cosby aggravated indecent,2.0,0.003,0.0,0.0
convicted drugging sexually,2.0,0.003,0.0,0.0
convicted drugging molesting,2.0,0.003,0.0,0.0
constand sued cosby,2.0,0.003,0.0,0.0
comedian cosby assault,2.0,0.003,0.0,0.0
basketball temple university,2.0,0.003,0.0,0.0
assaulting andrea constand,2.0,0.003,0.0,0.0
assault retrial norristown,2.0,0.003,0.0,0.0
assault retrial montgomery,2.0,0.003,0.0,0.0
assault cosby's criminal,2.0,0.003,0.0,0.0
assault cosby sentenced,2.0,0.003,0.0,0.0
andrea constand philadelphia,2.0,0.003,0.0,0.0
alleged cosby drugged,2.0,0.003,0.0,0.0
accuse cosby assault,2.0,0.003,0.0,0.0
ğÿ ğÿ â,1.0,0.002,0.0,0.0
âœ ğÿœ âœ,1.0,0.002,0.0,0.0
women's basketball administrator,1.0,0.002,0.0,0.0
violent predator sentencing,1.0,0.002,0.0,0.0
verdict counts aggravated,1.0,0.002,0.0,0.0
unsubstantiated strict prosecutors,1.0,0.002,0.0,0.0
university rescinds cosby's,1.0,0.002,0.0,0.0
university andrea constand,1.0,0.002,0.0,0.0
topless cosby's assault,1.0,0.002,0.0,0.0
thomas jurors serial,1.0,0.002,0.0,0.0
thomas aspiring actress,1.0,0.002,0.0,0.0
testify comedian cosby,1.0,0.002,0.0,0.0
testifies alleged assault,1.0,0.002,0.0,0.0
testified sexually assaulted,1.0,0.002,0.0,0.0
testified cosby drugged,1.0,0.002,0.0,0.0
temple university constand,1.0,0.002,0.0,0.0
temple university andrea,1.0,0.002,0.0,0.0
temple cosby's philadelphia,1.0,0.002,0.0,0.0
superior o'neill cosby's,1.0,0.002,0.0,0.0
suing cosby defamation,1.0,0.002,0.0,0.0
sued cosby defamation,1.0,0.002,0.0,0.0
strict prosecutors defendant's,1.0,0.002,0.0,0.0
steven o'neill cosby's,1.0,0.002,0.0,0.0
snyder deposition accuser,1.0,0.002,0.0,0.0
sexually assaulting constand,1.0,0.002,0.0,0.0
sexually assaulted philadelphia,1.0,0.002,0.0,0.0
serial rapist convicted,1.0,0.002,0.0,0.0
sentencing comedian drugging,1.0,0.002,0.0,0.0
sentenced assault cosby,1.0,0.002,0.0,0.0
sentenced assault capping,1.0,0.002,0.0,0.0
revive defamation lawsuit,1.0,0.002,0.0,0.0
reuters cosby marched,1.0,0.002,0.0,0.0
retrial norristown pa,1.0,0.002,0.0,0.0
rescinds cosby's honorary,1.0,0.002,0.0,0.0
rapist convicted accusers,1.0,0.002,0.0,0.0
raped 1990s buzzfeed,1.0,0.002,0.0,0.0
racist sexist media,1.0,0.002,0.0,0.0
quaaludes snyder deposition,1.0,0.002,0.0,0.0
prosecutors initially declined,1.0,0.002,0.0,0.0
prosecutors constand testifies,1.0,0.002,0.0,0.0
predator sentencing comedian,1.0,0.002,0.0,0.0
predator designation arguing,1.0,0.002,0.0,0.0
pleas judge steven,1.0,0.002,0.0,0.0
pill hillary clinton,1.0,0.002,0.0,0.0
pill antihistamine amaretto,1.0,0.002,0.0,0.0
philadelphia alma mater,1.0,0.002,0.0,0.0
pennsylvania's superior o'neill,1.0,0.002,0.0,0.0
pennsylvania's sex-offender unconstitutional,1.0,0.002,0.0,0.0
pennsylvania judge sentenced,1.0,0.002,0.0,0.0
orbit starstruck baker-kinney's,1.0,0.002,0.0,0.0
once-beloved comedian america's,1.0,0.002,0.0,0.0
norristown pa cosby,1.0,0.002,0.0,0.0
norristown pa comedian,1.0,0.002,0.0,0.0
msnbc's chris matthews,1.0,0.002,0.0,0.0
montgomery pleas judge,1.0,0.002,0.0,0.0
montgomery pa cosby's,1.0,0.002,0.0,0.0
montgomery correctional facility,1.0,0.002,0.0,0.0
molesting andrea constand,1.0,0.002,0.0,0.0
molested temple university,1.0,0.002,0.0,0.0
mater temple university,1.0,0.002,0.0,0.0
lawsuit cosby raped,1.0,0.002,0.0,0.0
lasha cosby pill,1.0,0.002,0.0,0.0
lasha baker-kinney heidi,1.0,0.002,0.0,0.0
kevin steele cosby,1.0,0.002,0.0,0.0
kevin spacey cosby,1.0,0.002,0.0,0.0
keshia knight pulliam,1.0,0.002,0.0,0.0
jury norristown pa,1.0,0.002,0.0,0.0
jurors serial rapist,1.0,0.002,0.0,0.0
jurors cosby's deposition,1.0,0.002,0.0,0.0
judy huth cosby,1.0,0.002,0.0,0.0
judge unsealed deposition,1.0,0.002,0.0,0.0
joking cosby pill,1.0,0.002,0.0,0.0
janice dickinson sued,1.0,0.002,0.0,0.0
indecent assault mistrial,1.0,0.002,0.0,0.0
indecent assault jury,1.0,0.002,0.0,0.0
indecent assault andrea,1.0,0.002,0.0,0.0
huth cosby alcohol,1.0,0.002,0.0,0.0
hints jurors cosby's,1.0,0.002,0.0,0.0
heidi thomas jurors,1.0,0.002,0.0,0.0
handcuffs sentenced assault,1.0,0.002,0.0,0.0
gloria allred cosby's,1.0,0.002,0.0,0.0
fox analyst lis,1.0,0.002,0.0,0.0
expel cosby roman,1.0,0.002,0.0,0.0
exclude montgomery district,1.0,0.002,0.0,0.0
ensa cosby disgraced,1.0,0.002,0.0,0.0
drugging molesting temple,1.0,0.002,0.0,0.0
drugging molesting constand,1.0,0.002,0.0,0.0
drugged raped 1990s,1.0,0.002,0.0,0.0
downfall once-beloved comedian,1.0,0.002,0.0,0.0
dickinson testified cosby,1.0,0.002,0.0,0.0
dickinson cosby rape,1.0,0.002,0.0,0.0
designation arguing pennsylvania's,1.0,0.002,0.0,0.0
deposition excerpts quaaludes,1.0,0.002,0.0,0.0
deposition cosby acknowledged,1.0,0.002,0.0,0.0
deposition accuser andrea,1.0,0.002,0.0,0.0
cosby's spokesperson andrew,1.0,0.002,0.0,0.0
cosby's spokesman andrew,1.0,0.002,0.0,0.0
cosby's sexually violent,1.0,0.002,0.0,0.0
cosby's retrial assault,1.0,0.002,0.0,0.0
cosby's philadelphia mansion,1.0,0.002,0.0,0.0
cosby's philadelphia alma,1.0,0.002,0.0,0.0
cosby's orbit starstruck,1.0,0.002,0.0,0.0
cosby's discredit constand,1.0,0.002,0.0,0.0
cosby's deposition excerpts,1.0,0.002,0.0,0.0
cosby's assault jury,1.0,0.002,0.0,0.0
cosby's accusers testify,1.0,0.002,0.0,0.0
cosby's accuser andrea,1.0,0.002,0.0,0.0
cosby women's basketball,1.0,0.002,0.0,0.0
cosby temple university,1.0,0.002,0.0,0.0
cosby roger ailes,1.0,0.002,0.0,0.0
cosby quaaludes snyder,1.0,0.002,0.0,0.0
cosby pills relax,1.0,0.002,0.0,0.0
cosby pill hillary,1.0,0.002,0.0,0.0
cosby montgomery courthouse,1.0,0.002,0.0,0.0
cosby montgomery correctional,1.0,0.002,0.0,0.0
cosby menstrual cramps,1.0,0.002,0.0,0.0
cosby kathleen bliss,1.0,0.002,0.0,0.0
cosby jury assault,1.0,0.002,0.0,0.0
cosby drugging raping,1.0,0.002,0.0,0.0
cosby drugging assaulting,1.0,0.002,0.0,0.0
cosby drugged molested,1.0,0.002,0.0,0.0
cosby donald trump,1.0,0.002,0.0,0.0
cosby convicted assault,1.0,0.002,0.0,0.0
cosby constand consent,1.0,0.002,0.0,0.0
cosby constand consensual,1.0,0.002,0.0,0.0
cosby classified sexually,1.0,0.002,0.0,0.0
cosby chelan lasha,1.0,0.002,0.0,0.0
cosby arrives jury,1.0,0.002,0.0,0.0
cosby arrives assault,1.0,0.002,0.0,0.0
cosby alleged assault,1.0,0.002,0.0,0.0
cosby accuser andrea,1.0,0.002,0.0,0.0
cosby 3.4 lawsuit,1.0,0.002,0.0,0.0
convicted accusers prosecutors,1.0,0.002,0.0,0.0
constand women's basketball,1.0,0.002,0.0,0.0
constand testifies alleged,1.0,0.002,0.0,0.0
constand philadelphia mansion,1.0,0.002,0.0,0.0
constand cosby women's,1.0,0.002,0.0,0.0
constand administrator women's,1.0,0.002,0.0,0.0
comedian's assault retrial,1.0,0.002,0.0,0.0
comedian drugging sexually,1.0,0.002,0.0,0.0
comedian cosby montgomery,1.0,0.002,0.0,0.0
comedian cosby counts,1.0,0.002,0.0,0.0
comedian cosby convicted,1.0,0.002,0.0,0.0
classified sexually violent,1.0,0.002,0.0,0.0
chelan lasha cosby,1.0,0.002,0.0,0.0
capping downfall once-beloved,1.0,0.002,0.0,0.0
bernard alleges cosby,1.0,0.002,0.0,0.0
basketball temple cosby's,1.0,0.002,0.0,0.0
baker-kinney heidi thomas,1.0,0.002,0.0,0.0
assault jury montgomery,1.0,0.002,0.0,0.0
assault capping downfall,1.0,0.002,0.0,0.0
aspiring actress cosby,1.0,0.002,0.0,0.0
arrives jury assault,1.0,0.002,0.0,0.0
arguing pennsylvania's sex-offender,1.0,0.002,0.0,0.0
appeals revive defamation,1.0,0.002,0.0,0.0
andrew wyatt cosby's,1.0,0.002,0.0,0.0
andrea constand arrives,1.0,0.002,0.0,0.0
andrea constand allegations,1.0,0.002,0.0,0.0
andrea constand accuser,1.0,0.002,0.0,0.0
analyst lis wiehl,1.0,0.002,0.0,0.0
alma mater temple,1.0,0.002,0.0,0.0
allred cosby's accusers,1.0,0.002,0.0,0.0
alleges cosby drugged,1.0,0.002,0.0,0.0
alleged assault cosby's,1.0,0.002,0.0,0.0
administrator women's basketball,1.0,0.002,0.0,0.0
actress cosby drugging,1.0,0.002,0.0,0.0
accusers testify sentencing,1.0,0.002,0.0,0.0
accusers prosecutors constand,1.0,0.002,0.0,0.0
accusers cosby's orbit,1.0,0.002,0.0,0.0
accuse cosby misconduct,1.0,0.002,0.0,0.0
ğÿœ âœ âœ,1.0,0.001,0.0,0.0
ğÿœ âœ again.mass,1.0,0.001,0.0,0.0
ğÿ â ï,1.0,0.001,0.0,0.0
ğÿ â traceyhappymom,1.0,0.001,0.0,0.0
ğÿ undermine ğÿ,1.0,0.001,0.0,0.0
ğÿ nate robinson,1.0,0.001,0.0,0.0
ğÿ mrclydepratt 8/,1.0,0.001,0.0,0.0
ğÿ embolden ğÿ,1.0,0.001,0.0,0.0
ğÿ diminish straâ,1.0,0.001,0.0,0.0
ï notritahart 9/21,1.0,0.001,0.0,0.0
âœ âœ ğÿœ,1.0,0.001,0.0,0.0
âœ again.mass ğÿ,1.0,0.001,0.0,0.0
â ï notritahart,1.0,0.001,0.0,0.0
â traceyhappymom 8/,1.0,0.001,0.0,0.0
â maya angelou,1.0,0.001,0.0,0.0
â lazykstafford 9/27,1.0,0.001,0.0,0.0
â giselleevns 10/24,1.0,0.001,0.0,0.0
³ ğÿ embolden,1.0,0.001,0.0,0.0
ziv psychiatrist prosecution,1.0,0.001,0.0,0.0
zervos contestant trump's,1.0,0.001,0.0,0.0
"yâ finley 1589,10",1.0,0.001,0.0,0.0
yorker embarrassed ashamed,1.0,0.001,0.0,0.0
yeah rape cosby,1.0,0.001,0.0,0.0
yale university trustees,1.0,0.001,0.0,0.0
yale university rescinds,1.0,0.001,0.0,0.0
wynn comedian cosby,1.0,0.001,0.0,0.0
wyatt triumphantly courtroom,1.0,0.001,0.0,0.0
wyatt spokesman cosby,1.0,0.001,0.0,0.0
wyatt slammed racist,1.0,0.001,0.0,0.0
wyatt pretrial assault,1.0,0.001,0.0,0.0
wyatt outrage cosby,1.0,0.001,0.0,0.0
wyatt labelled kavanaugh,1.0,0.001,0.0,0.0
wyatt jury assault,1.0,0.001,0.0,0.0
wyatt jackson courthouse,1.0,0.001,0.0,0.0
wyatt gloria allred,1.0,0.001,0.0,0.0
wyatt ebony benson,1.0,0.001,0.0,0.0
wyatt cosby's spokesman,1.0,0.001,0.0,0.0
wyatt cosby's requests,1.0,0.001,0.0,0.0
wyatt cosby's publicist,1.0,0.001,0.0,0.0
wyatt cosby's leader,1.0,0.001,0.0,0.0
wyatt cosby courthouse,1.0,0.001,0.0,0.0
wyatt commended deputies,1.0,0.001,0.0,0.0
wyatt comedian's ensa,1.0,0.001,0.0,0.0
wyatt 3rd pretrial,1.0,0.001,0.0,0.0
world's best-known entertainers,1.0,0.001,0.0,0.0
workplace sexualized sexist,1.0,0.001,0.0,0.0
wordsğÿ ³ ğÿ,1.0,0.001,0.0,0.0
woozy pills reno,1.0,0.001,0.0,0.0
woody allen rerun,1.0,0.001,0.0,0.0
women's memories tainted,1.0,0.001,0.0,0.0
women's basketball player's,1.0,0.001,0.0,0.0
women's basketball cosby,1.0,0.001,0.0,0.0
women's basketball comic,1.0,0.001,0.0,0.0
women's basketball andrea,1.0,0.001,0.0,0.0
women's basketball alma,1.0,0.001,0.0,0.0
women's advocate litigation,1.0,0.001,0.0,0.0
women's accusations consensual,1.0,0.001,0.0,0.0
womanhood assault survivors,1.0,0.001,0.0,0.0
woken bernard alleges,1.0,0.001,0.0,0.0
woc time's campaign,1.0,0.001,0.0,0.0
woc assault abuse,1.0,0.001,0.0,0.0
withdrawn cosby judge,1.0,0.001,0.0,0.0
witch hunts lynching,1.0,0.001,0.0,0.0
wipe people's memories,1.0,0.001,0.0,0.0
willisbonnerr 8/ 24/2016,1.0,0.001,0.0,0.0
willisbonnerr 1/16 22:32,1.0,0.001,0.0,0.0
willie mays tony,1.0,0.001,0.0,0.0
williams quartet lorosa,1.0,0.001,0.0,0.0
wife's sex-assault advocacy,1.0,0.001,0.0,0.0
wife's advocacy assault,1.0,0.001,0.0,0.0
wiehl allegations harassment,1.0,0.001,0.0,0.0
wichita kansas prosecution,1.0,0.001,0.0,0.0
whites teen pregnancy,1.0,0.001,0.0,0.0
white-haired defended michael,1.0,0.001,0.0,0.0
whispers lawsuits multitude,1.0,0.001,0.0,0.0
wh obama refugees,1.0,0.001,0.0,0.0
westernwindwes 7/29 23:46,1.0,0.001,0.0,0.0
wenzel kathy griffin's,1.0,0.001,0.0,0.0
wembley stadium clearest,1.0,0.001,0.0,0.0
welles cosby 1960s,1.0,0.001,0.0,0.0
well-intentioned wipe people's,1.0,0.001,0.0,0.0
welfare recipients â,1.0,0.001,0.0,0.0
welfare corrections john,1.0,0.001,0.0,0.0
weinsteins o'reillys celebrity,1.0,0.001,0.0,0.0
weinstein's vocal accusers,1.0,0.001,0.0,0.0
weinstein's cosby domino,1.0,0.001,0.0,0.0
weinstein trump reclaiming,1.0,0.001,0.0,0.0
weinstein trump o'reilly,1.0,0.001,0.0,0.0
weinstein titans cosby,1.0,0.001,0.0,0.0
weinstein roman polanski,1.0,0.001,0.0,0.0
weinstein o'reilly roger,1.0,0.001,0.0,0.0
weinstein inappropriate advances,1.0,0.001,0.0,0.0
weinstein cosby matt,1.0,0.001,0.0,0.0
weinstein allred allege,1.0,0.001,0.0,0.0
weighed fox analyst,1.0,0.001,0.0,0.0
weighed cosby verdict,1.0,0.001,0.0,0.0
weeps courtroom recess,1.0,0.001,0.0,0.0
weed priceforpierce 4/21,1.0,0.001,0.0,0.0
wealthy celebrity army,1.0,0.001,0.0,0.0
washington victims immigrants,1.0,0.001,0.0,0.0
washington roman polanski,1.0,0.001,0.0,0.0
walks courtroom assault,1.0,0.001,0.0,0.0
walks courtroom andrew,1.0,0.001,0.0,0.0
wadeharriot 9/18 18:47,1.0,0.001,0.0,0.0
wadeharriot 9/17 3:01,1.0,0.001,0.0,0.0
vox jury deadlocked,1.0,0.001,0.0,0.0
vowed felony assault,1.0,0.001,0.0,0.0
vow woody allen,1.0,0.001,0.0,0.0
vor probleme malloryjared,1.0,0.001,0.0,0.0
