term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,4.0,0.19123505976100003,1.0,0.036206896551699994
New York Times,3.0,0.125719344843,5.0,0.24310344827599997
Supreme Court,2.0,0.0996015936255,3.0,0.156896551724
Associated Press,2.0,0.0916334661355,1.0,0.05
Fox News,2.0,0.083222664896,3.0,0.12413793103399999
AP,2.0,0.0779105799026,2.0,0.0844827586207
NBC,2.0,0.0734838424081,3.0,0.110344827586
CNN,2.0,0.07259849490930001,3.0,0.155172413793
Senate,2.0,0.0712704736609,10.0,0.531034482759
White House,2.0,0.06994245241260001,5.0,0.227586206897
Washington Post,2.0,0.0668437361664,4.0,0.206896551724
Reuters,2.0,0.0650730411687,1.0,0.037931034482800004
Facebook,1.0,0.050464807436899996,2.0,0.0827586206897
Congress,1.0,0.049579459938,9.0,0.44655172413800004
FBI,1.0,0.04825143868969999,2.0,0.0741379310345
CBS,1.0,0.0478087649402,2.0,0.0586206896552
Netflix,1.0,0.0424966799469,1.0,0.0224137931034
Senate Judiciary Committee,1.0,0.036299247454599996,2.0,0.07068965517239999
GOP,1.0,0.0358565737052,4.0,0.208620689655
Ford,1.0,0.034971226206300006,2.0,0.0620689655172
ABC,1.0,0.0327578574591,1.0,0.0310344827586
NBC News,1.0,0.0323151837096,2.0,0.0689655172414
MSNBC,1.0,0.0301018149624,2.0,0.0551724137931
Academy of Motion Picture Arts and Sciences,1.0,0.0301018149624,0.0,0.0
House,1.0,0.0270030987162,6.0,0.26724137930999997
Times,1.0,0.0256750774679,2.0,0.060344827586199995
Yale,1.0,0.022576361221799998,1.0,0.013793103448299999
CBS News,1.0,0.021691013722900002,1.0,0.0258620689655
HBO,1.0,0.021691013722900002,1.0,0.013793103448299999
Temple,1.0,0.020805666224,0.0,0.0
University of Pennsylvania,1.0,0.020362992474499998,1.0,0.0051724137931000004
Los Angeles Times,1.0,0.020362992474499998,1.0,0.0172413793103
Trump,1.0,0.0199203187251,2.0,0.0827586206897
Google,1.0,0.0190349712262,1.0,0.0344827586207
USA TODAY,1.0,0.0185922974768,1.0,0.018965517241400002
Amazon,1.0,0.0163789287295,1.0,0.0327586206897
YouTube,1.0,0.015936254980099998,1.0,0.0051724137931000004
Justice Department,1.0,0.015493581230600002,1.0,0.048275862068999996
NFL,1.0,0.015493581230600002,1.0,0.0293103448276
Wall Street Journal,1.0,0.015493581230600002,1.0,0.036206896551699994
Weinstein Company,1.0,0.015493581230600002,1.0,0.0120689655172
New York Post,1.0,0.014608233731700001,1.0,0.0155172413793
Time,1.0,0.014608233731700001,1.0,0.0310344827586
Disney,1.0,0.0141655599823,1.0,0.018965517241400002
Miramax,1.0,0.0141655599823,1.0,0.0068965517241400005
U.N.,1.0,0.0132802124834,1.0,0.0172413793103
Judiciary Committee,1.0,0.0132802124834,1.0,0.0293103448276
New Yorker,1.0,0.0132802124834,1.0,0.0120689655172
Harvard,1.0,0.0123948649845,1.0,0.036206896551699994
ABC News,1.0,0.0123948649845,1.0,0.020689655172400002
CBS Interactive Inc,1.0,0.0123948649845,0.0,0.0
Republican,1.0,0.011952191235100001,2.0,0.0741379310345
Trump administration,1.0,0.011952191235100001,1.0,0.0293103448276
Vanity Fair,1.0,0.0115095174856,1.0,0.0224137931034
Daily News,1.0,0.0115095174856,0.0,0.0
Capitol Hill,1.0,0.0110668437362,2.0,0.07241379310339999
Hollywood,1.0,0.0106241699867,0.0,0.0
NPR,1.0,0.0106241699867,1.0,0.020689655172400002
Amazon Studios,1.0,0.0106241699867,1.0,0.024137931034499998
Yale University,1.0,0.009296148738379998,1.0,0.00862068965517
USA Gymnastics,1.0,0.009296148738379998,1.0,0.0172413793103
United Nations,1.0,0.00885347498893,1.0,0.0258620689655
State Department,1.0,0.00885347498893,1.0,0.027586206896599998
Post,1.0,0.00885347498893,1.0,0.0344827586207
Facebook post,1.0,0.00885347498893,1.0,0.0224137931034
Politico,1.0,0.00885347498893,2.0,0.0586206896552
CIA,1.0,0.00841080123949,1.0,0.020689655172400002
Vox,1.0,0.00841080123949,1.0,0.05
Newsweek,1.0,0.00841080123949,1.0,0.010344827586200001
USA Today,1.0,0.00841080123949,1.0,0.010344827586200001
PBS,1.0,0.00841080123949,1.0,0.0431034482759
New York Daily News,1.0,0.00841080123949,1.0,0.0051724137931000004
Rochelle,1.0,0.00841080123949,0.0,0.0
