term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,9.0,0.19123505976100003,0.0,0.0
New York Times,6.0,0.125719344843,10.0,0.236641221374
Supreme Court,5.0,0.0996015936255,2.0,0.034351145038200005
Associated Press,4.0,0.0916334661355,2.0,0.034351145038200005
Fox News,4.0,0.083222664896,1.0,0.0190839694656
AP,4.0,0.0779105799026,1.0,0.0114503816794
NBC,4.0,0.0734838424081,4.0,0.0916030534351
CNN,4.0,0.07259849490930001,3.0,0.0610687022901
Senate,4.0,0.0712704736609,2.0,0.0458015267176
White House,3.0,0.06994245241260001,3.0,0.057251908396899996
Washington Post,3.0,0.0668437361664,5.0,0.09541984732820001
Reuters,3.0,0.0650730411687,2.0,0.034351145038200005
Facebook,3.0,0.050464807436899996,3.0,0.0534351145038
Congress,3.0,0.049579459938,3.0,0.0496183206107
FBI,3.0,0.04825143868969999,1.0,0.0229007633588
CBS,3.0,0.0478087649402,3.0,0.057251908396899996
Netflix,2.0,0.0424966799469,7.0,0.152671755725
Senate Judiciary Committee,2.0,0.036299247454599996,1.0,0.0114503816794
GOP,2.0,0.0358565737052,1.0,0.0114503816794
Ford,2.0,0.034971226206300006,1.0,0.0114503816794
ABC,2.0,0.0327578574591,2.0,0.030534351145000003
NBC News,2.0,0.0323151837096,1.0,0.0114503816794
MSNBC,2.0,0.0301018149624,0.0,0.0
Academy of Motion Picture Arts and Sciences,2.0,0.0301018149624,1.0,0.0190839694656
House,2.0,0.0270030987162,1.0,0.0076335877862600005
Times,2.0,0.0256750774679,2.0,0.0458015267176
Yale,1.0,0.022576361221799998,1.0,0.0114503816794
CBS News,1.0,0.021691013722900002,1.0,0.0038167938931300003
HBO,1.0,0.021691013722900002,4.0,0.0839694656489
Temple,1.0,0.020805666224,0.0,0.0
University of Pennsylvania,1.0,0.020362992474499998,1.0,0.0038167938931300003
Los Angeles Times,1.0,0.020362992474499998,2.0,0.0381679389313
Trump,1.0,0.0199203187251,1.0,0.0076335877862600005
Google,1.0,0.0190349712262,2.0,0.030534351145000003
USA TODAY,1.0,0.0185922974768,1.0,0.0190839694656
Amazon,1.0,0.0163789287295,2.0,0.0419847328244
YouTube,1.0,0.015936254980099998,1.0,0.015267175572500001
Justice Department,1.0,0.015493581230600002,1.0,0.0114503816794
NFL,1.0,0.015493581230600002,0.0,0.0
Wall Street Journal,1.0,0.015493581230600002,1.0,0.0076335877862600005
Weinstein Company,1.0,0.015493581230600002,0.0,0.0
New York Post,1.0,0.014608233731700001,1.0,0.0190839694656
Time,1.0,0.014608233731700001,2.0,0.0419847328244
Disney,1.0,0.0141655599823,1.0,0.015267175572500001
Miramax,1.0,0.0141655599823,0.0,0.0
U.N.,1.0,0.0132802124834,0.0,0.0
Judiciary Committee,1.0,0.0132802124834,0.0,0.0
New Yorker,1.0,0.0132802124834,1.0,0.0076335877862600005
Harvard,1.0,0.0123948649845,2.0,0.0267175572519
ABC News,1.0,0.0123948649845,1.0,0.0076335877862600005
CBS Interactive Inc,1.0,0.0123948649845,0.0,0.0
Republican,1.0,0.011952191235100001,1.0,0.0076335877862600005
Trump administration,1.0,0.011952191235100001,1.0,0.0190839694656
Vanity Fair,1.0,0.0115095174856,1.0,0.0190839694656
Daily News,1.0,0.0115095174856,0.0,0.0
Capitol Hill,1.0,0.0110668437362,1.0,0.0114503816794
Hollywood,1.0,0.0106241699867,1.0,0.0114503816794
NPR,1.0,0.0106241699867,1.0,0.0076335877862600005
Amazon Studios,1.0,0.0106241699867,1.0,0.0076335877862600005
Yale University,1.0,0.009296148738379998,0.0,0.0
USA Gymnastics,1.0,0.009296148738379998,1.0,0.015267175572500001
United Nations,1.0,0.00885347498893,0.0,0.0
State Department,1.0,0.00885347498893,1.0,0.0038167938931300003
Post,1.0,0.00885347498893,1.0,0.0038167938931300003
Facebook post,1.0,0.00885347498893,1.0,0.0038167938931300003
Politico,1.0,0.00885347498893,0.0,0.0
CIA,1.0,0.00841080123949,1.0,0.0076335877862600005
Vox,1.0,0.00841080123949,3.0,0.0648854961832
Newsweek,1.0,0.00841080123949,0.0,0.0
