term,a1_bin,a1_perc,a2_bin,a2_perc
Bill Cosby,10.0,0.915006640106,1.0,0.030534351145000003
Andrea Constand,4.0,0.36077910579899997,0.0,0.0
Harvey Weinstein,3.0,0.24966799468800002,5.0,0.404580152672
Donald Trump,2.0,0.137228862328,1.0,0.0916030534351
Janice Dickinson,1.0,0.0823373173971,0.0,0.0
Kevin Steele,1.0,0.08100929614869999,0.0,0.0
Brett Kavanaugh,1.0,0.0748118636565,1.0,0.0114503816794
Trump,1.0,0.0721558211598,2.0,0.156488549618
Steven O’Neill,1.0,0.0694997786631,0.0,0.0
Andrew Wyatt,1.0,0.066401062417,0.0,0.0
Tom Mesereau,1.0,0.0641876936698,0.0,0.0
Gloria Allred,1.0,0.0633023461709,0.0,0.0
Kevin Spacey,1.0,0.0579902611775,2.0,0.129770992366
Steven O'Neill,1.0,0.055776892430300005,0.0,0.0
Roger Ailes,1.0,0.04825143868969999,1.0,0.0076335877862600005
Hillary Clinton,1.0,0.04736609119080001,1.0,0.0267175572519
Christine Blasey Ford,1.0,0.046923417441300005,1.0,0.0076335877862600005
Bill Clinton,1.0,0.045595396193,1.0,0.0038167938931300003
Cliff Huxtable,1.0,0.044710048694099995,0.0,0.0
Matt Lauer,1.0,0.04426737494469999,1.0,0.0648854961832
Michael Jackson,1.0,0.0402833111996,0.0,0.0
Charlie Rose,1.0,0.0367419212041,1.0,0.0458015267176
Louis C.K.,1.0,0.0340858787074,1.0,0.0916030534351
Camille Cosby,1.0,0.0309871624613,0.0,0.0
Roy Moore,1.0,0.0301018149624,1.0,0.0229007633588
Al Franken,1.0,0.029659141212900003,1.0,0.0610687022901
Heidi Thomas,1.0,0.0292164674635,0.0,0.0
Kathleen Bliss,1.0,0.0283311199646,0.0,0.0
Janice Baker-Kinney,1.0,0.0270030987162,0.0,0.0
Chelan Lasha,1.0,0.0270030987162,0.0,0.0
Woody Allen,1.0,0.0265604249668,1.0,0.034351145038200005
Steven T. O’Neill,1.0,0.026117751217400002,0.0,0.0
Fox,1.0,0.025232403718500003,1.0,0.0114503816794
Lise-Lotte Lublin,1.0,0.024789729969,0.0,0.0
Marguerite Jackson,1.0,0.024789729969,0.0,0.0
Lili Bernard,1.0,0.024347056219599997,0.0,0.0
