term,a1_bin,a1_perc,a2_bin,a2_perc
Temple University,3.0,0.19123505976100003,1.0,0.0133928571429
New York Times,2.0,0.125719344843,3.0,0.203571428571
Supreme Court,2.0,0.0996015936255,10.0,0.828571428571
Associated Press,2.0,0.0916334661355,1.0,0.0660714285714
Fox News,2.0,0.083222664896,2.0,0.141071428571
AP,1.0,0.0779105799026,1.0,0.08035714285710001
NBC,1.0,0.0734838424081,1.0,0.0678571428571
CNN,1.0,0.07259849490930001,2.0,0.164285714286
Senate,1.0,0.0712704736609,8.0,0.591071428571
White House,1.0,0.06994245241260001,4.0,0.29642857142900003
Washington Post,1.0,0.0668437361664,3.0,0.20535714285700002
Reuters,1.0,0.0650730411687,1.0,0.0785714285714
Facebook,1.0,0.050464807436899996,1.0,0.06339285714290001
Congress,1.0,0.049579459938,4.0,0.25625
FBI,1.0,0.04825143868969999,5.0,0.336607142857
CBS,1.0,0.0478087649402,1.0,0.0785714285714
Netflix,1.0,0.0424966799469,1.0,0.0142857142857
Senate Judiciary Committee,1.0,0.036299247454599996,6.0,0.442857142857
GOP,1.0,0.0358565737052,3.0,0.23660714285700002
Ford,1.0,0.034971226206300006,7.0,0.551785714286
ABC,1.0,0.0327578574591,1.0,0.0392857142857
NBC News,1.0,0.0323151837096,1.0,0.0642857142857
MSNBC,1.0,0.0301018149624,1.0,0.0303571428571
Academy of Motion Picture Arts and Sciences,1.0,0.0301018149624,0.0,0.0
House,1.0,0.0270030987162,2.0,0.116964285714
Times,1.0,0.0256750774679,1.0,0.0339285714286
Yale,1.0,0.022576361221799998,2.0,0.08660714285710001
CBS News,1.0,0.021691013722900002,1.0,0.0330357142857
HBO,1.0,0.021691013722900002,1.0,0.015178571428600001
Temple,1.0,0.020805666224,0.0,0.0
University of Pennsylvania,1.0,0.020362992474499998,1.0,0.00535714285714
Los Angeles Times,1.0,0.020362992474499998,1.0,0.0133928571429
Trump,1.0,0.0199203187251,1.0,0.06160714285709999
Google,1.0,0.0190349712262,1.0,0.0339285714286
USA TODAY,1.0,0.0185922974768,1.0,0.0205357142857
Amazon,1.0,0.0163789287295,1.0,0.0169642857143
YouTube,1.0,0.015936254980099998,1.0,0.00535714285714
Justice Department,1.0,0.015493581230600002,1.0,0.05
NFL,1.0,0.015493581230600002,1.0,0.0116071428571
Wall Street Journal,1.0,0.015493581230600002,1.0,0.06071428571430001
Weinstein Company,1.0,0.015493581230600002,0.0,0.0
New York Post,1.0,0.014608233731700001,1.0,0.00892857142857
Time,1.0,0.014608233731700001,1.0,0.0107142857143
Disney,1.0,0.0141655599823,1.0,0.00446428571429
Miramax,1.0,0.0141655599823,0.0,0.0
U.N.,1.0,0.0132802124834,1.0,0.0258928571429
Judiciary Committee,1.0,0.0132802124834,3.0,0.20089285714299998
New Yorker,1.0,0.0132802124834,1.0,0.0205357142857
Harvard,1.0,0.0123948649845,1.0,0.0241071428571
ABC News,1.0,0.0123948649845,1.0,0.027678571428600002
CBS Interactive Inc,1.0,0.0123948649845,1.0,0.00535714285714
Republican,1.0,0.011952191235100001,2.0,0.08839285714289999
Trump administration,1.0,0.011952191235100001,1.0,0.0366071428571
