term,a1_bin,a1_perc,a2_bin,a2_perc
Bill Cosby,10.0,0.915006640106,1.0,0.05625
Andrea Constand,4.0,0.36077910579899997,1.0,0.0294642857143
Harvey Weinstein,3.0,0.24966799468800002,2.0,0.10625
Donald Trump,2.0,0.137228862328,5.0,0.39375
Janice Dickinson,1.0,0.0823373173971,1.0,0.00535714285714
Kevin Steele,1.0,0.08100929614869999,1.0,0.00714285714286
Brett Kavanaugh,1.0,0.0748118636565,10.0,0.983928571429
Trump,1.0,0.0721558211598,2.0,0.19553571428599997
Steven O’Neill,1.0,0.0694997786631,1.0,0.00892857142857
Andrew Wyatt,1.0,0.066401062417,1.0,0.00803571428571
Tom Mesereau,1.0,0.0641876936698,0.0,0.0
Gloria Allred,1.0,0.0633023461709,0.0,0.0
Kevin Spacey,1.0,0.0579902611775,1.0,0.0133928571429
Steven O'Neill,1.0,0.055776892430300005,0.0,0.0
Roger Ailes,1.0,0.04825143868969999,1.0,0.0133928571429
Hillary Clinton,1.0,0.04736609119080001,1.0,0.0857142857143
Christine Blasey Ford,1.0,0.046923417441300005,8.0,0.713392857143
Bill Clinton,1.0,0.045595396193,1.0,0.07589285714289999
Cliff Huxtable,1.0,0.044710048694099995,1.0,0.00982142857143
Matt Lauer,1.0,0.04426737494469999,1.0,0.017857142857099998
Michael Jackson,1.0,0.0402833111996,0.0,0.0
Charlie Rose,1.0,0.0367419212041,1.0,0.017857142857099998
Louis C.K.,1.0,0.0340858787074,1.0,0.0223214285714
Camille Cosby,1.0,0.0309871624613,0.0,0.0
Roy Moore,1.0,0.0301018149624,1.0,0.0348214285714
Al Franken,1.0,0.029659141212900003,1.0,0.041964285714300005
Heidi Thomas,1.0,0.0292164674635,0.0,0.0
Kathleen Bliss,1.0,0.0283311199646,0.0,0.0
Janice Baker-Kinney,1.0,0.0270030987162,0.0,0.0
Chelan Lasha,1.0,0.0270030987162,0.0,0.0
Woody Allen,1.0,0.0265604249668,1.0,0.00535714285714
Steven T. O’Neill,1.0,0.026117751217400002,0.0,0.0
Fox,1.0,0.025232403718500003,1.0,0.03125
Lise-Lotte Lublin,1.0,0.024789729969,0.0,0.0
Marguerite Jackson,1.0,0.024789729969,0.0,0.0
Lili Bernard,1.0,0.024347056219599997,0.0,0.0
Lisa Bloom,1.0,0.0230190349712,0.0,0.0
Roman Polanski,1.0,0.022576361221799998,0.0,0.0
Kristen Feden,1.0,0.022576361221799998,0.0,0.0
Anita Hill,1.0,0.021691013722900002,3.0,0.22232142857099998
Camille,1.0,0.0212483399734,0.0,0.0
Barack Obama,1.0,0.020805666224,1.0,0.06071428571430001
Rose McGowan,1.0,0.020805666224,1.0,0.00803571428571
Clarence Thomas,1.0,0.020362992474499998,3.0,0.211607142857
Larry Nassar,1.0,0.020362992474499998,1.0,0.00892857142857
Ronan Farrow,1.0,0.019477644975700002,1.0,0.0464285714286
Obama,1.0,0.0190349712262,1.0,0.0339285714286
Robert Mueller,1.0,0.0190349712262,1.0,0.0392857142857
Ashley Judd,1.0,0.0185922974768,1.0,0.00982142857143
Brett Ratner,1.0,0.0185922974768,0.0,0.0
James Toback,1.0,0.0185922974768,0.0,0.0
Michael Cohen,1.0,0.018149623727299998,1.0,0.01875
Bill O'Reilly,1.0,0.0177069499779,0.0,0.0
Hannibal Buress,1.0,0.016821602479,0.0,0.0
Tarana Burke,1.0,0.016821602479,1.0,0.0223214285714
Jeff Flake,1.0,0.0163789287295,2.0,0.159821428571
Lindsey Graham,1.0,0.0163789287295,1.0,0.09285714285710002
Bill O’Reilly,1.0,0.0163789287295,0.0,0.0
Kanye West,1.0,0.015936254980099998,1.0,0.00625
R. Kelly,1.0,0.015493581230600002,0.0,0.0
Reno,1.0,0.0150509074812,0.0,0.0
Cosby,1.0,0.0150509074812,0.0,0.0
Thomas Mesereau,1.0,0.0150509074812,0.0,0.0
David DeKok,1.0,0.0150509074812,0.0,0.0
George W. Bush,1.0,0.0141655599823,1.0,0.05625
Victoria Valentino,1.0,0.0141655599823,0.0,0.0
James Comey,1.0,0.0137228862328,1.0,0.0125
Mark Halperin,1.0,0.0137228862328,0.0,0.0
Gianna Constand,1.0,0.0137228862328,0.0,0.0
Mitch McConnell,1.0,0.0132802124834,2.0,0.161607142857
Kellyanne Conway,1.0,0.0132802124834,1.0,0.049107142857099995
Steve Wynn,1.0,0.0132802124834,0.0,0.0
Constand,1.0,0.0132802124834,0.0,0.0
Deborah Ramirez,1.0,0.0132802124834,2.0,0.13482142857100002
Kim Jong Un,1.0,0.0123948649845,1.0,0.0214285714286
Jeff Sessions,1.0,0.011952191235100001,1.0,0.0232142857143
Rod Rosenstein,1.0,0.011952191235100001,1.0,0.0267857142857
Bruce Castor,1.0,0.011952191235100001,0.0,0.0
Stewart Ryan,1.0,0.011952191235100001,0.0,0.0
O.J. Simpson,1.0,0.0115095174856,0.0,0.0
Alyssa Milano,1.0,0.0115095174856,1.0,0.0294642857143
Weinstein,1.0,0.0115095174856,0.0,0.0
Kelly Johnson,1.0,0.0115095174856,0.0,0.0
Dolores Troiani,1.0,0.0115095174856,0.0,0.0
Joseph Green,1.0,0.0115095174856,0.0,0.0
Michael Avenatti,1.0,0.0115095174856,1.0,0.0473214285714
