term,a1_bin,a1_perc,a2_bin,a2_perc
aggravated indecent assault,8.0,0.027999999999999997,0.0,0.0
counts aggravated indecent,6.0,0.023,0.0,0.0
judge steven o'neill,5.0,0.017,0.0,0.0
drugging sexually assaulting,4.0,0.015,0.0,0.0
sexually violent predator,4.0,0.013999999999999999,0.0,0.0
montgomery courthouse norristown,4.0,0.013999999999999999,0.0,0.0
cosby counts aggravated,4.0,0.013000000000000001,0.0,0.0
courthouse norristown pennsylvania,3.0,0.011000000000000001,0.0,0.0
accuser andrea constand,3.0,0.009000000000000001,0.0,0.0
drugged sexually assaulted,3.0,0.008,0.0,0.0
district kevin steele,3.0,0.008,1.0,0.002
cosby sentenced assault,3.0,0.008,0.0,0.0
constand temple university,3.0,0.008,0.0,0.0
assault montgomery courthouse,3.0,0.008,0.0,0.0
spokesman andrew wyatt,2.0,0.006999999999999999,0.0,0.0
cosby's assault retrial,2.0,0.006999999999999999,0.0,0.0
cosby sexually violent,2.0,0.006999999999999999,0.0,0.0
cosby drugging sexually,2.0,0.006999999999999999,0.0,0.0
janice dickinson cosby,2.0,0.006,0.0,0.0
cosby drugged raped,2.0,0.006,0.0,0.0
cosby convicted drugging,2.0,0.006,0.0,0.0
assault andrea constand,2.0,0.006,0.0,0.0
andrea constand cosby,2.0,0.006,0.0,0.0
women's basketball temple,2.0,0.005,0.0,0.0
university women's basketball,2.0,0.005,0.0,0.0
temple university women's,2.0,0.005,0.0,0.0
disgraced comedian cosby,2.0,0.005,0.0,0.0
courthouse norristown pa,2.0,0.005,0.0,0.0
cosby roman polanski,2.0,0.005,0.0,0.0
cosby drugged sexually,2.0,0.005,0.0,0.0
cosby drugged assaulted,2.0,0.005,0.0,0.0
comedian cosby arrives,2.0,0.005,0.0,0.0
andrea constand temple,2.0,0.005,0.0,0.0
temple university cosby,2.0,0.004,0.0,0.0
supermodel janice dickinson,2.0,0.004,0.0,0.0
sexually assaulted cosby,2.0,0.004,0.0,0.0
sentenced sexually assaulting,2.0,0.004,0.0,0.0
photo comedian cosby,2.0,0.004,0.0,0.0
montgomery judge steven,2.0,0.004,0.0,0.0
janice dickinson supermodel,2.0,0.004,0.0,0.0
felony counts aggravated,2.0,0.004,0.0,0.0
cosby spokesman andrew,2.0,0.004,0.0,0.0
cosby pill antihistamine,2.0,0.004,0.0,0.0
cosby drugging molesting,2.0,0.004,0.0,0.0
cosby counts assault,2.0,0.004,0.0,0.0
cosby assault retrial,2.0,0.004,0.0,0.0
convicted counts aggravated,2.0,0.004,0.0,0.0
assault norristown pa,2.0,0.004,0.0,0.0
ğÿ ğÿ ğÿ,1.0,0.003,0.0,0.0
violent predator designation,1.0,0.003,0.0,0.0
