term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.7144754316069999,7.0,0.50936329588
sex crimes,9.0,0.673306772908,8.0,0.544943820225
women,3.0,0.188136343515,7.0,0.48314606741599997
decisions and verdicts,3.0,0.181938911023,1.0,0.0131086142322
sentences (criminal),3.0,0.156706507304,1.0,0.005617977528089999
politics and government,2.0,0.146525011067,10.0,0.7528089887639999
suits and litigation,2.0,0.131916777335,1.0,0.0243445692884
television,2.0,0.122177954847,1.0,0.058052434456900004
motion pictures,2.0,0.0916334661355,1.0,0.0280898876404
ethics,1.0,0.0730411686587,3.0,0.177902621723
united states politics and government,1.0,0.0694997786631,7.0,0.46067415730300004
child abuse and neglect,1.0,0.0641876936698,1.0,0.011235955056200002
basketball,1.0,0.0566622399292,0.0,0.0
medicine and health,1.0,0.0540061974325,1.0,0.033707865168499995
biographical information,1.0,0.0517928286853,1.0,0.065543071161
news and news media,1.0,0.0486941124391,2.0,0.0936329588015
blacks,1.0,0.0460380699425,1.0,0.0430711610487
education and schools,1.0,0.045152722443599996,1.0,0.0205992509363
sexual harassment,1.0,0.034971226206300006,2.0,0.131086142322
media,1.0,0.0327578574591,1.0,0.0730337078652
discrimination,1.0,0.031872509960199996,1.0,0.0524344569288
music,1.0,0.0274457724657,1.0,0.00749063670412
reviews,1.0,0.0239043824701,1.0,0.005617977528089999
elections,1.0,0.0234617087207,5.0,0.346441947566
jury system,1.0,0.0230190349712,0.0,0.0
colleges and universities,1.0,0.022576361221799998,1.0,0.005617977528089999
books and literature,1.0,0.0221336874723,1.0,0.0149812734082
computers and the internet,1.0,0.020805666224,1.0,0.022471910112400004
murders and attempted murders,1.0,0.0185922974768,0.0,0.0
labor,1.0,0.0163789287295,1.0,0.0187265917603
law and legislation,1.0,0.015493581230600002,1.0,0.0393258426966
"awards, decorations and honors",1.0,0.0150509074812,0.0,0.0
children and youth,1.0,0.0141655599823,1.0,0.011235955056200002
religion and churches,1.0,0.0123948649845,1.0,0.033707865168499995
comedy and humor,1.0,0.0123948649845,0.0,0.0
finances,1.0,0.011952191235100001,1.0,0.0355805243446
"armament, defense and military forces",1.0,0.011952191235100001,1.0,0.0168539325843
sex,1.0,0.0115095174856,1.0,0.0243445692884
international relations,1.0,0.0115095174856,1.0,0.0168539325843
demonstrations and riots,1.0,0.0106241699867,1.0,0.0262172284644
theater,1.0,0.010181496237299999,0.0,0.0
prostitution,1.0,0.00973882248783,0.0,0.0
"suspensions, dismissals and resignations",1.0,0.00973882248783,1.0,0.0561797752809
prisons and prisoners,1.0,0.00885347498893,0.0,0.0
academy awards (oscars),1.0,0.00885347498893,0.0,0.0
presidents and presidency (us),1.0,0.00841080123949,1.0,0.063670411985
united states international relations,1.0,0.00796812749004,1.0,0.0168539325843
diseases and conditions,1.0,0.00796812749004,0.0,0.0
assaults,1.0,0.00796812749004,0.0,0.0
homosexuality,1.0,0.0075254537405900004,1.0,0.0187265917603
police,1.0,0.0075254537405900004,0.0,0.0
christians and christianity,1.0,0.0066401062417,1.0,0.0205992509363
appointments and executive changes,1.0,0.0066401062417,1.0,0.0187265917603
college athletics,1.0,0.0066401062417,0.0,0.0
quotation of the day,1.0,0.00619743249225,0.0,0.0
deaths (obituaries),1.0,0.00619743249225,0.0,0.0
festivals,1.0,0.00575475874281,0.0,0.0
advertising and marketing,1.0,0.005312084993359999,0.0,0.0
drug abuse and traffic,1.0,0.005312084993359999,1.0,0.005617977528089999
frauds and swindling,1.0,0.0048694112439099995,0.0,0.0
apparel,1.0,0.0048694112439099995,0.0,0.0
photography,1.0,0.0048694112439099995,0.0,0.0
legal profession,1.0,0.0048694112439099995,0.0,0.0
privacy,1.0,0.004426737494470001,0.0,0.0
united states armament and defense,1.0,0.004426737494470001,1.0,0.011235955056200002
art,1.0,0.00398406374502,0.0,0.0
documentary films and programs,1.0,0.00398406374502,0.0,0.0
terrorism,1.0,0.00354138999557,1.0,0.0131086142322
drugs (pharmaceuticals),1.0,0.00354138999557,0.0,0.0
restaurants,1.0,0.00354138999557,0.0,0.0
radio,1.0,0.00354138999557,0.0,0.0
priests,1.0,0.00354138999557,0.0,0.0
presidential elections (us),1.0,0.00309871624613,1.0,0.029962546816500003
entertainment and amusements,1.0,0.00309871624613,0.0,0.0
election issues,1.0,0.0026560424966799996,1.0,0.0149812734082
international trade and world market,1.0,0.0026560424966799996,0.0,0.0
public opinion,0.0,0.0,1.0,0.022471910112400004
legislatures and parliaments,0.0,0.0,1.0,0.0205992509363
primaries,0.0,0.0,1.0,0.0168539325843
editorials,0.0,0.0,1.0,0.0149812734082
taxation,0.0,0.0,1.0,0.0131086142322
abortion,0.0,0.0,1.0,0.011235955056200002
governors (us),0.0,0.0,1.0,0.011235955056200002
impeachment,0.0,0.0,1.0,0.00749063670412
marriages,0.0,0.0,1.0,0.00749063670412
budgets and budgeting,0.0,0.0,1.0,0.005617977528089999
immigration and refugees,0.0,0.0,1.0,0.005617977528089999
economic conditions and trends,0.0,0.0,1.0,0.005617977528089999
