term,a1_bin,a1_perc,a2_bin,a2_perc
kavanaugh,10.0,1.061,5.0,0.516
brett,3.0,0.24,2.0,0.113
supreme,2.0,0.195,1.0,0.092
senate,2.0,0.183,2.0,0.19
judge,2.0,0.15,1.0,0.09300000000000001
ford,2.0,0.149,10.0,0.9790000000000001
allegations,2.0,0.149,3.0,0.257
confirmation,2.0,0.124,1.0,0.036000000000000004
trump,2.0,0.122,1.0,0.065
democrats,2.0,0.113,1.0,0.07200000000000001
republicans,1.0,0.10300000000000001,2.0,0.10800000000000001
nominee,1.0,0.102,1.0,0.077
nomination,1.0,0.102,1.0,0.024
assault,1.0,0.092,3.0,0.21600000000000003
blasey,1.0,0.075,4.0,0.363
christine,1.0,0.07,3.0,0.275
accuser,1.0,0.063,1.0,0.094
judiciary,1.0,0.061,2.0,0.111
fbi,1.0,0.06,1.0,0.063
testify,1.0,0.034,1.0,0.10400000000000001
professor,1.0,0.032,1.0,0.045
washington,1.0,0.03,1.0,0.045
sexually,1.0,0.027999999999999997,1.0,0.061
misconduct,1.0,0.027999999999999997,1.0,0.022000000000000002
hearings,1.0,0.027000000000000003,1.0,0.015
collins,1.0,0.025,1.0,0.013000000000000001
flake,1.0,0.024,1.0,0.009000000000000001
counsel,1.0,0.023,1.0,0.011000000000000001
conservative,1.0,0.023,1.0,0.01
yale,1.0,0.022000000000000002,1.0,0.004
mcconnell,1.0,0.022000000000000002,1.0,0.004
judicial,1.0,0.022000000000000002,1.0,0.006
ramirez,1.0,0.021,1.0,0.021
donald,1.0,0.02,1.0,0.013999999999999999
tweeted,1.0,0.019,0.0,0.0
opinion,1.0,0.019,1.0,0.001
bush,1.0,0.019,1.0,0.002
jeff,1.0,0.018000000000000002,1.0,0.005
grassley,1.0,0.018000000000000002,1.0,0.045
election,1.0,0.018000000000000002,0.0,0.0
university,1.0,0.017,1.0,0.021
swetnick,1.0,0.017,1.0,0.01
raped,1.0,0.017,0.0,0.0
leader,1.0,0.017,1.0,0.002
kennedy,1.0,0.017,1.0,0.002
clinton,1.0,0.017,1.0,0.003
appeals,1.0,0.017,1.0,0.003
defended,1.0,0.016,1.0,0.008
mitch,1.0,0.015,1.0,0.001
gop,1.0,0.015,1.0,0.015
georgetown,1.0,0.015,1.0,0.004
classmate,1.0,0.015,1.0,0.005
capitol,1.0,0.015,1.0,0.008
california,1.0,0.015,1.0,0.034
teenagers,1.0,0.013999999999999999,1.0,0.03
john,1.0,0.013999999999999999,1.0,0.003
united,1.0,0.013000000000000001,1.0,0.002
susan,1.0,0.013000000000000001,1.0,0.003
probe,1.0,0.013000000000000001,1.0,0.006999999999999999
oppose,1.0,0.013000000000000001,1.0,0.002
investigate,1.0,0.013000000000000001,1.0,0.02
independent,1.0,0.013000000000000001,1.0,0.006
circuit,1.0,0.013000000000000001,0.0,0.0
abortion,1.0,0.013000000000000001,1.0,0.006999999999999999
midterm,1.0,0.012,1.0,0.001
chuck,1.0,0.012,1.0,0.018000000000000002
american,1.0,0.012,1.0,0.003
1980s,1.0,0.012,1.0,0.035
poll,1.0,0.011000000000000001,1.0,0.004
murkowski,1.0,0.011000000000000001,1.0,0.001
media,1.0,0.011000000000000001,1.0,0.006999999999999999
maryland,1.0,0.011000000000000001,1.0,0.011000000000000001
college,1.0,0.011000000000000001,1.0,0.005
campaign,1.0,0.011000000000000001,1.0,0.009000000000000001
calling,1.0,0.011000000000000001,1.0,0.006
avenatti,1.0,0.011000000000000001,0.0,0.0
supporters,1.0,0.01,1.0,0.008
robert,1.0,0.01,1.0,0.002
president's,1.0,0.01,0.0,0.0
prep,1.0,0.01,1.0,0.003
ludington,1.0,0.01,0.0,0.0
lawmakers,1.0,0.01,1.0,0.011000000000000001
graham,1.0,0.01,1.0,0.012
false,1.0,0.01,1.0,0.005
emails,1.0,0.01,0.0,0.0
anonymous,1.0,0.01,1.0,0.008
witnessed,1.0,0.009000000000000001,1.0,0.003
wade,1.0,0.009000000000000001,0.0,0.0
sworn,1.0,0.009000000000000001,1.0,0.011000000000000001
roe,1.0,0.009000000000000001,0.0,0.0
protesters,1.0,0.009000000000000001,1.0,0.006
presidential,1.0,0.009000000000000001,0.0,0.0
precedent,1.0,0.009000000000000001,0.0,0.0
politico,1.0,0.009000000000000001,1.0,0.003
nation's,1.0,0.009000000000000001,1.0,0.003
maine,1.0,0.009000000000000001,0.0,0.0
julie,1.0,0.009000000000000001,1.0,0.008
harris,1.0,0.009000000000000001,1.0,0.006
criminal,1.0,0.009000000000000001,1.0,0.002
anthony,1.0,0.009000000000000001,1.0,0.003
aide,1.0,0.009000000000000001,0.0,0.0
