term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.829289059174,1.0,0.0430082475188
Senate,7.0,0.5264651624800001,2.0,0.15295186617599998
Senate Judiciary Committee,5.0,0.37207322264799997,1.0,0.0137924607427
Ford,4.0,0.29253583085,1.0,0.0183355854806
White House,4.0,0.273733503619,2.0,0.135944271003
FBI,4.0,0.266496381439,1.0,0.05051022785519999
GOP,3.0,0.179154250035,2.0,0.11679325287699999
Congress,2.0,0.160777635873,2.0,0.140557289968
Judiciary Committee,2.0,0.13161629062000002,1.0,0.00647686501095
Washington Post,2.0,0.123882503193,1.0,0.065351101999
CNN,2.0,0.119767276855,1.0,0.06644611155119999
New York Times,2.0,0.111394919824,1.0,0.07280648618419999
Fox News,2.0,0.102171136654,1.0,0.043217930199
House,1.0,0.07776358734210001,2.0,0.140906761102
Yale,1.0,0.07187455654889999,1.0,0.0045431247379
U.S. Supreme Court,1.0,0.065488860508,1.0,0.0073155957317899995
Republican,1.0,0.058464594863099996,1.0,0.036810959414800004
Reuters,1.0,0.0500922378317,2.0,0.09771212897810001
Trump,1.0,0.0488860508018,1.0,0.040748334187599995
Justice Department,1.0,0.044841776642500004,1.0,0.0335958249849
AP,1.0,0.0441322548602,2.0,0.107753599553
Associated Press,1.0,0.0433517808997,1.0,0.070220399795
NBC,1.0,0.042003689513300003,1.0,0.0359722286939
NBC News,1.0,0.0398041719881,1.0,0.018195797027200002
Yale University,1.0,0.0390236980275,0.0,0.0
Trump administration,1.0,0.0348375195118,1.0,0.0337356134383
CBS,1.0,0.0341279977295,1.0,0.0273053445785
Facebook,1.0,0.0332056194125,1.0,0.0522109873724
Capitol Hill,1.0,0.031218958422,1.0,0.0132333069288
Republican Party,1.0,0.030793245352599998,1.0,0.0208284795676
MSNBC,1.0,0.0301546757485,1.0,0.012511066585899998
U.S. Senate,1.0,0.028380871292699998,1.0,0.0150971529752
Democratic,1.0,0.027600397332200002,1.0,0.0146777876147
Democratic Party,1.0,0.027316588619300003,1.0,0.018685056614299998
Wall Street Journal,1.0,0.026890875549900002,1.0,0.021108056474500002
D.C. Circuit,1.0,0.026890875549900002,0.0,0.0
Dr. Ford,1.0,0.0244075493118,0.0,0.0
Palo Alto University,1.0,0.023839931885900004,0.0,0.0
U.S. Court of Appeals,1.0,0.0224208883213,0.0,0.0
ABC,1.0,0.0219951752519,1.0,0.026187036950699998
Politico,1.0,0.021356605647800002,1.0,0.0146777876147
Bloomberg,1.0,0.0207180360437,1.0,0.0309398443689
CBS News,1.0,0.020576131687200003,1.0,0.0108336051442
Harvard,1.0,0.0193699446573,1.0,0.0102977494059
Post,1.0,0.019228040300799998,1.0,0.014328316481099999
United States Supreme Court,1.0,0.0187313750532,0.0,0.0
Times,1.0,0.0178799489144,1.0,0.0132333069288
