term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.829289059174,1.0,0.044275774826100005
Senate,7.0,0.5264651624800001,2.0,0.0980392156863
Senate Judiciary Committee,5.0,0.37207322264799997,1.0,0.018975332068300002
Ford,4.0,0.29253583085,1.0,0.0164452877925
White House,4.0,0.273733503619,1.0,0.0613535736875
FBI,4.0,0.266496381439,1.0,0.0284629981025
GOP,3.0,0.179154250035,1.0,0.036685641998699996
Congress,2.0,0.160777635873,1.0,0.0531309297913
Judiciary Committee,2.0,0.13161629062000002,1.0,0.00506008855155
Washington Post,2.0,0.123882503193,2.0,0.0923466160658
CNN,2.0,0.119767276855,1.0,0.0702087286528
New York Times,2.0,0.111394919824,5.0,0.382036685642
Fox News,2.0,0.102171136654,1.0,0.0480708412397
House,1.0,0.07776358734210001,1.0,0.036685641998699996
Yale,1.0,0.07187455654889999,1.0,0.005692599620489999
U.S. Supreme Court,1.0,0.065488860508,1.0,0.0031625553447199996
Republican,1.0,0.058464594863099996,1.0,0.0126502213789
Reuters,1.0,0.0500922378317,1.0,0.024667931688799997
Trump,1.0,0.0488860508018,1.0,0.0208728652751
Justice Department,1.0,0.044841776642500004,1.0,0.018975332068300002
AP,1.0,0.0441322548602,1.0,0.0290955091714
Associated Press,1.0,0.0433517808997,1.0,0.024035420619900005
NBC,1.0,0.042003689513300003,2.0,0.09677419354839999
NBC News,1.0,0.0398041719881,1.0,0.0347881087919
Yale University,1.0,0.0390236980275,0.0,0.0
Trump administration,1.0,0.0348375195118,1.0,0.0101201771031
CBS,1.0,0.0341279977295,1.0,0.0815939278937
Facebook,1.0,0.0332056194125,1.0,0.0531309297913
Capitol Hill,1.0,0.031218958422,1.0,0.011385199241
Republican Party,1.0,0.030793245352599998,1.0,0.013282732447799999
MSNBC,1.0,0.0301546757485,1.0,0.0297280202404
U.S. Senate,1.0,0.028380871292699998,1.0,0.0164452877925
Democratic,1.0,0.027600397332200002,1.0,0.006325110689439999
Democratic Party,1.0,0.027316588619300003,1.0,0.012017710309899999
Wall Street Journal,1.0,0.026890875549900002,1.0,0.00885515496521
D.C. Circuit,1.0,0.026890875549900002,0.0,0.0
Dr. Ford,1.0,0.0244075493118,0.0,0.0
Palo Alto University,1.0,0.023839931885900004,0.0,0.0
U.S. Court of Appeals,1.0,0.0224208883213,0.0,0.0
ABC,1.0,0.0219951752519,1.0,0.04743833017080001
Politico,1.0,0.021356605647800002,1.0,0.00948766603416
Bloomberg,1.0,0.0207180360437,1.0,0.0164452877925
CBS News,1.0,0.020576131687200003,1.0,0.019607843137299998
Harvard,1.0,0.0193699446573,1.0,0.011385199241
Post,1.0,0.019228040300799998,1.0,0.0202403542062
United States Supreme Court,1.0,0.0187313750532,0.0,0.0
Times,1.0,0.0178799489144,2.0,0.10056925996200002
house,1.0,0.017738044558000002,1.0,0.00885515496521
House of Representatives,1.0,0.0173832836668,1.0,0.00379506641366
Yale Law School,1.0,0.0168866184192,0.0,0.0
supreme court,1.0,0.0166737618845,0.0,0.0
POLITICO,1.0,0.0161770966369,0.0,0.0
State,1.0,0.0159642401022,0.0,0.0
United Nations,1.0,0.0158223357457,0.0,0.0
CBS Interactive Inc,1.0,0.015609479211,1.0,0.005692599620489999
Newsmax,1.0,0.0151128139634,0.0,0.0
Google,1.0,0.014899957428700003,1.0,0.024667931688799997
F.B.I.,1.0,0.014545196537500001,0.0,0.0
Senate Judiciary,1.0,0.014545196537500001,0.0,0.0
Department of Justice,1.0,0.0143323400028,0.0,0.0
Democrats,1.0,0.014261387824600001,0.0,0.0
U.S. Court of Appeals for the District of Columbia Circuit,1.0,0.0141194834681,0.0,0.0
Catholic,1.0,0.0139066269334,1.0,0.00506008855155
Georgetown,1.0,0.0134809138641,0.0,0.0
EPA,1.0,0.0130552007947,0.0,0.0
USA TODAY,1.0,0.0124166311906,1.0,0.0177103099304
DOJ,1.0,0.0123456790123,1.0,0.00379506641366
D.C. Circuit Court of Appeals,1.0,0.0122037746559,0.0,0.0
judiciary committee,1.0,0.0121328224777,0.0,0.0
American Bar Association,1.0,0.0118490137647,0.0,0.0
Vox,1.0,0.0117071094083,1.0,0.0347881087919
CIA,1.0,0.0114942528736,0.0,0.0
NATO,1.0,0.0112104441606,0.0,0.0
U.N.,1.0,0.0109975876259,0.0,0.0
NPR,1.0,0.010429970200100001,1.0,0.0284629981025
ABC News,1.0,0.010288065843600001,1.0,0.021505376344099998
ACLU,1.0,0.0101461614872,1.0,0.0031625553447199996
CNBC,1.0,0.0101461614872,1.0,0.006325110689439999
Breitbart News,1.0,0.0101461614872,0.0,0.0
Trump White House,1.0,0.009933304952459998,0.0,0.0
Georgetown Preparatory School,1.0,0.00964949623953,0.0,0.0
US Supreme Court,1.0,0.0095785440613,0.0,0.0
Trump’s Supreme Court,1.0,0.00936568752661,0.0,0.0
Harvard Law School,1.0,0.009223783170139999,0.0,0.0
State Department,1.0,0.00893997445722,0.0,0.0
Senate judiciary committee,1.0,0.00879807010075,0.0,0.0
Trump's Supreme Court,1.0,0.008727117922520001,0.0,0.0
Medicare,1.0,0.00858521356606,0.0,0.0
Amazon,1.0,0.00858521356606,1.0,0.056925996204900006
United Nations General Assembly,1.0,0.00815950049667,0.0,0.0
DNC,1.0,0.00808854831843,1.0,0.00506008855155
WSJ,1.0,0.00808854831843,0.0,0.0
NFL,1.0,0.0080175961402,1.0,0.022137887412999997
House Judiciary Committee,1.0,0.0078047396055099996,1.0,0.00442757748261
National Archives,1.0,0.0078047396055099996,0.0,0.0
Hart Senate,1.0,0.0078047396055099996,0.0,0.0
first Supreme Court,1.0,0.00766283524904,0.0,0.0
New Yorker,1.0,0.007591883070810001,1.0,0.005692599620489999
NARAL,1.0,0.007591883070810001,0.0,0.0
Senate Judiciary Committee on Capitol Hill,1.0,0.007591883070810001,0.0,0.0
USA Today,1.0,0.00752093089258,1.0,0.00759013282732
Defense,1.0,0.007449978714350001,0.0,0.0
Pentagon,1.0,0.007449978714350001,0.0,0.0
