term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.829289059174,2.0,0.156896551724
Senate,7.0,0.5264651624800001,7.0,0.531034482759
Senate Judiciary Committee,5.0,0.37207322264799997,1.0,0.07068965517239999
Ford,4.0,0.29253583085,1.0,0.0620689655172
White House,4.0,0.273733503619,3.0,0.227586206897
FBI,4.0,0.266496381439,1.0,0.0741379310345
GOP,3.0,0.179154250035,3.0,0.208620689655
Congress,2.0,0.160777635873,6.0,0.44655172413800004
Judiciary Committee,2.0,0.13161629062000002,1.0,0.0293103448276
Washington Post,2.0,0.123882503193,3.0,0.206896551724
CNN,2.0,0.119767276855,2.0,0.155172413793
New York Times,2.0,0.111394919824,3.0,0.24310344827599997
Fox News,2.0,0.102171136654,2.0,0.12413793103399999
House,1.0,0.07776358734210001,4.0,0.26724137930999997
Yale,1.0,0.07187455654889999,1.0,0.013793103448299999
U.S. Supreme Court,1.0,0.065488860508,1.0,0.010344827586200001
Republican,1.0,0.058464594863099996,1.0,0.0741379310345
Reuters,1.0,0.0500922378317,1.0,0.037931034482800004
Trump,1.0,0.0488860508018,1.0,0.0827586206897
Justice Department,1.0,0.044841776642500004,1.0,0.048275862068999996
AP,1.0,0.0441322548602,2.0,0.0844827586207
Associated Press,1.0,0.0433517808997,1.0,0.05
NBC,1.0,0.042003689513300003,2.0,0.110344827586
NBC News,1.0,0.0398041719881,1.0,0.0689655172414
Yale University,1.0,0.0390236980275,1.0,0.00862068965517
Trump administration,1.0,0.0348375195118,1.0,0.0293103448276
CBS,1.0,0.0341279977295,1.0,0.0586206896552
Facebook,1.0,0.0332056194125,1.0,0.0827586206897
Capitol Hill,1.0,0.031218958422,1.0,0.07241379310339999
Republican Party,1.0,0.030793245352599998,1.0,0.0741379310345
MSNBC,1.0,0.0301546757485,1.0,0.0551724137931
U.S. Senate,1.0,0.028380871292699998,1.0,0.0431034482759
Democratic,1.0,0.027600397332200002,1.0,0.0431034482759
Democratic Party,1.0,0.027316588619300003,2.0,0.09655172413789999
Wall Street Journal,1.0,0.026890875549900002,1.0,0.036206896551699994
D.C. Circuit,1.0,0.026890875549900002,0.0,0.0
Dr. Ford,1.0,0.0244075493118,0.0,0.0
Palo Alto University,1.0,0.023839931885900004,1.0,0.00862068965517
U.S. Court of Appeals,1.0,0.0224208883213,1.0,0.00862068965517
ABC,1.0,0.0219951752519,1.0,0.0310344827586
Politico,1.0,0.021356605647800002,1.0,0.0586206896552
Bloomberg,1.0,0.0207180360437,1.0,0.0327586206897
CBS News,1.0,0.020576131687200003,1.0,0.0258620689655
Harvard,1.0,0.0193699446573,1.0,0.036206896551699994
Post,1.0,0.019228040300799998,1.0,0.0344827586207
