term,a1_bin,a1_perc,a2_bin,a2_perc
Brett Kavanaugh,10.0,0.9824748119769999,1.0,0.0114503816794
Christine Blasey Ford,5.0,0.416489286221,1.0,0.0076335877862600005
Donald Trump,4.0,0.371647509579,1.0,0.0916030534351
Trump,3.0,0.21548176529,2.0,0.156488549618
Susan Collins,2.0,0.127359159926,0.0,0.0
Chuck Grassley,2.0,0.124521072797,0.0,0.0
Mitch McConnell,2.0,0.120760607351,1.0,0.0038167938931300003
Dianne Feinstein,2.0,0.118419185469,0.0,0.0
Jeff Flake,2.0,0.109408258834,1.0,0.015267175572500001
Anthony Kennedy,2.0,0.10848588051699999,0.0,0.0
Deborah Ramirez,1.0,0.0884773662551,0.0,0.0
Lisa Murkowski,1.0,0.08627784873,0.0,0.0
George W. Bush,1.0,0.0847878529871,0.0,0.0
Roe,1.0,0.0844330920959,1.0,0.0038167938931300003
Wade,1.0,0.0745707393217,1.0,0.0038167938931300003
Neil Gorsuch,1.0,0.0744288349652,0.0,0.0
Clarence Thomas,1.0,0.0720164609053,1.0,0.0076335877862600005
Lindsey Graham,1.0,0.06882361288489999,0.0,0.0
Hillary Clinton,1.0,0.06272172555700001,1.0,0.0267175572519
Barack Obama,1.0,0.0622250603094,1.0,0.0190839694656
Chuck Schumer,1.0,0.06052220803180001,1.0,0.0076335877862600005
Bill Clinton,1.0,0.0579679296154,1.0,0.0038167938931300003
Julie Swetnick,1.0,0.056619838229,0.0,0.0
Joe Manchin,1.0,0.0564779338726,0.0,0.0
Anita Hill,1.0,0.0558393642685,1.0,0.0076335877862600005
Mark Judge,1.0,0.055484603377300004,0.0,0.0
Robert Mueller,1.0,0.0495955725841,1.0,0.0038167938931300003
Michael Avenatti,1.0,0.046047963672500004,0.0,0.0
Heidi Heitkamp,1.0,0.0417908329786,0.0,0.0
Cory Booker,1.0,0.039378458918699996,1.0,0.0038167938931300003
Orrin Hatch,1.0,0.0390236980275,0.0,0.0
Brett M. Kavanaugh,1.0,0.037888463175800004,0.0,0.0
John Roberts,1.0,0.0360437065418,0.0,0.0
Obama,1.0,0.0358308500071,1.0,0.034351145038200005
Kamala Harris,1.0,0.035263232581199996,0.0,0.0
Antonin Scalia,1.0,0.0343408542642,0.0,0.0
Rachel Mitchell,1.0,0.0329218106996,0.0,0.0
Joe Donnelly,1.0,0.0327799063431,0.0,0.0
John Cornyn,1.0,0.03185752802609999,0.0,0.0
Ted Cruz,1.0,0.031502767135,0.0,0.0
John McCain,1.0,0.031360862778500004,1.0,0.0038167938931300003
Richard Blumenthal,1.0,0.0311480062438,1.0,0.0038167938931300003
Mike Pence,1.0,0.029374201787999998,1.0,0.0076335877862600005
Merrick Garland,1.0,0.0287356321839,0.0,0.0
Mazie Hirono,1.0,0.028593727827400002,0.0,0.0
Amy Coney Barrett,1.0,0.028451823471,0.0,0.0
Debra Katz,1.0,0.027387540797500002,0.0,0.0
Dick Durbin,1.0,0.025258975450499998,1.0,0.0038167938931300003
Ruth Bader Ginsburg,1.0,0.023839931885900004,0.0,0.0
Rod Rosenstein,1.0,0.0236980275294,0.0,0.0
Amy Klobuchar,1.0,0.0232013622818,0.0,0.0
Christine Ford,1.0,0.0227046970342,0.0,0.0
Elena Kagan,1.0,0.021711366538999997,0.0,0.0
Don McGahn,1.0,0.0214985100043,0.0,0.0
Jeff Sessions,1.0,0.021356605647800002,0.0,0.0
Patrick Leahy,1.0,0.0209308925784,0.0,0.0
Bob Corker,1.0,0.020788988221900003,1.0,0.0038167938931300003
Bush,1.0,0.0207180360437,1.0,0.0076335877862600005
Kellyanne Conway,1.0,0.020647083865499998,1.0,0.0114503816794
Raymond Kethledge,1.0,0.0200085142614,0.0,0.0
Nancy Pelosi,1.0,0.019582801192,1.0,0.0038167938931300003
Ken Starr,1.0,0.019440896835499998,0.0,0.0
Chris Coons,1.0,0.0185185185185,0.0,0.0
Fox,1.0,0.0183766141621,1.0,0.0114503816794
Clintons,1.0,0.0183766141621,0.0,0.0
