term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.761316872428,2.0,0.118320610687
crime and criminals,6.0,0.44210302256300005,7.0,0.480916030534
united states politics and government,6.0,0.42507449978699996,1.0,0.0381679389313
sex crimes,6.0,0.411167872854,7.0,0.503816793893
appointments and executive changes,3.0,0.202852277565,0.0,0.0
elections,3.0,0.19064850290899998,1.0,0.0076335877862600005
ethics,2.0,0.125940116362,1.0,0.0229007633588
women,2.0,0.096991627643,6.0,0.400763358779
education and schools,1.0,0.0687526607067,1.0,0.0610687022901
courts,1.0,0.061160777635900006,0.0,0.0
biographical information,1.0,0.0593160210018,1.0,0.0267175572519
news and news media,1.0,0.0512274726834,1.0,0.0725190839695
judges,1.0,0.04718319852419999,0.0,0.0
law and legislation,1.0,0.0427841634738,1.0,0.015267175572500001
abortion,1.0,0.0395913154534,1.0,0.0038167938931300003
suits and litigation,1.0,0.0368241805023,1.0,0.0076335877862600005
presidents and presidency (us),1.0,0.035263232581199996,0.0,0.0
finances,1.0,0.035192280403,1.0,0.0114503816794
media,1.0,0.0346956151554,1.0,0.0534351145038
medicine and health,1.0,0.029019440896799996,1.0,0.0534351145038
computers and the internet,1.0,0.025897545054599996,2.0,0.0763358778626
television,1.0,0.025471831985200002,3.0,0.167938931298
demonstrations and riots,1.0,0.023485170994700003,1.0,0.015267175572500001
colleges and universities,1.0,0.0227046970342,1.0,0.0229007633588
decisions and verdicts,1.0,0.021782318717200003,0.0,0.0
blacks,1.0,0.0183056619838,1.0,0.030534351145000003
presidential elections (us),1.0,0.0150418617852,0.0,0.0
legal profession,1.0,0.014899957428700003,0.0,0.0
international relations,1.0,0.0148290052505,1.0,0.0038167938931300003
public opinion,1.0,0.0132680573294,0.0,0.0
discrimination,1.0,0.0132680573294,1.0,0.0267175572519
children and youth,1.0,0.01284234426,1.0,0.0076335877862600005
books and literature,1.0,0.0114942528736,2.0,0.110687022901
quotation of the day,1.0,0.010429970200100001,0.0,0.0
united states international relations,1.0,0.0101461614872,1.0,0.0038167938931300003
election issues,1.0,0.00972044841777,0.0,0.0
advertising and marketing,1.0,0.00936568752661,1.0,0.0076335877862600005
homosexuality,1.0,0.00908187881368,1.0,0.015267175572500001
sexual harassment,1.0,0.00908187881368,1.0,0.0229007633588
religion and churches,1.0,0.00886902227898,1.0,0.0038167938931300003
editorials,1.0,0.00858521356606,1.0,0.0038167938931300003
"armament, defense and military forces",1.0,0.0080175961402,1.0,0.0114503816794
impeachment,1.0,0.007591883070810001,0.0,0.0
labor,1.0,0.00752093089258,1.0,0.0038167938931300003
immigration and refugees,1.0,0.00695331346672,1.0,0.0114503816794
"suspensions, dismissals and resignations",1.0,0.00695331346672,0.0,0.0
terrorism,1.0,0.00652760039733,1.0,0.0038167938931300003
primaries,1.0,0.00638569604087,0.0,0.0
basketball,1.0,0.0062437916844,1.0,0.0038167938931300003
privacy,1.0,0.006101887327939999,0.0,0.0
taxation,1.0,0.006101887327939999,0.0,0.0
murders and attempted murders,1.0,0.00567617425855,0.0,0.0
child abuse and neglect,1.0,0.00560522208032,1.0,0.0038167938931300003
insurance,1.0,0.00510855683269,0.0,0.0
christians and christianity,1.0,0.00503760465446,0.0,0.0
motion pictures,1.0,0.004895700298,3.0,0.19465648855
environment,1.0,0.0047537959415399995,1.0,0.0038167938931300003
sentences (criminal),1.0,0.0047537959415399995,1.0,0.0038167938931300003
legislatures and parliaments,1.0,0.00446998722861,0.0,0.0
health insurance and managed care,1.0,0.00418617851568,0.0,0.0
international trade and world market,1.0,0.00418617851568,0.0,0.0
frauds and swindling,1.0,0.00411522633745,0.0,0.0
hurricanes and tropical storms,1.0,0.00404427415922,0.0,0.0
drug abuse and traffic,1.0,0.0034057045551300004,1.0,0.0076335877862600005
marriages,1.0,0.00326380019867,1.0,0.0076335877862600005
political advertising,1.0,0.00319284802043,0.0,0.0
united states armament and defense,1.0,0.0030509436639699996,0.0,0.0
firearms,1.0,0.0030509436639699996,0.0,0.0
music,1.0,0.0030509436639699996,1.0,0.0038167938931300003
budgets and budgeting,1.0,0.00297999148574,1.0,0.0038167938931300003
health insurance,1.0,0.00283808712927,0.0,0.0
police,1.0,0.00276713495104,1.0,0.0038167938931300003
gun control,1.0,0.00276713495104,0.0,0.0
air pollution,1.0,0.00276713495104,0.0,0.0
global warming,1.0,0.0026961827728099997,0.0,0.0
freedom and human rights,1.0,0.0026961827728099997,0.0,0.0
illegal aliens,1.0,0.00262523059458,1.0,0.0076335877862600005
beverages,1.0,0.00262523059458,1.0,0.0038167938931300003
lobbying and lobbyists,1.0,0.00248332623812,0.0,0.0
alcoholic beverages,1.0,0.00241237405988,0.0,0.0
minorities (us),1.0,0.00234142188165,0.0,0.0
reviews,1.0,0.00234142188165,2.0,0.09541984732820001
church-state relations,1.0,0.00227046970342,0.0,0.0
ratings and rating systems,1.0,0.0021995175251900002,0.0,0.0
sex,0.0,0.0,3.0,0.171755725191
"awards, decorations and honors",0.0,0.0,1.0,0.0648854961832
comedy and humor,0.0,0.0,1.0,0.0458015267176
theater,0.0,0.0,1.0,0.0419847328244
prostitution,0.0,0.0,1.0,0.0190839694656
academy awards (oscars),0.0,0.0,1.0,0.0190839694656
apparel,0.0,0.0,1.0,0.015267175572500001
pornography and obscenity,0.0,0.0,1.0,0.0076335877862600005
tests and testing,0.0,0.0,1.0,0.0038167938931300003
recordings (video),0.0,0.0,1.0,0.0038167938931300003
writing and writers,0.0,0.0,1.0,0.0038167938931300003
jews,0.0,0.0,1.0,0.0038167938931300003
oil (petroleum) and gasoline,0.0,0.0,1.0,0.0038167938931300003
diseases and conditions,0.0,0.0,1.0,0.0038167938931300003
olympic games,0.0,0.0,1.0,0.0038167938931300003
atomic weapons,0.0,0.0,1.0,0.0038167938931300003
games,0.0,0.0,1.0,0.0038167938931300003
chemicals,0.0,0.0,1.0,0.0038167938931300003
water,0.0,0.0,1.0,0.0038167938931300003
population,0.0,0.0,1.0,0.0038167938931300003
alcohol abuse,0.0,0.0,1.0,0.0038167938931300003
entertainment and amusements,0.0,0.0,1.0,0.0038167938931300003
water pollution,0.0,0.0,1.0,0.0038167938931300003
