term,a1_bin,a1_perc,a2_bin,a2_perc
Brett Kavanaugh,10.0,0.9824748119769999,2.0,0.100740740741
Christine Blasey Ford,5.0,0.416489286221,1.0,0.07259259259260001
Donald Trump,4.0,0.371647509579,2.0,0.154074074074
Trump,3.0,0.21548176529,1.0,0.0755555555556
Susan Collins,2.0,0.127359159926,1.0,0.008888888888889999
Chuck Grassley,2.0,0.124521072797,1.0,0.008888888888889999
Mitch McConnell,2.0,0.120760607351,1.0,0.020740740740700002
Dianne Feinstein,2.0,0.118419185469,1.0,0.0059259259259300005
Jeff Flake,2.0,0.109408258834,1.0,0.026666666666700003
Anthony Kennedy,2.0,0.10848588051699999,0.0,0.0
Deborah Ramirez,1.0,0.0884773662551,1.0,0.014814814814799999
Lisa Murkowski,1.0,0.08627784873,1.0,0.011851851851899999
George W. Bush,1.0,0.0847878529871,1.0,0.014814814814799999
Roe,1.0,0.0844330920959,1.0,0.004444444444439999
Wade,1.0,0.0745707393217,1.0,0.0059259259259300005
Neil Gorsuch,1.0,0.0744288349652,0.0,0.0
Clarence Thomas,1.0,0.0720164609053,1.0,0.0459259259259
Lindsey Graham,1.0,0.06882361288489999,1.0,0.0162962962963
Hillary Clinton,1.0,0.06272172555700001,1.0,0.0281481481481
Barack Obama,1.0,0.0622250603094,1.0,0.013333333333299998
Chuck Schumer,1.0,0.06052220803180001,1.0,0.008888888888889999
Bill Clinton,1.0,0.0579679296154,1.0,0.0592592592593
Julie Swetnick,1.0,0.056619838229,1.0,0.007407407407409999
Joe Manchin,1.0,0.0564779338726,0.0,0.0
Anita Hill,1.0,0.0558393642685,1.0,0.0459259259259
Mark Judge,1.0,0.055484603377300004,1.0,0.008888888888889999
Robert Mueller,1.0,0.0495955725841,1.0,0.022222222222199998
Michael Avenatti,1.0,0.046047963672500004,1.0,0.0103703703704
Heidi Heitkamp,1.0,0.0417908329786,0.0,0.0
Cory Booker,1.0,0.039378458918699996,1.0,0.004444444444439999
Orrin Hatch,1.0,0.0390236980275,1.0,0.011851851851899999
Brett M. Kavanaugh,1.0,0.037888463175800004,1.0,0.014814814814799999
John Roberts,1.0,0.0360437065418,0.0,0.0
Obama,1.0,0.0358308500071,1.0,0.014814814814799999
Kamala Harris,1.0,0.035263232581199996,1.0,0.0029629629629600003
Antonin Scalia,1.0,0.0343408542642,0.0,0.0
Rachel Mitchell,1.0,0.0329218106996,1.0,0.0162962962963
Joe Donnelly,1.0,0.0327799063431,0.0,0.0
John Cornyn,1.0,0.03185752802609999,1.0,0.007407407407409999
Ted Cruz,1.0,0.031502767135,1.0,0.0059259259259300005
John McCain,1.0,0.031360862778500004,1.0,0.0029629629629600003
Richard Blumenthal,1.0,0.0311480062438,0.0,0.0
Mike Pence,1.0,0.029374201787999998,1.0,0.0059259259259300005
Merrick Garland,1.0,0.0287356321839,0.0,0.0
Mazie Hirono,1.0,0.028593727827400002,0.0,0.0
Amy Coney Barrett,1.0,0.028451823471,0.0,0.0
Debra Katz,1.0,0.027387540797500002,0.0,0.0
Dick Durbin,1.0,0.025258975450499998,0.0,0.0
Ruth Bader Ginsburg,1.0,0.023839931885900004,1.0,0.004444444444439999
Rod Rosenstein,1.0,0.0236980275294,1.0,0.0103703703704
Amy Klobuchar,1.0,0.0232013622818,1.0,0.007407407407409999
Christine Ford,1.0,0.0227046970342,1.0,0.0059259259259300005
Elena Kagan,1.0,0.021711366538999997,0.0,0.0
Don McGahn,1.0,0.0214985100043,0.0,0.0
Jeff Sessions,1.0,0.021356605647800002,1.0,0.013333333333299998
Patrick Leahy,1.0,0.0209308925784,0.0,0.0
Bob Corker,1.0,0.020788988221900003,1.0,0.0103703703704
Bush,1.0,0.0207180360437,1.0,0.0059259259259300005
Kellyanne Conway,1.0,0.020647083865499998,1.0,0.014814814814799999
Raymond Kethledge,1.0,0.0200085142614,0.0,0.0
Nancy Pelosi,1.0,0.019582801192,1.0,0.0162962962963
Ken Starr,1.0,0.019440896835499998,1.0,0.0059259259259300005
Chris Coons,1.0,0.0185185185185,0.0,0.0
Fox,1.0,0.0183766141621,1.0,0.020740740740700002
Clintons,1.0,0.0183766141621,1.0,0.007407407407409999
Vladimir Putin,1.0,0.0178799489144,1.0,0.0059259259259300005
Joe Biden,1.0,0.017738044558000002,1.0,0.007407407407409999
Sheldon Whitehouse,1.0,0.017667092379700003,1.0,0.007407407407409999
Michael Cohen,1.0,0.017454235845000002,1.0,0.0177777777778
Elizabeth Warren,1.0,0.017312331488599998,1.0,0.004444444444439999
Thomas Hardiman,1.0,0.0172413793103,0.0,0.0
Ronald Reagan,1.0,0.0168866184192,1.0,0.007407407407409999
Claire McCaskill,1.0,0.0166737618845,1.0,0.0029629629629600003
Bernie Sanders,1.0,0.0164609053498,1.0,0.004444444444439999
Kenneth Starr,1.0,0.0164609053498,0.0,0.0
Raj Shah,1.0,0.016319000993299998,1.0,0.004444444444439999
Paul Manafort,1.0,0.0153256704981,1.0,0.0059259259259300005
Samuel Alito,1.0,0.0153256704981,0.0,0.0
Richard Nixon,1.0,0.0151837661416,0.0,0.0
Mike Lee,1.0,0.0151837661416,0.0,0.0
Sarah Huckabee Sanders,1.0,0.0150418617852,1.0,0.007407407407409999
Sonia Sotomayor,1.0,0.0146161487158,0.0,0.0
Monica Lewinsky,1.0,0.0139066269334,1.0,0.011851851851899999
Sarah Sanders,1.0,0.0138356747552,0.0,0.0
Harvey Weinstein,1.0,0.013764722577,5.0,0.44740740740699997
Clinton,1.0,0.0133390095076,1.0,0.0029629629629600003
Paul Ryan,1.0,0.0132680573294,1.0,0.004444444444439999
Grassley,1.0,0.0130552007947,1.0,0.004444444444439999
Robert Bork,1.0,0.012913296438200002,0.0,0.0
Anna Eshoo,1.0,0.012629487725299999,0.0,0.0
James Comey,1.0,0.012558535547,1.0,0.0162962962963
Ronan Farrow,1.0,0.0124875833688,1.0,0.029629629629599998
Mike Pompeo,1.0,0.0124166311906,1.0,0.013333333333299998
Anthony M. Kennedy,1.0,0.0122747268341,0.0,0.0
Kirsten Gillibrand,1.0,0.0121328224777,1.0,0.0103703703704
Leland Keyser,1.0,0.0117780615865,0.0,0.0
Feinstein,1.0,0.01163615723,0.0,0.0
Ford,1.0,0.011565205051799999,0.0,0.0
Ben Sasse,1.0,0.0112104441606,0.0,0.0
Kevin Cramer,1.0,0.011139491982400001,0.0,0.0
John Kennedy,1.0,0.011068539804200002,0.0,0.0
Rand Paul,1.0,0.0109266354477,0.0,0.0
Bill Cosby,1.0,0.010713778913,10.0,0.917037037037
Dean Heller,1.0,0.0105009223783,0.0,0.0
Jane Mayer,1.0,0.0105009223783,1.0,0.004444444444439999
George H.W. Bush,1.0,0.010429970200100001,1.0,0.008888888888889999
Leonard Leo,1.0,0.010217113665399999,0.0,0.0
Ashley,1.0,0.009791400596,0.0,0.0
Kennedy,1.0,0.009791400596,0.0,0.0
Donald Trump Jr.,1.0,0.00972044841777,1.0,0.004444444444439999
Sean Hannity,1.0,0.00972044841777,0.0,0.0
Doug Jones,1.0,0.00972044841777,0.0,0.0
Lisa Banks,1.0,0.00972044841777,0.0,0.0
Roy Moore,1.0,0.00964949623953,1.0,0.044444444444399996
Martha MacCallum,1.0,0.00964949623953,0.0,0.0
Bob Woodward,1.0,0.00950759188307,0.0,0.0
