term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,10.0,0.761316872428,2.0,0.115555555556
crime and criminals,6.0,0.44210302256300005,10.0,0.825185185185
united states politics and government,6.0,0.42507449978699996,1.0,0.0459259259259
sex crimes,5.0,0.411167872854,10.0,0.792592592593
appointments and executive changes,3.0,0.202852277565,1.0,0.0029629629629600003
elections,3.0,0.19064850290899998,1.0,0.013333333333299998
ethics,2.0,0.125940116362,1.0,0.0503703703704
women,2.0,0.096991627643,4.0,0.262222222222
education and schools,1.0,0.0687526607067,1.0,0.044444444444399996
courts,1.0,0.061160777635900006,1.0,0.0029629629629600003
biographical information,1.0,0.0593160210018,1.0,0.044444444444399996
news and news media,1.0,0.0512274726834,1.0,0.0488888888889
judges,1.0,0.04718319852419999,0.0,0.0
law and legislation,1.0,0.0427841634738,1.0,0.0192592592593
abortion,1.0,0.0395913154534,0.0,0.0
suits and litigation,1.0,0.0368241805023,2.0,0.12888888888900002
presidents and presidency (us),1.0,0.035263232581199996,0.0,0.0
finances,1.0,0.035192280403,1.0,0.008888888888889999
media,1.0,0.0346956151554,1.0,0.0355555555556
medicine and health,1.0,0.029019440896799996,1.0,0.0592592592593
computers and the internet,1.0,0.025897545054599996,1.0,0.0177777777778
television,1.0,0.025471831985200002,2.0,0.12
demonstrations and riots,1.0,0.023485170994700003,1.0,0.013333333333299998
colleges and universities,1.0,0.0227046970342,1.0,0.0162962962963
decisions and verdicts,1.0,0.021782318717200003,3.0,0.232592592593
blacks,1.0,0.0183056619838,1.0,0.044444444444399996
presidential elections (us),1.0,0.0150418617852,0.0,0.0
legal profession,1.0,0.014899957428700003,0.0,0.0
international relations,1.0,0.0148290052505,1.0,0.0059259259259300005
public opinion,1.0,0.0132680573294,0.0,0.0
discrimination,1.0,0.0132680573294,1.0,0.0340740740741
children and youth,1.0,0.01284234426,1.0,0.0177777777778
books and literature,1.0,0.0114942528736,1.0,0.0177777777778
quotation of the day,1.0,0.010429970200100001,0.0,0.0
united states international relations,1.0,0.0101461614872,1.0,0.004444444444439999
election issues,1.0,0.00972044841777,0.0,0.0
advertising and marketing,1.0,0.00936568752661,1.0,0.0029629629629600003
homosexuality,1.0,0.00908187881368,1.0,0.007407407407409999
sexual harassment,1.0,0.00908187881368,1.0,0.0385185185185
religion and churches,1.0,0.00886902227898,1.0,0.0103703703704
editorials,1.0,0.00858521356606,0.0,0.0
"armament, defense and military forces",1.0,0.0080175961402,1.0,0.0059259259259300005
impeachment,1.0,0.007591883070810001,0.0,0.0
labor,1.0,0.00752093089258,1.0,0.0251851851852
immigration and refugees,1.0,0.00695331346672,0.0,0.0
"suspensions, dismissals and resignations",1.0,0.00695331346672,1.0,0.0162962962963
terrorism,1.0,0.00652760039733,0.0,0.0
primaries,1.0,0.00638569604087,0.0,0.0
basketball,1.0,0.0062437916844,1.0,0.0637037037037
privacy,1.0,0.006101887327939999,1.0,0.0029629629629600003
taxation,1.0,0.006101887327939999,0.0,0.0
murders and attempted murders,1.0,0.00567617425855,1.0,0.0177777777778
child abuse and neglect,1.0,0.00560522208032,1.0,0.077037037037
insurance,1.0,0.00510855683269,0.0,0.0
christians and christianity,1.0,0.00503760465446,1.0,0.008888888888889999
motion pictures,1.0,0.004895700298,2.0,0.10962962962999999
environment,1.0,0.0047537959415399995,0.0,0.0
