term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.829289059174,10.0,0.828571428571
Senate,7.0,0.5264651624800001,8.0,0.591071428571
Senate Judiciary Committee,5.0,0.37207322264799997,6.0,0.442857142857
Ford,4.0,0.29253583085,7.0,0.551785714286
White House,4.0,0.273733503619,4.0,0.29642857142900003
FBI,4.0,0.266496381439,5.0,0.336607142857
GOP,3.0,0.179154250035,3.0,0.23660714285700002
Congress,2.0,0.160777635873,4.0,0.25625
Judiciary Committee,2.0,0.13161629062000002,3.0,0.20089285714299998
Washington Post,2.0,0.123882503193,3.0,0.20535714285700002
CNN,2.0,0.119767276855,2.0,0.164285714286
New York Times,2.0,0.111394919824,3.0,0.203571428571
Fox News,2.0,0.102171136654,2.0,0.141071428571
House,1.0,0.07776358734210001,2.0,0.116964285714
Yale,1.0,0.07187455654889999,2.0,0.08660714285710001
U.S. Supreme Court,1.0,0.065488860508,1.0,0.07589285714289999
Republican,1.0,0.058464594863099996,2.0,0.08839285714289999
Reuters,1.0,0.0500922378317,1.0,0.0785714285714
Trump,1.0,0.0488860508018,1.0,0.06160714285709999
Justice Department,1.0,0.044841776642500004,1.0,0.05
AP,1.0,0.0441322548602,1.0,0.08035714285710001
Associated Press,1.0,0.0433517808997,1.0,0.0660714285714
NBC,1.0,0.042003689513300003,1.0,0.0678571428571
NBC News,1.0,0.0398041719881,1.0,0.0642857142857
Yale University,1.0,0.0390236980275,1.0,0.051785714285699995
Trump administration,1.0,0.0348375195118,1.0,0.0366071428571
CBS,1.0,0.0341279977295,1.0,0.0785714285714
Facebook,1.0,0.0332056194125,1.0,0.06339285714290001
Capitol Hill,1.0,0.031218958422,1.0,0.051785714285699995
Republican Party,1.0,0.030793245352599998,1.0,0.0544642857143
MSNBC,1.0,0.0301546757485,1.0,0.0303571428571
U.S. Senate,1.0,0.028380871292699998,1.0,0.0214285714286
Democratic,1.0,0.027600397332200002,1.0,0.041964285714300005
Democratic Party,1.0,0.027316588619300003,1.0,0.0366071428571
Wall Street Journal,1.0,0.026890875549900002,1.0,0.06071428571430001
D.C. Circuit,1.0,0.026890875549900002,1.0,0.0125
