term,a1_bin,a1_perc,a2_bin,a2_perc
kavanaugh,10.0,1.061,1.0,0.01
brett,3.0,0.24,1.0,0.005
supreme,2.0,0.195,1.0,0.006999999999999999
senate,2.0,0.183,1.0,0.011000000000000001
judge,2.0,0.15,1.0,0.004
ford,2.0,0.149,0.0,0.0
allegations,2.0,0.149,2.0,0.132
confirmation,2.0,0.124,1.0,0.002
trump,2.0,0.122,2.0,0.11800000000000001
democrats,2.0,0.113,0.0,0.0
republicans,1.0,0.10300000000000001,0.0,0.0
nominee,1.0,0.102,1.0,0.003
nomination,1.0,0.102,0.0,0.0
assault,1.0,0.092,1.0,0.061
blasey,1.0,0.075,0.0,0.0
christine,1.0,0.07,0.0,0.0
accuser,1.0,0.063,0.0,0.0
judiciary,1.0,0.061,0.0,0.0
fbi,1.0,0.06,0.0,0.0
testify,1.0,0.034,0.0,0.0
professor,1.0,0.032,1.0,0.006
washington,1.0,0.03,1.0,0.01
sexually,1.0,0.027999999999999997,1.0,0.015
misconduct,1.0,0.027999999999999997,1.0,0.055
hearings,1.0,0.027000000000000003,1.0,0.005
collins,1.0,0.025,0.0,0.0
flake,1.0,0.024,0.0,0.0
counsel,1.0,0.023,0.0,0.0
conservative,1.0,0.023,1.0,0.009000000000000001
yale,1.0,0.022000000000000002,0.0,0.0
mcconnell,1.0,0.022000000000000002,0.0,0.0
judicial,1.0,0.022000000000000002,0.0,0.0
ramirez,1.0,0.021,0.0,0.0
donald,1.0,0.02,1.0,0.025
tweeted,1.0,0.019,0.0,0.0
opinion,1.0,0.019,1.0,0.002
bush,1.0,0.019,1.0,0.003
jeff,1.0,0.018000000000000002,1.0,0.004
grassley,1.0,0.018000000000000002,0.0,0.0
election,1.0,0.018000000000000002,1.0,0.006999999999999999
university,1.0,0.017,0.0,0.0
swetnick,1.0,0.017,0.0,0.0
raped,1.0,0.017,0.0,0.0
leader,1.0,0.017,1.0,0.003
kennedy,1.0,0.017,0.0,0.0
clinton,1.0,0.017,1.0,0.012
appeals,1.0,0.017,0.0,0.0
defended,1.0,0.016,1.0,0.013999999999999999
mitch,1.0,0.015,0.0,0.0
gop,1.0,0.015,1.0,0.003
georgetown,1.0,0.015,0.0,0.0
classmate,1.0,0.015,0.0,0.0
capitol,1.0,0.015,1.0,0.004
california,1.0,0.015,1.0,0.008
teenagers,1.0,0.013999999999999999,0.0,0.0
john,1.0,0.013999999999999999,1.0,0.006999999999999999
united,1.0,0.013000000000000001,1.0,0.004
susan,1.0,0.013000000000000001,1.0,0.002
probe,1.0,0.013000000000000001,1.0,0.001
oppose,1.0,0.013000000000000001,0.0,0.0
investigate,1.0,0.013000000000000001,1.0,0.004
independent,1.0,0.013000000000000001,0.0,0.0
circuit,1.0,0.013000000000000001,0.0,0.0
abortion,1.0,0.013000000000000001,0.0,0.0
midterm,1.0,0.012,0.0,0.0
chuck,1.0,0.012,0.0,0.0
american,1.0,0.012,1.0,0.01
1980s,1.0,0.012,0.0,0.0
poll,1.0,0.011000000000000001,1.0,0.003
murkowski,1.0,0.011000000000000001,0.0,0.0
media,1.0,0.011000000000000001,1.0,0.054000000000000006
maryland,1.0,0.011000000000000001,0.0,0.0
college,1.0,0.011000000000000001,0.0,0.0
campaign,1.0,0.011000000000000001,1.0,0.036000000000000004
calling,1.0,0.011000000000000001,1.0,0.004
avenatti,1.0,0.011000000000000001,0.0,0.0
supporters,1.0,0.01,0.0,0.0
robert,1.0,0.01,1.0,0.002
president's,1.0,0.01,1.0,0.008
prep,1.0,0.01,1.0,0.001
ludington,1.0,0.01,0.0,0.0
lawmakers,1.0,0.01,1.0,0.006999999999999999
graham,1.0,0.01,0.0,0.0
false,1.0,0.01,1.0,0.003
emails,1.0,0.01,1.0,0.002
anonymous,1.0,0.01,1.0,0.002
witnessed,1.0,0.009000000000000001,0.0,0.0
wade,1.0,0.009000000000000001,0.0,0.0
sworn,1.0,0.009000000000000001,0.0,0.0
roe,1.0,0.009000000000000001,0.0,0.0
protesters,1.0,0.009000000000000001,0.0,0.0
presidential,1.0,0.009000000000000001,1.0,0.006999999999999999
precedent,1.0,0.009000000000000001,0.0,0.0
politico,1.0,0.009000000000000001,0.0,0.0
nation's,1.0,0.009000000000000001,1.0,0.004
maine,1.0,0.009000000000000001,0.0,0.0
julie,1.0,0.009000000000000001,1.0,0.003
harris,1.0,0.009000000000000001,0.0,0.0
criminal,1.0,0.009000000000000001,1.0,0.003
anthony,1.0,0.009000000000000001,0.0,0.0
aide,1.0,0.009000000000000001,1.0,0.003
yorker,1.0,0.008,1.0,0.002
starr,1.0,0.008,0.0,0.0
drunken,1.0,0.008,0.0,0.0
smear,1.0,0.006999999999999999,0.0,0.0
reporting,1.0,0.006999999999999999,0.0,0.0
r-ky,1.0,0.006999999999999999,0.0,0.0
r-ariz,1.0,0.006999999999999999,0.0,0.0
pinned,1.0,0.006999999999999999,0.0,0.0
outrage,1.0,0.006999999999999999,1.0,0.006
lisa,1.0,0.006999999999999999,0.0,0.0
kamala,1.0,0.006999999999999999,0.0,0.0
hatch,1.0,0.006999999999999999,0.0,0.0
george,1.0,0.006999999999999999,1.0,0.004
fox,1.0,0.006999999999999999,3.0,0.261
feinstein,1.0,0.006999999999999999,0.0,0.0
elite,1.0,0.006999999999999999,0.0,0.0
deborah,1.0,0.006999999999999999,0.0,0.0
