term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.829289059174,2.0,0.09232501407390001
Senate,7.0,0.5264651624800001,8.0,0.618971664477
Senate Judiciary Committee,5.0,0.37207322264799997,1.0,0.019797335335
Ford,4.0,0.29253583085,1.0,0.00966410208294
White House,4.0,0.273733503619,4.0,0.262525802214
FBI,4.0,0.266496381439,1.0,0.0547945205479
GOP,3.0,0.179154250035,4.0,0.313285794708
Congress,2.0,0.160777635873,3.0,0.216738600113
Judiciary Committee,2.0,0.13161629062000002,1.0,0.009757928316760001
Washington Post,2.0,0.123882503193,3.0,0.223118784012
CNN,2.0,0.119767276855,2.0,0.144961531244
New York Times,2.0,0.111394919824,2.0,0.105085381873
Fox News,2.0,0.102171136654,2.0,0.10658660161399999
House,1.0,0.07776358734210001,2.0,0.156595984237
Yale,1.0,0.07187455654889999,1.0,0.00450365922312
U.S. Supreme Court,1.0,0.065488860508,1.0,0.0136048039032
Republican,1.0,0.058464594863099996,2.0,0.10752486395199999
Reuters,1.0,0.0500922378317,1.0,0.036498404954
Trump,1.0,0.0488860508018,1.0,0.0767498592606
Justice Department,1.0,0.044841776642500004,1.0,0.0306811784575
AP,1.0,0.0441322548602,1.0,0.04588102833549999
Associated Press,1.0,0.0433517808997,1.0,0.048226684180899995
NBC,1.0,0.042003689513300003,1.0,0.0575154813286
NBC News,1.0,0.0398041719881,1.0,0.0330268343029
Yale University,1.0,0.0390236980275,0.0,0.0
Trump administration,1.0,0.0348375195118,1.0,0.028335522612099998
CBS,1.0,0.0341279977295,1.0,0.0321823981985
Facebook,1.0,0.0332056194125,1.0,0.04466128729590001
Capitol Hill,1.0,0.031218958422,1.0,0.023550384687600002
Republican Party,1.0,0.030793245352599998,2.0,0.115406267592
MSNBC,1.0,0.0301546757485,1.0,0.0401576280728
U.S. Senate,1.0,0.028380871292699998,2.0,0.119065490711
Democratic,1.0,0.027600397332200002,1.0,0.0326515293676
Democratic Party,1.0,0.027316588619300003,1.0,0.049446425220499995
Wall Street Journal,1.0,0.026890875549900002,1.0,0.0217676862451
D.C. Circuit,1.0,0.026890875549900002,0.0,0.0
Dr. Ford,1.0,0.0244075493118,0.0,0.0
