term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.8025524424230001,1.0,0.0430082475188
Ford,8.0,0.620947630923,1.0,0.0183355854806
Senate Judiciary Committee,8.0,0.581927534106,1.0,0.0137924607427
Senate,7.0,0.559923720111,2.0,0.15295186617599998
FBI,5.0,0.399589262139,1.0,0.05051022785519999
White House,4.0,0.271086988411,2.0,0.135944271003
Judiciary Committee,3.0,0.210209769693,1.0,0.00647686501095
GOP,3.0,0.188792724072,2.0,0.11679325287699999
Washington Post,3.0,0.17705735660799998,1.0,0.065351101999
CNN,2.0,0.141117793751,1.0,0.06644611155119999
Congress,2.0,0.130115886754,2.0,0.140557289968
Fox News,2.0,0.122634589996,1.0,0.043217930199
New York Times,2.0,0.117206982544,1.0,0.07280648618419999
Yale,2.0,0.106205075546,1.0,0.0045431247379
Yale University,1.0,0.07275927827489999,0.0,0.0
Republican,1.0,0.06351767639719999,1.0,0.036810959414800004
Palo Alto University,1.0,0.0525157694,0.0,0.0
U.S. Supreme Court,1.0,0.051488924747,1.0,0.0073155957317899995
House,1.0,0.050168695907300005,2.0,0.140906761102
Dr. Ford,1.0,0.046061317295,0.0,0.0
NBC,1.0,0.04430101217540001,1.0,0.0359722286939
NBC News,1.0,0.043567551709,1.0,0.018195797027200002
Reuters,1.0,0.042687399149199994,2.0,0.09771212897810001
CBS,1.0,0.03960686519,1.0,0.0273053445785
AP,1.0,0.0362329470442,2.0,0.107753599553
Associated Press,1.0,0.0353527944844,1.0,0.070220399795
house,1.0,0.0346193340179,1.0,0.00482270164484
Justice Department,1.0,0.0324189526185,1.0,0.0335958249849
Capitol Hill,1.0,0.0321255684319,1.0,0.0132333069288
Facebook,1.0,0.031245415872100002,1.0,0.0522109873724
Post,1.0,0.031245415872100002,1.0,0.014328316481099999
Trump,1.0,0.028898342379299998,1.0,0.040748334187599995
MSNBC,1.0,0.0274314214464,1.0,0.012511066585899998
Wall Street Journal,1.0,0.0266979609799,1.0,0.021108056474500002
Democratic,1.0,0.0259645005134,1.0,0.0146777876147
Republican Party,1.0,0.025231040046900004,1.0,0.0208284795676
F.B.I.,1.0,0.0234707349274,1.0,0.00419365360421
ABC,1.0,0.0209769693414,1.0,0.026187036950699998
CBS News,1.0,0.0209769693414,1.0,0.0108336051442
U.S. Senate,1.0,0.0205368930615,1.0,0.0150971529752
Politico,1.0,0.0205368930615,1.0,0.0146777876147
Georgetown,1.0,0.0202435088749,0.0,0.0
Senate Judiciary,1.0,0.0199501246883,0.0,0.0
supreme court,1.0,0.019363356315099996,0.0,0.0
judiciary committee,1.0,0.0190699721285,0.0,0.0
Democratic Party,1.0,0.0189232800352,1.0,0.018685056614299998
United Nations,1.0,0.0186298958486,1.0,0.010507432086100001
CBS Interactive Inc,1.0,0.018336511662,1.0,0.007152509202740001
Times,1.0,0.017309667008900003,1.0,0.0132333069288
United States Supreme Court,1.0,0.017309667008900003,0.0,0.0
Georgetown Preparatory School,1.0,0.0168695907291,0.0,0.0
Trump administration,1.0,0.0159894381693,1.0,0.0337356134383
American Bar Association,1.0,0.0159894381693,0.0,0.0
Yale Law School,1.0,0.015842746076,0.0,0.0
USA TODAY,1.0,0.015255977702799997,1.0,0.017520152835400003
