term,a1_bin,a1_perc,a2_bin,a2_perc
Christine Blasey Ford,10.0,0.982396948804,1.0,0.0637931034483
Brett Kavanaugh,9.0,0.826903329911,1.0,0.08103448275860001
Donald Trump,4.0,0.308200088015,4.0,0.358620689655
Trump,3.0,0.21783775854499998,2.0,0.177586206897
Deborah Ramirez,2.0,0.182631656154,1.0,0.013793103448299999
Jeff Flake,2.0,0.17749743288800002,1.0,0.039655172413800004
Chuck Grassley,2.0,0.17089628869000004,1.0,0.0155172413793
Dianne Feinstein,2.0,0.161654686812,1.0,0.0120689655172
Susan Collins,2.0,0.153146545401,1.0,0.0327586206897
Mitch McConnell,2.0,0.128942350007,1.0,0.08793103448280001
Brett M. Kavanaugh,2.0,0.117206982544,1.0,0.018965517241400002
Clarence Thomas,2.0,0.109285609506,1.0,0.07931034482760001
Mark Judge,2.0,0.109138917412,0.0,0.0
Anita Hill,2.0,0.10708522810599999,1.0,0.07931034482760001
Lisa Murkowski,2.0,0.102831157401,1.0,0.018965517241400002
Julie Swetnick,2.0,0.10209769693399999,1.0,0.0068965517241400005
Lindsey Graham,1.0,0.09212263458999999,1.0,0.0224137931034
Rachel Mitchell,1.0,0.0739328150213,1.0,0.0068965517241400005
Michael Avenatti,1.0,0.0690919759425,0.0,0.0
Debra Katz,1.0,0.056623148012300006,1.0,0.0068965517241400005
Kavanaugh,1.0,0.055596303359199996,1.0,0.0068965517241400005
Joe Manchin,1.0,0.0503153880006,1.0,0.013793103448299999
Orrin Hatch,1.0,0.046794777761500005,1.0,0.0155172413793
Hillary Clinton,1.0,0.0441543200821,3.0,0.198275862069
Bill Clinton,1.0,0.038873404723499996,2.0,0.19310344827599998
Barack Obama,1.0,0.036526331230699996,1.0,0.0862068965517
Mazie Hirono,1.0,0.036379639137499996,1.0,0.0258620689655
Anthony Kennedy,1.0,0.0360862549509,1.0,0.0120689655172
Chuck Schumer,1.0,0.0359395628576,1.0,0.05344827586209999
Kellyanne Conway,1.0,0.0357928707643,1.0,0.0310344827586
George W. Bush,1.0,0.03476602611119999,1.0,0.0431034482759
Amy Klobuchar,1.0,0.0346193340179,1.0,0.036206896551699994
Heidi Heitkamp,1.0,0.0340325656447,1.0,0.00862068965517
John Cornyn,1.0,0.0331524130849,0.0,0.0
Richard Blumenthal,1.0,0.0313921079654,1.0,0.00862068965517
Christine Ford,1.0,0.0313921079654,0.0,0.0
Bob Corker,1.0,0.029925187032400002,1.0,0.0344827586207
Neil Gorsuch,1.0,0.0274314214464,1.0,0.0120689655172
Roe,1.0,0.027284729353099998,1.0,0.0172413793103
Kamala Harris,1.0,0.0268446530732,1.0,0.0431034482759
Ted Cruz,1.0,0.025377732140200004,1.0,0.027586206896599998
Charles E. Grassley,1.0,0.0246442716738,1.0,0.0068965517241400005
Leland Keyser,1.0,0.0246442716738,0.0,0.0
Chris Coons,1.0,0.0243508874872,0.0,0.0
Clintons,1.0,0.023764119114,1.0,0.0344827586207
Wade,1.0,0.0236174270207,1.0,0.013793103448299999
Joe Biden,1.0,0.023324042834099997,1.0,0.05
Cory Booker,1.0,0.0230306586475,1.0,0.037931034482800004
Fox,1.0,0.022443890274299997,1.0,0.027586206896599998
Patrick Leahy,1.0,0.022297198180999997,0.0,0.0
Merrick Garland,1.0,0.022150506087700004,1.0,0.0051724137931000004
