term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.7355141557870001,9.0,0.5965517241380001
politics and government,10.0,0.72451224879,10.0,0.705172413793
sex crimes,10.0,0.698987824556,8.0,0.58275862069
united states politics and government,6.0,0.38271967141,6.0,0.420689655172
ethics,3.0,0.15798738448,4.0,0.27413793103399997
appointments and executive changes,3.0,0.150652779815,1.0,0.0120689655172
women,3.0,0.147132169576,7.0,0.45862068965499997
elections,2.0,0.12600850814099998,4.0,0.255172413793
education and schools,2.0,0.10473815461300001,1.0,0.018965517241400002
biographical information,1.0,0.0689452838492,2.0,0.0931034482759
news and news media,1.0,0.05779668475869999,2.0,0.0862068965517
media,1.0,0.0376998679771,1.0,0.0637931034483
courts,1.0,0.034179257738,1.0,0.0068965517241400005
colleges and universities,1.0,0.0319788763386,1.0,0.00862068965517
suits and litigation,1.0,0.0262578847,1.0,0.041379310344800004
television,1.0,0.0243508874872,1.0,0.0689655172414
children and youth,1.0,0.0242041953939,1.0,0.0068965517241400005
computers and the internet,1.0,0.0239108112073,1.0,0.0310344827586
judges,1.0,0.023177350740799997,0.0,0.0
presidents and presidency (us),1.0,0.0215637377145,1.0,0.051724137931
medicine and health,1.0,0.0199501246883,1.0,0.0258620689655
demonstrations and riots,1.0,0.014815901422899999,1.0,0.0120689655172
sexual harassment,1.0,0.0136423646765,4.0,0.22413793103399998
finances,1.0,0.0126155200235,1.0,0.0655172413793
blacks,1.0,0.0120287516503,1.0,0.0155172413793
law and legislation,1.0,0.0108552149039,1.0,0.0655172413793
discrimination,1.0,0.0108552149039,1.0,0.0431034482759
public opinion,1.0,0.00982837025084,1.0,0.0155172413793
books and literature,1.0,0.00880152559777,1.0,0.0258620689655
presidential elections (us),1.0,0.00836144931788,1.0,0.018965517241400002
legal profession,1.0,0.00836144931788,0.0,0.0
child abuse and neglect,1.0,0.008068065131289999,1.0,0.0120689655172
"suspensions, dismissals and resignations",1.0,0.00674783629162,2.0,0.0844827586207
quotation of the day,1.0,0.0061610679184399995,0.0,0.0
international relations,1.0,0.00601437582514,1.0,0.013793103448299999
religion and churches,1.0,0.00586768373185,0.0,0.0
motion pictures,1.0,0.005574299545249999,1.0,0.051724137931
abortion,1.0,0.0048408390787700005,1.0,0.0051724137931000004
privacy,1.0,0.00454745489218,0.0,0.0
christians and christianity,1.0,0.00454745489218,0.0,0.0
advertising and marketing,1.0,0.004400762798890001,1.0,0.00862068965517
impeachment,1.0,0.004400762798890001,1.0,0.0120689655172
united states international relations,1.0,0.00425407070559,1.0,0.0120689655172
labor,1.0,0.00410737861229,1.0,0.048275862068999996
basketball,1.0,0.003960686519,0.0,0.0
election issues,1.0,0.0038139944256999994,1.0,0.0224137931034
hurricanes and tropical storms,1.0,0.0038139944256999994,0.0,0.0
homosexuality,1.0,0.0036673023324,1.0,0.00862068965517
"armament, defense and military forces",1.0,0.0036673023324,1.0,0.0258620689655
terrorism,1.0,0.0036673023324,1.0,0.010344827586200001
murders and attempted murders,1.0,0.00352061023911,0.0,0.0
drug abuse and traffic,1.0,0.00293384186592,0.0,0.0
chemicals,1.0,0.00293384186592,0.0,0.0
legislatures and parliaments,1.0,0.0027871497726300004,1.0,0.0120689655172
editorials,1.0,0.00264045767933,1.0,0.0155172413793
sentences (criminal),1.0,0.00264045767933,1.0,0.0068965517241400005
tests and testing,1.0,0.00249376558603,0.0,0.0
police,1.0,0.0023470734927399997,0.0,0.0
immigration and refugees,1.0,0.0023470734927399997,0.0,0.0
sex,1.0,0.0023470734927399997,1.0,0.0172413793103
beverages,1.0,0.0023470734927399997,0.0,0.0
ratings and rating systems,1.0,0.00220038139944,0.0,0.0
taxation,1.0,0.00220038139944,1.0,0.010344827586200001
international trade and world market,1.0,0.00220038139944,0.0,0.0
decisions and verdicts,1.0,0.0020536893061500004,1.0,0.020689655172400002
alcoholic beverages,1.0,0.0020536893061500004,0.0,0.0
teachers and school employees,1.0,0.0019069972128499997,0.0,0.0
assaults,1.0,0.0019069972128499997,0.0,0.0
primaries,0.0,0.0,1.0,0.0155172413793
governors (us),0.0,0.0,1.0,0.0155172413793
united states armament and defense,0.0,0.0,1.0,0.013793103448299999
reviews,0.0,0.0,1.0,0.0120689655172
prostitution,0.0,0.0,1.0,0.0068965517241400005
radio,0.0,0.0,1.0,0.0068965517241400005
presidential election of 2008,0.0,0.0,1.0,0.0051724137931000004
united states economy,0.0,0.0,1.0,0.0051724137931000004
"mergers, acquisitions and divestitures",0.0,0.0,1.0,0.0051724137931000004
