term,a1_bin,a1_perc,a2_bin,a2_perc
ford,10.0,0.9790000000000001,1.0,0.013999999999999999
kavanaugh,6.0,0.516,1.0,0.025
blasey,4.0,0.363,1.0,0.003
christine,3.0,0.275,1.0,0.004
allegations,3.0,0.257,3.0,0.27699999999999997
assault,3.0,0.21600000000000003,1.0,0.049
senate,2.0,0.19,1.0,0.068
brett,2.0,0.113,1.0,0.003
judiciary,2.0,0.111,1.0,0.006
republicans,2.0,0.10800000000000001,0.0,0.0
testify,2.0,0.10400000000000001,1.0,0.006
accuser,1.0,0.094,0.0,0.0
judge,1.0,0.09300000000000001,1.0,0.013000000000000001
supreme,1.0,0.092,1.0,0.013000000000000001
nominee,1.0,0.077,1.0,0.01
democrats,1.0,0.07200000000000001,2.0,0.107
trump,1.0,0.065,2.0,0.107
fbi,1.0,0.063,1.0,0.005
sexually,1.0,0.061,1.0,0.01
washington,1.0,0.045,1.0,0.015
professor,1.0,0.045,1.0,0.008
grassley,1.0,0.045,0.0,0.0
mitchell,1.0,0.038,0.0,0.0
confirmation,1.0,0.036000000000000004,0.0,0.0
1980s,1.0,0.035,0.0,0.0
california,1.0,0.034,1.0,0.005
teenagers,1.0,0.03,1.0,0.003
feinstein,1.0,0.026000000000000002,0.0,0.0
nomination,1.0,0.024,1.0,0.002
credible,1.0,0.024,1.0,0.006999999999999999
misconduct,1.0,0.022000000000000002,1.0,0.08
corroborate,1.0,0.022000000000000002,0.0,0.0
university,1.0,0.021,1.0,0.006999999999999999
ramirez,1.0,0.021,0.0,0.0
investigate,1.0,0.02,1.0,0.013000000000000001
rape,1.0,0.018000000000000002,1.0,0.009000000000000001
prosecutor,1.0,0.018000000000000002,0.0,0.0
chuck,1.0,0.018000000000000002,1.0,0.005
tweets,1.0,0.016,0.0,0.0
rachel,1.0,0.016,1.0,0.003
attorneys,1.0,0.016,0.0,0.0
katz,1.0,0.015,0.0,0.0
hearings,1.0,0.015,0.0,0.0
groped,1.0,0.015,0.0,0.0
