term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.8025524424230001,2.0,0.134814814815
Ford,8.0,0.620947630923,1.0,0.05481481481480001
Senate Judiciary Committee,8.0,0.581927534106,1.0,0.0503703703704
Senate,7.0,0.559923720111,2.0,0.0814814814815
FBI,5.0,0.399589262139,1.0,0.04296296296299999
White House,4.0,0.271086988411,1.0,0.0637037037037
Judiciary Committee,3.0,0.210209769693,1.0,0.0192592592593
GOP,3.0,0.188792724072,1.0,0.0385185185185
Washington Post,3.0,0.17705735660799998,1.0,0.08
CNN,2.0,0.141117793751,1.0,0.077037037037
Congress,2.0,0.130115886754,1.0,0.05481481481480001
Fox News,2.0,0.122634589996,2.0,0.100740740741
New York Times,2.0,0.117206982544,3.0,0.174814814815
Yale,2.0,0.106205075546,1.0,0.0251851851852
Yale University,1.0,0.07275927827489999,1.0,0.008888888888889999
Republican,1.0,0.06351767639719999,1.0,0.014814814814799999
Palo Alto University,1.0,0.0525157694,1.0,0.004444444444439999
U.S. Supreme Court,1.0,0.051488924747,1.0,0.0162962962963
House,1.0,0.050168695907300005,1.0,0.029629629629599998
Dr. Ford,1.0,0.046061317295,1.0,0.004444444444439999
NBC,1.0,0.04430101217540001,1.0,0.077037037037
NBC News,1.0,0.043567551709,1.0,0.037037037037
Reuters,1.0,0.042687399149199994,2.0,0.100740740741
CBS,1.0,0.03960686519,1.0,0.0651851851852
AP,1.0,0.0362329470442,2.0,0.09925925925930001
Associated Press,1.0,0.0353527944844,2.0,0.10962962962999999
house,1.0,0.0346193340179,1.0,0.007407407407409999
Justice Department,1.0,0.0324189526185,1.0,0.022222222222199998
Capitol Hill,1.0,0.0321255684319,1.0,0.0251851851852
Facebook,1.0,0.031245415872100002,1.0,0.0637037037037
Post,1.0,0.031245415872100002,1.0,0.008888888888889999
Trump,1.0,0.028898342379299998,1.0,0.020740740740700002
MSNBC,1.0,0.0274314214464,1.0,0.026666666666700003
Wall Street Journal,1.0,0.0266979609799,1.0,0.0177777777778
Democratic,1.0,0.0259645005134,1.0,0.004444444444439999
Republican Party,1.0,0.025231040046900004,1.0,0.007407407407409999
F.B.I.,1.0,0.0234707349274,1.0,0.0059259259259300005
ABC,1.0,0.0209769693414,1.0,0.044444444444399996
CBS News,1.0,0.0209769693414,1.0,0.020740740740700002
U.S. Senate,1.0,0.0205368930615,1.0,0.007407407407409999
Politico,1.0,0.0205368930615,1.0,0.0162962962963
Georgetown,1.0,0.0202435088749,1.0,0.004444444444439999
Senate Judiciary,1.0,0.0199501246883,0.0,0.0
supreme court,1.0,0.019363356315099996,1.0,0.0029629629629600003
judiciary committee,1.0,0.0190699721285,0.0,0.0
Democratic Party,1.0,0.0189232800352,1.0,0.008888888888889999
United Nations,1.0,0.0186298958486,1.0,0.011851851851899999
CBS Interactive Inc,1.0,0.018336511662,1.0,0.008888888888889999
Times,1.0,0.017309667008900003,1.0,0.0281481481481
United States Supreme Court,1.0,0.017309667008900003,1.0,0.0059259259259300005
Georgetown Preparatory School,1.0,0.0168695907291,0.0,0.0
Trump administration,1.0,0.0159894381693,1.0,0.0162962962963
American Bar Association,1.0,0.0159894381693,0.0,0.0
Yale Law School,1.0,0.015842746076,1.0,0.0059259259259300005
USA TODAY,1.0,0.015255977702799997,1.0,0.0162962962963
Bloomberg,1.0,0.014375825142999999,1.0,0.007407407407409999
House of Representatives,1.0,0.014375825142999999,0.0,0.0
Senate judiciary committee,1.0,0.014375825142999999,0.0,0.0
Democrats,1.0,0.012908904210099999,1.0,0.0029629629629600003
New Yorker,1.0,0.0126155200235,1.0,0.014814814814799999
Harvard,1.0,0.0124688279302,1.0,0.0192592592593
United Nations General Assembly,1.0,0.0124688279302,1.0,0.007407407407409999
Google,1.0,0.0123221358369,1.0,0.0237037037037
NPR,1.0,0.0123221358369,1.0,0.014814814814799999
Dirksen Senate,1.0,0.0120287516503,0.0,0.0
Senate Judiciary Committee on Capitol Hill,1.0,0.011588675370399999,0.0,0.0
Catholic,1.0,0.011295291183799998,1.0,0.008888888888889999
Senate GOP,1.0,0.011001906997200002,0.0,0.0
Vox,1.0,0.011001906997200002,1.0,0.0192592592593
Newsmax,1.0,0.011001906997200002,0.0,0.0
ABC News,1.0,0.0108552149039,1.0,0.022222222222199998
Department of Justice,1.0,0.010268446530700002,1.0,0.008888888888889999
Hart Senate,1.0,0.010268446530700002,0.0,0.0
U.N.,1.0,0.00997506234414,1.0,0.011851851851899999
Federal Bureau of Investigation,1.0,0.00982837025084,0.0,0.0
U.S. Court of Appeals,1.0,0.009681678157549998,0.0,0.0
POLITICO,1.0,0.009681678157549998,0.0,0.0
State,1.0,0.00894821769107,1.0,0.0059259259259300005
Republicans,1.0,0.00880152559777,0.0,0.0
D.C. Circuit,1.0,0.00865483350447,0.0,0.0
Stanford,1.0,0.00850814141118,1.0,0.0059259259259300005
Fox News Channel,1.0,0.00792137303799,0.0,0.0
Stanford University,1.0,0.0077746809447000005,0.0,0.0
The Washington Post,1.0,0.007627988851399999,0.0,0.0
House Judiciary Committee,1.0,0.0074812967581000004,1.0,0.004444444444439999
US Supreme Court,1.0,0.0074812967581000004,0.0,0.0
Amazon,1.0,0.007334604664810001,1.0,0.0162962962963
US Senate,1.0,0.007187912571509999,0.0,0.0
State Department,1.0,0.00674783629162,1.0,0.013333333333299998
Blasey Ford,1.0,0.00674783629162,0.0,0.0
Democratic National Committee,1.0,0.00660114419833,1.0,0.004444444444439999
Harvard Law School,1.0,0.00660114419833,0.0,0.0
CNBC,1.0,0.00660114419833,0.0,0.0
Beach Week Ralph Club,1.0,0.0063077600117399995,0.0,0.0
Trump White House,1.0,0.0061610679184399995,1.0,0.004444444444439999
USA Today,1.0,0.0061610679184399995,1.0,0.0177777777778
Brandeis University,1.0,0.0061610679184399995,0.0,0.0
WaPo,1.0,0.0061610679184399995,0.0,0.0
Abuse & Incest National Network,1.0,0.0061610679184399995,1.0,0.0059259259259300005
ABA,1.0,0.00601437582514,0.0,0.0
DOJ,1.0,0.00586768373185,0.0,0.0
senate,1.0,0.005574299545249999,1.0,0.0029629629629600003
first Supreme Court,1.0,0.005574299545249999,0.0,0.0
UN,1.0,0.00542760745196,1.0,0.008888888888889999
US supreme court,1.0,0.00542760745196,0.0,0.0
WSJ,1.0,0.00542760745196,0.0,0.0
New Yorker magazine,1.0,0.00528091535866,0.0,0.0
Catholic University,1.0,0.00528091535866,0.0,0.0
party,1.0,0.00528091535866,0.0,0.0
U.S. Senate Judiciary Committee,1.0,0.00528091535866,0.0,0.0
Facebook post,1.0,0.0051342232653700005,1.0,0.007407407407409999
NFL,1.0,0.0051342232653700005,1.0,0.0177777777778
Georgetown University,1.0,0.0051342232653700005,0.0,0.0
U.N. General Assembly,1.0,0.0051342232653700005,0.0,0.0
GOP Senate,1.0,0.0051342232653700005,0.0,0.0
California college,1.0,0.0051342232653700005,0.0,0.0
CIA,1.0,0.00498753117207,1.0,0.011851851851899999
YouTube,1.0,0.00498753117207,1.0,0.0177777777778
HBO,1.0,0.00498753117207,1.0,0.0237037037037
FEMA,1.0,0.00498753117207,1.0,0.004444444444439999
Republican party,1.0,0.00498753117207,0.0,0.0
Republican National Committee,1.0,0.0048408390787700005,1.0,0.008888888888889999
ACLU,1.0,0.0048408390787700005,1.0,0.0059259259259300005
Wikipedia,1.0,0.0048408390787700005,0.0,0.0
Center for Popular Democracy,1.0,0.0048408390787700005,0.0,0.0
NAFTA,1.0,0.004694146985479999,0.0,0.0
Breitbart News,1.0,0.004694146985479999,1.0,0.0059259259259300005
RNC,1.0,0.004694146985479999,0.0,0.0
Washington Examiner,1.0,0.00454745489218,0.0,0.0
Quinnipiac University,1.0,0.004400762798890001,1.0,0.007407407407409999
Daily Caller News Foundation,1.0,0.004400762798890001,0.0,0.0
Mitchell,1.0,0.004400762798890001,0.0,0.0
Defense,1.0,0.00425407070559,1.0,0.007407407407409999
DNC,1.0,0.00425407070559,0.0,0.0
Los Angeles Times,1.0,0.00425407070559,1.0,0.0251851851852
Capitol,1.0,0.00425407070559,0.0,0.0
Maryland house,1.0,0.00425407070559,0.0,0.0
Yahoo,1.0,0.00410737861229,0.0,0.0
National Review,1.0,0.00410737861229,0.0,0.0
PBS,1.0,0.00410737861229,1.0,0.008888888888889999
Showtime,1.0,0.00410737861229,0.0,0.0
Time,1.0,0.00410737861229,1.0,0.0355555555556
Medicare,1.0,0.003960686519,0.0,0.0
IRS,1.0,0.003960686519,0.0,0.0
Quinnipiac,1.0,0.003960686519,0.0,0.0
Equal Employment Opportunity Commission,1.0,0.003960686519,1.0,0.004444444444439999
Pentagon,1.0,0.0038139944256999994,1.0,0.008888888888889999
Netflix,1.0,0.0038139944256999994,1.0,0.0562962962963
PAC,1.0,0.0038139944256999994,0.0,0.0
NARAL,1.0,0.0038139944256999994,0.0,0.0
U.S. Court of Appeals for the District of Columbia Circuit,1.0,0.0038139944256999994,0.0,0.0
C-SPAN,1.0,0.0038139944256999994,0.0,0.0
Safeway,1.0,0.0038139944256999994,0.0,0.0
Trump's Supreme Court,1.0,0.0038139944256999994,0.0,0.0
Boston Globe,1.0,0.0036673023324,1.0,0.007407407407409999
Bloomberg News,1.0,0.0036673023324,1.0,0.004444444444439999
NYT,1.0,0.0036673023324,0.0,0.0
FOX News,1.0,0.0036673023324,0.0,0.0
Collins,1.0,0.0036673023324,0.0,0.0
Gallup,1.0,0.0036673023324,0.0,0.0
the Washington Post,1.0,0.00352061023911,0.0,0.0
Russell Senate,1.0,0.00352061023911,0.0,0.0
North Carolina State University,1.0,0.00352061023911,0.0,0.0
SENATE,1.0,0.00352061023911,0.0,0.0
state,1.0,0.00337391814581,1.0,0.007407407407409999
Twitter,1.0,0.00337391814581,1.0,0.0059259259259300005
Air Force,1.0,0.0032272260525199998,0.0,0.0
EPA,1.0,0.0032272260525199998,1.0,0.0103703703704
Republican committee,1.0,0.0032272260525199998,0.0,0.0
