term,a1_bin,a1_perc,a2_bin,a2_perc
Christine Blasey Ford,10.0,0.982396948804,1.0,0.07259259259260001
Brett Kavanaugh,9.0,0.826903329911,2.0,0.100740740741
Donald Trump,4.0,0.308200088015,2.0,0.154074074074
Trump,3.0,0.21783775854499998,1.0,0.0755555555556
Deborah Ramirez,2.0,0.182631656154,1.0,0.014814814814799999
Jeff Flake,2.0,0.17749743288800002,1.0,0.026666666666700003
Chuck Grassley,2.0,0.17089628869000004,1.0,0.008888888888889999
Dianne Feinstein,2.0,0.161654686812,1.0,0.0059259259259300005
Susan Collins,2.0,0.153146545401,1.0,0.008888888888889999
Mitch McConnell,2.0,0.128942350007,1.0,0.020740740740700002
Brett M. Kavanaugh,2.0,0.117206982544,1.0,0.014814814814799999
Clarence Thomas,2.0,0.109285609506,1.0,0.0459259259259
Mark Judge,2.0,0.109138917412,1.0,0.008888888888889999
Anita Hill,2.0,0.10708522810599999,1.0,0.0459259259259
Lisa Murkowski,2.0,0.102831157401,1.0,0.011851851851899999
Julie Swetnick,2.0,0.10209769693399999,1.0,0.007407407407409999
Lindsey Graham,1.0,0.09212263458999999,1.0,0.0162962962963
Rachel Mitchell,1.0,0.0739328150213,1.0,0.0162962962963
Michael Avenatti,1.0,0.0690919759425,1.0,0.0103703703704
Debra Katz,1.0,0.056623148012300006,0.0,0.0
Kavanaugh,1.0,0.055596303359199996,0.0,0.0
Joe Manchin,1.0,0.0503153880006,0.0,0.0
Orrin Hatch,1.0,0.046794777761500005,1.0,0.011851851851899999
Hillary Clinton,1.0,0.0441543200821,1.0,0.0281481481481
Bill Clinton,1.0,0.038873404723499996,1.0,0.0592592592593
Barack Obama,1.0,0.036526331230699996,1.0,0.013333333333299998
Mazie Hirono,1.0,0.036379639137499996,0.0,0.0
Anthony Kennedy,1.0,0.0360862549509,0.0,0.0
Chuck Schumer,1.0,0.0359395628576,1.0,0.008888888888889999
Kellyanne Conway,1.0,0.0357928707643,1.0,0.014814814814799999
George W. Bush,1.0,0.03476602611119999,1.0,0.014814814814799999
Amy Klobuchar,1.0,0.0346193340179,1.0,0.007407407407409999
Heidi Heitkamp,1.0,0.0340325656447,0.0,0.0
John Cornyn,1.0,0.0331524130849,1.0,0.007407407407409999
Richard Blumenthal,1.0,0.0313921079654,0.0,0.0
Christine Ford,1.0,0.0313921079654,1.0,0.0059259259259300005
Bob Corker,1.0,0.029925187032400002,1.0,0.0103703703704
Neil Gorsuch,1.0,0.0274314214464,0.0,0.0
Roe,1.0,0.027284729353099998,1.0,0.004444444444439999
Kamala Harris,1.0,0.0268446530732,1.0,0.0029629629629600003
Ted Cruz,1.0,0.025377732140200004,1.0,0.0059259259259300005
Charles E. Grassley,1.0,0.0246442716738,1.0,0.004444444444439999
Leland Keyser,1.0,0.0246442716738,0.0,0.0
Chris Coons,1.0,0.0243508874872,0.0,0.0
Clintons,1.0,0.023764119114,1.0,0.007407407407409999
Wade,1.0,0.0236174270207,1.0,0.0059259259259300005
Joe Biden,1.0,0.023324042834099997,1.0,0.007407407407409999
Cory Booker,1.0,0.0230306586475,1.0,0.004444444444439999
Fox,1.0,0.022443890274299997,1.0,0.020740740740700002
Patrick Leahy,1.0,0.022297198180999997,0.0,0.0
Merrick Garland,1.0,0.022150506087700004,0.0,0.0
Sheldon Whitehouse,1.0,0.021857121901099997,1.0,0.007407407407409999
Lisa Banks,1.0,0.0203902009682,0.0,0.0
Harvey Weinstein,1.0,0.019803432595,5.0,0.44740740740699997
Dick Durbin,1.0,0.019803432595,0.0,0.0
Sarah Huckabee Sanders,1.0,0.019363356315099996,1.0,0.007407407407409999
Rod Rosenstein,1.0,0.0189232800352,1.0,0.0103703703704
Anna Eshoo,1.0,0.0187765879419,0.0,0.0
Robert Mueller,1.0,0.0180431274754,1.0,0.022222222222199998
Ronan Farrow,1.0,0.0180431274754,1.0,0.029629629629599998
Mike Pence,1.0,0.0171629749157,1.0,0.0059259259259300005
Obama,1.0,0.0168695907291,1.0,0.014814814814799999
Grassley,1.0,0.0168695907291,1.0,0.004444444444439999
Don McGahn,1.0,0.0167228986358,0.0,0.0
Martha MacCallum,1.0,0.0162828223559,0.0,0.0
Ed Whelan,1.0,0.0161361302626,0.0,0.0
Michael Bromwich,1.0,0.0161361302626,0.0,0.0
Lindsey O. Graham,1.0,0.0159894381693,1.0,0.0029629629629600003
Jane Mayer,1.0,0.0156960539827,1.0,0.004444444444439999
Sarah Sanders,1.0,0.015549361889400001,0.0,0.0
Raj Shah,1.0,0.015549361889400001,1.0,0.004444444444439999
Joe Donnelly,1.0,0.014815901422899999,0.0,0.0
Antonin Scalia,1.0,0.014375825142999999,0.0,0.0
Feinstein,1.0,0.014229133049700003,0.0,0.0
Bill Cosby,1.0,0.013935748863099999,10.0,0.917037037037
Ruth Bader Ginsburg,1.0,0.0137890567698,1.0,0.004444444444439999
John Roberts,1.0,0.0136423646765,0.0,0.0
Roy Moore,1.0,0.0134956725832,1.0,0.044444444444399996
John Kennedy,1.0,0.0134956725832,0.0,0.0
Donald Trump Jr.,1.0,0.013055596303399999,1.0,0.004444444444439999
Kirsten Gillibrand,1.0,0.013055596303399999,1.0,0.0103703703704
Claire McCaskill,1.0,0.0124688279302,1.0,0.0029629629629600003
Ronald Reagan,1.0,0.0117353674637,1.0,0.007407407407409999
Kevin Cramer,1.0,0.011588675370399999,0.0,0.0
Charles Grassley,1.0,0.011588675370399999,0.0,0.0
John McCain,1.0,0.011295291183799998,1.0,0.0029629629629600003
Seung Min Kim,1.0,0.011295291183799998,1.0,0.0059259259259300005
Emma Brown,1.0,0.011001906997200002,1.0,0.0059259259259300005
Ken Starr,1.0,0.011001906997200002,1.0,0.0059259259259300005
Bush,1.0,0.0108552149039,1.0,0.0059259259259300005
Nancy Pelosi,1.0,0.0108552149039,1.0,0.0162962962963
Sean Hannity,1.0,0.0108552149039,0.0,0.0
Dean Heller,1.0,0.0107085228106,0.0,0.0
Elizabeth Warren,1.0,0.0105618307173,1.0,0.004444444444439999
Chris Wallace,1.0,0.0105618307173,0.0,0.0
Ashley,1.0,0.010415138624,0.0,0.0
Alyssa Milano,1.0,0.010415138624,1.0,0.0340740740741
Ben Sasse,1.0,0.0101217544374,0.0,0.0
James Roche,1.0,0.0101217544374,0.0,0.0
John Clune,1.0,0.0101217544374,0.0,0.0
Jeff Sessions,1.0,0.00997506234414,1.0,0.013333333333299998
Al Franken,1.0,0.00997506234414,1.0,0.0696296296296
RAINN,1.0,0.00982837025084,1.0,0.011851851851899999
Robert Bork,1.0,0.009681678157549998,0.0,0.0
Taylor Foy,1.0,0.009681678157549998,0.0,0.0
P.J. Smyth,1.0,0.009681678157549998,0.0,0.0
John Wagner,1.0,0.00938829397095,1.0,0.0059259259259300005
Mike Lee,1.0,0.00938829397095,0.0,0.0
Jake Tapper,1.0,0.009241601877659999,1.0,0.0059259259259300005
Kerri Kupec,1.0,0.009241601877659999,0.0,0.0
Sonia Sotomayor,1.0,0.00909490978436,0.0,0.0
Richard Cowan,1.0,0.00909490978436,0.0,0.0
Ana Maria Archila,1.0,0.00909490978436,0.0,0.0
Debbie Ramirez,1.0,0.00909490978436,0.0,0.0
James Comey,1.0,0.00894821769107,1.0,0.0162962962963
Stormy Daniels,1.0,0.00894821769107,1.0,0.008888888888889999
Russell Ford,1.0,0.00880152559777,0.0,0.0
Monica Lewinsky,1.0,0.00865483350447,1.0,0.011851851851899999
George H.W. Bush,1.0,0.00865483350447,1.0,0.008888888888889999
Ashley Estes Kavanaugh,1.0,0.00865483350447,0.0,0.0
Clinton,1.0,0.00836144931788,1.0,0.0029629629629600003
Cory Gardner,1.0,0.00836144931788,1.0,0.004444444444439999
Debbie,1.0,0.00836144931788,0.0,0.0
Melania Trump,1.0,0.008068065131289999,0.0,0.0
George Soros,1.0,0.00792137303799,0.0,0.0
Lawrence Hurley,1.0,0.00792137303799,0.0,0.0
Kim Jong Un,1.0,0.00792137303799,1.0,0.0162962962963
Joe Manchin III,1.0,0.00792137303799,0.0,0.0
Bernie Sanders,1.0,0.0077746809447000005,1.0,0.004444444444439999
Chad Pergram,1.0,0.0077746809447000005,0.0,0.0
Phil Bredesen,1.0,0.0077746809447000005,0.0,0.0
Barbara Van Gelder,1.0,0.0077746809447000005,0.0,0.0
Keith Ellison,1.0,0.007627988851399999,0.0,0.0
Elena Kagan,1.0,0.0074812967581000004,0.0,0.0
Kavanagh,1.0,0.0074812967581000004,0.0,0.0
Patty Murray,1.0,0.007334604664810001,0.0,0.0
Will Dunham,1.0,0.007334604664810001,0.0,0.0
Anderson Cooper,1.0,0.007334604664810001,0.0,0.0
Kavanuagh,1.0,0.007334604664810001,0.0,0.0
Mike Pompeo,1.0,0.007187912571509999,1.0,0.013333333333299998
Christopher Wray,1.0,0.007187912571509999,0.0,0.0
Anthony M. Kennedy,1.0,0.007187912571509999,0.0,0.0
Diane Feinstein,1.0,0.007187912571509999,0.0,0.0
Michael Cohen,1.0,0.00704122047822,1.0,0.0177777777778
Mike Davis,1.0,0.00704122047822,0.0,0.0
Jon Tester,1.0,0.00689452838492,0.0,0.0
Steve Daines,1.0,0.00689452838492,0.0,0.0
Leland Ingham Keyser,1.0,0.00689452838492,0.0,0.0
Josh Dawsey,1.0,0.00674783629162,1.0,0.014814814814799999
Marsha Blackburn,1.0,0.00674783629162,0.0,0.0
Daniels,1.0,0.00674783629162,1.0,0.007407407407409999
Andrew McCabe,1.0,0.00660114419833,1.0,0.004444444444439999
Peter Cooney,1.0,0.00660114419833,0.0,0.0
Orrin G. Hatch,1.0,0.00660114419833,0.0,0.0
Josh Hawley,1.0,0.00645445210503,0.0,0.0
Beto O’Rourke,1.0,0.00645445210503,0.0,0.0
Laura Ingraham,1.0,0.0063077600117399995,1.0,0.0059259259259300005
Mike Emanuel,1.0,0.0063077600117399995,0.0,0.0
Rob Porter,1.0,0.0061610679184399995,1.0,0.0059259259259300005
Tucker Carlson,1.0,0.0061610679184399995,1.0,0.004444444444439999
Doina Chiacu,1.0,0.0061610679184399995,0.0,0.0
Doug Jones,1.0,0.0061610679184399995,0.0,0.0
Maria Gallagher,1.0,0.0061610679184399995,0.0,0.0
Patrick J. Smyth,1.0,0.0061610679184399995,0.0,0.0
John Paul Stevens,1.0,0.00601437582514,0.0,0.0
Nikki Haley,1.0,0.00586768373185,1.0,0.0059259259259300005
Matt Damon,1.0,0.00586768373185,1.0,0.008888888888889999
Jennifer Rubin,1.0,0.00586768373185,0.0,0.0
Mike DeBonis,1.0,0.00572099163855,0.0,0.0
Amy Schumer,1.0,0.005574299545249999,0.0,0.0
Bob Woodward,1.0,0.005574299545249999,0.0,0.0
Bill Nelson,1.0,0.005574299545249999,0.0,0.0
John Thune,1.0,0.005574299545249999,0.0,0.0
Elizabeth Rasor,1.0,0.005574299545249999,0.0,0.0
Paul Manafort,1.0,0.00542760745196,1.0,0.0059259259259300005
Abraham Lincoln,1.0,0.00542760745196,0.0,0.0
Thom Tillis,1.0,0.00542760745196,0.0,0.0
Amanda Becker,1.0,0.00542760745196,0.0,0.0
Vladimir Putin,1.0,0.00528091535866,1.0,0.0059259259259300005
Neil M. Gorsuch,1.0,0.00528091535866,0.0,0.0
Susan Heavey,1.0,0.00528091535866,0.0,0.0
Donald McGahn,1.0,0.00528091535866,1.0,0.004444444444439999
McConnell,1.0,0.00528091535866,0.0,0.0
Brian Fallon,1.0,0.0051342232653700005,0.0,0.0
Robert Costa,1.0,0.00498753117207,1.0,0.0103703703704
Samuel Alito,1.0,0.00498753117207,0.0,0.0
Mark,1.0,0.00498753117207,0.0,0.0
David Morgan,1.0,0.00498753117207,0.0,0.0
Beth Wilkinson,1.0,0.00498753117207,0.0,0.0
Holton,1.0,0.00498753117207,0.0,0.0
Patrick Smyth,1.0,0.00498753117207,0.0,0.0
Andrew Napolitano,1.0,0.0048408390787700005,0.0,0.0
Collins,1.0,0.0048408390787700005,0.0,0.0
Juanita Broaddrick,1.0,0.0048408390787700005,1.0,0.007407407407409999
Chris Garrett,1.0,0.0048408390787700005,0.0,0.0
Schumer,1.0,0.004694146985479999,0.0,0.0
HuffPost,1.0,0.004694146985479999,0.0,0.0
Ted Kennedy,1.0,0.004694146985479999,0.0,0.0
Kyrsten Sinema,1.0,0.004694146985479999,0.0,0.0
Ramirez,1.0,0.004694146985479999,0.0,0.0
Aaron Blake,1.0,0.004694146985479999,1.0,0.004444444444439999
