term,a1_bin,a1_perc,a2_bin,a2_perc
Supreme Court,10.0,0.8025524424230001,2.0,0.102760736196
Ford,8.0,0.620947630923,1.0,0.0199386503067
Senate Judiciary Committee,8.0,0.581927534106,1.0,0.0283742331288
Senate,7.0,0.559923720111,2.0,0.141104294479
FBI,5.0,0.399589262139,2.0,0.08282208588960001
White House,4.0,0.271086988411,4.0,0.278374233129
Judiciary Committee,3.0,0.210209769693,1.0,0.0122699386503
GOP,3.0,0.188792724072,1.0,0.0789877300613
Washington Post,3.0,0.17705735660799998,2.0,0.15490797545999999
CNN,2.0,0.141117793751,3.0,0.19861963190200002
Congress,2.0,0.130115886754,2.0,0.132668711656
Fox News,2.0,0.122634589996,10.0,0.734662576687
New York Times,2.0,0.117206982544,4.0,0.314417177914
Yale,2.0,0.106205075546,1.0,0.0076687116564399995
Yale University,1.0,0.07275927827489999,1.0,0.00460122699387
Republican,1.0,0.06351767639719999,1.0,0.0406441717791
Palo Alto University,1.0,0.0525157694,0.0,0.0
U.S. Supreme Court,1.0,0.051488924747,1.0,0.00536809815951
House,1.0,0.050168695907300005,1.0,0.0751533742331
Dr. Ford,1.0,0.046061317295,0.0,0.0
NBC,1.0,0.04430101217540001,3.0,0.19095092024500002
NBC News,1.0,0.043567551709,2.0,0.102760736196
Reuters,1.0,0.042687399149199994,1.0,0.0375766871166
CBS,1.0,0.03960686519,2.0,0.09815950920250001
AP,1.0,0.0362329470442,1.0,0.058282208589000004
Associated Press,1.0,0.0353527944844,1.0,0.045245398772999997
house,1.0,0.0346193340179,0.0,0.0
Justice Department,1.0,0.0324189526185,1.0,0.0429447852761
Capitol Hill,1.0,0.0321255684319,1.0,0.0176380368098
Facebook,1.0,0.031245415872100002,1.0,0.0759202453988
Post,1.0,0.031245415872100002,1.0,0.034509202454
Trump,1.0,0.028898342379299998,1.0,0.07822085889569999
MSNBC,1.0,0.0274314214464,2.0,0.0812883435583
Wall Street Journal,1.0,0.0266979609799,1.0,0.0513803680982
Democratic,1.0,0.0259645005134,1.0,0.010736196319
Republican Party,1.0,0.025231040046900004,1.0,0.046012269938699994
F.B.I.,1.0,0.0234707349274,1.0,0.00920245398773
ABC,1.0,0.0209769693414,1.0,0.062116564417199996
CBS News,1.0,0.0209769693414,1.0,0.0513803680982
U.S. Senate,1.0,0.0205368930615,1.0,0.013036809816
Politico,1.0,0.0205368930615,1.0,0.021472392638
Georgetown,1.0,0.0202435088749,0.0,0.0
Senate Judiciary,1.0,0.0199501246883,0.0,0.0
supreme court,1.0,0.019363356315099996,0.0,0.0
judiciary committee,1.0,0.0190699721285,0.0,0.0
Democratic Party,1.0,0.0189232800352,1.0,0.022239263803699998
United Nations,1.0,0.0186298958486,1.0,0.00920245398773
CBS Interactive Inc,1.0,0.018336511662,1.0,0.00613496932515
Times,1.0,0.017309667008900003,1.0,0.07208588957060001
United States Supreme Court,1.0,0.017309667008900003,0.0,0.0
Georgetown Preparatory School,1.0,0.0168695907291,0.0,0.0
Trump administration,1.0,0.0159894381693,1.0,0.0283742331288
American Bar Association,1.0,0.0159894381693,0.0,0.0
Yale Law School,1.0,0.015842746076,0.0,0.0
USA TODAY,1.0,0.015255977702799997,1.0,0.0161042944785
Bloomberg,1.0,0.014375825142999999,1.0,0.029907975460099996
House of Representatives,1.0,0.014375825142999999,1.0,0.0076687116564399995
Senate judiciary committee,1.0,0.014375825142999999,0.0,0.0
Democrats,1.0,0.012908904210099999,1.0,0.00460122699387
New Yorker,1.0,0.0126155200235,1.0,0.013036809816
Harvard,1.0,0.0124688279302,1.0,0.013036809816
United Nations General Assembly,1.0,0.0124688279302,0.0,0.0
Google,1.0,0.0123221358369,1.0,0.0230061349693
NPR,1.0,0.0123221358369,1.0,0.046012269938699994
Dirksen Senate,1.0,0.0120287516503,0.0,0.0
Senate Judiciary Committee on Capitol Hill,1.0,0.011588675370399999,0.0,0.0
Catholic,1.0,0.011295291183799998,1.0,0.00536809815951
Senate GOP,1.0,0.011001906997200002,0.0,0.0
Vox,1.0,0.011001906997200002,1.0,0.0260736196319
Newsmax,1.0,0.011001906997200002,1.0,0.0122699386503
ABC News,1.0,0.0108552149039,1.0,0.0276073619632
Department of Justice,1.0,0.010268446530700002,1.0,0.00613496932515
Hart Senate,1.0,0.010268446530700002,0.0,0.0
U.N.,1.0,0.00997506234414,1.0,0.0122699386503
Federal Bureau of Investigation,1.0,0.00982837025084,0.0,0.0
U.S. Court of Appeals,1.0,0.009681678157549998,0.0,0.0
POLITICO,1.0,0.009681678157549998,1.0,0.016871165644200003
State,1.0,0.00894821769107,1.0,0.0115030674847
Republicans,1.0,0.00880152559777,1.0,0.0038343558282199998
D.C. Circuit,1.0,0.00865483350447,0.0,0.0
Stanford,1.0,0.00850814141118,1.0,0.013036809816
Fox News Channel,1.0,0.00792137303799,1.0,0.05981595092019999
Stanford University,1.0,0.0077746809447000005,0.0,0.0
The Washington Post,1.0,0.007627988851399999,1.0,0.009969325153370002
House Judiciary Committee,1.0,0.0074812967581000004,1.0,0.008435582822089999
US Supreme Court,1.0,0.0074812967581000004,0.0,0.0
Amazon,1.0,0.007334604664810001,1.0,0.0329754601227
US Senate,1.0,0.007187912571509999,1.0,0.00460122699387
State Department,1.0,0.00674783629162,1.0,0.0199386503067
Blasey Ford,1.0,0.00674783629162,0.0,0.0
Democratic National Committee,1.0,0.00660114419833,1.0,0.0138036809816
Harvard Law School,1.0,0.00660114419833,0.0,0.0
CNBC,1.0,0.00660114419833,1.0,0.020705521472400002
