term,a1_bin,a1_perc,a2_bin,a2_perc
crime and criminals,10.0,0.7355141557870001,6.0,0.414110429448
politics and government,10.0,0.72451224879,5.0,0.367331288344
sex crimes,10.0,0.698987824556,6.0,0.371165644172
united states politics and government,6.0,0.38271967141,3.0,0.19631901840500002
ethics,3.0,0.15798738448,3.0,0.152607361963
appointments and executive changes,3.0,0.150652779815,1.0,0.042177914110400005
women,3.0,0.147132169576,5.0,0.298312883436
elections,2.0,0.12600850814099998,2.0,0.07822085889569999
education and schools,2.0,0.10473815461300001,1.0,0.0176380368098
biographical information,1.0,0.0689452838492,2.0,0.131901840491
news and news media,1.0,0.05779668475869999,5.0,0.322085889571
media,1.0,0.0376998679771,4.0,0.24003067484700003
courts,1.0,0.034179257738,0.0,0.0
colleges and universities,1.0,0.0319788763386,1.0,0.00460122699387
suits and litigation,1.0,0.0262578847,3.0,0.162576687117
television,1.0,0.0243508874872,5.0,0.310582822086
children and youth,1.0,0.0242041953939,1.0,0.0076687116564399995
computers and the internet,1.0,0.0239108112073,1.0,0.0513803680982
judges,1.0,0.023177350740799997,0.0,0.0
presidents and presidency (us),1.0,0.0215637377145,1.0,0.03834355828219999
medicine and health,1.0,0.0199501246883,1.0,0.021472392638
demonstrations and riots,1.0,0.014815901422899999,0.0,0.0
sexual harassment,1.0,0.0136423646765,3.0,0.19018404908
finances,1.0,0.0126155200235,2.0,0.0759202453988
blacks,1.0,0.0120287516503,1.0,0.020705521472400002
law and legislation,1.0,0.0108552149039,1.0,0.033742331288299995
discrimination,1.0,0.0108552149039,2.0,0.07822085889569999
public opinion,1.0,0.00982837025084,1.0,0.00460122699387
books and literature,1.0,0.00880152559777,2.0,0.106595092025
presidential elections (us),1.0,0.00836144931788,1.0,0.0176380368098
legal profession,1.0,0.00836144931788,1.0,0.0069018404908
child abuse and neglect,1.0,0.008068065131289999,1.0,0.00460122699387
"suspensions, dismissals and resignations",1.0,0.00674783629162,2.0,0.104294478528
quotation of the day,1.0,0.0061610679184399995,0.0,0.0
international relations,1.0,0.00601437582514,1.0,0.014570552147200001
religion and churches,1.0,0.00586768373185,0.0,0.0
motion pictures,1.0,0.005574299545249999,2.0,0.07668711656439998
abortion,1.0,0.0048408390787700005,0.0,0.0
privacy,1.0,0.00454745489218,1.0,0.00920245398773
christians and christianity,1.0,0.00454745489218,0.0,0.0
advertising and marketing,1.0,0.004400762798890001,1.0,0.016871165644200003
impeachment,1.0,0.004400762798890001,0.0,0.0
united states international relations,1.0,0.00425407070559,1.0,0.010736196319
labor,1.0,0.00410737861229,2.0,0.0935582822086
basketball,1.0,0.003960686519,0.0,0.0
election issues,1.0,0.0038139944256999994,1.0,0.00536809815951
hurricanes and tropical storms,1.0,0.0038139944256999994,0.0,0.0
homosexuality,1.0,0.0036673023324,1.0,0.010736196319
"armament, defense and military forces",1.0,0.0036673023324,1.0,0.015337423312899999
terrorism,1.0,0.0036673023324,1.0,0.00920245398773
murders and attempted murders,1.0,0.00352061023911,0.0,0.0
drug abuse and traffic,1.0,0.00293384186592,1.0,0.00536809815951
chemicals,1.0,0.00293384186592,0.0,0.0
legislatures and parliaments,1.0,0.0027871497726300004,0.0,0.0
editorials,1.0,0.00264045767933,1.0,0.00460122699387
sentences (criminal),1.0,0.00264045767933,0.0,0.0
tests and testing,1.0,0.00249376558603,0.0,0.0
police,1.0,0.0023470734927399997,0.0,0.0
immigration and refugees,1.0,0.0023470734927399997,0.0,0.0
sex,1.0,0.0023470734927399997,1.0,0.021472392638
beverages,1.0,0.0023470734927399997,0.0,0.0
ratings and rating systems,1.0,0.00220038139944,1.0,0.00920245398773
taxation,1.0,0.00220038139944,1.0,0.00613496932515
international trade and world market,1.0,0.00220038139944,0.0,0.0
decisions and verdicts,1.0,0.0020536893061500004,1.0,0.018404907975500002
alcoholic beverages,1.0,0.0020536893061500004,0.0,0.0
teachers and school employees,1.0,0.0019069972128499997,0.0,0.0
assaults,1.0,0.0019069972128499997,0.0,0.0
contests and prizes,0.0,0.0,1.0,0.0268404907975
"mergers, acquisitions and divestitures",0.0,0.0,1.0,0.018404907975500002
reviews,0.0,0.0,1.0,0.016871165644200003
apparel,0.0,0.0,1.0,0.0122699386503
"arbitration, conciliation and mediation",0.0,0.0,1.0,0.010736196319
radio,0.0,0.0,1.0,0.009969325153370002
newspapers,0.0,0.0,1.0,0.009969325153370002
prostitution,0.0,0.0,1.0,0.008435582822089999
united states armament and defense,0.0,0.0,1.0,0.008435582822089999
documentary films and programs,0.0,0.0,1.0,0.0076687116564399995
advertising,0.0,0.0,1.0,0.0069018404908
deaths (obituaries),0.0,0.0,1.0,0.0069018404908
theater,0.0,0.0,1.0,0.00536809815951
academy awards (oscars),0.0,0.0,1.0,0.00536809815951
frauds and swindling,0.0,0.0,1.0,0.00460122699387
presidential election of 2004,0.0,0.0,1.0,0.00460122699387
wages and salaries,0.0,0.0,1.0,0.00460122699387
primaries,0.0,0.0,1.0,0.0038343558282199998
marriages,0.0,0.0,1.0,0.0038343558282199998
stocks and bonds,0.0,0.0,1.0,0.0038343558282199998
futures and options trading,0.0,0.0,1.0,0.0038343558282199998
