term,a1_bin,a1_perc,a2_bin,a2_perc
Senate,3.0,0.15295186617599998,10.0,0.531034482759
House,3.0,0.140906761102,6.0,0.26724137930999997
Congress,3.0,0.140557289968,9.0,0.44655172413800004
White House,3.0,0.135944271003,5.0,0.227586206897
GOP,3.0,0.11679325287699999,4.0,0.208620689655
AP,3.0,0.107753599553,2.0,0.0844827586207
Reuters,2.0,0.09771212897810001,1.0,0.037931034482800004
NBA,2.0,0.0779320628116,0.0,0.0
New York Times,2.0,0.07280648618419999,5.0,0.24310344827599997
Associated Press,2.0,0.070220399795,1.0,0.05
CNN,2.0,0.06644611155119999,3.0,0.155172413793
Washington Post,2.0,0.065351101999,4.0,0.206896551724
Facebook,1.0,0.0522109873724,2.0,0.0827586206897
FBI,1.0,0.05051022785519999,2.0,0.0741379310345
NFL,1.0,0.046316574251,1.0,0.0293103448276
Fox News,1.0,0.043217930199,3.0,0.12413793103399999
Supreme Court,1.0,0.0430082475188,3.0,0.156896551724
Trump,1.0,0.040748334187599995,2.0,0.0827586206897
Republican,1.0,0.036810959414800004,2.0,0.0741379310345
NBC,1.0,0.0359722286939,3.0,0.110344827586
Netflix,1.0,0.0357858440893,1.0,0.0224137931034
Trump administration,1.0,0.0337356134383,1.0,0.0293103448276
Justice Department,1.0,0.0335958249849,1.0,0.048275862068999996
ESPN,1.0,0.032267834676900004,1.0,0.020689655172400002
Bloomberg,1.0,0.0309398443689,1.0,0.0327586206897
Google,1.0,0.0284236522063,1.0,0.0344827586207
Cleveland Cavaliers,1.0,0.0277713060901,0.0,0.0
CBS,1.0,0.0273053445785,2.0,0.0586206896552
Cavaliers,1.0,0.026280229253099998,0.0,0.0
ABC,1.0,0.026187036950699998,1.0,0.0310344827586
CNBC,1.0,0.0235543544103,1.0,0.0051724137931000004
House Ways and Means Committee,1.0,0.0225991333116,0.0,0.0
Treasury,1.0,0.0223661525558,1.0,0.013793103448299999
POLITICO,1.0,0.0221797679512,1.0,0.0224137931034
Amazon,1.0,0.0219001910442,1.0,0.0327586206897
Wall Street Journal,1.0,0.021108056474500002,1.0,0.036206896551699994
Republican Party,1.0,0.0208284795676,2.0,0.0741379310345
EPA,1.0,0.018778248916599998,1.0,0.0068965517241400005
Democratic Party,1.0,0.018685056614299998,2.0,0.09655172413789999
USA TODAY Sports,1.0,0.018428777783,0.0,0.0
Ford,1.0,0.0183355854806,2.0,0.0620689655172
NBC News,1.0,0.018195797027200002,2.0,0.0689655172414
House of Representatives,1.0,0.0180094124225,2.0,0.0568965517241
Starbucks,1.0,0.0178696239691,1.0,0.0068965517241400005
USA TODAY,1.0,0.017520152835400003,1.0,0.018965517241400002
State,1.0,0.0172172778528,1.0,0.0293103448276
NCAA,1.0,0.016751316341299997,1.0,0.0051724137931000004
NHL,1.0,0.016098970225100002,0.0,0.0
Cavs,1.0,0.0158892875448,0.0,0.0
CIA,1.0,0.0158659894693,1.0,0.020689655172400002
YouTube,1.0,0.0156563067891,1.0,0.0051724137931000004
House GOP,1.0,0.0151437491263,1.0,0.0120689655172
U.S. Senate,1.0,0.0150971529752,1.0,0.0431034482759
Fed,1.0,0.014957364521700002,1.0,0.0068965517241400005
European Union,1.0,0.0149107683705,0.0,0.0
Democratic,1.0,0.0146777876147,1.0,0.0431034482759
Politico,1.0,0.0146777876147,2.0,0.0586206896552
Post,1.0,0.014328316481099999,1.0,0.0344827586207
Disney,1.0,0.0142584222543,1.0,0.018965517241400002
NASCAR,1.0,0.0138856530451,0.0,0.0
Senate Judiciary Committee,1.0,0.0137924607427,2.0,0.07068965517239999
HBO,1.0,0.013722566516,1.0,0.013793103448299999
Boston Celtics,1.0,0.013629374213700002,0.0,0.0
Times,1.0,0.0132333069288,2.0,0.060344827586199995
Capitol Hill,1.0,0.0132333069288,2.0,0.07241379310339999
UFC,1.0,0.012883835795200001,0.0,0.0
State Department,1.0,0.012860537719600001,1.0,0.027586206896599998
S&P,1.0,0.012557662737100002,0.0,0.0
Celtics,1.0,0.0125343646615,0.0,0.0
MSNBC,1.0,0.012511066585899998,2.0,0.0551724137931
Navy,1.0,0.0124877685103,1.0,0.0155172413793
Los Angeles Times,1.0,0.0124178742836,1.0,0.0172413793103
Houston Rockets,1.0,0.0123479800568,0.0,0.0
Apple,1.0,0.0122780858301,1.0,0.0155172413793
Medicare,1.0,0.012231489679,1.0,0.0293103448276
SEC,1.0,0.0121149993011,1.0,0.0051724137931000004
Federal Reserve,1.0,0.0118587204697,1.0,0.0051724137931000004
WSJ,1.0,0.011788826243,1.0,0.00862068965517
Pentagon,1.0,0.0116024416383,1.0,0.0224137931034
MMA,1.0,0.0113694608825,0.0,0.0
Los Angeles Lakers,1.0,0.010996691673299998,0.0,0.0
DOJ,1.0,0.0109733935977,1.0,0.0172413793103
House Freedom Caucus,1.0,0.0109500955221,1.0,0.0051724137931000004
CBS News,1.0,0.0108336051442,1.0,0.0258620689655
UCLA,1.0,0.0108103070686,1.0,0.0172413793103
EU,1.0,0.010530730161700003,0.0,0.0
United Nations,1.0,0.010507432086100001,1.0,0.0258620689655
Harvard,1.0,0.0102977494059,1.0,0.036206896551699994
Stanford,1.0,0.0102744513303,1.0,0.013793103448299999
Yankees,1.0,0.00992498019664,0.0,0.0
Senate Finance Committee,1.0,0.00987838404548,1.0,0.0068965517241400005
Mets,1.0,0.00980848981874,0.0,0.0
Microsoft,1.0,0.009552210987370002,1.0,0.0051724137931000004
Cleveland,1.0,0.009482316760639998,0.0,0.0
NAFTA,1.0,0.00945901868506,0.0,0.0
NYT,1.0,0.00943572060948,1.0,0.0068965517241400005
ABC News,1.0,0.00938912445832,1.0,0.020689655172400002
Golden State Warriors,1.0,0.00938912445832,0.0,0.0
IRS,1.0,0.00899305717348,0.0,0.0
Goldman Sachs,1.0,0.00882997064442,1.0,0.00862068965517
Giants,1.0,0.00869018219095,0.0,0.0
NPR,1.0,0.008620287964209999,1.0,0.020689655172400002
BBC,1.0,0.008550393737479999,1.0,0.0051724137931000004
Knicks,1.0,0.008527095661899999,0.0,0.0
Environmental Protection Agency,1.0,0.00848049951074,1.0,0.0051724137931000004
U.N.,1.0,0.008410605283999999,1.0,0.0172413793103
Department of Justice,1.0,0.00838730720842,1.0,0.00862068965517
Instagram,1.0,0.00836400913285,0.0,0.0
Department of Homeland Security,1.0,0.00822422067937,1.0,0.0051724137931000004
Texas A&M,1.0,0.00820092260379,0.0,0.0
House Intelligence Committee,1.0,0.00817762452821,1.0,0.0120689655172
Defense,1.0,0.00815432645264,1.0,0.010344827586200001
Sony,1.0,0.008131028377060001,0.0,0.0
Spurs,1.0,0.0080844322259,0.0,0.0
Rangers,1.0,0.00803783607474,0.0,0.0
DNC,1.0,0.00801453799916,1.0,0.024137931034499998
Bloomberg News,1.0,0.00789804762127,0.0,0.0
USA Today,1.0,0.00785145147011,1.0,0.010344827586200001
AT&T,1.0,0.007781557243369999,0.0,0.0
Ways and Means Committee,1.0,0.00775825916779,0.0,0.0
RNC,1.0,0.00773496109221,1.0,0.0293103448276
NRA,1.0,0.00768836494106,1.0,0.013793103448299999
DHS,1.0,0.00768836494106,1.0,0.010344827586200001
Treasury Department,1.0,0.00761847071432,1.0,0.010344827586200001
Breitbart News,1.0,0.007478682260850001,1.0,0.00862068965517
MLB,1.0,0.007432086109689999,0.0,0.0
Warner Bros.,1.0,0.007432086109689999,0.0,0.0
National Economic Council,1.0,0.00738548995853,0.0,0.0
