term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,5.0,0.333442057686,10.0,0.705172413793
united states politics and government,3.0,0.175993662923,6.0,0.420689655172
finances,3.0,0.167396673035,1.0,0.0655172413793
elections,2.0,0.107264339966,4.0,0.255172413793
basketball,2.0,0.0936349657518,0.0,0.0
law and legislation,2.0,0.0884860910489,1.0,0.0655172413793
crime and criminals,2.0,0.0878337449327,9.0,0.5965517241380001
taxation,2.0,0.07606821676530001,1.0,0.010344827586200001
motion pictures,2.0,0.07052327477749999,1.0,0.051724137931
sex crimes,1.0,0.0586645543078,9.0,0.58275862069
computers and the internet,1.0,0.054074833418800004,1.0,0.0310344827586
television,1.0,0.052886631564199996,1.0,0.0689655172414
football,1.0,0.0486230837333,0.0,0.0
baseball,1.0,0.047201901123000004,0.0,0.0
medicine and health,1.0,0.0444294301291,1.0,0.0258620689655
labor,1.0,0.0422394110246,1.0,0.048275862068999996
ethics,1.0,0.038418526629699995,4.0,0.27413793103399997
international relations,1.0,0.0372769209263,1.0,0.013793103448299999
games,1.0,0.033246353851200006,0.0,0.0
college athletics,1.0,0.029658450211999997,0.0,0.0
education and schools,1.0,0.0293089790783,1.0,0.018965517241400002
international trade and world market,1.0,0.0280508829971,0.0,0.0
immigration and refugees,1.0,0.0279576906947,0.0,0.0
economic conditions and trends,1.0,0.0277946041657,0.0,0.0
"armament, defense and military forces",1.0,0.027515027258700003,1.0,0.0258620689655
biographical information,1.0,0.0267694888402,2.0,0.0931034482759
murders and attempted murders,1.0,0.026140440799599998,0.0,0.0
budgets and budgeting,1.0,0.0258142677415,0.0,0.0
united states international relations,1.0,0.024369787055599997,1.0,0.0120689655172
women,1.0,0.0242299986021,7.0,0.45862068965499997
reviews,1.0,0.023927123619599998,1.0,0.0120689655172
news and news media,1.0,0.0237174409394,2.0,0.0862068965517
suits and litigation,1.0,0.0213876333815,1.0,0.041379310344800004
playoff games,1.0,0.0203858161316,0.0,0.0
primaries,1.0,0.019640277713099997,1.0,0.0155172413793
music,1.0,0.019640277713099997,0.0,0.0
blacks,1.0,0.019034527748,1.0,0.0155172413793
athletics and sports,1.0,0.019034527748,0.0,0.0
united states economy,1.0,0.017287172079599997,1.0,0.0051724137931000004
"hockey, ice",1.0,0.0165649317366,0.0,0.0
books and literature,1.0,0.0164717394343,1.0,0.0258620689655
stocks and bonds,1.0,0.016005777922700002,0.0,0.0
police,1.0,0.0156330087135,0.0,0.0
automobile racing,1.0,0.01549322026,0.0,0.0
presidents and presidency (us),1.0,0.0154466241088,1.0,0.051724137931
appointments and executive changes,1.0,0.0152369414286,1.0,0.0120689655172
media,1.0,0.0150272587484,1.0,0.0637931034483
coaches and managers,1.0,0.0147476818415,0.0,0.0
terrorism,1.0,0.0147243837659,1.0,0.010344827586200001
illegal aliens,1.0,0.014584595312399999,0.0,0.0
frauds and swindling,1.0,0.0144215087834,0.0,0.0
children and youth,1.0,0.014072037649700001,1.0,0.0068965517241400005
soccer,1.0,0.0140254414985,0.0,0.0
customs (tariff),1.0,0.0139788453474,0.0,0.0
advertising and marketing,1.0,0.013442989609100002,1.0,0.00862068965517
banks and banking,1.0,0.0126042588882,0.0,0.0
"awards, decorations and honors",1.0,0.0122547877545,0.0,0.0
