term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,5.0,0.333442057686,2.0,0.115555555556
united states politics and government,3.0,0.175993662923,1.0,0.0459259259259
finances,3.0,0.167396673035,1.0,0.008888888888889999
elections,2.0,0.107264339966,1.0,0.013333333333299998
basketball,2.0,0.0936349657518,1.0,0.0637037037037
law and legislation,2.0,0.0884860910489,1.0,0.0192592592593
crime and criminals,2.0,0.0878337449327,10.0,0.825185185185
taxation,1.0,0.07606821676530001,0.0,0.0
motion pictures,1.0,0.07052327477749999,2.0,0.10962962962999999
sex crimes,1.0,0.0586645543078,10.0,0.792592592593
computers and the internet,1.0,0.054074833418800004,1.0,0.0177777777778
television,1.0,0.052886631564199996,2.0,0.12
football,1.0,0.0486230837333,0.0,0.0
baseball,1.0,0.047201901123000004,0.0,0.0
medicine and health,1.0,0.0444294301291,1.0,0.0592592592593
labor,1.0,0.0422394110246,1.0,0.0251851851852
ethics,1.0,0.038418526629699995,1.0,0.0503703703704
international relations,1.0,0.0372769209263,1.0,0.0059259259259300005
games,1.0,0.033246353851200006,1.0,0.0029629629629600003
college athletics,1.0,0.029658450211999997,1.0,0.0029629629629600003
education and schools,1.0,0.0293089790783,1.0,0.044444444444399996
international trade and world market,1.0,0.0280508829971,0.0,0.0
immigration and refugees,1.0,0.0279576906947,0.0,0.0
economic conditions and trends,1.0,0.0277946041657,0.0,0.0
"armament, defense and military forces",1.0,0.027515027258700003,1.0,0.0059259259259300005
biographical information,1.0,0.0267694888402,1.0,0.044444444444399996
murders and attempted murders,1.0,0.026140440799599998,1.0,0.0177777777778
budgets and budgeting,1.0,0.0258142677415,0.0,0.0
united states international relations,1.0,0.024369787055599997,1.0,0.004444444444439999
women,1.0,0.0242299986021,4.0,0.262222222222
reviews,1.0,0.023927123619599998,1.0,0.011851851851899999
news and news media,1.0,0.0237174409394,1.0,0.0488888888889
suits and litigation,1.0,0.0213876333815,2.0,0.12888888888900002
playoff games,1.0,0.0203858161316,0.0,0.0
primaries,1.0,0.019640277713099997,0.0,0.0
music,1.0,0.019640277713099997,1.0,0.0192592592593
blacks,1.0,0.019034527748,1.0,0.044444444444399996
athletics and sports,1.0,0.019034527748,0.0,0.0
united states economy,1.0,0.017287172079599997,0.0,0.0
"hockey, ice",1.0,0.0165649317366,0.0,0.0
books and literature,1.0,0.0164717394343,1.0,0.0177777777778
stocks and bonds,1.0,0.016005777922700002,0.0,0.0
police,1.0,0.0156330087135,1.0,0.007407407407409999
automobile racing,1.0,0.01549322026,0.0,0.0
presidents and presidency (us),1.0,0.0154466241088,0.0,0.0
appointments and executive changes,1.0,0.0152369414286,1.0,0.0029629629629600003
media,1.0,0.0150272587484,1.0,0.0355555555556
coaches and managers,1.0,0.0147476818415,0.0,0.0
terrorism,1.0,0.0147243837659,0.0,0.0
illegal aliens,1.0,0.014584595312399999,0.0,0.0
frauds and swindling,1.0,0.0144215087834,1.0,0.0029629629629600003
children and youth,1.0,0.014072037649700001,1.0,0.0177777777778
soccer,1.0,0.0140254414985,0.0,0.0
customs (tariff),1.0,0.0139788453474,0.0,0.0
advertising and marketing,1.0,0.013442989609100002,1.0,0.0029629629629600003
banks and banking,1.0,0.0126042588882,0.0,0.0
"awards, decorations and honors",1.0,0.0122547877545,1.0,0.008888888888889999
theater,1.0,0.0119286146964,1.0,0.007407407407409999
boxing,1.0,0.0119286146964,0.0,0.0
decisions and verdicts,1.0,0.0118587204697,3.0,0.232592592593
united states armament and defense,1.0,0.011555845487200001,0.0,0.0
tax credits,1.0,0.0114160570337,0.0,0.0
"prices (fares, fees and rates)",1.0,0.0113228647314,0.0,0.0
discrimination,1.0,0.0112296724291,1.0,0.0340740740741
tennis,1.0,0.010554028237299999,0.0,0.0
election issues,1.0,0.0102977494059,0.0,0.0
federal taxes (us),1.0,0.010227855179200001,0.0,0.0
