term,a1_bin,a1_perc,a2_bin,a2_perc
politics and government,6.0,0.333442057686,2.0,0.115479115479
united states politics and government,4.0,0.175993662923,1.0,0.0540540540541
finances,3.0,0.167396673035,1.0,0.019656019656
elections,2.0,0.107264339966,1.0,0.024570024569999998
basketball,2.0,0.0936349657518,0.0,0.0
law and legislation,2.0,0.0884860910489,0.0,0.0
crime and criminals,2.0,0.0878337449327,10.0,0.577395577396
taxation,2.0,0.07606821676530001,0.0,0.0
motion pictures,2.0,0.07052327477749999,5.0,0.235872235872
sex crimes,2.0,0.0586645543078,10.0,0.579852579853
computers and the internet,1.0,0.054074833418800004,1.0,0.049140049139999996
television,1.0,0.052886631564199996,4.0,0.228501228501
football,1.0,0.0486230837333,0.0,0.0
baseball,1.0,0.047201901123000004,0.0,0.0
medicine and health,1.0,0.0444294301291,1.0,0.034398034397999995
labor,1.0,0.0422394110246,1.0,0.024570024569999998
ethics,1.0,0.038418526629699995,1.0,0.036855036855
international relations,1.0,0.0372769209263,1.0,0.004914004914
games,1.0,0.033246353851200006,0.0,0.0
college athletics,1.0,0.029658450211999997,0.0,0.0
education and schools,1.0,0.0293089790783,1.0,0.024570024569999998
international trade and world market,1.0,0.0280508829971,0.0,0.0
immigration and refugees,1.0,0.0279576906947,0.0,0.0
economic conditions and trends,1.0,0.0277946041657,0.0,0.0
"armament, defense and military forces",1.0,0.027515027258700003,0.0,0.0
biographical information,1.0,0.0267694888402,1.0,0.0515970515971
murders and attempted murders,1.0,0.026140440799599998,0.0,0.0
budgets and budgeting,1.0,0.0258142677415,0.0,0.0
united states international relations,1.0,0.024369787055599997,0.0,0.0
women,1.0,0.0242299986021,7.0,0.375921375921
reviews,1.0,0.023927123619599998,2.0,0.0638820638821
news and news media,1.0,0.0237174409394,2.0,0.0638820638821
suits and litigation,1.0,0.0213876333815,1.0,0.024570024569999998
playoff games,1.0,0.0203858161316,0.0,0.0
primaries,1.0,0.019640277713099997,0.0,0.0
music,1.0,0.019640277713099997,1.0,0.00982800982801
blacks,1.0,0.019034527748,1.0,0.019656019656
athletics and sports,1.0,0.019034527748,0.0,0.0
united states economy,1.0,0.017287172079599997,0.0,0.0
"hockey, ice",1.0,0.0165649317366,0.0,0.0
books and literature,1.0,0.0164717394343,1.0,0.049140049139999996
stocks and bonds,1.0,0.016005777922700002,0.0,0.0
police,1.0,0.0156330087135,0.0,0.0
automobile racing,1.0,0.01549322026,0.0,0.0
presidents and presidency (us),1.0,0.0154466241088,0.0,0.0
appointments and executive changes,1.0,0.0152369414286,0.0,0.0
media,1.0,0.0150272587484,1.0,0.036855036855
coaches and managers,1.0,0.0147476818415,0.0,0.0
terrorism,1.0,0.0147243837659,0.0,0.0
illegal aliens,1.0,0.014584595312399999,0.0,0.0
frauds and swindling,1.0,0.0144215087834,0.0,0.0
