term,a1_bin,a1_perc,a2_bin,a2_perc
Donald Trump,2.0,0.187735893015,5.0,0.438202247191
Trump,2.0,0.111714272401,3.0,0.26591760299600004
Kevin Spacey,1.0,0.06630632309769999,2.0,0.13483146067399998
Kevin McCarthy,1.0,0.0626485252318,1.0,0.011235955056200002
Kevin Durant,1.0,0.052630352732899996,0.0,0.0
Paul Ryan,1.0,0.048949256791400005,1.0,0.0786516853933
Hillary Clinton,1.0,0.0447323051116,2.0,0.174157303371
Barack Obama,1.0,0.0447323051116,2.0,0.11048689138599999
Kevin Brady,1.0,0.0437537859373,1.0,0.005617977528089999
LeBron James,1.0,0.0417501514375,0.0,0.0
Harvey Weinstein,1.0,0.040165882298099996,4.0,0.350187265918
Robert Mueller,1.0,0.0361586132985,1.0,0.0861423220974
Mitch McConnell,1.0,0.0342714691766,2.0,0.10861423221
Kevin,1.0,0.034108382647599994,0.0,0.0
Obama,1.0,0.0328036904152,1.0,0.058052434456900004
Nancy Pelosi,1.0,0.0269558734449,1.0,0.065543071161
Kevin Love,1.0,0.024299892828900004,0.0,0.0
Paul Manafort,1.0,0.0240203159219,1.0,0.0393258426966
Stephen Curry,1.0,0.022156469875599997,0.0,0.0
Dianne Feinstein,1.0,0.0213410372303,1.0,0.0187265917603
George W. Bush,1.0,0.021294441079199998,1.0,0.0524344569288
Fox,1.0,0.0207352872653,1.0,0.046816479400699995
Jeff Sessions,1.0,0.0204324122827,1.0,0.0711610486891
Mike Pence,1.0,0.019663575788599997,1.0,0.041198501872699994
Kevin Cramer,1.0,0.0187316527655,0.0,0.0
Bernie Sanders,1.0,0.018149200876,1.0,0.041198501872699994
Heidi Heitkamp,1.0,0.018149200876,1.0,0.0131086142322
Kevin Johnson,1.0,0.017986114347000003,0.0,0.0
Chuck Schumer,1.0,0.0178929220446,1.0,0.0486891385768
Brett Kavanaugh,1.0,0.01770653744,1.0,0.08052434456930001
Jeff Flake,1.0,0.016308652905299998,1.0,0.0486891385768
Scott Pruitt,1.0,0.0162853548297,1.0,0.00749063670412
Vladimir Putin,1.0,0.016192162527399998,1.0,0.041198501872699994
Kevin Liffey,1.0,0.016122268300600002,0.0,0.0
Anthony Rapp,1.0,0.016122268300600002,1.0,0.011235955056200002
Roy Moore,1.0,0.016005777922700002,10.0,0.9887640449439999
Kevin Hart,1.0,0.015982479847200002,0.0,0.0
Klay Thompson,1.0,0.0158892875448,0.0,0.0
John McCain,1.0,0.015819393318100002,1.0,0.0318352059925
Steve Scalise,1.0,0.0143749126322,1.0,0.0131086142322
Bob Corker,1.0,0.014328316481099999,1.0,0.041198501872699994
Kyrie Irving,1.0,0.0142118261032,0.0,0.0
Kevin Harvick,1.0,0.0138390568939,0.0,0.0
Susan Collins,1.0,0.013815758818299998,1.0,0.0561797752809
Bill Clinton,1.0,0.0137924607427,2.0,0.159176029963
Kevin de León,1.0,0.013722566516,0.0,0.0
Ted Cruz,1.0,0.0136060761381,1.0,0.0243445692884
John Kelly,1.0,0.0131634127021,1.0,0.059925093633000005
Steven Mnuchin,1.0,0.012580960812600002,1.0,0.005617977528089999
Gary Cohn,1.0,0.012184893527799999,1.0,0.0131086142322
Kevin Hassett,1.0,0.012184893527799999,0.0,0.0
Sarah Huckabee Sanders,1.0,0.0120917012255,1.0,0.06741573033710001
Orrin Hatch,1.0,0.0120917012255,1.0,0.029962546816500003
Steve Kerr,1.0,0.0120917012255,0.0,0.0
Michael Cohen,1.0,0.0119985089232,1.0,0.011235955056200002
John Cornyn,1.0,0.011951912771999999,1.0,0.00936329588015
Steve Bannon,1.0,0.0118587204697,1.0,0.0955056179775
James Harden,1.0,0.011835422394099999,0.0,0.0
Kevin Drawbaugh,1.0,0.011812124318500001,0.0,0.0
Kim Jong Un,1.0,0.011742230091799997,1.0,0.0374531835206
Rick Gates,1.0,0.011742230091799997,1.0,0.0187265917603
Jared Kushner,1.0,0.0116490377895,1.0,0.0374531835206
